AGED -- 2012  REIMBURSEMENT FOR COST CONTRACTS FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,
 CODE , STATE , COUNTY ,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
10090,FLORIDA                  ,CLAY,"78,875","75,848","48,688",,,,,,
10100,FLORIDA                  ,COLLIER,"155,595","138,877","126,119",,,,,,
10110,FLORIDA                  ,COLUMBIA,"3,428","3,022","6,280",,,,,,
10120,FLORIDA                  ,MIAMI-DADE,"67,784","51,749","5,388",,,,,,
10130,FLORIDA                  ,DESOTO,"13,067","13,067","5,308",,,,,,
10140,FLORIDA                  ,DIXIE,0,0,"5,200",,,,,,
10150,FLORIDA                  ,DUVAL,"176,080","154,089","66,127",,,,,,
10160,FLORIDA                  ,ESCAMBIA,"150,763","133,127","67,994",,,,,,
10170,FLORIDA                  ,FLAGLER,"178,031","165,177","61,929",,,,,,
10180,FLORIDA                  ,FRANKLIN,0,0,0,,,,,,
10190,FLORIDA                  ,GADSDEN,0,0,0,,,,,,
10200,FLORIDA                  ,GILCHRIST,0,0,0,,,,,,
10210,FLORIDA                  ,GLADES,0,0,0,,,,,,
10220,FLORIDA                  ,GULF,0,0,0,,,,,,
10230,FLORIDA                  ,HAMILTON,0,0,0,,,,,,
10240,FLORIDA                  ,HARDEE,0,0,"3,134",,,,,,
10250,FLORIDA                  ,HENDRY,"5,188","2,886","11,706",,,,,,
10260,FLORIDA                  ,HERNANDO,"16,960","16,960","41,284",,,,,,
10270,FLORIDA                  ,HIGHLANDS,"49,750","46,181","38,229",,,,,,
10280,FLORIDA                  ,HILLSBOROUGH,"545,435","503,810","122,316",,,,,,
10290,FLORIDA                  ,HOLMES,0,0,0,,,,,,
10300,FLORIDA                  ,INDIAN RIVER,"55,228","45,964","56,335",,,,,,
10310,FLORIDA                  ,JACKSON,"7,233","6,279","14,146",,,,,,
10320,FLORIDA                  ,JEFFERSON,0,0,0,,,,,,
10330,FLORIDA                  ,LAFAYETTE,0,0,0,,,,,,
10340,FLORIDA                  ,LAKE,"179,291","172,491","184,297",,,,,,
10350,FLORIDA                  ,LEE,"353,115","334,252","226,869",,,,,,
10360,FLORIDA                  ,LEON,"37,325","31,386",628,,,,,,
