SNF Wage Indices by Fiscal Year,,,,,,,,,,
County code,State,County name,CBSA 2014,SNF Wage 2008,SNF Wage 2009,SNF Wage 2010,SNF Wage 2011,SNF Wage 2012,SNF Wage 2013,SNF Wage 2014
05400,CA,ORANGE,42044,1.1766,1.1993,1.1972,1.2162,1.2042,1.2038,1.2111
05410,CA,PLACER,40900,1.3505,1.3572,1.4073,1.4053,1.3777,1.4752,1.5498
05420,CA,PLUMAS,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05430,CA,RIVERSIDE,40140,1.1100,1.1468,1.1285,1.1570,1.1463,1.1396,1.1497
05440,CA,SACRAMENTO,40900,1.3505,1.3572,1.4073,1.4053,1.3777,1.4752,1.5498
05450,CA,SAN BENITO,41940,1.5735,1.6141,1.6404,1.6703,1.6878,1.7396,1.7086
05460,CA,SAN BERNARDINO,40140,1.1100,1.1468,1.1285,1.1570,1.1463,1.1396,1.1497
05470,CA,SAN DIEGO,41740,1.1492,1.1538,1.1752,1.1979,1.1950,1.1922,1.2213
05480,CA,SAN FRANCISCO,41884,1.5195,1.5529,1.5874,1.5733,1.5904,1.6327,1.6743
05490,CA,SAN JOAQUIN,44700,1.1855,1.2015,1.2331,1.2644,1.3052,1.3356,1.3734
05500,CA,SAN LUIS OBISPO,42020,1.2488,1.2441,1.2550,1.2915,1.3072,1.3081,1.3036
05510,CA,SAN MATEO,41884,1.5195,1.5529,1.5874,1.5733,1.5904,1.6327,1.6743
05520,CA,SANTA BARBARA,42060,1.1714,1.1909,1.2213,1.1909,1.2246,1.2670,1.2825
05530,CA,SANTA CLARA,41940,1.5735,1.6141,1.6404,1.6703,1.6878,1.7396,1.7086
05540,CA,SANTA CRUZ,42100,1.6122,1.6429,1.6735,1.6740,1.7111,1.8062,1.7937
05550,CA,SHASTA,39820,1.3541,1.3731,1.4039,1.4134,1.5584,1.4555,1.4990
05560,CA,SIERRA,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05570,CA,SISKIYOU,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05580,CA,SOLANO,46700,1.4666,1.4359,1.4934,1.4931,1.4636,1.5844,1.6286
05590,CA,SONOMA,42220,1.4696,1.5528,1.5891,1.6143,1.6102,1.6440,1.6679
05600,CA,STANISLAUS,33700,1.1962,1.2194,1.2502,1.2104,1.2670,1.2841,1.3629
05610,CA,SUTTER,49700,1.0756,1.1137,1.1265,1.1043,1.1808,1.2004,1.1759
05620,CA,TEHAMA,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05630,CA,TRINITY,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05640,CA,TULARE,47300,1.0091,1.0144,1.0221,1.0738,1.0343,1.0349,0.9947
05650,CA,TUOLUMNE,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05660,CA,VENTURA,37100,1.1852,1.1951,1.2301,1.2377,1.2830,1.3079,1.3113
05670,CA,YOLO,40900,1.3505,1.3572,1.4073,1.4053,1.3777,1.4752,1.5498
05680,CA,YUBA,49700,1.0756,1.1137,1.1265,1.1043,1.1808,1.2004,1.1759
05999,CA,STATEWIDE,NA,1.2023,1.2275,1.2051,1.2056,1.2194,n/a ,1.2788
06000,CO,ADAMS,19740,1.0718,1.0818,1.0731,1.0718,1.0647,1.0469,1.0395
06010,CO,ALAMOSA,NA,0.9704,0.9570,0.9929,0.9933,1.0126,1.0208,0.9802
