"AGED -- PUERTO RICO 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN  PART A AND/OR PART B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,
40530,PUERTO RICO,OROCOVIS,840,"601,830",59.71,"540,871",53.66,"5,654","50,256","5,047",196,"507,000",215.56,0.986,
40540,PUERTO RICO,PATILLAS,770,"480,934",52.05,"427,493",46.27,"6,951","37,403","9,086",177,"266,774",125.60,0.903,
40550,PUERTO RICO,PENUELAS,782,"767,765",81.82,"640,427",68.25,"28,453","56,538","42,346",249,"466,879",156.25,0.944,
40560,PUERTO RICO,PONCE,"8,614","7,935,422",76.77,"6,695,553",64.77,"317,633","430,177","492,057","3,273","7,626,229",194.17,0.928,
40570,PUERTO RICO,QUEBRADILLAS,"1,086","1,399,918",107.42,"1,232,329",94.56,"36,345","108,170","23,073",325,"691,216",177.23,0.931,
40580,PUERTO RICO,RINCON,741,"814,219",91.57,"725,878",81.63,"32,571","23,878","31,890",243,"568,572",194.98,0.940,
40590,PUERTO RICO,RIO GRANDE,938,"738,167",65.58,"631,898",56.14,"38,354","35,739","32,174",305,"735,580",200.98,0.952,
40610,PUERTO RICO,SABANA GRANDE,"1,117","821,179",61.26,"707,429",52.78,"29,135","40,745","43,869",381,"811,239",177.44,1.054,
40620,PUERTO RICO,SALINAS,"1,587","1,259,363",66.13,"1,077,653",56.59,"35,772","116,262","29,675",444,"803,062",150.72,0.907,
40630,PUERTO RICO,SAN GERMAN,"1,704","1,866,959",91.30,"1,675,825",81.96,"49,499","73,458","68,175",639,"1,506,644",196.48,0.940,
40640,PUERTO RICO,SAN JUAN,"29,130","28,644,955",81.95,"26,597,933",76.09,"486,318","1,112,097","448,606","16,243","43,198,664",221.63,1.001,
40650,PUERTO RICO,SAN LORENZO,"1,279","936,290",61.00,"857,015",55.84,"8,378","59,065","11,831",399,"860,900",179.80,0.999,
40660,PUERTO RICO,SAN SEBASTIAN,"1,966","1,384,352",58.68,"1,244,834",52.77,"37,733","64,234","37,550",585,"1,466,105",208.85,0.962,
40670,PUERTO RICO,SANTA ISABEL,780,"570,024",60.90,"502,893",53.73,"13,655","31,008","22,467",201,"397,593",164.84,0.951,
40680,PUERTO RICO,TOA ALTA,"1,447","1,061,352",61.12,"963,332",55.48,"20,257","63,011","14,751",537,"1,281,721",198.90,0.925,
40690,PUERTO RICO,TOA BAJA,"1,121","726,101",53.98,"679,364",50.50,"3,907","38,467","4,362",410,"833,021",169.31,0.957,
40700,PUERTO RICO,TRUJILLO ALTO,"2,039","1,470,197",60.09,"1,361,326",55.64,"21,308","55,690","31,871","1,032","2,369,917",191.37,0.928,
40710,PUERTO RICO,UTUADO,"1,204","715,137",49.50,"645,683",44.69,"7,452","57,007","4,993",194,"304,716",130.89,0.931,
40720,PUERTO RICO,VEGA ALTA,"1,150","781,100",56.60,"698,613",50.62,"25,273","46,462","10,751",388,"916,901",196.93,0.950,
40730,PUERTO RICO,VEGA BAJA,"1,972","1,558,708",65.87,"1,427,294",60.31,"31,754","92,407","7,251",704,"1,668,219",197.47,0.944,
40740,PUERTO RICO,VIEQUES,"1,161","1,124,058",80.68,"988,853",70.98,"40,412","72,032","22,760",477,"1,088,564",190.18,0.798,
40750,PUERTO RICO,VILLALBA,"1,066","687,345",53.73,"603,875",47.21,"16,878","42,321","24,269",219,"484,625",184.41,1.100,
40760,PUERTO RICO,YABUCOA,"1,394","1,026,813",61.38,"911,960",54.52,"25,849","73,184","15,818",386,"792,350",171.06,0.901,
40770,PUERTO RICO,YAUCO,"1,952","1,436,390",61.32,"1,234,731",52.71,"45,915","97,743","58,000",647,"1,381,388",177.92,0.890,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
