DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
05170,CALIFORNIA               ,LASSEN,"82,717","105,997","132,794","73,916","75,652",,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"17,613,992","13,844,423","16,721,014","13,161,831","8,855,850",,,,,,
05300,CALIFORNIA               ,MADERA,"317,236","277,459","279,044","333,608","444,327",,,,,,
05310,CALIFORNIA               ,MARIN,"419,931","369,314","254,499","292,860","303,777",,,,,,
05320,CALIFORNIA               ,MARIPOSA,"69,425","68,046","84,942","64,395","53,320",,,,,,
05330,CALIFORNIA               ,MENDOCINO,"128,193","-32,627","-37,020","266,522","287,189",,,,,,
05340,CALIFORNIA               ,MERCED,"726,031","723,382","692,897","626,130","448,178",,,,,,
05350,CALIFORNIA               ,MODOC,"45,754","42,546","44,425","41,201","24,855",,,,,,
05360,CALIFORNIA               ,MONO,"16,290","16,043","18,248","15,813","13,350",,,,,,
05370,CALIFORNIA               ,MONTEREY,"1,553,801","1,272,482","586,634","242,708","201,243",,,,,,
05380,CALIFORNIA               ,NAPA,"724,296","467,315","329,661","262,691","206,556",,,,,,
05390,CALIFORNIA               ,NEVADA,"505,568","504,133","458,141","432,599","354,740",,,,,,
05400,CALIFORNIA               ,ORANGE,"3,224,065","2,447,288","2,866,154","2,174,385","1,988,027",,,,,,
05410,CALIFORNIA               ,PLACER,"957,044","976,351","955,827","906,199","990,157",,,,,,
05420,CALIFORNIA               ,PLUMAS,"60,681","179,575","95,321","107,440","138,062",,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"3,364,614","2,734,788","3,194,815","3,032,762","2,697,545",,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"7,099,076","6,786,932","5,935,051","6,387,248","6,264,490",,,,,,
05450,CALIFORNIA               ,SAN BENITO,"168,547","131,310","93,890","41,181","27,090",,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"3,815,658","3,014,446","3,359,811","2,513,465","2,296,225",,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"4,906,635","4,126,175","5,096,602","5,296,719","5,634,881",,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"3,243,113","2,840,427","2,035,337","2,104,071","2,004,659",,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"4,640,939","4,714,787","3,844,412","3,338,096","3,078,874",,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"500,910","359,079","381,808","195,244","141,828",,,,,,
05510,CALIFORNIA               ,SAN MATEO,"858,433","793,137","576,168","415,448","372,823",,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"698,844","577,473","629,041","636,717","464,632",,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"3,028,246","2,265,682","2,127,941","1,286,664","570,957",,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"989,491","861,219","692,224","528,106","177,530",,,,,,
05550,CALIFORNIA               ,SHASTA,"1,630,499","1,572,457","1,127,593","880,483","423,457",,,,,,
05560,CALIFORNIA               ,SIERRA,"11,247","21,394","12,341","20,252","6,798",,,,,,
05570,CALIFORNIA               ,SISKIYOU,"139,328","53,013","64,736","126,012","62,151",,,,,,
05580,CALIFORNIA               ,SOLANO,"925,030","884,491","716,705","742,819","711,990",,,,,,
05590,CALIFORNIA               ,SONOMA,"1,502,634","1,119,369","1,026,132","1,014,776","1,001,201",,,,,,
