"DISABLED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
01530,ALABAMA                  ,PICKENS                ,"1,288","4,278,589",276.82,"3,745,669",242.34,"104,372","390,401","38,146","1,176","4,999,681",354.29,0.959,,,,,,
01540,ALABAMA                  ,PIKE                   ,"1,080","3,574,084",275.78,"3,094,399",238.77,"106,729","352,267","20,688",995,"4,014,566",336.23,0.906,,,,,,
01550,ALABAMA                  ,RANDOLPH               ,997,"2,672,299",223.36,"2,365,188",197.69,"33,716","261,698","11,695",923,"3,742,335",337.88,0.963,,,,,,
01560,ALABAMA                  ,RUSSELL                ,"2,077","6,647,724",266.72,"5,731,049",229.94,"125,911","737,998","52,765","1,864","7,026,731",314.14,0.991,,,,,,
01570,ALABAMA                  ,ST. CLAIR              ,"1,783","5,430,044",253.79,"4,701,724",219.75,"244,584","361,260","122,474","1,475","6,497,507",367.09,0.941,,,,,,
01580,ALABAMA                  ,SHELBY                 ,"2,135","7,008,980",273.57,"6,108,207",238.42,"269,629","527,470","103,673","1,737","8,056,146",386.50,0.899,,,,,,
01590,ALABAMA                  ,SUMTER                 ,833,"2,152,258",215.31,"1,902,027",190.28,"28,118","211,058","11,053",778,"2,471,413",264.72,0.931,,,,,,
01600,ALABAMA                  ,TALLADEGA              ,"4,168","11,023,108",220.39,"9,615,205",192.24,"236,329","1,053,645","117,928","3,672","14,203,407",322.34,0.957,,,,,,
01610,ALABAMA                  ,TALLAPOOSA             ,"2,385","6,206,414",216.86,"5,395,321",188.52,"126,388","651,878","32,826","2,171","9,906,643",380.26,0.965,,,,,,
01620,ALABAMA                  ,TUSCALOOSA             ,"7,562","25,998,632",286.51,"22,366,384",246.48,"855,592","2,447,897","328,758","6,813","28,380,888",347.14,0.960,,,,,,
01630,ALABAMA                  ,WALKER                 ,"3,292","10,770,653",272.65,"9,265,498",234.55,"386,217","926,356","192,581","2,939","14,036,068",397.98,1.058,,,,,,
01640,ALABAMA                  ,WASHINGTON             ,812,"2,338,209",239.96,"2,089,487",214.44,"57,468","166,072","25,181",749,"2,861,579",318.38,0.903,,,,,,
01650,ALABAMA                  ,WILCOX                 ,943,"2,889,156",255.32,"2,407,362",212.74,"97,313","355,778","28,702",893,"3,786,097",353.31,0.950,,,,,,
01660,ALABAMA                  ,WINSTON                ,"1,204","4,349,155",301.02,"3,769,644",260.91,"124,722","408,696","46,092","1,120","5,885,712",437.93,1.040,,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS      ,42,"230,780",457.90,"185,695",368.44,"4,248","39,943",892,35,"209,946",499.87,0.769,,,,,,
02020,ALASKA                   ,ANCHORAGE              ,"5,399","24,541,977",378.80,"21,302,419",328.80,"358,409","2,767,922","113,225","4,811","23,601,053",408.80,0.831,,,,,,
02040,ALASKA                   ,BARROW DIVISION        ,72,"385,446",446.12,"347,379",402.06,563,"37,418",85,64,"359,955",468.69,0.937,,,,,,
02050,ALASKA                   ,BETHEL                 ,87,"164,338",157.41,"134,693",129.02,"10,656","17,796","1,191",79,"182,998",193.04,0.794,,,,,,
02060,ALASKA                   ,BRISTOL BAY            ,111,"731,438",549.13,"665,953",499.96,"2,104","63,125",255,100,"328,896",274.08,0.780,,,,,,
02070,ALASKA                   ,DILLINGHAM             ,55,"135,559",205.39,"108,026",163.68,"6,672","16,191","4,669",53,"223,549",351.49,0.868,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY      ,22,"18,867",71.47,"16,875",63.92,42,"1,889",59,21,"103,509",410.75,,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR   ,"1,267","5,503,546",361.98,"4,941,215",324.99,"39,096","509,010","14,224","1,114","4,377,511",327.46,0.778,,,,,,
02100,ALASKA                   ,HAINES                 ,40,"439,190",914.98,"430,136",896.12,"5,921","2,370",761,38,"220,614",483.80,0.806,,,,,,
02110,ALASKA                   ,JUNEAU                 ,662,"3,461,603",435.75,"3,134,121",394.53,"60,532","255,441","11,508",583,"2,961,370",423.29,0.796,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISI,"1,192","4,061,099",283.91,"3,690,020",257.97,"27,847","333,080","10,151","1,077","5,814,400",449.89,0.819,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY      ,279,"1,528,516",456.55,"1,357,657",405.51,"57,779","101,970","11,109",254,"1,366,625",448.37,0.847,,,,,,
02140,ALASKA                   ,KOBUK                  ,59,"544,634",769.26,"506,107",714.84,0,"38,526",0,53,"383,449",602.91,0.913,,,,,,
02150,ALASKA                   ,KODIAK ISLAND          ,75,"662,449",736.05,"605,130",672.37,"11,710","44,417","1,191",62,"283,467",381.00,0.780,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION     ,19,"54,902",240.80,"46,157",202.44,567,"8,106",70,17,"58,976",289.10,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA      ,"1,542","6,086,553",328.93,"5,437,991",293.88,"67,745","563,043","17,772","1,375","6,719,890",407.27,0.850,,,,,,
02180,ALASKA                   ,NOME                   ,84,"703,881",698.29,"619,950",615.03,965,"82,123",842,71,"382,128",448.51,0.741,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISIO,39,"72,380",154.66,"71,902",153.64,0,478,0,35,"124,694",296.89,0.911,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISIO,63,"367,252",485.78,"330,725",437.47,"2,891","31,938","1,696",53,"402,000",632.08,,,,,,,
02210,ALASKA                   ,SEWARD                 ,95,"257,238",225.65,"215,107",188.69,"5,546","35,070","1,512",84,"342,010",339.30,,,,,,,
02220,ALASKA                   ,SITKA                  ,148,"966,795",544.37,"908,834",511.73,"12,084","41,496","4,379",135,"1,209,942",746.88,0.893,,,,,,
02230,ALASKA                   ,SKAGWAY                ,43,"116,745",226.25,"107,489",208.31,"5,201","3,051","1,002",39,"162,041",346.24,0.783,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS    ,80,"178,262",185.69,"158,137",164.73,393,"19,624",107,71,"280,921",329.72,0.785,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION   ,24,"19,770",68.65,"14,795",51.37,0,"4,975",0,23,"78,868",285.75,,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER D,157,"649,079",344.52,"597,829",317.32,"9,814","38,141","3,292",140,"568,698",338.51,0.764,,,,,,
02270,ALASKA                   ,WADE HAMPTON           ,59,"580,818",820.36,"459,516",649.03,"14,256","104,762","2,283",54,"273,625",422.26,0.868,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CEN,112,"540,867",402.43,"494,604",368.01,"18,058","25,536","2,668",102,"627,196",512.42,0.865,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK          ,74,"129,643",145.99,"111,973",126.10,0,"17,670",0,66,"180,483",227.88,0.828,,,,,,
03000,ARIZONA                  ,APACHE                 ,"1,337","5,425,537",338.17,"4,750,656",296.10,"87,638","555,475","31,767","1,159","4,485,755",322.53,0.901,,,,,,
03010,ARIZONA                  ,COCHISE                ,"2,335","6,695,888",238.97,"5,361,706",191.35,"415,482","759,219","159,480","1,941","7,633,828",327.74,0.907,,,,,,
03020,ARIZONA                  ,COCONINO               ,"2,123","9,740,015",382.32,"8,494,199",333.42,"89,056","1,102,526","54,233","1,821","7,698,607",352.31,0.839,,,,,,
03030,ARIZONA                  ,GILA                   ,"1,694","5,968,478",293.61,"5,178,981",254.77,"123,803","598,641","67,051","1,521","6,990,165",382.98,0.951,,,,,,
