AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
05120,CALIFORNIA               ,IMPERIAL,"502,907","534,985","400,114","127,713","15,944",,,,,,
05130,CALIFORNIA               ,INYO,"36,593","40,315","26,560","2,855","2,272",,,,,,
05140,CALIFORNIA               ,KERN,"1,164,110","1,289,125","1,036,127","261,769","194,675",,,,,,
05150,CALIFORNIA               ,KINGS,"246,595","310,649","252,601","102,215","16,134",,,,,,
05160,CALIFORNIA               ,LAKE,"189,004","278,612","216,375","94,198","28,048",,,,,,
05170,CALIFORNIA               ,LASSEN,"50,698","72,302","53,209","20,799","-3,100",,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"-19,074,289","-35,997,386","-30,336,733","-28,495,484","12,405,978",,,,,,
05300,CALIFORNIA               ,MADERA,"328,256","428,184","316,446","134,476","20,338",,,,,,
05310,CALIFORNIA               ,MARIN,"-417,763","318,693","256,850","38,196","671,134",,,,,,
05320,CALIFORNIA               ,MARIPOSA,"57,773","75,938","61,594","23,134","7,754",,,,,,
05330,CALIFORNIA               ,MENDOCINO,"204,743","273,275","205,152","82,171","26,220",,,,,,
05340,CALIFORNIA               ,MERCED,"460,219","680,304","546,473","212,558","44,263",,,,,,
05350,CALIFORNIA               ,MODOC,"24,912","32,728","20,750","9,582","1,258",,,,,,
05360,CALIFORNIA               ,MONO,"11,457","19,199","12,281","1,035","-1,279",,,,,,
05370,CALIFORNIA               ,MONTEREY,"1,018,226","1,403,108","1,101,447","508,723","158,454",,,,,,
05380,CALIFORNIA               ,NAPA,"-97,971","255,360","207,957","75,255","191,496",,,,,,
05390,CALIFORNIA               ,NEVADA,"343,868","450,462","374,878","169,339","46,582",,,,,,
05400,CALIFORNIA               ,ORANGE,"-5,826,454","-8,512,395","-7,354,206","-8,792,523","1,504,983",,,,,,
05410,CALIFORNIA               ,PLACER,"667,956","889,373","758,511","347,857","113,041",,,,,,
05420,CALIFORNIA               ,PLUMAS,"44,362","68,740","52,939","22,300","-1,686",,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"3,262,886","3,793,936","3,125,930","1,111,383","777,405",,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"1,812,423","2,217,505","1,905,911","860,650","234,820",,,,,,
05450,CALIFORNIA               ,SAN BENITO,"16,867","146,619","112,212","68,685","8,332",,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"1,459,804","1,608,762","1,348,275","354,851","412,190",,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"5,605,725","6,561,779","5,567,388","2,441,750","1,298,310",,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"-2,444,413","-924,481","-800,195","-882,613","473,285",,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"1,136,814","1,445,255","1,147,853","486,175","73,791",,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"1,088,459","1,315,481","1,039,434","428,177","152,240",,,,,,
05510,CALIFORNIA               ,SAN MATEO,"-2,740,703","-879,376","-659,010","-667,012","300,276",,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"1,282,619","1,433,489","1,185,458","482,790","258,951",,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"-4,580,870","3,248,792","3,002,525","2,267,553","560,425",,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"480,870","809,559","664,212","362,767","103,713",,,,,,
05550,CALIFORNIA               ,SHASTA,"888,818","1,113,201","826,595","342,244","62,634",,,,,,
05560,CALIFORNIA               ,SIERRA,"7,526","9,480","7,212","3,336",213,,,,,,
05570,CALIFORNIA               ,SISKIYOU,"176,349","202,503","124,410","53,405","12,453",,,,,,
05580,CALIFORNIA               ,SOLANO,"-194,523","276,107","241,092","59,752","284,028",,,,,,
05590,CALIFORNIA               ,SONOMA,"947,714","1,205,296","977,469","410,142","193,535",,,,,,
05600,CALIFORNIA               ,STANISLAUS,"714,400","968,159","763,866","320,583","48,810",,,,,,
05610,CALIFORNIA               ,SUTTER,"304,556","383,411","316,183","135,143","20,865",,,,,,
05620,CALIFORNIA               ,TEHAMA,"195,081","243,968","182,085","82,933","15,026",,,,,,
05630,CALIFORNIA               ,TRINITY,"79,580","121,728","84,658","36,214","7,183",,,,,,
05640,CALIFORNIA               ,TULARE,"890,403","1,113,151","892,086","375,274","42,324",,,,,,
05650,CALIFORNIA               ,TUOLUMNE,"223,943","292,795","233,258","96,518","21,675",,,,,,
05660,CALIFORNIA               ,VENTURA,"-1,950,909","-4,776,923","-3,978,009","-3,828,386","567,946",,,,,,
05670,CALIFORNIA               ,YOLO,"171,913","244,896","196,668","86,960","32,415",,,,,,
05680,CALIFORNIA               ,YUBA,"169,793","210,686","171,150","77,468","16,145",,,,,,
06000,COLORADO                 ,ADAMS,"232,848","383,561","311,102","307,231","144,078",,,,,,
06010,COLORADO                 ,ALAMOSA,"12,904","21,246","17,584","20,943","8,855",,,,,,
06020,COLORADO                 ,ARAPAHOE,"563,586","991,327","801,731","809,640","379,479",,,,,,
06030,COLORADO                 ,ARCHULETA,"19,688","34,066","22,977","25,746","12,286",,,,,,
