AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,
05390,CALIFORNIA               ,NEVADA,"3,990,967","3,669,992","2,884,060","3,008,751","2,780,300",,
05400,CALIFORNIA               ,ORANGE,"23,074,566","17,935,322","21,275,235","16,607,330","14,455,710",,
05410,CALIFORNIA               ,PLACER,"5,915,924","5,848,921","4,816,574","5,440,880","5,751,228",,
05420,CALIFORNIA               ,PLUMAS,"257,265","434,613","424,286","416,179","441,732",,
05430,CALIFORNIA               ,RIVERSIDE,"14,188,464","11,577,738","13,421,554","12,641,378","11,132,267",,
05440,CALIFORNIA               ,SACRAMENTO,"23,552,282","22,965,236","18,830,286","20,040,053","18,925,845",,
05450,CALIFORNIA               ,SAN BENITO,"1,123,009","642,618","456,799","289,614","159,741",,
05460,CALIFORNIA               ,SAN BERNARDINO,"10,577,544","8,397,399","9,440,548","7,586,926","6,358,166",,
05470,CALIFORNIA               ,SAN DIEGO,"20,878,516","17,400,803","20,736,054","22,196,685","22,799,735",,
05480,CALIFORNIA               ,SAN FRANCISCO,"15,213,201","12,367,158","8,506,373","9,368,280","8,168,563",,
05490,CALIFORNIA               ,SAN JOAQUIN,"20,666,647","19,407,186","15,813,347","13,399,213","11,897,243",,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"2,766,812","2,887,518","2,448,282","1,136,944","759,228",,
05510,CALIFORNIA               ,SAN MATEO,"9,215,543","6,950,902","4,988,559","4,177,162","3,546,256",,
05520,CALIFORNIA               ,SANTA BARBARA,"4,073,117","3,088,488","3,290,534","3,362,818","2,389,225",,
05530,CALIFORNIA               ,SANTA CLARA,"17,955,670","12,267,352","9,920,962","5,460,798","2,854,613",,
05540,CALIFORNIA               ,SANTA CRUZ,"5,343,918","4,337,137","3,409,120","2,470,324","777,304",,
05550,CALIFORNIA               ,SHASTA,"6,776,643","6,185,781","4,834,293","3,248,511","1,277,895",,
05560,CALIFORNIA               ,SIERRA,"72,711","86,739","96,631","61,569","80,359",,
05570,CALIFORNIA               ,SISKIYOU,"433,187","303,660","439,842","345,004","232,156",,
05580,CALIFORNIA               ,SOLANO,"4,488,908","3,981,914","2,956,595","2,814,566","3,247,017",,
05590,CALIFORNIA               ,SONOMA,"8,032,784","5,759,226","4,490,203","4,025,096","4,698,724",,
05600,CALIFORNIA               ,STANISLAUS,"8,662,147","8,009,721","6,876,568","6,520,675","4,143,574",,
05610,CALIFORNIA               ,SUTTER,"489,933","210,657","245,988","1,942,096","2,700,946",,
05620,CALIFORNIA               ,TEHAMA,"1,010,457","985,593","772,068","680,927","537,274",,
05630,CALIFORNIA               ,TRINITY,"560,854","700,335","497,530","309,054","158,872",,
05640,CALIFORNIA               ,TULARE,"5,030,977","4,073,827","4,847,773","5,255,904","6,393,749",,
05650,CALIFORNIA               ,TUOLUMNE,"2,080,410","1,887,623","1,960,257","1,795,911","1,093,565",,
05660,CALIFORNIA               ,VENTURA,"11,329,521","4,919,606","12,425,121","9,352,694","9,287,438",,
05670,CALIFORNIA               ,YOLO,"2,644,098","2,565,251","1,902,821","2,083,234","1,826,747",,
05680,CALIFORNIA               ,YUBA,"272,349","195,605","226,376","1,407,733","1,759,441",,
06000,COLORADO                 ,ADAMS,"-742,582","-962,392","-994,173","-1,003,111","-771,755",,
06010,COLORADO                 ,ALAMOSA,"-1,361","-15,392","-15,333","-27,271","-20,063",,
06020,COLORADO                 ,ARAPAHOE,"-1,307,327","-1,819,529","-1,935,797","-1,943,198","-1,480,072",,
06030,COLORADO                 ,ARCHULETA,"9,268",485,"8,420","-6,137","2,287",,
06040,COLORADO                 ,BACA,"-23,063","-35,388","-25,655","-38,189","-25,917",,
06050,COLORADO                 ,BENT,361,"-9,382","-9,880","-14,221","-14,189",,
06060,COLORADO                 ,BOULDER,"-1,271,153","-1,172,197","-1,233,493","-1,210,171","-1,165,379",,
06070,COLORADO                 ,CHAFFEE,"14,432","-33,714","-51,430","-68,689","-49,168",,
06080,COLORADO                 ,CHEYENNE,"-2,020","-12,913","-12,293","-6,965","-9,539",,
06090,COLORADO                 ,CLEAR CREEK,"-18,335","-26,812","-25,750","-24,108","-15,396",,
06100,COLORADO                 ,CONEJOS,"-9,319","-6,645","-15,005","-24,509","-7,632",,
06110,COLORADO                 ,COSTILLA,-174,"-4,891","-4,260","-11,231","-7,166",,
06120,COLORADO                 ,CROWLEY,"2,982",-823,"-12,125","-16,085","-11,735",,
06130,COLORADO                 ,CUSTER,"1,762","-6,557","-19,799","-15,209","-28,558",,
06140,COLORADO                 ,DELTA,"-39,643","-36,958","-162,869","-192,599","-221,767",,
06150,COLORADO                 ,DENVER,"-1,367,932","-1,735,005","-1,876,564","-1,735,509","-1,291,949",,
06160,COLORADO                 ,DOLORES,"2,402","-1,706",784,"-1,114","-1,127",,
06170,COLORADO                 ,DOUGLAS,"-226,249","-341,422","-411,631","-424,594","-317,660",,
06180,COLORADO                 ,EAGLE,"-22,230","-33,372","-36,213","-50,821","-42,457",,
06190,COLORADO                 ,ELBERT,"-40,834","-64,287","-69,746","-63,325","-40,554",,
06200,COLORADO                 ,EL PASO,"904,938","-1,574,378","-1,439,764","-1,269,448","-670,219",,
06210,COLORADO                 ,FREMONT,"31,879","-54,366","-85,758","-104,602","-126,383",,
06220,COLORADO                 ,GARFIELD,"-73,486","-51,247","-65,791","-92,153","-85,851",,
06230,COLORADO                 ,GILPIN,"-6,417","-6,649","-12,369","-6,472","-8,017",,
06240,COLORADO                 ,GRAND,"-24,309","-32,573","-44,267","-47,501","-32,759",,
06250,COLORADO                 ,GUNNISON,"-13,167","-16,423","-27,223","-30,876","-24,826",,
06260,COLORADO                 ,HINSDALE,-971,"-1,811","-3,012","-2,963","1,903",,
06270,COLORADO                 ,HUERFANO,"10,046","-10,240","-24,745","-29,041","-43,083",,
06280,COLORADO                 ,JACKSON,"-2,374","-2,363","-2,413","-4,647","-4,514",,
06290,COLORADO                 ,JEFFERSON,"-1,127,707","-1,567,611","-1,630,073","-1,588,573","-1,159,710",,
06300,COLORADO                 ,KIOWA,-22,"-5,948","-5,534","-9,124","-6,183",,
06310,COLORADO                 ,KIT CARSON,"-29,332","-55,175","-50,181","-50,819","-26,966",,
