DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2008,2009,2010,2011,2012,,,,,,,,,,,
04430,ARKANSAS                 ,MADISON,"8,211","7,164","-17,454","-19,210","1,866",,,,,,,,,,,
04440,ARKANSAS                 ,MARION,"10,717","8,234","-16,173","-18,207","1,661",,,,,,,,,,,
04450,ARKANSAS                 ,MILLER,"13,340","10,324","-31,244","-30,664","4,803",,,,,,,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"20,984","21,852","-50,595","-50,692","4,079",,,,,,,,,,,
04470,ARKANSAS                 ,MONROE,"4,443","3,867","-6,895","-9,193",877,,,,,,,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"3,893","3,384","-6,905","-8,107","1,055",,,,,,,,,,,
04490,ARKANSAS                 ,NEVADA,"4,313","4,197","-8,783","-9,985",975,,,,,,,,,,,
04500,ARKANSAS                 ,NEWTON,"4,582","2,933","-7,907","-7,324",715,,,,,,,,,,,
04510,ARKANSAS                 ,OUACHITA,"13,203","12,994","-27,361","-31,364","3,303",,,,,,,,,,,
04520,ARKANSAS                 ,PERRY,"6,081","5,909","-14,326","-14,350","1,310",,,,,,,,,,,
04530,ARKANSAS                 ,PHILLIPS,"9,238","7,693","-17,468","-19,691","1,509",,,,,,,,,,,
04540,ARKANSAS                 ,PIKE,"3,951","4,388","-7,947","-10,196","1,277",,,,,,,,,,,
04550,ARKANSAS                 ,POINSETT,"17,463","16,011","-35,090","-38,636","3,787",,,,,,,,,,,
04560,ARKANSAS                 ,POLK,"8,709","7,095","-15,165","-19,194","2,318",,,,,,,,,,,
04570,ARKANSAS                 ,POPE,"30,013","24,230","-50,058","-62,889","7,040",,,,,,,,,,,
04580,ARKANSAS                 ,PRAIRIE,"5,380","5,138","-10,880","-9,559","1,007",,,,,,,,,,,
04590,ARKANSAS                 ,PULASKI,"187,356","179,228","-390,882","-455,521","41,743",,,,,,,,,,,
04600,ARKANSAS                 ,RANDOLPH,"8,512","6,963","-15,054","-16,117","1,662",,,,,,,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"10,397","7,853","-22,506","-25,859","2,179",,,,,,,,,,,
04620,ARKANSAS                 ,SALINE,"31,541","30,290","-62,091","-62,490","6,111",,,,,,,,,,,
04630,ARKANSAS                 ,SCOTT,"4,816","5,008","-10,761","-10,196",937,,,,,,,,,,,
04640,ARKANSAS                 ,SEARCY,"5,372","3,941","-7,907","-8,930","1,165",,,,,,,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"46,984","39,405","-89,237","-97,449","11,352",,,,,,,,,,,
04660,ARKANSAS                 ,SEVIER,"6,439","5,704","-12,572","-13,712","1,475",,,,,,,,,,,
04670,ARKANSAS                 ,SHARP,"14,657","13,754","-27,381","-33,198","2,849",,,,,,,,,,,
04680,ARKANSAS                 ,STONE,"10,284","8,240","-15,165","-17,693","2,036",,,,,,,,,,,
04690,ARKANSAS                 ,UNION,"26,261","27,739","-56,510","-68,449","9,217",,,,,,,,,,,
04700,ARKANSAS                 ,VAN BUREN,"10,811","8,756","-21,027","-18,382","1,888",,,,,,,,,,,
04710,ARKANSAS                 ,WASHINGTON,"58,100","51,803","-112,701","-136,485","14,416",,,,,,,,,,,
04720,ARKANSAS                 ,WHITE,"44,118","37,855","-80,403","-91,712","9,418",,,,,,,,,,,
04730,ARKANSAS                 ,WOODRUFF,"5,987","6,057","-9,977","-11,838","1,121",,,,,,,,,,,
04740,ARKANSAS                 ,YELL,"14,943","11,843","-23,057","-27,888","2,810",,,,,,,,,,,
05000,CALIFORNIA               ,ALAMEDA,"-433,390","-73,279","-54,235","-135,032","23,443",,,,,,,,,,,
05010,CALIFORNIA               ,ALPINE,123,204,118,96,9,,,,,,,,,,,
05020,CALIFORNIA               ,AMADOR,"13,140","19,967","13,373","6,819","1,515",,,,,,,,,,,
05030,CALIFORNIA               ,BUTTE,"136,131","181,536","133,868","62,484","9,478",,,,,,,,,,,
05040,CALIFORNIA               ,CALAVERAS,"16,934","23,417","17,486","7,434",956,,,,,,,,,,,
05050,CALIFORNIA               ,COLUSA,"7,463","9,905","7,551","2,516",89,,,,,,,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"-237,429","-34,268","-36,154","-83,023","12,486",,,,,,,,,,,
05070,CALIFORNIA               ,DEL NORTE,"16,917","21,883","14,436","6,617","1,073",,,,,,,,,,,
05080,CALIFORNIA               ,EL DORADO,"49,748","69,257","54,038","25,539","3,185",,,,,,,,,,,
05090,CALIFORNIA               ,FRESNO,"286,248","399,992","290,556","130,507","12,581",,,,,,,,,,,
05100,CALIFORNIA               ,GLENN,"11,116","16,662","11,225","5,736",567,,,,,,,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"59,416","81,086","62,782","27,800","4,259",,,,,,,,,,,
05120,CALIFORNIA               ,IMPERIAL,"74,540","90,249","64,621","26,981","2,525",,,,,,,,,,,
05130,CALIFORNIA               ,INYO,"2,573","2,593","1,515",-344,812,,,,,,,,,,,
05140,CALIFORNIA               ,KERN,"311,272","355,783","285,668","83,867","31,016",,,,,,,,,,,
05150,CALIFORNIA               ,KINGS,"37,771","57,807","44,092","17,660","2,043",,,,,,,,,,,
05160,CALIFORNIA               ,LAKE,"32,267","60,271","43,971","19,761","4,257",,,,,,,,,,,
05170,CALIFORNIA               ,LASSEN,"8,863","13,847","9,459","3,521",-190,,,,,,,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"-2,516,660","-4,979,098","-4,025,371","-3,672,270","1,252,526",,,,,,,,,,,
05300,CALIFORNIA               ,MADERA,"49,759","68,653","53,121","22,950","1,813",,,,,,,,,,,
05310,CALIFORNIA               ,MARIN,"-22,848","27,108","22,298","5,151","33,636",,,,,,,,,,,
05320,CALIFORNIA               ,MARIPOSA,"6,627","11,100","7,630","3,587",565,,,,,,,,,,,
05330,CALIFORNIA               ,MENDOCINO,"31,003","53,209","38,018","14,660","4,863",,,,,,,,,,,
05340,CALIFORNIA               ,MERCED,"65,184","107,002","94,619","37,881","3,849",,,,,,,,,,,
05350,CALIFORNIA               ,MODOC,"4,756","5,627","2,921","1,215",116,,,,,,,,,,,
05360,CALIFORNIA               ,MONO,698,"1,689",327,178,61,,,,,,,,,,,
05370,CALIFORNIA               ,MONTEREY,"108,182","157,655","124,848","57,344","10,271",,,,,,,,,,,
05380,CALIFORNIA               ,NAPA,"-3,304","28,969","20,577","8,610","6,193",,,,,,,,,,,
05390,CALIFORNIA               ,NEVADA,"36,270","50,702","42,671","17,981","2,172",,,,,,,,,,,
05400,CALIFORNIA               ,ORANGE,"-481,175","-732,413","-570,641","-671,949","90,963",,,,,,,,,,,
05410,CALIFORNIA               ,PLACER,"74,820","104,507","86,088","41,753","6,776",,,,,,,,,,,
05420,CALIFORNIA               ,PLUMAS,"7,239","11,338","6,872","3,021","-1,103",,,,,,,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"499,499","587,507","443,725","153,952","66,440",,,,,,,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"368,844","496,328","404,235","192,336","39,064",,,,,,,,,,,
05450,CALIFORNIA               ,SAN BENITO,"1,449","17,683","13,055","8,469",942,,,,,,,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"386,866","462,216","362,097","101,990","62,079",,,,,,,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"915,129","1,112,904","904,227","402,759","157,356",,,,,,,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"-309,372","-98,060","-84,435","-102,582","83,199",,,,,,,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"204,504","282,086","219,799","95,796","8,723",,,,,,,,,,,
