DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
04340,ARKANSAS                 ,JEFFERSON,"2,381","2,518","10,216","1,310","6,773",,"2,785","2,153","14,308","1,688","7,896",
04350,ARKANSAS                 ,JOHNSON,-90,-567,271,799,816,,16,-716,7,506,"1,162",
04360,ARKANSAS                 ,LAFAYETTE,3,-112,122,331,492,,8,-101,130,138,169,
04370,ARKANSAS                 ,LAWRENCE,49,-411,397,"1,105","1,083",,50,-949,706,"2,735","3,997",
04380,ARKANSAS                 ,LEE,4,-220,118,549,633,,-84,-729,280,956,784,
04390,ARKANSAS                 ,LINCOLN,276,-90,"1,262",268,288,,"1,502",841,"1,404",474,"1,687",
04400,ARKANSAS                 ,LITTLE RIVER,-38,-474,271,"1,663","1,596",,-206,"-1,136",363,"1,252","2,010",
04410,ARKANSAS                 ,LOGAN,-148,-267,49,354,871,,-772,"-1,086",-217,810,"1,323",
04420,ARKANSAS                 ,LONOKE,"-2,212",-286,727,"1,447","1,542",,"-1,920",-234,"1,591","1,747","1,409",
04430,ARKANSAS                 ,MADISON,"1,083",-62,326,"1,744","-1,474",,748,-250,942,"1,931","-1,804",
04440,ARKANSAS                 ,MARION,-38,-373,200,730,605,,122,-461,344,969,"1,048",
04450,ARKANSAS                 ,MILLER,"-2,964","-8,516","-6,273","-3,306","-4,648",,"-2,284","-10,104","-11,267","-3,697","-5,556",
04460,ARKANSAS                 ,MISSISSIPPI,-35,-941,663,"1,993","1,840",,-157,"-2,507",679,"2,778","4,823",
04470,ARKANSAS                 ,MONROE,6,-211,134,494,578,,-88,-694,304,"1,466","1,621",
04480,ARKANSAS                 ,MONTGOMERY,-167,-206,-14,204,339,,-486,-729,-282,221,587,
04490,ARKANSAS                 ,NEVADA,-83,-796,241,574,125,,8,-193,75,472,"1,089",
04500,ARKANSAS                 ,NEWTON,10,-186,69,133,275,,5,-154,176,339,251,
04510,ARKANSAS                 ,OUACHITA,374,-846,547,"1,225","2,002",,-257,"-1,184",485,"1,649","1,872",
04520,ARKANSAS                 ,PERRY,-582,-64,301,248,72,,-535,-47,102,226,322,
04530,ARKANSAS                 ,PHILLIPS,-75,"-1,119",183,878,"1,206",,-66,"-1,061",324,"1,995","2,922",
04540,ARKANSAS                 ,PIKE,1,-645,132,139,600,,-18,-105,282,327,393,
04550,ARKANSAS                 ,POINSETT,"1,256",492,"3,014","1,898","2,102",,"1,092",630,"3,895","3,745","2,451",
04560,ARKANSAS                 ,POLK,859,-550,242,"1,027","1,206",,-36,"-1,353",413,"1,759","2,872",
04570,ARKANSAS                 ,POPE,-124,-806,424,"2,001","2,747",,28,-776,228,"2,192","2,115",
04580,ARKANSAS                 ,PRAIRIE,7,-496,197,712,179,,-40,-57,39,428,786,
04590,ARKANSAS                 ,PULASKI,"-25,772","-1,879","9,860","11,101","8,592",,"-27,452","-1,369","8,015","7,690","6,895",
04600,ARKANSAS                 ,RANDOLPH,17,-397,289,715,774,,18,-611,401,"1,403","1,943",
04610,ARKANSAS                 ,ST. FRANCIS,-205,-843,193,"1,064","1,146",,-371,"-1,446",522,"2,165","2,826",
04620,ARKANSAS                 ,SALINE,"-2,907",-234,"1,784","1,254","1,072",,"-3,980",-206,"2,058","2,141","1,202",
04630,ARKANSAS                 ,SCOTT,-809,-366,-279,268,412,,-416,-351,106,723,682,
04640,ARKANSAS                 ,SEARCY,-4,-258,-145,450,482,,-248,-348,155,695,791,
04650,ARKANSAS                 ,SEBASTIAN,"-12,250","-3,914","-11,330",-680,-993,,"-22,421","-7,858","-18,312",-960,"-2,359",
04660,ARKANSAS                 ,SEVIER,20,-561,259,927,"1,320",,37,"-1,701",752,"2,480","2,798",
04670,ARKANSAS                 ,SHARP,-28,-931,730,"1,347","2,385",,-74,"-1,331",787,"4,280","4,562",
04680,ARKANSAS                 ,STONE,22,-301,125,641,"1,171",,2,-893,"-1,652","1,946","2,239",
04690,ARKANSAS                 ,UNION,-329,-743,618,"1,787","2,825",,-123,-852,428,"3,114","2,560",
04700,ARKANSAS                 ,VAN BUREN,-209,-437,290,562,776,,-92,-553,307,"1,085","1,294",
04710,ARKANSAS                 ,WASHINGTON,"4,990",673,"6,546","14,793","-8,920",,"6,360",420,"9,685","18,978","-14,149",
04720,ARKANSAS                 ,WHITE,-155,"-2,170","1,334","4,476","5,606",,23,"-2,628","1,039","4,034","4,800",
04730,ARKANSAS                 ,WOODRUFF,-33,-573,230,976,"1,770",,-762,"-1,809",-494,278,748,
04740,ARKANSAS                 ,YELL,-1,-440,248,"1,032","1,095",,-86,-394,333,"1,145","1,045",
05000,CALIFORNIA               ,ALAMEDA,"136,138","111,207","85,703","80,555","124,590",,"98,429","73,214","65,771","76,590","135,340",
05010,CALIFORNIA               ,ALPINE,0,0,0,199,0,,0,0,0,389,226,
05020,CALIFORNIA               ,AMADOR,"2,633","1,716","1,980","5,070","3,274",,"1,667","1,088","1,359","2,384","1,791",
05030,CALIFORNIA               ,BUTTE,"16,923","32,640","22,489","5,969","28,054",,"12,166","27,431","14,704","5,074","18,450",
05040,CALIFORNIA               ,CALAVERAS,"6,073","3,479","6,240","3,284","4,442",,"10,194","2,466","4,353","5,568","3,944",
05050,CALIFORNIA               ,COLUSA,"1,022","1,377","2,716","1,772","1,334",,"1,012","1,553","1,977","1,149",671,
05060,CALIFORNIA               ,CONTRA COSTA,"81,089","65,367","39,922","48,954","74,625",,"37,968","47,358","32,083","30,611","50,364",
05070,CALIFORNIA               ,DEL NORTE,"2,552","2,096","2,354","1,830",103,,"2,393","1,980","1,556","1,321",448,
05080,CALIFORNIA               ,EL DORADO,"16,259","19,844","15,337","16,201","21,756",,"10,765","9,038","10,616","11,111","22,912",
05090,CALIFORNIA               ,FRESNO,"47,482","66,041","46,514","31,354","48,531",,"63,651","67,372","50,477","33,133","55,545",
05100,CALIFORNIA               ,GLENN,"2,121","3,170","4,075","3,353","2,376",,"2,898","1,846","2,588","2,431","2,269",
05110,CALIFORNIA               ,HUMBOLDT,"16,393","10,741","17,371","14,526","9,670",,"20,047","14,000","17,447","20,401","15,351",
05120,CALIFORNIA               ,IMPERIAL,469,"2,904","3,134","-7,587","-16,951",,-437,"4,354","5,059","-18,018","-33,239",
05130,CALIFORNIA               ,INYO,"1,038",665,936,614,786,,210,485,"1,045",326,848,
05140,CALIFORNIA               ,KERN,"58,653","50,635","46,632","3,972","-6,119",,"70,753","59,333","53,964","4,170","-9,416",
05150,CALIFORNIA               ,KINGS,"6,239","4,128","2,575",-581,"8,625",,"5,053","3,278","1,481",-244,"4,146",
05160,CALIFORNIA               ,LAKE,"12,859","9,012","13,657","16,478","12,364",,"7,987","7,292","8,821","7,006","5,082",
05170,CALIFORNIA               ,LASSEN,"1,576",916,"2,142",880,"1,584",,"1,637","1,102","2,976",834,482,
05200,CALIFORNIA               ,LOS ANGELES,"433,313","99,218","259,724","179,624","32,017",,"567,194","116,093","561,575","413,931","74,320",
05300,CALIFORNIA               ,MADERA,"2,945","3,202","4,948","3,696","4,254",,"6,712","5,165","5,386","4,718","3,436",
05310,CALIFORNIA               ,MARIN,"16,370","11,154","5,338","6,763","5,146",,"14,679","10,008","3,056","5,939","2,842",
05320,CALIFORNIA               ,MARIPOSA,625,"1,020","1,794",321,"1,282",,112,303,211,374,"1,262",
05330,CALIFORNIA               ,MENDOCINO,"10,105","6,544","7,785","8,247","6,247",,"6,356","6,828","4,992","5,326","2,939",
05340,CALIFORNIA               ,MERCED,"10,670","12,314","11,923","9,713","10,100",,"4,042","9,973","9,084","7,877","6,984",
05350,CALIFORNIA               ,MODOC,0,0,0,0,82,,435,23,0,0,0,
05360,CALIFORNIA               ,MONO,379,213,406,461,501,,767,77,9,10,0,
05370,CALIFORNIA               ,MONTEREY,"34,555","23,474","21,433","-2,379","1,612",,"23,488","19,143","14,595","-1,218",887,
