AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"-1,510,158","-2,059,231","-1,850,261","-1,847,907","-2,119,279",,,,,,
05120,CALIFORNIA               ,IMPERIAL,"-2,074,468","-2,367,157","-3,539,765","-3,729,605","-3,804,959",,,,,,
05130,CALIFORNIA               ,INYO,"-44,805","-108,714","-84,887","-92,681","-49,639",,,,,,
05140,CALIFORNIA               ,KERN,"-1,900,824","-2,900,910","-2,230,757",656,"630,568",,,,,,
05150,CALIFORNIA               ,KINGS,"-1,146,180","-1,147,632","-1,539,309","-1,772,694","-1,832,460",,,,,,
05160,CALIFORNIA               ,LAKE,"-811,255","-996,116","-1,919,129","-2,073,823","-1,881,218",,,,,,
05170,CALIFORNIA               ,LASSEN,"15,436","-50,071","-85,347","-136,384","-130,299",,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"-97,807,172","-103,161,317","-94,563,672","-92,136,753","-82,245,517",,,,,,
05300,CALIFORNIA               ,MADERA,"-1,239,197","-1,222,573","-1,506,355","-1,709,500","-1,559,369",,,,,,
05310,CALIFORNIA               ,MARIN,"-1,706,742","-1,505,853","-1,597,209","-1,598,528","-1,903,497",,,,,,
05320,CALIFORNIA               ,MARIPOSA,"-316,868","-379,580","-285,406","-290,162","-231,288",,,,,,
05330,CALIFORNIA               ,MENDOCINO,"-1,351,636","-1,348,688","-1,694,845","-1,282,078","-1,202,287",,,,,,
05340,CALIFORNIA               ,MERCED,"-2,909,802","-2,950,997","-2,989,756","-2,860,467","-3,169,183",,,,,,
05350,CALIFORNIA               ,MODOC,"-106,233","-86,439","-76,381","-110,812","-119,334",,,,,,
05360,CALIFORNIA               ,MONO,"-31,540","-9,327","-48,570","-39,454","-40,004",,,,,,
05370,CALIFORNIA               ,MONTEREY,"-831,857","-1,203,977","-1,153,754","-1,241,911","-2,350,781",,,,,,
05380,CALIFORNIA               ,NAPA,"-1,341,848","-1,454,444","-1,980,348","-1,689,605","-1,656,749",,,,,,
05390,CALIFORNIA               ,NEVADA,"-277,758","-328,283","-574,373","-1,127,915","-1,209,790",,,,,,
05400,CALIFORNIA               ,ORANGE,"-15,462,266","-15,318,766","-10,730,196","-9,660,742","-11,758,690",,,,,,
05410,CALIFORNIA               ,PLACER,"-585,624","-587,058","-665,365","-1,313,743","-2,021,176",,,,,,
05420,CALIFORNIA               ,PLUMAS,"2,591","-92,661","-105,124","-154,286","-208,426",,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"-2,403,256","-1,485,852","-1,034,725","-1,319,725","-606,587",,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"-5,179,596","-5,852,449","-5,873,309","-7,243,042","-8,529,460",,,,,,
05450,CALIFORNIA               ,SAN BENITO,"-435,031","-404,162","-527,505","-579,791","-594,777",,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"-2,668,140","-2,010,922","584,823","1,457,036","2,911,812",,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"-11,359,083","-11,439,942","-9,184,494","-11,429,064","-11,705,510",,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"-6,503,018","-7,789,056","-6,842,299","-6,191,631","-6,889,824",,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"-3,509,978","-4,160,240","-4,909,661","-3,600,028","-3,376,583",,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"-899,790","-498,945","-858,650","-628,057","-1,190,265",,,,,,
05510,CALIFORNIA               ,SAN MATEO,"-2,188,821","-2,686,178","-2,948,465","-2,362,258","-2,719,291",,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"-2,367,908","-2,506,566","-2,746,307","-2,242,029","-2,902,058",,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"-9,735,956","-10,471,763","-13,826,246","-13,343,474","-15,298,516",,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"-3,461,040","-3,525,999","-3,348,914","-3,772,208","-4,727,447",,,,,,
05550,CALIFORNIA               ,SHASTA,"-1,778,538","-1,730,849","-2,448,325","-4,139,984","-4,977,066",,,,,,
05560,CALIFORNIA               ,SIERRA,"11,896","-5,645","-19,318","-15,020","-24,868",,,,,,
05570,CALIFORNIA               ,SISKIYOU,"-237,046","-242,854","-311,357","-350,921","-465,642",,,,,,
05580,CALIFORNIA               ,SOLANO,"-3,279,904","-3,587,935","-3,597,174","-4,546,410","-4,695,912",,,,,,
05590,CALIFORNIA               ,SONOMA,"-3,483,852","-3,815,107","-4,557,923","-4,005,191","-3,745,083",,,,,,
05600,CALIFORNIA               ,STANISLAUS,"-2,864,730","-2,553,937","-2,201,158","-1,664,948","-2,857,997",,,,,,
05610,CALIFORNIA               ,SUTTER,"-3,012,676","-3,140,054","-3,180,887","-2,624,446","-2,289,986",,,,,,
05620,CALIFORNIA               ,TEHAMA,"-478,097","-580,163","-657,608","-789,613","-888,989",,,,,,
