AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"-5,871,432","-4,770,231","-4,995,976","-2,429,439","-2,191,357",
05440,CALIFORNIA               ,SACRAMENTO,"-3,779,229","-3,009,735","-3,159,102","-3,472,624","-3,394,734",
05450,CALIFORNIA               ,SAN BENITO,"-249,430","-198,892","-188,291","-225,601","-221,135",
05460,CALIFORNIA               ,SAN BERNARDINO,"-5,117,679","-4,099,262","-4,398,723","-2,131,307","-1,846,981",
05470,CALIFORNIA               ,SAN DIEGO,"-10,624,015","-8,673,666","-8,963,193","-9,210,288","-8,723,837",
05480,CALIFORNIA               ,SAN FRANCISCO,"-2,704,226","-2,115,725","-2,061,206","-2,069,375","-1,821,695",
05490,CALIFORNIA               ,SAN JOAQUIN,"-2,860,315","-2,191,561","-2,336,090","-2,662,380","-2,473,103",
05500,CALIFORNIA               ,SAN LUIS OBISPO,0,0,0,0,0,
05510,CALIFORNIA               ,SAN MATEO,"-1,942,766","-1,584,212","-1,577,826","-1,617,602","-1,560,349",
05520,CALIFORNIA               ,SANTA BARBARA,0,0,0,0,0,
05530,CALIFORNIA               ,SANTA CLARA,"-4,933,919","-3,876,386","-4,132,381","-4,374,562","-4,271,025",
05540,CALIFORNIA               ,SANTA CRUZ,0,0,0,0,0,
05550,CALIFORNIA               ,SHASTA,0,0,0,0,0,
05560,CALIFORNIA               ,SIERRA,0,0,0,0,0,
05570,CALIFORNIA               ,SISKIYOU,0,0,0,0,0,
05580,CALIFORNIA               ,SOLANO,"-1,042","-1,016","-2,954","-4,909","-4,841",
05590,CALIFORNIA               ,SONOMA,"-115,449","-89,924","-96,456","-99,469","-102,137",
05600,CALIFORNIA               ,STANISLAUS,0,0,0,0,0,
05610,CALIFORNIA               ,SUTTER,"-2,302",-710,-246,-619,-959,
05620,CALIFORNIA               ,TEHAMA,0,0,0,0,0,
05630,CALIFORNIA               ,TRINITY,0,0,0,0,0,
05640,CALIFORNIA               ,TULARE,"-3,608,571","-2,683,999","-2,913,116","-3,063,896","-2,956,497",
05650,CALIFORNIA               ,TUOLUMNE,0,0,0,0,0,
05660,CALIFORNIA               ,VENTURA,"-4,013,517","-3,186,685","-3,199,433","-3,350,365","-3,209,199",
05670,CALIFORNIA               ,YOLO,"-450,134","-322,443","-311,981","-335,885","-352,114",
05680,CALIFORNIA               ,YUBA,0,0,0,0,0,
06000,COLORADO                 ,ADAMS,"-1,756,572","-1,182,407","-1,207,839","-1,268,479","-1,248,937",
06010,COLORADO                 ,ALAMOSA,0,0,0,0,0,
06020,COLORADO                 ,ARAPAHOE,"-3,098,331","-2,082,093","-2,236,178","-2,344,908","-2,330,493",
06030,COLORADO                 ,ARCHULETA,0,0,0,0,0,
06040,COLORADO                 ,BACA,0,0,0,0,0,
06050,COLORADO                 ,BENT,0,0,0,0,0,
06060,COLORADO                 ,BOULDER,"-3,657","-2,716","-2,458","-3,421","-2,525",
06070,COLORADO                 ,CHAFFEE,0,0,0,0,0,
06080,COLORADO                 ,CHEYENNE,0,0,0,0,0,
06090,COLORADO                 ,CLEAR CREEK,"-14,063","-10,009","-15,182","-17,607","-18,504",
06100,COLORADO                 ,CONEJOS,0,0,0,0,0,
06110,COLORADO                 ,COSTILLA,0,0,0,0,0,
06120,COLORADO                 ,CROWLEY,0,0,0,0,0,
06130,COLORADO                 ,CUSTER,0,0,0,0,0,
06140,COLORADO                 ,DELTA,0,0,0,0,0,
06150,COLORADO                 ,DENVER,"-3,258,049","-2,039,605","-2,031,434","-2,012,049","-1,973,852",
06160,COLORADO                 ,DOLORES,0,0,0,0,0,
06170,COLORADO                 ,DOUGLAS,"-1,001,274","-755,950","-848,349","-872,680","-938,765",
06180,COLORADO                 ,EAGLE,0,0,0,0,0,
06190,COLORADO                 ,ELBERT,"-25,929","-17,966","-18,816","-25,837","-37,334",
06200,COLORADO                 ,EL PASO,"-6,261,667","-4,117,567","-4,217,859","-4,505,880","-4,472,359",
06210,COLORADO                 ,FREMONT,"-1,823","-1,133",-890,-190,0,
06220,COLORADO                 ,GARFIELD,0,0,0,0,0,
06230,COLORADO                 ,GILPIN,"-25,042","-28,910","-32,968","-30,252","-32,556",
06240,COLORADO                 ,GRAND,0,0,0,0,0,
06250,COLORADO                 ,GUNNISON,0,0,0,0,0,
06260,COLORADO                 ,HINSDALE,0,0,0,0,0,
06270,COLORADO                 ,HUERFANO,0,0,0,0,0,
06280,COLORADO                 ,JACKSON,0,0,0,0,0,
06290,COLORADO                 ,JEFFERSON,"-3,181,780","-2,225,124","-2,359,756","-2,316,996","-2,281,758",
06300,COLORADO                 ,KIOWA,0,0,0,0,0,
06310,COLORADO                 ,KIT CARSON,0,0,0,0,0,
06320,COLORADO                 ,LAKE,0,0,0,0,0,
06330,COLORADO                 ,LA PLATA,0,0,0,0,0,
06340,COLORADO                 ,LARIMER,0,0,0,0,0,
06350,COLORADO                 ,LAS ANIMAS,0,0,0,0,0,
06360,COLORADO                 ,LINCOLN,"-5,160","-3,973","-4,811","-4,012","-3,110",
06370,COLORADO                 ,LOGAN,0,0,0,0,0,
06380,COLORADO                 ,MESA,0,0,0,0,0,
06390,COLORADO                 ,MINERAL,0,0,0,0,0,
06400,COLORADO                 ,MOFFAT,0,0,0,0,0,
06410,COLORADO                 ,MONTEZUMA,0,0,0,0,0,
06420,COLORADO                 ,MONTROSE,0,0,0,0,0,
06430,COLORADO                 ,MORGAN,0,0,0,0,0,
06440,COLORADO                 ,OTERO,0,0,0,0,0,
06450,COLORADO                 ,OURAY,0,0,0,0,0,
06460,COLORADO                 ,PARK,"-15,020","-9,157","-8,266","-11,129","-8,417",
06470,COLORADO                 ,PHILLIPS,0,0,0,0,0,
06480,COLORADO                 ,PITKIN,0,0,0,0,0,
06490,COLORADO                 ,PROWERS,0,0,0,0,0,
06500,COLORADO                 ,PUEBLO,0,0,0,-590,-817,
06510,COLORADO                 ,RIO BLANCO,0,0,0,0,0,
06520,COLORADO                 ,RIO GRANDE,0,0,0,0,0,
06530,COLORADO                 ,ROUTT,0,0,0,0,0,
06540,COLORADO                 ,SAGUACHE,0,0,0,0,0,
06550,COLORADO                 ,SAN JUAN,0,0,0,0,0,
06560,COLORADO                 ,SAN MIGUEL,0,0,0,0,0,
06570,COLORADO                 ,SEDGWICK,0,0,0,0,0,
06580,COLORADO                 ,SUMMIT,0,0,0,0,0,
06590,COLORADO                 ,TELLER,"-328,665","-211,109","-209,853","-215,813","-210,551",
06600,COLORADO                 ,WASHINGTON,0,0,0,0,0,
06610,COLORADO                 ,WELD,0,0,0,0,0,
06620,COLORADO                 ,YUMA,0,0,0,0,0,
06630,COLORADO                 ,BROOMFIELD,"-235,458","-171,417","-170,290","-175,841","-189,940",
07000,CONNECTICUT              ,FAIRFIELD,"-4,084,754","-3,285,264","-3,443,564","-3,440,915","-3,498,188",
07010,CONNECTICUT              ,HARTFORD,"-4,475,251","-3,476,871","-3,587,018","-3,667,227","-3,824,973",
07020,CONNECTICUT              ,LITCHFIELD,-72,-464,-130,-207,-138,
07030,CONNECTICUT              ,MIDDLESEX,"-836,511","-642,586","-647,507","-662,655","-692,442",
07040,CONNECTICUT              ,NEW HAVEN,"-4,523,603","-3,504,926","-3,452,476","-3,569,946","-3,710,674",
07050,CONNECTICUT              ,NEW LONDON,0,0,0,0,0,
07060,CONNECTICUT              ,TOLLAND,"-714,278","-524,639","-520,584","-519,251","-561,421",
07070,CONNECTICUT              ,WINDHAM,"-5,310","-3,876","-2,958","-3,483","-2,709",
08000,DELAWARE                 ,KENT,0,0,0,0,0,
08010,DELAWARE                 ,NEW CASTLE,"-3,499,071","-2,756,679","-2,869,903","-2,961,911","-3,011,086",
08020,DELAWARE                 ,SUSSEX,0,0,0,0,0,
09000,DISTRICT OF COLUMBIA     ,DISTRICT OF COLUMBIA,"-2,428,296","-2,026,176","-2,111,948","-2,240,518","-2,298,190",
10000,FLORIDA                  ,ALACHUA,0,0,0,0,0,
10010,FLORIDA                  ,BAKER,"-280,045","-209,718","-223,845","-217,467","-210,672",
10020,FLORIDA                  ,BAY,0,0,0,0,0,
10030,FLORIDA                  ,BRADFORD,"-12,675","-6,932","-5,112","-13,890","-11,874",
10040,FLORIDA                  ,BREVARD,"-4,714,182","-3,850,584","-4,017,147","-3,986,529","-3,995,003",
10050,FLORIDA                  ,BROWARD,"-4,891,622","-3,516,804","-3,275,910","-1,107,799","-1,011,175",
10060,FLORIDA                  ,CALHOUN,0,0,0,0,0,
10070,FLORIDA                  ,CHARLOTTE,"-30,196","-22,553","-23,014","-31,595","-37,236",
10080,FLORIDA                  ,CITRUS,-207,-511,-830,0,0,
10090,FLORIDA                  ,CLAY,"-1,718,621","-1,408,552","-1,371,494","-1,352,345","-1,293,342",
10100,FLORIDA                  ,COLLIER,"-22,491","-12,436","-10,945","-22,001","-22,823",
10110,FLORIDA                  ,COLUMBIA,0,0,0,0,0,
10120,FLORIDA                  ,MIAMI-DADE,"-11,285,738","-7,770,088","-6,794,411","-1,854,658","-1,628,040",
10130,FLORIDA                  ,DESOTO,0,0,0,0,0,
10140,FLORIDA                  ,DIXIE,0,0,0,0,0,
10150,FLORIDA                  ,DUVAL,"-6,928,056","-5,516,682","-5,453,350","-5,435,909","-5,249,576",
10160,FLORIDA                  ,ESCAMBIA,0,0,0,0,0,
10170,FLORIDA                  ,FLAGLER,"-12,126","-13,801","-12,121","-16,364","-15,313",
10180,FLORIDA                  ,FRANKLIN,0,0,0,0,0,
10190,FLORIDA                  ,GADSDEN,0,0,0,0,0,
10200,FLORIDA                  ,GILCHRIST,0,0,0,0,0,
10210,FLORIDA                  ,GLADES,0,0,0,0,0,
10220,FLORIDA                  ,GULF,0,0,0,0,0,
10230,FLORIDA                  ,HAMILTON,0,0,0,0,0,
10240,FLORIDA                  ,HARDEE,0,0,0,0,0,
10250,FLORIDA                  ,HENDRY,0,0,0,0,0,
10260,FLORIDA                  ,HERNANDO,"-1,903,377","-1,571,265","-1,523,983","-1,496,650","-1,426,395",
10270,FLORIDA                  ,HIGHLANDS,0,0,0,0,0,
10280,FLORIDA                  ,HILLSBOROUGH,"-5,757,524","-4,793,300","-4,757,969","-5,029,829","-4,928,720",
10290,FLORIDA                  ,HOLMES,0,0,0,0,0,
10300,FLORIDA                  ,INDIAN RIVER,0,0,0,0,0,
10310,FLORIDA                  ,JACKSON,0,0,0,0,0,
10320,FLORIDA                  ,JEFFERSON,0,0,0,0,0,
10330,FLORIDA                  ,LAFAYETTE,0,0,0,0,0,
10340,FLORIDA                  ,LAKE,"-3,946,601","-2,787,343","-2,667,545","-776,855","-730,060",
10350,FLORIDA                  ,LEE,"-5,279,699","-4,589,603","-4,643,462","-4,766,018","-4,760,111",
10360,FLORIDA                  ,LEON,0,0,0,0,0,
10370,FLORIDA                  ,LEVY,"-6,709","-5,233","-4,204","-5,221","-6,368",
10380,FLORIDA                  ,LIBERTY,0,0,0,0,0,
10390,FLORIDA                  ,MADISON,0,0,0,0,0,
10400,FLORIDA                  ,MANATEE,"-2,983,000","-2,421,587","-2,332,727","-2,330,294","-2,385,177",
10410,FLORIDA                  ,MARION,"-4,763,098","-3,686,527","-3,597,646","-3,729,907","-3,536,344",
10420,FLORIDA                  ,MARTIN,"-37,866","-28,421","-36,231","-30,467","-30,473",
10430,FLORIDA                  ,MONROE,0,0,0,0,0,
10440,FLORIDA                  ,NASSAU,"-737,338","-585,682","-597,836","-606,858","-613,169",
10450,FLORIDA                  ,OKALOOSA,0,0,0,0,0,
10460,FLORIDA                  ,OKEECHOBEE,0,0,0,0,0,
