"ESRD -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,,,,,,,
04360,ARKANSAS                 ,LAFAYETTE              ,16,"242,552","1,263.29",197389,"1,028.07","6,792","35,499","2,872",14,"418,069","2,488.51",,,,,,,
04370,ARKANSAS                 ,LAWRENCE               ,20,"312,514","1,302.14",262617,"1,094.24","12,737","34,868","2,292",19,"682,872","2,995.05",,,,,,,
04380,ARKANSAS                 ,LEE                    ,19,"166,787",731.52,122351,536.63,"11,135","32,961",340,19,"763,682","3,349.48",,,,,,,
04390,ARKANSAS                 ,LINCOLN                ,14,"477,327","2,841.23",386748,"2,302.07","22,768","55,673","12,138",14,"649,310","3,864.94",,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER           ,20,"378,196","1,575.82",335694,"1,398.73","5,376","35,380","1,746",18,"404,549","1,872.91",,,,,,,
04410,ARKANSAS                 ,LOGAN                  ,20,"634,671","2,644.46",585912,"2,441.30","8,013","38,735","2,011",20,"675,633","2,815.14",,,,,,,
04420,ARKANSAS                 ,LONOKE                 ,71,"1,397,243","1,639.96",1225002.12,"1,437.80","29,545","129,718","12,978",65,"2,351,564","3,014.83",,,,,,,
04430,ARKANSAS                 ,MADISON                ,24,"499,987","1,736.07",439255,"1,525.19","19,049","35,280","6,403",23,"648,666","2,350.24",,,,,,,
04440,ARKANSAS                 ,MARION                 ,15,"420,951","2,338.62",391005,"2,172.25","4,976","22,807","2,163",14,"441,551","2,628.28",,,,,,,
04450,ARKANSAS                 ,MILLER                 ,71,"1,564,231","1,835.95",1353316,"1,588.40","38,372","158,882","13,661",68,"1,960,896","2,403.06",,,,,,,
04460,ARKANSAS                 ,MISSISSIPPI            ,96,"1,961,642","1,702.81",1623824,"1,409.57","68,630","252,642","16,546",94,"3,655,311","3,240.52",,,,,,,
04470,ARKANSAS                 ,MONROE                 ,17,"260,788","1,278.37",226328,"1,109.45","6,373","25,690","2,397",17,"734,456","3,600.27",,,,,,,
04480,ARKANSAS                 ,MONTGOMERY             ,7,"181,641","2,162.39",169839,"2,021.89",0,"11,802",0,7,"210,740","2,508.81",,,,,,,
04490,ARKANSAS                 ,NEVADA                 ,17,"411,673","2,018.00",363515,"1,781.94","7,581","38,043","2,534",17,"472,975","2,318.50",,,,,,,
