DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011,,,,,
04210,ARKANSAS                 ,DREW,"-10,433","-5,074","-6,855","-1,542",-966,,,,,
04220,ARKANSAS                 ,FAULKNER,"-79,803","-26,761","-22,137","-9,441","-11,459",,,,,
04230,ARKANSAS                 ,FRANKLIN,"-3,188","-3,437",594,61,"3,913",,,,,
04240,ARKANSAS                 ,FULTON,"-4,418","-2,112","-1,846",-133,"1,473",,,,,
04250,ARKANSAS                 ,GARLAND,"-35,688","-47,014","-54,398","-39,790","-66,303",,,,,
04260,ARKANSAS                 ,GRANT,"-12,610","-5,632","-4,490","-2,853","-3,016",,,,,
04270,ARKANSAS                 ,GREENE,"-24,646","-21,936","-24,912","-14,334","-16,637",,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-8,188","-5,339","-6,286","-5,032",525,,,,,
04290,ARKANSAS                 ,HOT SPRING,"-22,900","-8,986","-10,553","-9,866","-15,461",,,,,
04300,ARKANSAS                 ,HOWARD,"-4,595","-1,975","-1,867","-1,260",-152,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-64,741","-36,137","-30,265","-5,262","-8,280",,,,,
04320,ARKANSAS                 ,IZARD,"-9,389","-5,949","-6,909","-1,672",58,,,,,
04330,ARKANSAS                 ,JACKSON,"-22,869","-15,427","-10,732",519,"1,778",,,,,
04340,ARKANSAS                 ,JEFFERSON,"-53,230","-24,706","-21,541","-4,447","-9,291",,,,,
04350,ARKANSAS                 ,JOHNSON,"-7,671","-3,497","-3,749","-1,097",642,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-2,457","-1,772",-948,-690,805,,,,,
04370,ARKANSAS                 ,LAWRENCE,"-12,361","-12,609","-10,516","-4,903","-5,357",,,,,
04380,ARKANSAS                 ,LEE,"-4,224","-4,596","-4,612","-2,540","-1,339",,,,,
04390,ARKANSAS                 ,LINCOLN,"-8,759","-3,552","-3,363",-501,"-1,377",,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-1,515","-1,462",-862,95,"1,568",,,,,
04410,ARKANSAS                 ,LOGAN,"-3,813","-3,262","-1,423",-986,"4,584",,,,,
04420,ARKANSAS                 ,LONOKE,"-58,077","-26,416","-17,683","-8,347","-8,452",,,,,
04430,ARKANSAS                 ,MADISON,"2,660","3,233","5,019","7,323","13,864",,,,,
04440,ARKANSAS                 ,MARION,734,"-1,933","-1,027","2,200","2,384",,,,,
04450,ARKANSAS                 ,MILLER,"-6,414","-4,177","-1,514","1,378","6,718",,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-41,129","-41,127","-36,002","-20,213","-13,151",,,,,
04470,ARKANSAS                 ,MONROE,"-6,178","-4,008","-4,105","-1,791",-723,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-1,798","-2,931","-4,461","-3,775","-5,642",,,,,
04490,ARKANSAS                 ,NEVADA,"-5,613","-3,458","-4,028","-2,014",184,,,,,
04500,ARKANSAS                 ,NEWTON,145,"1,663","2,147","8,188","6,766",,,,,
04510,ARKANSAS                 ,OUACHITA,"-17,228","-4,032","-5,002","-3,111","-3,970",,,,,
04520,ARKANSAS                 ,PERRY,"-10,718","-3,372","-2,159","-1,728","-1,767",,,,,
04530,ARKANSAS                 ,PHILLIPS,"-1,048","-9,351","-7,001","-3,668","-5,903",,,,,
04540,ARKANSAS                 ,PIKE,"-3,236","-3,151","-3,376","-2,630","-4,001",,,,,
04550,ARKANSAS                 ,POINSETT,"-18,504","-18,427","-14,285","-9,833","-9,426",,,,,
04560,ARKANSAS                 ,POLK,"-4,878","-4,696","-5,258","-3,369","-2,550",,,,,
04570,ARKANSAS                 ,POPE,"-46,162","-19,203","-16,111","-4,590","-4,312",,,,,
04580,ARKANSAS                 ,PRAIRIE,"-9,359","-3,640","-4,025","-1,368","-1,061",,,,,
04590,ARKANSAS                 ,PULASKI,"-383,603","-144,739","-88,126","-40,969","-48,813",,,,,
04600,ARKANSAS                 ,RANDOLPH,"-15,201","-7,632","-7,379","-4,059","-2,808",,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-15,472","-16,100","-17,636","-10,125","-3,989",,,,,
04620,ARKANSAS                 ,SALINE,"-77,727","-27,122","-17,849","-7,080","-8,045",,,,,
04630,ARKANSAS                 ,SCOTT,"-1,146","-2,835",-170,-495,"1,796",,,,,
04640,ARKANSAS                 ,SEARCY,"-2,109",-194,1,"2,437","2,158",,,,,
04650,ARKANSAS                 ,SEBASTIAN,"-14,015","-39,379","7,273",-820,"51,948",,,,,
04660,ARKANSAS                 ,SEVIER,"-1,176","-1,134",-435,-340,582,,,,,
04670,ARKANSAS                 ,SHARP,"-33,897","-17,716","-13,599","-2,689","-3,453",,,,,
04680,ARKANSAS                 ,STONE,"-10,603","-7,170","-6,539","-1,120","-2,256",,,,,
04690,ARKANSAS                 ,UNION,"-47,878",75,"-2,117","-6,968","-19,518",,,,,
04700,ARKANSAS                 ,VAN BUREN,"-13,609","-3,845","-2,902","-2,209","-1,351",,,,,
04710,ARKANSAS                 ,WASHINGTON,"22,600","29,920","29,714","60,855","89,735",,,,,
04720,ARKANSAS                 ,WHITE,"-69,800","-31,532","-32,047","-6,876","-9,500",,,,,
04730,ARKANSAS                 ,WOODRUFF,"-8,028","-5,101","-5,874","-1,067",-657,,,,,
04740,ARKANSAS                 ,YELL,"-20,963","-7,916","-6,336","-1,763","-2,584",,,,,
05000,CALIFORNIA               ,ALAMEDA,"584,559","551,131","547,720","302,571","337,584",,,,,
05010,CALIFORNIA               ,ALPINE,193,33,158,77,12,,,,,
05020,CALIFORNIA               ,AMADOR,"29,139","22,112","33,154","18,115","23,993",,,,,
05030,CALIFORNIA               ,BUTTE,"266,777","119,698","122,141","114,010","241,921",,,,,
05040,CALIFORNIA               ,CALAVERAS,"40,833","29,712","29,617","17,517","26,415",,,,,
05050,CALIFORNIA               ,COLUSA,"15,683","7,334","8,645","7,455","11,362",,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"234,301","236,813","211,053","109,893","167,771",,,,,
05070,CALIFORNIA               ,DEL NORTE,"34,812","15,201","12,897","14,458","27,105",,,,,
05080,CALIFORNIA               ,EL DORADO,"100,062","84,961","106,445","55,836","89,731",,,,,
05090,CALIFORNIA               ,FRESNO,"334,436","157,774","169,254","172,724","285,078",,,,,
05100,CALIFORNIA               ,GLENN,"20,541","7,569","11,501","10,404","18,360",,,,,
05110,CALIFORNIA               ,HUMBOLDT,"146,213","76,919","63,868","19,020","35,520",,,,,
05120,CALIFORNIA               ,IMPERIAL,"93,917","46,238","51,582","59,992","91,834",,,,,
05130,CALIFORNIA               ,INYO,"5,733","3,844","3,765","2,741","5,102",,,,,
05140,CALIFORNIA               ,KERN,"368,941","165,251","166,997","187,790","222,795",,,,,
05150,CALIFORNIA               ,KINGS,"112,552","52,719","55,289","52,502","84,958",,,,,
05160,CALIFORNIA               ,LAKE,"126,338","60,973","64,010","45,322","83,691",,,,,
05170,CALIFORNIA               ,LASSEN,"4,755","3,481","9,554","2,884","5,298",,,,,
05200,CALIFORNIA               ,LOS ANGELES,"1,868,026","1,218,648","1,060,611","1,170,143","965,359",,,,,
05300,CALIFORNIA               ,MADERA,"71,868","34,405","35,543","30,073","52,811",,,,,
05310,CALIFORNIA               ,MARIN,"75,184","81,214","66,757","33,099","53,159",,,,,
05320,CALIFORNIA               ,MARIPOSA,"25,155","7,896","10,382","6,314","11,715",,,,,
05330,CALIFORNIA               ,MENDOCINO,"45,090","-22,715","-61,749","-33,574","64,411",,,,,
05340,CALIFORNIA               ,MERCED,"124,679","83,879","90,171","91,318","103,412",,,,,
05350,CALIFORNIA               ,MODOC,"10,274","4,934","1,374","1,024","1,196",,,,,
