"AGED -- PUERTO RICO 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
40630,PUERTO RICO,SAN GERMAN,"1,806","1,771,719",81.72,"1,588,443",73.27,"59,848","65,146","58,280",719,"1,771,174",205.19,0.961
40640,PUERTO RICO,SAN JUAN,"30,186","27,535,208",76.01,"25,453,417",70.27,"540,858","1,142,199","398,733","17,350","50,921,342",244.57,0.994
40650,PUERTO RICO,SAN LORENZO,"1,334","1,117,525",69.77,"996,208",62.20,"7,166","108,487","5,663",445,"985,165",184.45,0.966
40660,PUERTO RICO,SAN SEBASTIAN,"2,098","1,353,038",53.73,"1,211,993",48.13,"35,477","50,543","55,024",688,"1,891,393",229.07,1.002
40670,PUERTO RICO,SANTA ISABEL,813,"543,310",55.64,"445,002",45.57,"22,793","37,984","37,530",228,"456,599",166.28,0.931
40680,PUERTO RICO,TOA ALTA,"1,467","1,016,295",57.73,"939,760",53.38,"10,132","55,668","10,734",565,"1,401,223",206.55,0.918
40690,PUERTO RICO,TOA BAJA,"1,182","864,392",60.91,"797,029",56.16,"10,595","43,347","13,420",449,"1,033,672",191.81,0.932
40700,PUERTO RICO,TRUJILLO ALTO,"2,121","1,816,342",71.35,"1,667,454",65.50,"25,307","75,817","47,763","1,127","3,097,984",228.90,0.925
40710,PUERTO RICO,UTUADO,"1,213","726,238",49.88,"665,974",45.74,"9,094","44,438","6,731",205,"458,741",186.41,0.915
40720,PUERTO RICO,VEGA ALTA,"1,201","769,530",53.35,"717,564",49.75,"9,375","32,782","9,807",432,"944,311",182.02,0.921
