AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011
04670,ARKANSAS                 ,SHARP,"-82,925","-47,141","-39,619","-9,817","-8,829"
04680,ARKANSAS                 ,STONE,"-28,107","-15,281","-15,211","-4,268","-3,309"
04690,ARKANSAS                 ,UNION,"-168,861","-3,863","-4,131","-19,698","-58,504"
04700,ARKANSAS                 ,VAN BUREN,"-50,040","-17,070","-11,923","-6,696","-6,032"
04710,ARKANSAS                 ,WASHINGTON,"57,370","83,270","97,033","169,903","255,139"
04720,ARKANSAS                 ,WHITE,"-188,096","-87,318","-84,197","-17,905","-26,904"
04730,ARKANSAS                 ,WOODRUFF,"-25,292","-11,900","-11,454","-1,785","-1,762"
04740,ARKANSAS                 ,YELL,"-37,779","-20,468","-20,754","-4,802","-5,550"
05000,CALIFORNIA               ,ALAMEDA,"1,661,085","1,712,638","1,595,622","936,493","991,594"
05010,CALIFORNIA               ,ALPINE,"-1,367",-30,695,295,188
05020,CALIFORNIA               ,AMADOR,"201,390","153,325","199,174","109,657","153,939"
05030,CALIFORNIA               ,BUTTE,"874,744","396,689","368,450","357,129","752,110"
05040,CALIFORNIA               ,CALAVERAS,"259,366","178,992","187,800","137,596","170,747"
05050,CALIFORNIA               ,COLUSA,"61,197","30,451","37,094","20,222","62,161"
05060,CALIFORNIA               ,CONTRA COSTA,"908,318","989,787","827,188","443,215","651,666"
05070,CALIFORNIA               ,DEL NORTE,"93,414","42,789","29,641","39,157","75,106"
05080,CALIFORNIA               ,EL DORADO,"540,090","475,955","600,827","335,078","484,674"
05090,CALIFORNIA               ,FRESNO,"1,462,853","634,147","635,169","647,500","1,143,884"
05100,CALIFORNIA               ,GLENN,"90,323","43,266","38,962","33,347","67,687"
05110,CALIFORNIA               ,HUMBOLDT,"515,223","275,834","225,386","50,629","-5,745"
05120,CALIFORNIA               ,IMPERIAL,"441,836","204,203","225,179","221,257","388,364"
05130,CALIFORNIA               ,INYO,"26,763","14,187","18,073","17,977","26,117"
05140,CALIFORNIA               ,KERN,"750,969","359,052","360,980","429,867","512,466"
05150,CALIFORNIA               ,KINGS,"313,025","143,146","140,232","141,915","208,388"
05160,CALIFORNIA               ,LAKE,"373,139","229,222","218,704","145,764","185,907"
05170,CALIFORNIA               ,LASSEN,-727,"2,742","7,466","9,166","13,896"
05200,CALIFORNIA               ,LOS ANGELES,"7,193,289","5,253,691","4,168,089","5,005,396","3,917,655"
05300,CALIFORNIA               ,MADERA,"309,639","141,042","141,710","124,853","215,992"
05310,CALIFORNIA               ,MARIN,"466,260","538,874","430,665","212,942","376,141"
