"IPPS and OPPS Wage Indices by Fiscal Year -- Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,,
County code,State,County name,CBSA 2013,IPPS Wage 2007 A,IPPS Wage 2007 B,IPPS Wage 2008,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2013,
4200,AR,DESHA,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4210,AR,DREW,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4220,AR,FAULKNER,30780, 0.9704 , 0.9704 , 0.8961 , 0.8766 , 0.8683 , 0.8683 , 0.8650 , 0.8566 ,
4230,AR,FRANKLIN,22900, 0.7850 , 0.7850 , -   , 0.7814 , 0.7994 , 0.7994 , 0.7713 , 0.7923 ,
4240,AR,FULTON,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4250,AR,GARLAND,26300, 0.8829 , 0.8829 , 0.9106 , 0.9112 , 0.9115 , 0.9115 , 0.9249 , 0.8850 ,
4260,AR,GRANT,30780, 0.9704 , 0.9704 , 0.8961 , 0.8766 , 0.8683 , 0.8683 , 0.8650 , 0.8566 ,
4270,AR,GREENE,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4280,AR,HEMPSTEAD,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4290,AR,HOT SPRING,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4300,AR,HOWARD,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4310,AR,INDEPENDENCE,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4320,AR,IZARD,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4330,AR,JACKSON,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4340,AR,JEFFERSON,38220, 0.8717 , 0.8717 , 0.8152 , 0.8243 , 0.7767 , 0.7767 , 0.8269 , 0.8009 ,
