DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"186,950","221,362","126,735","86,587","148,660",,,,,
05070,CALIFORNIA               ,DEL NORTE,"18,238","5,325","1,473","1,285","3,911",,,,,
05080,CALIFORNIA               ,EL DORADO,"33,015","35,986","34,654","30,731","29,362",,,,,
05090,CALIFORNIA               ,FRESNO,"103,579","132,723","142,739","96,384","77,366",,,,,
05100,CALIFORNIA               ,GLENN,"3,250","3,619","1,006","3,566","2,870",,,,,
05110,CALIFORNIA               ,HUMBOLDT,"66,074","39,350","28,700","32,685","35,641",,,,,
05120,CALIFORNIA               ,IMPERIAL,"11,901","7,771","10,056","-1,703","-18,264",,,,,
05130,CALIFORNIA               ,INYO,"4,147","2,275","2,300","3,231","1,487",,,,,
05140,CALIFORNIA               ,KERN,"131,116","85,454","82,280","66,341","-21,086",,,,,
05150,CALIFORNIA               ,KINGS,"8,443","8,474","7,402","2,555","-4,893",,,,,
05160,CALIFORNIA               ,LAKE,"15,733","17,888","22,562","15,379","17,897",,,,,
05170,CALIFORNIA               ,LASSEN,"2,915",866,"1,914","6,622","1,466",,,,,
05200,CALIFORNIA               ,LOS ANGELES,"1,953,307","1,582,452","608,829","1,262,783","825,743",,,,,
05300,CALIFORNIA               ,MADERA,"15,988","12,905","15,427","7,797","13,277",,,,,
05310,CALIFORNIA               ,MARIN,"49,103","68,922","54,133","39,307","54,926",,,,,
05320,CALIFORNIA               ,MARIPOSA,"6,226","7,926","1,111","2,624","1,180",,,,,
05330,CALIFORNIA               ,MENDOCINO,"48,314","20,094","28,349","24,080","23,453",,,,,
05340,CALIFORNIA               ,MERCED,"68,562","62,062","54,528","60,595","52,408",,,,,
05350,CALIFORNIA               ,MODOC,453,"3,391","3,828","1,191",212,,,,,
05360,CALIFORNIA               ,MONO,837,-20,583,"1,276",532,,,,,
05370,CALIFORNIA               ,MONTEREY,"139,366","123,119","134,716","111,013","60,227",,,,,
05380,CALIFORNIA               ,NAPA,"64,108","75,772","46,315","45,278","42,544",,,,,
05390,CALIFORNIA               ,NEVADA,"37,144","17,070","20,186","29,893","22,526",,,,,
05400,CALIFORNIA               ,ORANGE,"363,489","203,904","54,841","52,750","-53,847",,,,,
05410,CALIFORNIA               ,PLACER,"76,998","53,047","63,098","53,345","56,752",,,,,
05420,CALIFORNIA               ,PLUMAS,"1,786","3,738","3,586","3,159","2,161",,,,,
05430,CALIFORNIA               ,RIVERSIDE,"254,767","143,375","1,298","30,355","-94,474",,,,,
05440,CALIFORNIA               ,SACRAMENTO,"481,091","515,421","445,503","306,695","404,546",,,,,
05450,CALIFORNIA               ,SAN BENITO,"19,681","18,805","18,154","11,405","4,528",,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"263,968","156,536","2,545","46,933","-75,298",,,,,
05470,CALIFORNIA               ,SAN DIEGO,"582,161","544,427","480,371","186,246","-82,576",,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"289,440","240,287","201,212","133,828","155,895",,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"472,086","399,771","364,678","334,734","289,861",,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"56,123","28,165","34,918","29,439","16,258",,,,,
05510,CALIFORNIA               ,SAN MATEO,"85,605","74,797","71,593","57,930","54,408",,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"119,821","78,108","51,237","53,857","65,516",,,,,
05530,CALIFORNIA               ,SANTA CLARA,"554,721","482,948","432,928","384,683","328,838",,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"106,175","66,728","92,883","82,856","133,534",,,,,
05550,CALIFORNIA               ,SHASTA,"72,244","115,415","71,347","47,435","7,199",,,,,
05560,CALIFORNIA               ,SIERRA,0,26,436,"1,619",150,,,,,
05570,CALIFORNIA               ,SISKIYOU,"8,734","8,003","4,544","6,320","2,471",,,,,
05580,CALIFORNIA               ,SOLANO,"91,299","89,878","104,967","91,326","94,688",,,,,
05590,CALIFORNIA               ,SONOMA,"182,851","183,749","104,632","87,080","64,831",,,,,
05600,CALIFORNIA               ,STANISLAUS,"139,451","141,614","99,505","83,662","111,998",,,,,
05610,CALIFORNIA               ,SUTTER,"27,324","23,502","27,856","18,254","22,022",,,,,
05620,CALIFORNIA               ,TEHAMA,"18,484","16,686","11,335","5,113","6,038",,,,,
05630,CALIFORNIA               ,TRINITY,"12,815","14,822","7,149","12,354","1,761",,,,,
05640,CALIFORNIA               ,TULARE,"43,957","31,048","26,747","10,228","-20,947",,,,,
05650,CALIFORNIA               ,TUOLUMNE,"27,649","19,226","7,076","7,588","10,658",,,,,
05660,CALIFORNIA               ,VENTURA,"175,117","166,490","125,019","130,601","103,525",,,,,
05670,CALIFORNIA               ,YOLO,"53,105","87,486","55,302","50,273","55,170",,,,,
05680,CALIFORNIA               ,YUBA,"32,523","49,144","16,187","12,940","13,966",,,,,
06000,COLORADO                 ,ADAMS,"-39,761","-25,246","-32,769","-27,230","-29,483",,,,,
06010,COLORADO                 ,ALAMOSA,"3,531","1,342",-22,-39,"2,109",,,,,
06020,COLORADO                 ,ARAPAHOE,"-35,944","-28,967","-34,215","-39,076","-38,729",,,,,
06030,COLORADO                 ,ARCHULETA,39,507,-75,-75,135,,,,,
06040,COLORADO                 ,BACA,-40,0,0,-252,-138,,,,,
06050,COLORADO                 ,BENT,-146,"1,433","2,893","1,210","1,559",,,,,
06060,COLORADO                 ,BOULDER,"2,976","4,014","8,730","21,232","39,144",,,,,
06070,COLORADO                 ,CHAFFEE,499,"3,541","1,554",465,421,,,,,
06080,COLORADO                 ,CHEYENNE,0,0,0,-37,0,,,,,
06090,COLORADO                 ,CLEAR CREEK,"-1,015","-1,413","-1,528",-552,-294,,,,,
06100,COLORADO                 ,CONEJOS,-532,564,772,-855,0,,,,,
06110,COLORADO                 ,COSTILLA,-724,189,-426,-233,-137,,,,,
06120,COLORADO                 ,CROWLEY,655,112,"1,220",235,19,,,,,
06130,COLORADO                 ,CUSTER,571,-41,0,196,-17,,,,,
06140,COLORADO                 ,DELTA,"10,130","7,352","5,253","1,818","3,147",,,,,
06150,COLORADO                 ,DENVER,"-85,168","-62,076","-86,516","-61,791","-59,741",,,,,
06160,COLORADO                 ,DOLORES,0,208,608,0,0,,,,,
06170,COLORADO                 ,DOUGLAS,"-5,311","-4,638","-5,937","-3,813","-3,583",,,,,
06180,COLORADO                 ,EAGLE,"-1,372",-18,-796,36,"1,386",,,,,
06190,COLORADO                 ,ELBERT,-336,-417,"-1,393","-1,437",-720,,,,,
06200,COLORADO                 ,EL PASO,"-30,522","-46,143","-71,639","-35,131","-26,876",,,,,
06210,COLORADO                 ,FREMONT,"4,630","8,298","4,045","3,803","1,560",,,,,
06220,COLORADO                 ,GARFIELD,"5,214","6,154","4,018",414,"2,585",,,,,
06230,COLORADO                 ,GILPIN,-693,-352,206,-323,0,,,,,
06240,COLORADO                 ,GRAND,-190,0,0,-727,-450,,,,,
06250,COLORADO                 ,GUNNISON,"1,219",23,961,266,0,,,,,
06260,COLORADO                 ,HINSDALE,214,0,0,0,0,,,,,
06270,COLORADO                 ,HUERFANO,-474,"-1,119",0,517,-377,,,,,
06280,COLORADO                 ,JACKSON,0,-112,-11,0,0,,,,,
06290,COLORADO                 ,JEFFERSON,"-31,113","-30,560","-35,862","-28,524","-27,014",,,,,
06300,COLORADO                 ,KIOWA,0,-38,0,0,0,,,,,
06310,COLORADO                 ,KIT CARSON,0,0,0,0,19,,,,,
06320,COLORADO                 ,LAKE,0,0,0,0,-252,,,,,
06330,COLORADO                 ,LA PLATA,"8,317","6,963","6,272","3,563","2,002",,,,,
06340,COLORADO                 ,LARIMER,"11,975",-899,"-9,981","-20,426","-4,499",,,,,
06350,COLORADO                 ,LAS ANIMAS,-240,-18,-69,-729,-650,,,,,
06360,COLORADO                 ,LINCOLN,-375,-890,-480,-323,0,,,,,
06370,COLORADO                 ,LOGAN,"4,734","2,204","2,790","3,677","1,542",,,,,
06380,COLORADO                 ,MESA,"-6,633","-7,526","-10,862","-9,328","-11,287",,,,,
06390,COLORADO                 ,MINERAL,0,0,0,0,0,,,,,
06400,COLORADO                 ,MOFFAT,-943,320,"2,381",0,242,,,,,
06410,COLORADO                 ,MONTEZUMA,"5,612","3,036","3,864",10,"1,168",,,,,
06420,COLORADO                 ,MONTROSE,"7,801","6,549","7,770","3,335","3,120",,,,,
06430,COLORADO                 ,MORGAN,"4,494","5,353","6,985","3,111","2,512",,,,,
06440,COLORADO                 ,OTERO,"9,453","3,738","5,226","1,880",581,,,,,
06450,COLORADO                 ,OURAY,254,575,0,0,-62,,,,,
06460,COLORADO                 ,PARK,0,-567,-630,-576,-184,,,,,
06470,COLORADO                 ,PHILLIPS,-251,-27,0,-341,0,,,,,
06480,COLORADO                 ,PITKIN,0,0,0,0,0,,,,,
06490,COLORADO                 ,PROWERS,328,435,"1,092",773,455,,,,,
06500,COLORADO                 ,PUEBLO,"-13,648","-17,419","-13,640","-8,291","-16,410",,,,,
06510,COLORADO                 ,RIO BLANCO,559,0,0,-130,0,,,,,
