AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-828,608","-370,453","-310,115","-75,034","-78,277",,,,,
04320,ARKANSAS                 ,IZARD,"-147,791","-91,740","-48,515","-18,221","-8,923",,,,,
04330,ARKANSAS                 ,JACKSON,"-437,601","-165,437","-96,946","-80,481","-60,076",,,,,
04340,ARKANSAS                 ,JEFFERSON,"-424,827","-145,293","-78,288","-50,484","-55,213",,,,,
04350,ARKANSAS                 ,JOHNSON,"-130,294","-69,169","-51,965","-22,681","17,236",,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-49,730","-20,206","-18,317",297,"8,575",,,,,
04370,ARKANSAS                 ,LAWRENCE,"-244,275","-197,332","-137,960","-122,824","-88,004",,,,,
04380,ARKANSAS                 ,LEE,"-94,489","-43,664","-37,975","-33,813","-30,646",,,,,
04390,ARKANSAS                 ,LINCOLN,"-69,204","-21,702","-12,083","-8,034","-5,947",,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-47,529","-16,148","-8,536","13,142","43,492",,,,,
04410,ARKANSAS                 ,LOGAN,"-53,194","-42,376","-1,386","-1,059","60,758",,,,,
04420,ARKANSAS                 ,LONOKE,"-1,126,547","-454,226","-249,133","-141,967","-101,404",,,,,
04430,ARKANSAS                 ,MADISON,"72,728","96,267","68,841","173,855","181,547",,,,,
04440,ARKANSAS                 ,MARION,"-4,139","-28,533","-3,357","1,029","18,135",,,,,
04450,ARKANSAS                 ,MILLER,"-103,441","-51,562","-22,384","37,441","113,582",,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-545,878","-510,003","-319,309","-320,476","-226,574",,,,,
04470,ARKANSAS                 ,MONROE,"-148,079","-77,610","-51,910","-27,879","-17,610",,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-48,282","-66,910","-73,669","-63,094","-91,432",,,,,
04490,ARKANSAS                 ,NEVADA,"-105,307","-35,632","-15,567","-5,113","2,756",,,,,
04500,ARKANSAS                 ,NEWTON,"26,566","38,398","32,971","92,189","71,030",,,,,
04510,ARKANSAS                 ,OUACHITA,"-346,630","-99,923","-47,065","-51,846","-58,757",,,,,
04520,ARKANSAS                 ,PERRY,"-219,481","-69,250","-41,784","-27,300","-19,536",,,,,
04530,ARKANSAS                 ,PHILLIPS,"-210,954","-130,782","-77,332","-67,383","-59,708",,,,,
04540,ARKANSAS                 ,PIKE,"-46,889","-73,627","-72,722","-57,254","-70,110",,,,,
04550,ARKANSAS                 ,POINSETT,"-348,851","-337,519","-168,045","-168,383","-136,221",,,,,
04560,ARKANSAS                 ,POLK,"-100,241","-72,419","-40,214","-43,541","-37,695",,,,,
04570,ARKANSAS                 ,POPE,"-903,891","-368,084","-249,873","-83,502","-78,036",,,,,
04580,ARKANSAS                 ,PRAIRIE,"-231,745","-98,761","-64,233","-25,954","-18,799",,,,,
04590,ARKANSAS                 ,PULASKI,"-7,158,136","-2,735,778","-1,432,614","-876,542","-689,025",,,,,
04600,ARKANSAS                 ,RANDOLPH,"-169,510","-141,357","-100,425","-87,084","-60,774",,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-176,968","-146,521","-115,661","-107,721","-103,343",,,,,
04620,ARKANSAS                 ,SALINE,"-1,401,932","-549,863","-287,950","-172,241","-151,074",,,,,
04630,ARKANSAS                 ,SCOTT,"-13,529","-18,234",-684,"1,541","33,095",,,,,
04640,ARKANSAS                 ,SEARCY,"-42,277","-19,244","6,057","30,162","24,001",,,,,
04650,ARKANSAS                 ,SEBASTIAN,"-52,015","-126,860","106,379","-8,227","527,664",,,,,
04660,ARKANSAS                 ,SEVIER,"-59,317","-21,240","-11,619","4,425","18,191",,,,,
04670,ARKANSAS                 ,SHARP,"-432,068","-231,696","-155,022","-48,167","-45,756",,,,,
04680,ARKANSAS                 ,STONE,"-220,304","-101,265","-80,169","-21,602","-22,312",,,,,
04690,ARKANSAS                 ,UNION,"-814,885","-27,195","-16,628","-147,042","-286,147",,,,,
04700,ARKANSAS                 ,VAN BUREN,"-322,751","-116,027","-49,611","-36,030","-27,832",,,,,
04710,ARKANSAS                 ,WASHINGTON,"643,340","840,518","567,899","1,297,223","1,229,244",,,,,
04720,ARKANSAS                 ,WHITE,"-1,645,592","-745,746","-546,553","-138,040","-144,390",,,,,
04730,ARKANSAS                 ,WOODRUFF,"-229,943","-103,190","-70,601","-18,797","-16,154",,,,,
04740,ARKANSAS                 ,YELL,"-333,656","-129,085","-76,087","-39,328","-38,398",,,,,
05000,CALIFORNIA               ,ALAMEDA,"14,030,872","16,775,743","12,729,938","8,062,221","7,193,337",,,,,
05010,CALIFORNIA               ,ALPINE,"-9,213","7,017",-478,"1,919","4,139",,,,,
05020,CALIFORNIA               ,AMADOR,"1,243,840","1,139,927","1,051,157","733,363","719,170",,,,,
05030,CALIFORNIA               ,BUTTE,"5,321,244","3,262,203","2,434,271","3,145,146","3,849,094",,,,,
05040,CALIFORNIA               ,CALAVERAS,"1,087,053","1,000,087","854,837","466,567","464,223",,,,,
05050,CALIFORNIA               ,COLUSA,"285,236","199,446","160,273","145,552","174,235",,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"6,432,927","8,364,534","5,626,180","3,568,184","3,836,577",,,,,
05070,CALIFORNIA               ,DEL NORTE,"47,012","71,956","-17,077","40,744","65,342",,,,,
05080,CALIFORNIA               ,EL DORADO,"2,868,002","3,008,654","2,714,835","1,916,489","1,931,992",,,,,
05090,CALIFORNIA               ,FRESNO,"10,511,884","5,929,524","4,281,951","5,236,278","6,599,706",,,,,
