AGED -- 2011  REIMBURSEMENT FOR COST CONTRACTS - FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,,,,
05360,CALIFORNIA               ,MONO,"44,798","44,176",160,,,,,,,,,
05370,CALIFORNIA               ,MONTEREY,"49,798","46,413","20,741",,,,,,,,,
05380,CALIFORNIA               ,NAPA,"482,686","463,840","178,226",,,,,,,,,
05390,CALIFORNIA               ,NEVADA,"149,849","144,463","58,088",,,,,,,,,
05400,CALIFORNIA               ,ORANGE,"641,774","602,601","306,505",,,,,,,,,
05410,CALIFORNIA               ,PLACER,"384,108","362,929","98,838",,,,,,,,,
05420,CALIFORNIA               ,PLUMAS,"196,375","186,559","202,448",,,,,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"487,216","440,356","194,698",,,,,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"1,304,974","1,201,593","472,610",,,,,,,,,
05450,CALIFORNIA               ,SAN BENITO,"56,397","49,163","11,082",,,,,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"1,296,400","1,154,694","632,737",,,,,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"863,473","823,527","304,590",,,,,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"1,062,910","735,465","323,090",,,,,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"473,956","411,864","375,580",,,,,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,0,0,"12,893",,,,,,,,,
05510,CALIFORNIA               ,SAN MATEO,"1,165,099","1,138,064","361,489",,,,,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,0,0,"22,215",,,,,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"1,975,289","1,674,141","477,431",,,,,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,0,0,"15,965",,,,,,,,,
05550,CALIFORNIA               ,SHASTA,"130,450","121,415","15,869",,,,,,,,,
05560,CALIFORNIA               ,SIERRA,"44,468","44,468","11,807",,,,,,,,,
05570,CALIFORNIA               ,SISKIYOU,0,0,688,,,,,,,,,
05580,CALIFORNIA               ,SOLANO,"809,293","789,343","245,931",,,,,,,,,
05590,CALIFORNIA               ,SONOMA,"826,061","794,555","196,156",,,,,,,,,
05600,CALIFORNIA               ,STANISLAUS,"141,291","123,559","52,046",,,,,,,,,
05610,CALIFORNIA               ,SUTTER,0,0,"6,956",,,,,,,,,
05620,CALIFORNIA               ,TEHAMA,"201,448","163,057","41,332",,,,,,,,,
05630,CALIFORNIA               ,TRINITY,0,0,0,,,,,,,,,
05640,CALIFORNIA               ,TULARE,"92,655","75,864","44,532",,,,,,,,,
05650,CALIFORNIA               ,TUOLUMNE,"21,209","21,204","23,672",,,,,,,,,
05660,CALIFORNIA               ,VENTURA,"185,540","165,485","50,228",,,,,,,,,
05670,CALIFORNIA               ,YOLO,"9,866","9,223","9,451",,,,,,,,,
05680,CALIFORNIA               ,YUBA,"5,305","4,672","29,370",,,,,,,,,
06000,COLORADO                 ,ADAMS,"2,385,819","2,179,789","1,238,986",,,,,,,,,
06010,COLORADO                 ,ALAMOSA,"489,439","463,074","294,470",,,,,,,,,
06020,COLORADO                 ,ARAPAHOE,"3,657,006","3,451,307","1,862,407",,,,,,,,,
06030,COLORADO                 ,ARCHULETA,"329,021","314,180","307,421",,,,,,,,,
06040,COLORADO                 ,BACA,0,0,"3,564",,,,,,,,,
06050,COLORADO                 ,BENT,"143,218","125,707","48,363",,,,,,,,,
06060,COLORADO                 ,BOULDER,"3,720,970","3,565,350","1,941,075",,,,,,,,,
06070,COLORADO                 ,CHAFFEE,"944,840","919,480","610,522",,,,,,,,,
06080,COLORADO                 ,CHEYENNE,"66,889","66,150","30,748",,,,,,,,,
06090,COLORADO                 ,CLEAR CREEK,"72,693","69,211","48,982",,,,,,,,,
06100,COLORADO                 ,CONEJOS,"909,919","873,499","352,833",,,,,,,,,
06110,COLORADO                 ,COSTILLA,"336,972","316,392","140,107",,,,,,,,,
06120,COLORADO                 ,CROWLEY,"27,137","24,153","18,460",,,,,,,,,
06130,COLORADO                 ,CUSTER,"92,344","87,379","65,561",,,,,,,,,
06140,COLORADO                 ,DELTA,"4,043,333","3,777,005","2,287,012",,,,,,,,,
06150,COLORADO                 ,DENVER,"3,661,601","3,307,844","1,606,409",,,,,,,,,
06160,COLORADO                 ,DOLORES,"14,553","14,188","31,885",,,,,,,,,
06170,COLORADO                 ,DOUGLAS,"913,331","878,255","425,018",,,,,,,,,
06180,COLORADO                 ,EAGLE,"688,304","652,930","442,604",,,,,,,,,
06190,COLORADO                 ,ELBERT,"71,191","70,703","86,802",,,,,,,,,
06200,COLORADO                 ,EL PASO,"1,197,304","1,129,054","895,886",,,,,,,,,
06210,COLORADO                 ,FREMONT,"1,004,082","962,728","495,087",,,,,,,,,
06220,COLORADO                 ,GARFIELD,"1,734,935","1,628,517","1,279,460",,,,,,,,,
06230,COLORADO                 ,GILPIN,"22,094","21,516","42,837",,,,,,,,,
06240,COLORADO                 ,GRAND,"190,520","184,922","120,086",,,,,,,,,
06250,COLORADO                 ,GUNNISON,"71,105","70,875","145,485",,,,,,,,,
06260,COLORADO                 ,HINSDALE,0,0,"3,174",,,,,,,,,
06270,COLORADO                 ,HUERFANO,"271,954","257,088","166,753",,,,,,,,,
06280,COLORADO                 ,JACKSON,"3,100","2,673","4,240",,,,,,,,,
06290,COLORADO                 ,JEFFERSON,"3,769,914","3,596,697","2,315,329",,,,,,,,,
06300,COLORADO                 ,KIOWA,0,0,"2,862",,,,,,,,,
06310,COLORADO                 ,KIT CARSON,"159,557","158,970","59,719",,,,,,,,,
06320,COLORADO                 ,LAKE,"159,992","157,581","76,386",,,,,,,,,
06330,COLORADO                 ,LA PLATA,"1,289,707","1,234,408","887,616",,,,,,,,,
06340,COLORADO                 ,LARIMER,"1,722,363","1,610,424","1,016,402",,,,,,,,,
06350,COLORADO                 ,LAS ANIMAS,"1,068,417","1,028,699","469,360",,,,,,,,,
06360,COLORADO                 ,LINCOLN,"71,727","67,937","72,191",,,,,,,,,
06370,COLORADO                 ,LOGAN,"281,131","275,625","190,868",,,,,,,,,
06380,COLORADO                 ,MESA,"19,246,750","17,888,041","9,941,830",,,,,,,,,
06390,COLORADO                 ,MINERAL,"35,276","31,814","26,481",,,,,,,,,
06400,COLORADO                 ,MOFFAT,"179,569","174,207","100,763",,,,,,,,,
06410,COLORADO                 ,MONTEZUMA,"1,162,333","1,096,281","723,090",,,,,,,,,
06420,COLORADO                 ,MONTROSE,"3,000,641","2,841,036","2,404,294",,,,,,,,,
06430,COLORADO                 ,MORGAN,"306,701","290,931","198,720",,,,,,,,,
06440,COLORADO                 ,OTERO,"340,160","315,509","344,285",,,,,,,,,
06450,COLORADO                 ,OURAY,"164,695","159,674","91,657",,,,,,,,,
06460,COLORADO                 ,PARK,"47,478","46,577","118,854",,,,,,,,,
06470,COLORADO                 ,PHILLIPS,"6,110","6,110","33,980",,,,,,,,,
06480,COLORADO                 ,PITKIN,"181,436","168,238","93,437",,,,,,,,,
06490,COLORADO                 ,PROWERS,"123,758","119,814","59,776",,,,,,,,,
06500,COLORADO                 ,PUEBLO,"3,355,405","3,058,425","2,276,801",,,,,,,,,
06510,COLORADO                 ,RIO BLANCO,"744,611","715,588","431,096",,,,,,,,,
06520,COLORADO                 ,RIO GRANDE,"963,736","900,121","554,483",,,,,,,,,
06530,COLORADO                 ,ROUTT,"58,579","57,285","148,851",,,,,,,,,
06540,COLORADO                 ,SAGUACHE,"116,630","105,670","124,047",,,,,,,,,
06550,COLORADO                 ,SAN JUAN,"26,003","23,654","9,783",,,,,,,,,
06560,COLORADO                 ,SAN MIGUEL,"153,190","144,988","117,178",,,,,,,,,
