"DISABLED - HOSPICE - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA
05340,CALIFORNIA,MERCED,"5,117","87,720",1.43,"87,719",1.43,0,0,0,"4,647",0,0
05350,CALIFORNIA,MODOC,315,0,0.00,0,0.00,0,0,0,299,0,0
05360,CALIFORNIA,MONO,249,"2,059",0.69,"2,059",0.69,0,0,0,222,0,0
05370,CALIFORNIA,MONTEREY,"6,650","255,542",3.20,"255,541",3.20,0,0,0,"6,048",0,0
05380,CALIFORNIA,NAPA,"2,300","213,598",7.74,"213,597",7.74,0,0,0,"1,956",0,0
05390,CALIFORNIA,NEVADA,"2,344","104,094",3.70,"104,094",3.70,0,0,0,"2,090",0,0
05400,CALIFORNIA,ORANGE,"21,318","4,012,726",15.69,"4,012,726",15.69,0,0,0,"17,447",0,0
05410,CALIFORNIA,PLACER,"6,144","642,435",8.71,"642,435",8.71,0,0,0,"5,072",0,0
05420,CALIFORNIA,PLUMAS,829,"1,130",0.11,"1,130",0.11,0,0,0,774,0,0
05430,CALIFORNIA,RIVERSIDE,"23,055","4,104,477",14.84,"4,104,478",14.84,0,0,0,"18,599",0,0
05440,CALIFORNIA,SACRAMENTO,"28,078","2,402,248",7.13,"2,402,248",7.13,0,0,0,"23,485",0,0
05450,CALIFORNIA,SAN BENITO,911,"9,245",0.85,"9,246",0.85,0,0,0,792,0,0
05460,CALIFORNIA,SAN BERNARDINO,"24,590","4,004,215",13.57,"4,004,216",13.57,0,0,0,"20,091",0,0
05470,CALIFORNIA,SAN DIEGO,"33,941","4,362,826",10.71,"4,362,826",10.71,0,0,0,"28,280",0,0
05480,CALIFORNIA,SAN FRANCISCO,"12,907","635,389",4.10,"635,388",4.10,0,0,0,"11,560",0,0
05490,CALIFORNIA,SAN JOAQUIN,"13,204","1,132,057",7.14,"1,132,057",7.14,0,0,0,"11,367",0,0
05500,CALIFORNIA,SAN LUIS OBISPO,"5,648","280,599",4.14,"280,599",4.14,0,0,0,"4,981",0,0
05510,CALIFORNIA,SAN MATEO,"4,985","752,484",12.58,"752,484",12.58,0,0,0,"3,872",0,0
05520,CALIFORNIA,SANTA BARBARA,"7,930","604,413",6.35,"604,413",6.35,0,0,0,"7,219",0,0
05530,CALIFORNIA,SANTA CLARA,"17,510","2,184,563",10.40,"2,184,563",10.40,0,0,0,"14,898",0,0
05540,CALIFORNIA,SANTA CRUZ,"5,136","361,563",5.87,"361,563",5.87,0,0,0,"4,607",0,0
05550,CALIFORNIA,SHASTA,"8,683","360,749",3.46,"360,749",3.46,0,0,0,"8,030",0,0
05560,CALIFORNIA,SIERRA,106,"18,919",14.87,"18,919",14.87,0,0,0,97,0,0
05570,CALIFORNIA,SISKIYOU,"1,872","118,281",5.27,"118,282",5.27,0,0,0,"1,727",0,0
05580,CALIFORNIA,SOLANO,"6,724","601,072",7.45,"601,072",7.45,0,0,0,"5,300",0,0
05590,CALIFORNIA,SONOMA,"8,532","838,417",8.19,"838,417",8.19,0,0,0,"7,388",0,0
05600,CALIFORNIA,STANISLAUS,"10,300","832,113",6.73,"832,112",6.73,0,0,0,"9,052",0,0
05610,CALIFORNIA,SUTTER,"2,899","124,452",3.58,"124,453",3.58,0,0,0,"2,633",0,0
05620,CALIFORNIA,TEHAMA,"2,266","120,774",4.44,"120,774",4.44,0,0,0,"2,103",0,0
05630,CALIFORNIA,TRINITY,"1,253","39,377",2.62,"39,376",2.62,0,0,0,"1,165",0,0
05640,CALIFORNIA,TULARE,"8,250","157,952",1.60,"157,952",1.60,0,0,0,"7,492",0,0
05650,CALIFORNIA,TUOLUMNE,"1,974","59,069",2.49,"59,069",2.49,0,0,0,"1,828",0,0
