AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
04660,ARKANSAS,SEVIER,"-96,717","-98,647","-111,530","-86,376","-46,350"
04670,ARKANSAS,SHARP,"-60,902","-36,478","-37,291","-29,996","-37,832"
04680,ARKANSAS,STONE,"-46,665","-57,942","-39,770","-28,726","-26,293"
04690,ARKANSAS,UNION,"-132,502","-148,581","-136,592","-108,621","-70,852"
04700,ARKANSAS,VAN BUREN,"-125,506","-115,092","-101,936","-90,176","-72,003"
04710,ARKANSAS,WASHINGTON,"-260,960","-220,227","-1,317,526","-1,282,573","-584,968"
04720,ARKANSAS,WHITE,"-241,592","-229,551","-194,434","-159,179","-133,795"
04730,ARKANSAS,WOODRUFF,"-31,374","-22,595","-25,938","-16,125","-19,411"
04740,ARKANSAS,YELL,"-152,397","-153,261","-128,949","-107,620","-70,767"
05000,CALIFORNIA,ALAMEDA,"16,683,785","15,604,029","14,092,622","8,379,287","6,364,971"
05010,CALIFORNIA,ALPINE,"5,170","14,401","3,827","11,712","1,715"
05020,CALIFORNIA,AMADOR,"2,163,568","2,164,763","2,425,682","1,635,101","317,473"
05030,CALIFORNIA,BUTTE,"8,358,660","7,839,404","7,671,324","5,226,246","3,373,140"
05040,CALIFORNIA,CALAVERAS,"1,431,093","1,519,767","1,643,498","1,019,905","249,187"
05050,CALIFORNIA,COLUSA,"503,539","469,874","521,060","306,178","166,690"
05060,CALIFORNIA,CONTRA COSTA,"12,171,977","12,490,447","14,046,391","7,438,379","4,974,897"
05070,CALIFORNIA,DEL NORTE,"320,651","362,523","215,984","240,253","214,472"
05080,CALIFORNIA,EL DORADO,"5,663,558","5,714,414","6,225,258","3,277,928","1,610,953"
05090,CALIFORNIA,FRESNO,"13,711,425","13,115,576","11,630,347","7,946,958","5,028,035"
05100,CALIFORNIA,GLENN,"720,985","629,978","558,182","465,271","307,493"
05110,CALIFORNIA,HUMBOLDT,"1,865,479","1,377,202","882,308","1,452,111","759,686"
05120,CALIFORNIA,IMPERIAL,"4,004,550","3,888,086","3,255,435","2,224,051","1,369,446"
05130,CALIFORNIA,INYO,"116,553","84,728","76,241","28,649","-68,814"
05140,CALIFORNIA,KERN,"10,609,609","9,846,432","8,578,524","6,302,255","4,063,765"
05150,CALIFORNIA,KINGS,"2,606,206","2,294,904","2,012,556","1,382,664","804,108"
05160,CALIFORNIA,LAKE,"1,420,259","955,670","599,170","281,937","421,973"
05170,CALIFORNIA,LASSEN,"131,433","54,271","-24,163","-43,194","-390,742"
05200,CALIFORNIA,LOS ANGELES,"144,369,013","129,250,509","111,404,550","83,273,012","48,859,375"
