DISABLED -- 2014  REIMBURSEMENT FOR COST CONTRACTS FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE                        DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
05460,CALIFORNIA,SAN BERNARDINO,"7,516","7,196","16,232",,,,,,
05470,CALIFORNIA,SAN DIEGO,"14,838","14,327","9,301",,,,,,
05480,CALIFORNIA,SAN FRANCISCO,"17,360","12,703","1,721",,,,,,
05490,CALIFORNIA,SAN JOAQUIN,"50,158","50,074","16,837",,,,,,
05500,CALIFORNIA,SAN LUIS OBISPO,0,0,0,,,,,,
05510,CALIFORNIA,SAN MATEO,"9,502","9,176","2,457",,,,,,
05520,CALIFORNIA,SANTA BARBARA,0,0,0,,,,,,
05530,CALIFORNIA,SANTA CLARA,0,0,"4,185",,,,,,
05540,CALIFORNIA,SANTA CRUZ,0,0,"8,927",,,,,,
05550,CALIFORNIA,SHASTA,0,0,0,,,,,,
05560,CALIFORNIA,SIERRA,0,0,0,,,,,,
05570,CALIFORNIA,SISKIYOU,0,0,0,,,,,,
05580,CALIFORNIA,SOLANO,0,0,"1,028",,,,,,
05590,CALIFORNIA,SONOMA,"18,977","18,945","17,709",,,,,,
05600,CALIFORNIA,STANISLAUS,0,0,111,,,,,,
05610,CALIFORNIA,SUTTER,0,0,0,,,,,,
05620,CALIFORNIA,TEHAMA,0,0,1,,,,,,
05630,CALIFORNIA,TRINITY,0,0,0,,,,,,
05640,CALIFORNIA,TULARE,0,0,0,,,,,,
05650,CALIFORNIA,TUOLUMNE,0,0,0,,,,,,
05660,CALIFORNIA,VENTURA,0,0,500,,,,,,
05670,CALIFORNIA,YOLO,0,0,556,,,,,,
05680,CALIFORNIA,YUBA,0,0,0,,,,,,
06000,COLORADO,ADAMS,"120,291","118,564","95,327",,,,,,
06010,COLORADO,ALAMOSA,"5,624","5,624","34,975",,,,,,
06020,COLORADO,ARAPAHOE,"461,365","425,036","331,590",,,,,,
06030,COLORADO,ARCHULETA,"38,907","38,907","78,780",,,,,,
06040,COLORADO,BACA,0,0,0,,,,,,
06050,COLORADO,BENT,0,0,"4,688",,,,,,
06060,COLORADO,BOULDER,"183,533","171,958","124,053",,,,,,
06070,COLORADO,CHAFFEE,"18,483","18,483","29,553",,,,,,
06080,COLORADO,CHEYENNE,0,0,"4,236",,,,,,
06090,COLORADO,CLEAR CREEK,0,0,258,,,,,,
06100,COLORADO,CONEJOS,0,0,"9,410",,,,,,
06110,COLORADO,COSTILLA,0,0,551,,,,,,
06120,COLORADO,CROWLEY,"1,096","1,096","4,240",,,,,,
06130,COLORADO,CUSTER,0,0,"15,544",,,,,,
06140,COLORADO,DELTA,"221,522","199,162","155,238",,,,,,
06150,COLORADO,DENVER,"694,466","639,801","332,017",,,,,,
06160,COLORADO,DOLORES,0,0,"9,430",,,,,,
06170,COLORADO,DOUGLAS,"28,761","28,703","89,957",,,,,,
06180,COLORADO,EAGLE,"32,306","32,075","141,520",,,,,,
06190,COLORADO,ELBERT,"59,028","53,383","24,526",,,,,,
06200,COLORADO,EL PASO,"161,891","151,013","219,023",,,,,,
06210,COLORADO,FREMONT,"4,015","3,778","35,762",,,,,,
06220,COLORADO,GARFIELD,"181,493","180,344","113,661",,,,,,
06230,COLORADO,GILPIN,0,0,661,,,,,,
06240,COLORADO,GRAND,0,0,"5,489",,,,,,
06250,COLORADO,GUNNISON,"50,265","49,696","9,770",,,,,,
06260,COLORADO,HINSDALE,0,0,0,,,,,,
06270,COLORADO,HUERFANO,"67,765","67,054","47,453",,,,,,
06280,COLORADO,JACKSON,0,0,0,,,,,,
06290,COLORADO,JEFFERSON,"529,475","526,226","381,744",,,,,,
06300,COLORADO,KIOWA,0,0,0,,,,,,
06310,COLORADO,KIT CARSON,"9,752","9,751","11,033",,,,,,
06320,COLORADO,LAKE,"34,511","32,219","22,185",,,,,,
06330,COLORADO,LA PLATA,"96,975","96,938","111,496",,,,,,
06340,COLORADO,LARIMER,"370,179","362,897","198,897",,,,,,
06350,COLORADO,LAS ANIMAS,"26,103","26,103","24,126",,,,,,
06360,COLORADO,LINCOLN,"6,333","6,333","10,259",,,,,,
06370,COLORADO,LOGAN,"177,638","177,541","59,217",,,,,,
06380,COLORADO,MESA,"3,038,120","2,974,396","1,917,022",,,,,,
06390,COLORADO,MINERAL,*,*,*,,,,,,
06400,COLORADO,MOFFAT,"24,135","24,035","31,279",,,,,,
06410,COLORADO,MONTEZUMA,"244,195","241,902","107,411",,,,,,
06420,COLORADO,MONTROSE,"400,683","397,511","231,483",,,,,,
06430,COLORADO,MORGAN,"13,121","13,121","21,279",,,,,,
06440,COLORADO,OTERO,"132,091","131,994","28,674",,,,,,
06450,COLORADO,OURAY,0,0,"89,319",,,,,,
06460,COLORADO,PARK,"3,945","3,777","19,506",,,,,,
06470,COLORADO,PHILLIPS,0,0,"1,924",,,,,,
06480,COLORADO,PITKIN,0,0,"3,274",,,,,,
06490,COLORADO,PROWERS,0,0,"2,061",,,,,,
06500,COLORADO,PUEBLO,"254,559","246,093","364,348",,,,,,
06510,COLORADO,RIO BLANCO,"25,529","25,479","14,620",,,,,,
06520,COLORADO,RIO GRANDE,"62,153","61,385","66,325",,,,,,
06530,COLORADO,ROUTT,"50,236","50,236","38,471",,,,,,
06540,COLORADO,SAGUACHE,0,0,"3,885",,,,,,
06550,COLORADO,SAN JUAN,*,*,*,,,,,,
06560,COLORADO,SAN MIGUEL,0,0,"2,806",,,,,,
06570,COLORADO,SEDGWICK,"13,440","12,561","5,610",,,,,,
06580,COLORADO,SUMMIT,"37,760","37,527","30,955",,,,,,
06590,COLORADO,TELLER,"22,285","22,140","37,285",,,,,,
06600,COLORADO,WASHINGTON,"5,843","5,843","11,533",,,,,,
06610,COLORADO,WELD,"239,012","237,118","106,340",,,,,,
06620,COLORADO,YUMA,"2,907","2,907","25,457",,,,,,
06630,COLORADO,BROOMFIELD,"29,529","29,510","22,899",,,,,,
07000,CONNECTICUT,FAIRFIELD,0,0,0,,,,,,
07010,CONNECTICUT,HARTFORD,0,0,0,,,,,,
07020,CONNECTICUT,LITCHFIELD,0,0,0,,,,,,
07030,CONNECTICUT,MIDDLESEX,0,0,0,,,,,,
07040,CONNECTICUT,NEW HAVEN,0,0,0,,,,,,
07050,CONNECTICUT,NEW LONDON,0,0,0,,,,,,
07060,CONNECTICUT,TOLLAND,0,0,0,,,,,,
07070,CONNECTICUT,WINDHAM,0,0,0,,,,,,
08000,DELAWARE,KENT,0,0,0,,,,,,
08010,DELAWARE,NEW CASTLE,0,0,0,,,,,,
08020,DELAWARE,SUSSEX,"19,040","19,040",165,,,,,,
09000,DISTRICT OF COLUMBIA,THE DISTRICT,"941,480","896,523","265,778",,,,,,
10000,FLORIDA,ALACHUA,0,0,0,,,,,,
10010,FLORIDA,BAKER,0,0,0,,,,,,
10020,FLORIDA,BAY,0,0,"1,061",,,,,,
10030,FLORIDA,BRADFORD,0,0,0,,,,,,
10040,FLORIDA,BREVARD,0,0,0,,,,,,
10050,FLORIDA,BROWARD,0,0,317,,,,,,
10060,FLORIDA,CALHOUN,0,0,0,,,,,,
10070,FLORIDA,CHARLOTTE,0,0,81,,,,,,
10080,FLORIDA,CITRUS,0,0,0,,,,,,
10090,FLORIDA,CLAY,0,0,458,,,,,,
10100,FLORIDA,COLLIER,0,0,0,,,,,,
10110,FLORIDA,COLUMBIA,0,0,0,,,,,,
10120,FLORIDA,MIAMI-DADE,0,0,"1,017",,,,,,
10130,FLORIDA,DE SOTO,0,0,0,,,,,,
10140,FLORIDA,DIXIE,0,0,0,,,,,,
10150,FLORIDA,DUVAL,0,0,"3,944",,,,,,
10160,FLORIDA,ESCAMBIA,0,0,0,,,,,,
10170,FLORIDA,FLAGLER,0,0,497,,,,,,
10180,FLORIDA,FRANKLIN,0,0,0,,,,,,
10190,FLORIDA,GADSDEN,0,0,0,,,,,,
10200,FLORIDA,GILCHRIST,0,0,0,,,,,,
10210,FLORIDA,GLADES,0,0,0,,,,,,
10220,FLORIDA,GULF,0,0,0,,,,,,
10230,FLORIDA,HAMILTON,0,0,0,,,,,,
10240,FLORIDA,HARDEE,0,0,0,,,,,,
10250,FLORIDA,HENDRY,0,0,0,,,,,,
10260,FLORIDA,HERNANDO,0,0,859,,,,,,
10270,FLORIDA,HIGHLANDS,0,0,0,,,,,,
10280,FLORIDA,HILLSBOROUGH,0,0,317,,,,,,
10290,FLORIDA,HOLMES,0,0,0,,,,,,
10300,FLORIDA,INDIAN RIVER,0,0,0,,,,,,
10310,FLORIDA,JACKSON,0,0,0,,,,,,
10320,FLORIDA,JEFFERSON,0,0,0,,,,,,
10330,FLORIDA,LAFAYETTE,0,0,0,,,,,,
10340,FLORIDA,LAKE,0,0,0,,,,,,
10350,FLORIDA,LEE,"23,542","23,542","1,199",,,,,,
10360,FLORIDA,LEON,0,0,0,,,,,,
10370,FLORIDA,LEVY,0,0,0,,,,,,
10380,FLORIDA,LIBERTY,0,0,0,,,,,,
10390,FLORIDA,MADISON,0,0,0,,,,,,
10400,FLORIDA,MANATEE,0,0,103,,,,,,
10410,FLORIDA,MARION,0,0,500,,,,,,
10420,FLORIDA,MARTIN,0,0,0,,,,,,
10430,FLORIDA,MONROE,0,0,0,,,,,,
10440,FLORIDA,NASSAU,0,0,123,,,,,,
10450,FLORIDA,OKALOOSA,0,0,0,,,,,,
10460,FLORIDA,OKEECHOBEE,"47,115","47,115","11,611",,,,,,
10470,FLORIDA,ORANGE,0,0,621,,,,,,
10480,FLORIDA,OSCEOLA,0,0,0,,,,,,
10490,FLORIDA,PALM BEACH,0,0,0,,,,,,
10500,FLORIDA,PASCO,0,0,237,,,,,,
10510,FLORIDA,PINELLAS,"97,906","97,906","8,102",,,,,,
10520,FLORIDA,POLK,0,0,0,,,,,,
10530,FLORIDA,PUTNAM,0,0,0,,,,,,
10540,FLORIDA,ST. JOHNS,0,0,"7,985",,,,,,
10550,FLORIDA,ST. LUCIE,0,0,0,,,,,,
10560,FLORIDA,SANTA ROSA,0,0,0,,,,,,
10570,FLORIDA,SARASOTA,"5,067","5,067","5,283",,,,,,
10580,FLORIDA,SEMINOLE,0,0,0,,,,,,
10590,FLORIDA,SUMTER,0,0,0,,,,,,
10600,FLORIDA,SUWANNEE,0,0,0,,,,,,
10610,FLORIDA,TAYLOR,0,0,0,,,,,,
10620,FLORIDA,UNION,0,0,0,,,,,,
10630,FLORIDA,VOLUSIA,"5,059","4,633","21,214",,,,,,
10640,FLORIDA,WAKULLA,0,0,0,,,,,,
10650,FLORIDA,WALTON,"10,808","10,777","4,860",,,,,,
10660,FLORIDA,WASHINGTON,0,0,0,,,,,,
11000,GEORGIA,APPLING,0,0,0,,,,,,
11010,GEORGIA,ATKINSON,0,0,0,,,,,,
11011,GEORGIA,BACON,0,0,0,,,,,,
11020,GEORGIA,BAKER,0,0,0,,,,,,
11030,GEORGIA,BALDWIN,0,0,0,,,,,,
11040,GEORGIA,BANKS,0,0,0,,,,,,
11050,GEORGIA,BARROW,0,0,0,,,,,,
11060,GEORGIA,BARTOW,0,0,"2,411",,,,,,
11070,GEORGIA,BEN HILL,0,0,0,,,,,,
11080,GEORGIA,BERRIEN,0,0,0,,,,,,
11090,GEORGIA,BIBB,0,0,0,,,,,,
11100,GEORGIA,BLECKLEY,0,0,0,,,,,,
11110,GEORGIA,BRANTLEY,0,0,0,,,,,,
11120,GEORGIA,BROOKS,0,0,0,,,,,,
11130,GEORGIA,BRYAN,0,0,0,,,,,,
11140,GEORGIA,BULLOCH,0,0,0,,,,,,
11150,GEORGIA,BURKE,0,0,0,,,,,,
11160,GEORGIA,BUTTS,0,0,0,,,,,,
11161,GEORGIA,CALHOUN,0,0,0,,,,,,
11170,GEORGIA,CAMDEN,0,0,"2,961",,,,,,
11180,GEORGIA,CANDLER,0,0,0,,,,,,
11190,GEORGIA,CARROLL,0,0,0,,,,,,
11200,GEORGIA,CATOOSA,0,0,0,,,,,,
11210,GEORGIA,CHARLTON,0,0,0,,,,,,
11220,GEORGIA,CHATHAM,0,0,0,,,,,,
11230,GEORGIA,CHATTAHOOCHEE,0,0,0,,,,,,
11240,GEORGIA,CHATTOOGA,0,0,0,,,,,,
11250,GEORGIA,CHEROKEE,0,0,0,,,,,,
11260,GEORGIA,CLARKE,0,0,0,,,,,,
11270,GEORGIA,CLAY,0,0,0,,,,,,
11280,GEORGIA,CLAYTON,0,0,0,,,,,,
11281,GEORGIA,CLINCH,0,0,0,,,,,,
11290,GEORGIA,COBB,"54,762","54,696","5,142",,,,,,
11291,GEORGIA,COFFEE,0,0,0,,,,,,
11300,GEORGIA,COLQUITT,0,0,0,,,,,,
11310,GEORGIA,COLUMBIA,0,0,0,,,,,,
11311,GEORGIA,COOK,0,0,0,,,,,,
