AGED -- 2014  REIMBURSEMENT FOR COST CONTRACTS FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE                        DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
10340,FLORIDA,LAKE,"253,396","252,883","96,238",,,,,,
10350,FLORIDA,LEE,"302,711","301,637","286,135",,,,,,
10360,FLORIDA,LEON,"14,048","13,792","13,398",,,,,,
10370,FLORIDA,LEVY,0,0,398,,,,,,
10380,FLORIDA,LIBERTY,0,0,0,,,,,,
10390,FLORIDA,MADISON,"9,305","9,299","27,114",,,,,,
10400,FLORIDA,MANATEE,"149,738","148,830","82,023",,,,,,
10410,FLORIDA,MARION,"172,728","172,391","123,133",,,,,,
10420,FLORIDA,MARTIN,"121,471","121,461","38,049",,,,,,
10430,FLORIDA,MONROE,"22,751","22,750","8,921",,,,,,
10440,FLORIDA,NASSAU,0,0,747,,,,,,
10450,FLORIDA,OKALOOSA,"9,106","9,106","8,600",,,,,,
10460,FLORIDA,OKEECHOBEE,"73,246","73,122","10,329",,,,,,
10470,FLORIDA,ORANGE,"107,752","104,452","60,888",,,,,,
10480,FLORIDA,OSCEOLA,"101,648","101,433","42,016",,,,,,
10490,FLORIDA,PALM BEACH,"314,720","312,090","132,639",,,,,,
10500,FLORIDA,PASCO,"96,624","96,121","104,614",,,,,,
10510,FLORIDA,PINELLAS,"212,364","207,500","139,426",,,,,,
10520,FLORIDA,POLK,"175,209","175,097","188,148",,,,,,
10530,FLORIDA,PUTNAM,"79,069","74,264","24,496",,,,,,
10540,FLORIDA,ST. JOHNS,"104,716","104,495","97,846",,,,,,
10550,FLORIDA,ST. LUCIE,"169,171","166,961","32,844",,,,,,
10560,FLORIDA,SANTA ROSA,"27,916","27,916","15,729",,,,,,
10570,FLORIDA,SARASOTA,"263,104","259,753","115,565",,,,,,
10580,FLORIDA,SEMINOLE,"40,483","40,483","9,272",,,,,,
10590,FLORIDA,SUMTER,"7,037","7,037","49,471",,,,,,
10600,FLORIDA,SUWANNEE,0,0,0,,,,,,
10610,FLORIDA,TAYLOR,0,0,"4,969",,,,,,
10620,FLORIDA,UNION,0,0,0,,,,,,
