AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES (DISPROPORTIONATE SHARE REPRICED TO UNCOMPAENSATED CARE UNTIL SEPTEMBER 2013)                                                                                                                                                      DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY. ,,,,,,,,
CODE,STATE,COUNTY,PART A 2010,PART A 2011,PART A 2012,PART A 2013         (JAN-SEP),PART A 2013   (OCT-DEC),PART A 2014
05030,CALIFORNIA,BUTTE,-5551794.38,-5487663.58,-6765590.6,-6221239.77,-673257.64,-2477649.14
05040,CALIFORNIA,CALAVERAS,-822232.73,-924085.98,-1100487.77,-858337.14,-86444.66,-301176.2
05050,CALIFORNIA,COLUSA,-338272.6,-279670.04,-310103.87,-249288.21,-27357.62,-109404.42
05060,CALIFORNIA,CONTRA COSTA,-7644802.72,-7392777.25,-8064043.66,-5392287.77,-726165,-2477025.81
05070,CALIFORNIA,DEL NORTE,-310188.87,-303474.58,-250028.14,-167874.19,-27705.91,-122780.12
05080,CALIFORNIA,EL DORADO,-1711734.85,-1892059.57,-2456518.76,-1924844.77,-254495.72,-863155.27
05090,CALIFORNIA,FRESNO,-11441023.72,-11939611.01,-11764635.23,-8757476.23,-1903296.63,-6466840.72
05100,CALIFORNIA,GLENN,-403041.7,-351422.8,-427426.44,-425372.02,-47292.45,-184388.21
05110,CALIFORNIA,HUMBOLDT,-2434333.52,-2527753.62,-2820902.65,-2172773.72,-292308.45,-1053887.35
05120,CALIFORNIA,IMPERIAL,-5004385.29,-5296026.45,-5306183.51,-4115062.18,-260300.03,-941139.12
05130,CALIFORNIA,INYO,-161521.01,-159419.76,-147964.9,-121697.96,-24612.1,-69851.66
05140,CALIFORNIA,KERN,-7561710.32,-5791966.78,-5252160.16,-5760425.51,-1397278.75,-4917445.33
05150,CALIFORNIA,KINGS,-2476412.83,-2666241.62,-2755141.6,-1946226.01,-293427.02,-939748.82
05160,CALIFORNIA,LAKE,-2212177.8,-2398585.74,-2217906.4,-1528574.15,-122364.26,-444790.16
05170,CALIFORNIA,LASSEN,-219851.66,-265225.62,-264121.89,-172964.3,-51249.93,-184843.02
