SNF Wage Indices by Fiscal Year,,,,,,,,,
SSACD,State,County,CBSA 2016,SNF Wage 2010,SNF Wage 2011,SNF Wage 2012,SNF Wage 2013,SNF Wage 2014,SNF Wage 2016
04640,AR,SEARCY,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04650,AR,SEBASTIAN,22900,0.7861,0.7599,0.7620,0.7848,0.7561,0.7382
04660,AR,SEVIER,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04670,AR,SHARP,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04680,AR,STONE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04690,AR,UNION,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04700,AR,VAN BUREN,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04710,AR,WASHINGTON,22220,0.8775,0.8616,0.9263,0.9288,0.8955,0.8503
04720,AR,WHITE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04730,AR,WOODRUFF,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04740,AR,YELL,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
05000,CA,ALAMEDA,36084,1.6404,1.6354,1.6080,1.6654,1.7048,1.7598
05010,CA,ALPINE,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05020,CA,AMADOR,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05030,CA,BUTTE,17020,1.1198,1.1533,1.1094,1.1197,1.1616,1.1605
05040,CA,CALAVERAS,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05050,CA,COLUSA,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05060,CA,CONTRA COSTA,36084,1.6404,1.6354,1.6080,1.6654,1.7048,1.7598
05070,CA,DEL NORTE,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05080,CA,EL DORADO,40900,1.4073,1.4053,1.3777,1.4752,1.5498,1.6314
05090,CA,FRESNO,23420,1.1267,1.1422,1.1281,1.1593,1.1768,1.1009
05100,CA,GLENN,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05110,CA,HUMBOLDT,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05120,CA,IMPERIAL,20940,0.8766,0.9258,0.9601,0.8602,0.8848,0.8408
05130,CA,INYO,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05140,CA,KERN,12540,1.1232,1.1707,1.1817,1.1611,1.1579,1.2201
05150,CA,KINGS,25260,1.1010,1.1205,1.0700,1.0992,1.1124,1.1170
05160,CA,LAKE,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05170,CA,LASSEN,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05200,CA,LOS ANGELES,31084,1.2039,1.2130,1.2287,1.2293,1.2417,1.2664
05210,CA,LOS ANGELES,31084,1.2039,1.2130,1.2287,1.2293,1.2417,1.2664
05300,CA,MADERA,31460,0.7958,0.7986,0.8114,0.8050,0.8317,0.7491
05320,CA,MARIPOSA,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05330,CA,MENDOCINO,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05340,CA,MERCED,32900,1.2123,1.2359,1.2424,1.2996,1.2734,1.3554
05350,CA,MODOC,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05360,CA,MONO,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05370,CA,MONTEREY,41500,1.5207,1.5686,1.5604,1.6074,1.5820,1.6213
05380,CA,NAPA,34900,1.4453,1.4604,1.4511,1.6045,1.5375,1.5803
05390,CA,NEVADA,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05410,CA,PLACER,40900,1.4073,1.4053,1.3777,1.4752,1.5498,1.6314
05420,CA,PLUMAS,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05430,CA,RIVERSIDE,40140,1.1285,1.1570,1.1463,1.1396,1.1497,1.1684
05440,CA,SACRAMENTO,40900,1.4073,1.4053,1.3777,1.4752,1.5498,1.6314
05450,CA,SAN BENITO,41940,1.6404,1.6703,1.6878,1.7396,1.7086,1.7792
05460,CA,SAN BERNARDINO,40140,1.1285,1.1570,1.1463,1.1396,1.1497,1.1684
05470,CA,SAN DIEGO,41740,1.1752,1.1979,1.1950,1.1922,1.2213,1.2060
05480,CA,SAN FRANCISCO,41884,1.5874,1.5733,1.5904,1.6327,1.6743,1.7354
05490,CA,SAN JOAQUIN,44700,1.2331,1.2644,1.3052,1.3356,1.3734,1.3273
05500,CA,SAN LUIS OBISPO,42020,1.2550,1.2915,1.3072,1.3081,1.3036,1.3351
05510,CA,SAN MATEO,41884,1.5874,1.5733,1.5904,1.6327,1.6743,1.7354
05530,CA,SANTA CLARA,41940,1.6404,1.6703,1.6878,1.7396,1.7086,1.7792
05540,CA,SANTA CRUZ,42100,1.6735,1.6740,1.7111,1.8062,1.7937,1.8563
05550,CA,SHASTA,39820,1.4039,1.4134,1.5584,1.4555,1.4990,1.4869
05560,CA,SIERRA,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05570,CA,SISKIYOU,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05580,CA,SOLANO,46700,1.4934,1.4931,1.4636,1.5844,1.6286,1.6777
05590,CA,SONOMA,42220,1.5891,1.6143,1.6102,1.6440,1.6679,1.7099
05600,CA,STANISLAUS,33700,1.2502,1.2104,1.2670,1.2841,1.3629,1.3230
05610,CA,SUTTER,49700,1.1265,1.1043,1.1808,1.2004,1.1759,1.1978
05620,CA,TEHAMA,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05630,CA,TRINITY,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05640,CA,TULARE,47300,1.0221,1.0738,1.0343,1.0349,0.9947,0.9620
05650,CA,TUOLUMNE,NA,1.2051,1.2056,1.2194,1.2567,1.2788,1.3291
05660,CA,VENTURA,37100,1.2301,1.2377,1.2830,1.3079,1.3113,1.2710
05670,CA,YOLO,40900,1.4073,1.4053,1.3777,1.4752,1.5498,1.6314
05680,CA,YUBA,49700,1.1265,1.1043,1.1808,1.2004,1.1759,1.1978
06000,CO,ADAMS,19740,1.0731,1.0718,1.0647,1.0469,1.0395,1.0198
06010,CO,ALAMOSA,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06020,CO,ARAPAHOE,19740,1.0731,1.0718,1.0647,1.0469,1.0395,1.0198
06030,CO,ARCHULETA,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06040,CO,BACA,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06050,CO,BENT,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06060,CO,BOULDER,14500,1.0266,1.0065,1.0086,1.0574,0.9850,0.9774
06070,CO,CHAFFEE,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06080,CO,CHEYENNE,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06090,CO,CLEAR CREEK,19740,1.0731,1.0718,1.0647,1.0469,1.0395,1.0198
06100,CO,CONEJOS,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06110,CO,COSTILLA,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06120,CO,CROWLEY,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06130,CO,CUSTER,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06140,CO,DELTA,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06150,CO,DENVER,19740,1.0731,1.0718,1.0647,1.0469,1.0395,1.0198
06160,CO,DOLORES,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06170,CO,DOUGLAS,19740,1.0731,1.0718,1.0647,1.0469,1.0395,1.0198
06180,CO,EAGLE,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06190,CO,ELBERT,19740,1.0731,1.0718,1.0647,1.0469,1.0395,1.0198
06200,CO,EL PASO,17820,0.9821,0.9481,0.9846,0.9364,0.9282,0.9130
06210,CO,FREMONT,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06220,CO,GARFIELD,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06230,CO,GILPIN,19740,1.0731,1.0718,1.0647,1.0469,1.0395,1.0198
06240,CO,GRAND,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06250,CO,GUNNISON,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06260,CO,HINSDALE,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06270,CO,HUERFANO,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06280,CO,JACKSON,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
