"ESRD - HOSPICE - 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
02250,ALASKA                   ,UPPER YUKON            ,1, -   ,0, -   ,0,0,0,0,1,0,0
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER  ,3, -   ,0, -   ,0,0,0,0,3,0,0
02270,ALASKA                   ,WADE HAMPTON           ,2, -   ,0, -   ,0,0,0,0,2,0,0
02280,ALASKA                   ,WRANGELL-PETERSBURG    ,1, -   ,0, -   ,0,0,0,0,1,0,0
02290,ALASKA                   ,YUKON-KOYUKUK          ,1, -   ,0, -   ,0,0,0,0,1,0,0
03000,ARIZONA                  ,APACHE                 ,197," 7,303 ",3.09," 7,303 ",3.09,0,0,0,178,0,0
03010,ARIZONA                  ,COCHISE                ,158," 9,325 ",4.92," 9,325 ",4.92,0,0,0,153,0,0
03020,ARIZONA                  ,COCONINO               ,169," 26,113 ",12.88," 26,113 ",12.88,0,0,0,155,0,0
03030,ARIZONA                  ,GILA                   ,112," 19,941 ",14.84," 19,941 ",14.84,0,0,0,105,0,0
03040,ARIZONA                  ,GRAHAM                 ,47," 27,666 ",49.05," 27,666 ",49.05,0,0,0,44,0,0
03050,ARIZONA                  ,GREENLEE               ,8," 14,290 ",148.85," 14,290 ",148.85,0,0,0,8,0,0
03055,ARIZONA                  ,LA PAZ                 ,42," 1,263 ",2.51," 1,263 ",2.51,0,0,0,40,0,0
03060,ARIZONA                  ,MARICOPA               ,3268," 2,193,410 ",55.93," 2,193,410 ",55.93,0,0,0,3033,0,0
03070,ARIZONA                  ,MOHAVE                 ,361," 55,865 ",12.9," 55,865 ",12.9,0,0,0,349,0,0
03080,ARIZONA                  ,NAVAJO                 ,251," 3,414 ",1.13," 3,414 ",1.13,0,0,0,245,0,0
03090,ARIZONA                  ,PIMA                   ,997," 290,758 ",24.3," 290,758 ",24.3,0,0,0,923,0,0
03100,ARIZONA                  ,PINAL                  ,504," 140,344 ",23.21," 140,344 ",23.21,0,0,0,465,0,0
03110,ARIZONA                  ,SANTA CRUZ             ,52," 15,322 ",24.55," 15,322 ",24.55,0,0,0,49,0,0
03120,ARIZONA                  ,YAVAPAI                ,198," 151,591 ",63.8," 151,591 ",63.8,0,0,0,182,0,0
03130,ARIZONA                  ,YUMA                   ,218," 19,762 ",7.55," 19,762 ",7.55,0,0,0,211,0,0
04000,ARKANSAS                 ,ARKANSAS               ,33, -   ,0, -   ,0,0,0,0,27,0,0
04010,ARKANSAS                 ,ASHLEY                 ,55," 19,454 ",29.48," 19,454 ",29.48,0,0,0,55,0,0
04020,ARKANSAS                 ,BAXTER                 ,51," 28,976 ",47.35," 28,976 ",47.35,0,0,0,50,0,0
04030,ARKANSAS                 ,BENTON                 ,164," 25,073 ",12.74," 25,073 ",12.74,0,0,0,157,0,0
04040,ARKANSAS                 ,BOONE                  ,52," 3,322 ",5.32," 3,322 ",5.32,0,0,0,49,0,0
04050,ARKANSAS                 ,BRADLEY                ,25, -   ,0, -   ,0,0,0,0,25,0,0
04060,ARKANSAS                 ,CALHOUN                ,9, -   ,0, -   ,0,0,0,0,8,0,0
04070,ARKANSAS                 ,CARROLL                ,9, -   ,0, -   ,0,0,0,0,8,0,0
