"DISABLED - HOSPICE - 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
03110,ARIZONA                  ,SANTA CRUZ             ,419," 28,772 ",5.72 ," 28,772 ",5.72 ,0,0,0,338,0,0
03120,ARIZONA                  ,YAVAPAI                ,5793," 1,167,929 ",16.80 ," 1,167,929 ",16.80 ,0,0,0,4782,0,0
03130,ARIZONA                  ,YUMA                   ,2256," 407,123 ",15.04 ," 407,123 ",15.04 ,0,0,0,1966,0,0
04000,ARKANSAS                 ,ARKANSAS               ,748," 110,744 ",12.34 ," 110,744 ",12.34 ,0,0,0,685,0,0
04010,ARKANSAS                 ,ASHLEY                 ,950," 13,844 ",1.21 ," 13,844 ",1.21 ,0,0,0,876,0,0
04020,ARKANSAS                 ,BAXTER                 ,1808," 70,166 ",3.23 ," 70,166 ",3.23 ,0,0,0,1640,0,0
04030,ARKANSAS                 ,BENTON                 ,3441," 465,307 ",11.27 ," 465,307 ",11.27 ,0,0,0,2889,0,0
04040,ARKANSAS                 ,BOONE                  ,1759," 59,485 ",2.82 ," 59,485 ",2.82 ,0,0,0,1544,0,0
04050,ARKANSAS                 ,BRADLEY                ,537," 15,123 ",2.35 ," 15,123 ",2.35 ,0,0,0,506,0,0
04060,ARKANSAS                 ,CALHOUN                ,219," 31,178 ",11.86 ," 31,178 ",11.86 ,0,0,0,201,0,0
04070,ARKANSAS                 ,CARROLL                ,840," 40,472 ",4.02 ," 40,472 ",4.02 ,0,0,0,742,0,0
04080,ARKANSAS                 ,CHICOT                 ,591," 9,092 ",1.28 ," 9,092 ",1.28 ,0,0,0,559,0,0
04090,ARKANSAS                 ,CLARK                  ,718," 22,713 ",2.64 ," 22,713 ",2.64 ,0,0,0,660,0,0
04100,ARKANSAS                 ,CLAY                   ,776," 7,340 ",0.79 ," 7,340 ",0.79 ,0,0,0,700,0,0
04110,ARKANSAS                 ,CLEBURNE               ,1087," 31,908 ",2.45 ," 31,908 ",2.45 ,0,0,0,997,0,0
04120,ARKANSAS                 ,CLEVELAND              ,345," 3,159 ",0.76 ," 3,159 ",0.76 ,0,0,0,322,0,0
04130,ARKANSAS                 ,COLUMBIA               ,1059," 101,558 ",7.99 ," 101,558 ",7.99 ,0,0,0,995,0,0
04140,ARKANSAS                 ,CONWAY                 ,1054," 154,552 ",12.22 ," 154,552 ",12.22 ,0,0,0,952,0,0
04150,ARKANSAS                 ,CRAIGHEAD              ,3722," 184,515 ",4.13 ," 184,515 ",4.13 ,0,0,0,3421,0,0
04160,ARKANSAS                 ,CRAWFORD               ,2048," 218,106 ",8.87 ," 218,106 ",8.87 ,0,0,0,1773,0,0
04170,ARKANSAS                 ,CRITTENDEN             ,1788," 87,002 ",4.05 ," 87,002 ",4.05 ,0,0,0,1605,0,0
04180,ARKANSAS                 ,CROSS                  ,642," 47,094 ",6.11 ," 47,094 ",6.11 ,0,0,0,587,0,0
04190,ARKANSAS                 ,DALLAS                 ,347," 70,670 ",16.97 ," 70,670 ",16.97 ,0,0,0,318,0,0
04200,ARKANSAS                 ,DESHA                  ,548," 17,448 ",2.65 ," 17,448 ",2.65 ,0,0,0,498,0,0
04210,ARKANSAS                 ,DREW                   ,697," 33,638 ",4.02 ," 33,638 ",4.02 ,0,0,0,653,0,0
04220,ARKANSAS                 ,FAULKNER               ,3117," 265,015 ",7.09 ," 265,015 ",7.09 ,0,0,0,2745,0,0
04230,ARKANSAS                 ,FRANKLIN               ,630," 4,711 ",0.62 ," 4,711 ",0.62 ,0,0,0,561,0,0
04240,ARKANSAS                 ,FULTON                 ,659," 32,493 ",4.11 ," 32,493 ",4.11 ,0,0,0,596,0,0
04250,ARKANSAS                 ,GARLAND                ,3740," 476,200 ",10.61 ," 476,200 ",10.61 ,0,0,0,3354,0,0
04260,ARKANSAS                 ,GRANT                  ,531," 31,905 ",5.01 ," 31,905 ",5.01 ,0,0,0,470,0,0
04270,ARKANSAS                 ,GREENE                 ,1833," 122,755 ",5.58 ," 122,755 ",5.58 ,0,0,0,1695,0,0
04280,ARKANSAS                 ,HEMPSTEAD              ,693," 238,618 ",28.69 ," 238,618 ",28.69 ,0,0,0,644,0,0
04290,ARKANSAS                 ,HOT SPRING             ,1251," 55,302 ",3.68 ," 55,302 ",3.68 ,0,0,0,1147,0,0
04300,ARKANSAS                 ,HOWARD                 ,589, 849 ,0.12 , 849 ,0.12 ,0,0,0,547,0,0
04310,ARKANSAS                 ,INDEPENDENCE           ,1813," 187,612 ",8.62 ," 187,612 ",8.62 ,0,0,0,1667,0,0
04320,ARKANSAS                 ,IZARD                  ,754," 101,175 ",11.18 ," 101,175 ",11.18 ,0,0,0,698,0,0
04330,ARKANSAS                 ,JACKSON                ,831," 170,662 ",17.11 ," 170,662 ",17.11 ,0,0,0,780,0,0
04340,ARKANSAS                 ,JEFFERSON              ,3122," 277,883 ",7.42 ," 277,883 ",7.42 ,0,0,0,2788,0,0
04350,ARKANSAS                 ,JOHNSON                ,965," 46,356 ",4.00 ," 46,356 ",4.00 ,0,0,0,868,0,0
04360,ARKANSAS                 ,LAFAYETTE              ,322," 6,956 ",1.80 ," 6,956 ",1.80 ,0,0,0,300,0,0
04370,ARKANSAS                 ,LAWRENCE               ,999," 53,313 ",4.45 ," 53,313 ",4.45 ,0,0,0,932,0,0
04380,ARKANSAS                 ,LEE                    ,310," 3,114 ",0.84 ," 3,114 ",0.84 ,0,0,0,287,0,0
04390,ARKANSAS                 ,LINCOLN                ,424," 29,542 ",5.81 ," 29,542 ",5.81 ,0,0,0,379,0,0
04400,ARKANSAS                 ,LITTLE RIVER           ,511," 79,679 ",12.99 ," 79,679 ",12.99 ,0,0,0,468,0,0
04410,ARKANSAS                 ,LOGAN                  ,1003," 56,601 ",4.70 ," 56,601 ",4.70 ,0,0,0,912,0,0
04420,ARKANSAS                 ,LONOKE                 ,2015," 103,299 ",4.27 ," 103,299 ",4.27 ,0,0,0,1767,0,0
04430,ARKANSAS                 ,MADISON                ,771," 35,416 ",3.83 ," 35,416 ",3.83 ,0,0,0,686,0,0
04440,ARKANSAS                 ,MARION                 ,810," 103,890 ",10.69 ," 103,890 ",10.69 ,0,0,0,712,0,0
04450,ARKANSAS                 ,MILLER                 ,1373," 393,275 ",23.87 ," 393,275 ",23.87 ,0,0,0,1239,0,0
04460,ARKANSAS                 ,MISSISSIPPI            ,2091," 347,768 ",13.86 ," 347,768 ",13.86 ,0,0,0,1908,0,0
04470,ARKANSAS                 ,MONROE                 ,359," 21,482 ",4.99 ," 21,482 ",4.99 ,0,0,0,327,0,0
04480,ARKANSAS                 ,MONTGOMERY             ,361," 13,487 ",3.11 ," 13,487 ",3.11 ,0,0,0,325,0,0
04490,ARKANSAS                 ,NEVADA                 ,416," 19,474 ",3.90 ," 19,474 ",3.90 ,0,0,0,379,0,0
04500,ARKANSAS                 ,NEWTON                 ,430," 1,771 ",0.34 ," 1,771 ",0.34 ,0,0,0,384,0,0
04510,ARKANSAS                 ,OUACHITA               ,1279," 57,276 ",3.73 ," 57,276 ",3.73 ,0,0,0,1165,0,0
04520,ARKANSAS                 ,PERRY                  ,459," 14,318 ",2.60 ," 14,318 ",2.60 ,0,0,0,406,0,0
04530,ARKANSAS                 ,PHILLIPS               ,820," 130,225 ",13.23 ," 130,225 ",13.23 ,0,0,0,768,0,0
04540,ARKANSAS                 ,PIKE                   ,441," 93,028 ",17.58 ," 93,028 ",17.58 ,0,0,0,400,0,0
04550,ARKANSAS                 ,POINSETT               ,1270," 97,137 ",6.37 ," 97,137 ",6.37 ,0,0,0,1183,0,0
04560,ARKANSAS                 ,POLK                   ,870," 99,250 ",9.51 ," 99,250 ",9.51 ,0,0,0,790,0,0
04570,ARKANSAS                 ,POPE                   ,2378," 143,846 ",5.04 ," 143,846 ",5.04 ,0,0,0,2173,0,0
04580,ARKANSAS                 ,PRAIRIE                ,372," 6,632 ",1.49 ," 6,632 ",1.49 ,0,0,0,335,0,0
04590,ARKANSAS                 ,PULASKI                ,13684," 1,054,449 ",6.42 ," 1,054,449 ",6.42 ,0,0,0,11858,0,0
04600,ARKANSAS                 ,RANDOLPH               ,788," 11,769 ",1.24 ," 11,769 ",1.24 ,0,0,0,717,0,0
04610,ARKANSAS                 ,ST  FRANCIS            ,1169," 121,722 ",8.68 ," 121,722 ",8.68 ,0,0,0,1091,0,0
04620,ARKANSAS                 ,SALINE                 ,1804," 230,504 ",10.65 ," 230,504 ",10.65 ,0,0,0,1586,0,0
