AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011
05390,CALIFORNIA               ,NEVADA,"261,930","298,209","399,583","329,718","116,569"
05400,CALIFORNIA               ,ORANGE,"-4,478,340","-6,565,888","-9,334,584","-8,102,392","-9,946,343"
05410,CALIFORNIA               ,PLACER,"484,814","585,213","795,323","678,198","247,912"
05420,CALIFORNIA               ,PLUMAS,"33,452","46,433","72,893","56,180","26,028"
05430,CALIFORNIA               ,RIVERSIDE,"2,498,512","2,735,666","3,207,580","2,632,983","523,284"
05440,CALIFORNIA               ,SACRAMENTO,"1,331,907","1,590,207","1,968,123","1,692,557","596,223"
05450,CALIFORNIA               ,SAN BENITO,"-113,001",815,"128,777","97,653","51,362"
05460,CALIFORNIA               ,SAN BERNARDINO,"1,083,070","1,072,644","1,174,210","976,056","-82,452"
05470,CALIFORNIA               ,SAN DIEGO,"4,339,044","4,890,176","5,784,476","4,876,778","1,601,015"
05480,CALIFORNIA               ,SAN FRANCISCO,"-4,720,258","-2,893,156","-1,414,581","-1,208,613","-1,314,411"
05490,CALIFORNIA               ,SAN JOAQUIN,"850,995","984,509","1,279,102","1,012,078","333,287"
05500,CALIFORNIA               ,SAN LUIS OBISPO,"830,835","952,961","1,162,829","915,179","286,277"
05510,CALIFORNIA               ,SAN MATEO,"-5,040,086","-3,005,431","-1,175,718","-895,044","-903,443"
05520,CALIFORNIA               ,SANTA BARBARA,"1,015,723","1,116,787","1,255,723","1,037,393","301,105"
05530,CALIFORNIA               ,SANTA CLARA,"-12,383,518","-5,090,018","2,683,386","2,500,410","1,786,479"
05540,CALIFORNIA               ,SANTA CRUZ,"167,420","396,258","711,930","584,806","273,388"
05550,CALIFORNIA               ,SHASTA,"682,601","781,912","995,755","739,188","239,512"
05560,CALIFORNIA               ,SIERRA,"6,085","7,987","10,069","8,082","4,200"
05570,CALIFORNIA               ,SISKIYOU,"139,310","153,288","178,404","104,373","31,301"
05580,CALIFORNIA               ,SOLANO,"-859,681","-403,602","52,928","50,831","-155,459"
05590,CALIFORNIA               ,SONOMA,"599,527","790,735","1,035,789","835,421","242,992"
05600,CALIFORNIA               ,STANISLAUS,"482,297","612,375","853,419","671,497","216,670"
05610,CALIFORNIA               ,SUTTER,"232,553","264,478","340,044","281,348","95,272"
05620,CALIFORNIA               ,TEHAMA,"144,156","168,637","215,098","159,335","54,732"
05630,CALIFORNIA               ,TRINITY,"59,872","69,407","108,349","75,412","24,732"
05640,CALIFORNIA               ,TULARE,"695,929","769,187","969,217","776,326","243,911"
05650,CALIFORNIA               ,TUOLUMNE,"150,072","191,965","256,238","201,871","61,384"
05660,CALIFORNIA               ,VENTURA,"172,306","-2,176,490","-5,028,072","-4,217,032","-4,183,380"
05670,CALIFORNIA               ,YOLO,"109,728","136,544","209,561","167,364","52,140"
05680,CALIFORNIA               ,YUBA,"133,239","146,820","186,673","152,191","53,607"
06000,COLORADO                 ,ADAMS,"-23,471","116,541","271,418","207,842","165,749"
06010,COLORADO                 ,ALAMOSA,-566,"6,608","14,966","11,465","11,054"
06020,COLORADO                 ,ARAPAHOE,"-75,842","281,425","700,646","532,033","438,219"
06030,COLORADO                 ,ARCHULETA,"-2,130","9,577","24,098","13,780","11,865"
06040,COLORADO                 ,BACA,"1,773","6,554","13,197",511,"-2,240"
06050,COLORADO                 ,BENT,-404,"4,352","9,420","8,224","5,880"
06060,COLORADO                 ,BOULDER,"-48,460","172,468","427,088","323,306","261,192"
06070,COLORADO                 ,CHAFFEE,"-2,533","16,972","38,679","31,680","24,369"
06080,COLORADO                 ,CHEYENNE,40,"2,117","3,518","3,044","1,699"
06090,COLORADO                 ,CLEAR CREEK,-372,"3,340","7,108","5,931","4,495"
06100,COLORADO                 ,CONEJOS,-85,"3,717","8,524","6,430","4,906"
06110,COLORADO                 ,COSTILLA,741,"2,242","5,455","3,424","3,000"
06120,COLORADO                 ,CROWLEY,-323,"2,730","5,980","5,398","4,412"
06130,COLORADO                 ,CUSTER,"-1,081","3,978","9,976","7,540","5,558"
06140,COLORADO                 ,DELTA,"-3,219","25,557","55,224","44,994","38,277"
06150,COLORADO                 ,DENVER,"-57,948","237,083","559,384","421,016","329,743"
06160,COLORADO                 ,DOLORES,-729,"1,594","3,143","2,522","1,740"
06170,COLORADO                 ,DOUGLAS,"-13,866","59,128","153,512","118,687","102,778"
06180,COLORADO                 ,EAGLE,"-1,629","12,959","34,199","24,700","20,864"
06190,COLORADO                 ,ELBERT,"-1,281","10,734","24,852","20,786","17,218"
06200,COLORADO                 ,EL PASO,"-101,520","384,447","964,988","660,575","546,280"
06210,COLORADO                 ,FREMONT,"-5,170","39,657","95,915","73,622","59,722"
06220,COLORADO                 ,GARFIELD,"-2,733","23,728","52,589","45,095","36,238"
06230,COLORADO                 ,GILPIN,-162,715,"2,389","2,382","1,679"
06240,COLORADO                 ,GRAND,"-1,563","8,587","21,503","15,705","9,656"
