HHA Wage Indices by Fiscal Year,,,,,,,,,
County code,State,County name,CBSA 2013,HHA Wage 2007,HHA Wage 2008,HHA Wage 2009,HHA Wage 2010,HHA Wage 2011,HHA Wage 2013
1590,AL,SUMTER,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1600,AL,TALLADEGA,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1610,AL,TALLAPOOSA,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1620,AL,TUSCALOOSA,46220, 0.8542 , 0.8303 , 0.8496 , 0.8698 , 0.8843 , 0.8480 
1630,AL,WALKER,13820, 0.8894 , 0.8898 , 0.8792 , 0.8554 , 0.8611 , 0.8450 
1640,AL,WASHINGTON,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1650,AL,WILCOX,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1660,AL,WINSTON,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
2013,AK,ALEUTIANS EAST,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2016,AK,ALEUTIANS WEST,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2020,AK,ANCHORAGE,11260, 1.2023 , 1.1913 , 1.1931 , 1.2013 , 1.1964 , 1.2174 
2050,AK,BETHEL,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2060,AK,BRISTOL BAY,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2068,AK,DENALI,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2070,AK,DILLINGHAM,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2090,AK,FAIRBANKS NORTH STAR,21820, 1.1059 , 1.1050 , 1.1297 , 1.1114 , 1.1080 , 1.0840 
2100,AK,HAINES,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2105,AK,HOONAH-ANGOON,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2110,AK,JUNEAU,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2122,AK,KENAI PENINSULA,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2130,AK,KETCHIKAN GATEWAY,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2150,AK,KODIAK ISLAND,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2164,AK,LAKE AND PENINSULA,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
