Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,
County code,State,County name,Locality 2013,Carrier 2013, GPCI WK 2007 , GPCI WK 2008 , GPCI WK 2009 , GPCI WK 2010 , GPCI WK 2011 , GPCI WK 2013 , GPCI PE 2007 , GPCI PE 2008 , GPCI PE 2009 , GPCI PE 2010 , GPCI PE 2011 , GPCI PE 2013 ,GPCI MP 2007,GPCI MP 2008,GPCI MP 2009,GPCI MP 2010,GPCI MP 2011,GPCI MP 2013
1450,AL,MARENGO,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1460,AL,MARION,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1470,AL,MARSHALL,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1480,AL,MOBILE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1490,AL,MONROE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1500,AL,MONTGOMERY,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1510,AL,MORGAN,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1520,AL,PERRY,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1530,AL,PICKENS,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1540,AL,PIKE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1550,AL,RANDOLPH,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1560,AL,RUSSELL,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1570,AL,ST. CLAIR,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1580,AL,SHELBY,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1590,AL,SUMTER,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1600,AL,TALLADEGA,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
