"ESRD -- 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,,
03070,ARIZONA,MOHAVE,361,"8,322,823","1,921.24","7,517,629","1,735.37","128,068","628,893","48,232",349,"11,936,451","2,850.16",,
03080,ARIZONA,NAVAJO,251,"6,771,594","2,248.21","5,771,099","1,916.04","112,927","846,420","46,633",245,"9,346,670","3,179.14",,
03090,ARIZONA,PIMA,997,"21,721,168","1,815.54","17,253,327","1,442.10","1,323,689","2,739,408","404,743",923,"30,081,413","2,715.91",,
03100,ARIZONA,PINAL,504,"13,455,472","2,224.78","11,908,745","1,969.04","131,394","1,354,358","60,974",465,"17,957,809","3,218.25",,
03110,ARIZONA,SANTA CRUZ,52,"1,138,014","1,823.74","915,878","1,467.75","71,209","129,447","21,477",49,"1,809,129","3,076.75",,
03120,ARIZONA,YAVAPAI,198,"5,273,913","2,219.66","4,833,056","2,034.11","100,504","321,640","18,712",182,"6,909,703","3,163.78",,
03130,ARIZONA,YUMA,218,"4,802,752","1,835.91","4,324,373","1,653.05","68,734","394,222","15,422",211,"7,465,132","2,948.31",,
04000,ARKANSAS,ARKANSAS,33,"551,482","1,392.63","463,532","1,170.54","16,071","64,705","7,171",27,"933,870","2,882.31",,
04010,ARKANSAS,ASHLEY,55,"1,171,406","1,774.86","1,029,678","1,560.12","23,993","108,478","9,256",55,"1,913,855","2,899.78",,
04020,ARKANSAS,BAXTER,51,"1,264,928","2,066.88","1,174,113","1,918.49","13,048","71,026","6,739",50,"1,760,732","2,934.55",,
04030,ARKANSAS,BENTON,164,"3,339,107","1,696.70","3,048,116","1,548.84","50,744","221,489","18,755",157,"4,719,585","2,505.09",,
04040,ARKANSAS,BOONE,52,"639,763","1,025.26","553,220",886.57,"20,647","60,290","5,605",49,"1,371,167","2,331.92",,
04050,ARKANSAS,BRADLEY,25,"328,401","1,094.67","273,108",910.36,"10,840","38,379","6,073",25,"1,004,019","3,346.73",,
04060,ARKANSAS,CALHOUN,9,"41,839",387.40,"34,636",320.70,744,"5,822",636,8,"221,261","2,304.80",,
04070,ARKANSAS,CARROLL,9,"197,631","1,829.92","186,503","1,726.88","2,246","7,965",916,8,"345,901","3,603.14",,
04080,ARKANSAS,CHICOT,22,"372,587","1,411.31","309,115","1,170.89","2,044","60,314","1,111",21,"620,034","2,460.45",,
04090,ARKANSAS,CLARK,47,"740,301","1,312.59","678,525","1,203.06",631,"61,029",115,45,"1,348,067","2,496.42",,
04100,ARKANSAS,CLAY,12,"301,306","2,092.40","262,755","1,824.69","4,489","32,278","1,783",12,"432,841","3,005.84",,
04110,ARKANSAS,CLEBURNE,17,"327,495","1,605.37","292,872","1,435.65","2,965","29,337","2,319",17,"473,987","2,323.47",,
04120,ARKANSAS,CLEVELAND,11,"119,084",902.15,"101,853",771.61,"2,521","13,223","1,485",11,"355,771","2,695.23",,
04130,ARKANSAS,COLUMBIA,34,"1,093,434","2,679.99","955,700","2,342.40","17,239","114,901","5,593",34,"1,124,222","2,755.45",,
04140,ARKANSAS,CONWAY,22,"472,017","1,787.94","437,334","1,656.57","1,909","32,319",453,22,"812,641","3,078.19",,
04150,ARKANSAS,CRAIGHEAD,107,"1,549,764","1,206.98","1,332,227","1,037.56","37,133","165,679","14,724",101,"3,219,583","2,656.42",,
04160,ARKANSAS,CRAWFORD,42,"1,065,126","2,113.35","943,839","1,872.70","17,847","99,068","4,370",41,"1,378,202","2,801.22",,
04170,ARKANSAS,CRITTENDEN,156,"3,861,193","2,062.60","3,056,976","1,633.00","165,682","581,370","57,163",154,"6,188,214","3,348.60",,
04180,ARKANSAS,CROSS,30,"450,556","1,251.54","399,813","1,110.59","7,214","41,049","2,479",29,"1,069,928","3,074.51",,
04190,ARKANSAS,DALLAS,16,"290,493","1,512.98","244,450","1,273.18","7,119","35,199","3,723",16,"582,602","3,034.39",,
04200,ARKANSAS,DESHA,25,"592,047","1,973.49","483,877","1,612.92","21,098","74,619","12,450",25,"1,000,522","3,335.07",,
04210,ARKANSAS,DREW,25,"543,300","1,811.00","440,198","1,467.33","23,084","65,630","14,387",24,"837,572","2,908.24",,
04220,ARKANSAS,FAULKNER,106,"1,996,332","1,569.44","1,784,056","1,402.56","51,620","135,133","25,522",98,"2,875,927","2,445.52",,
04230,ARKANSAS,FRANKLIN,17,"160,270",785.64,"144,253",707.12,"1,130","14,459",426,17,"577,729","2,832.00",,
04240,ARKANSAS,FULTON,8,"479,096","4,990.58","380,684","3,965.46","30,879","65,869","1,663",8,"348,950","3,634.90",,
04250,ARKANSAS,GARLAND,129,"2,091,725","1,351.24","1,875,083","1,211.29","13,002","198,481","5,157",126,"4,171,750","2,759.09",,
04260,ARKANSAS,GRANT,16,"472,302","2,459.91","429,477","2,236.86","3,559","36,426","2,838",15,"584,057","3,244.76",,
04270,ARKANSAS,GREENE,43,"1,017,414","1,971.73","902,416","1,748.87","16,296","91,927","6,774",40,"1,247,007","2,597.93",,
04280,ARKANSAS,HEMPSTEAD,42,"752,257","1,492.57","666,368","1,322.16","9,613","73,553","2,723",40,"1,318,978","2,747.87",,
04290,ARKANSAS,HOT SPRING,39,"1,005,489","2,148.48","923,955","1,974.26",287,"81,120",125,39,"1,415,061","3,023.63",,
04300,ARKANSAS,HOWARD,18,"375,330","1,737.64","340,527","1,576.51","4,119","26,756","3,927",16,"527,579","2,747.81",,
04310,ARKANSAS,INDEPENDENCE,42,"967,958","1,920.55","821,465","1,629.89","9,762","133,070","3,660",42,"1,431,020","2,839.33",,
04320,ARKANSAS,IZARD,4,"111,534","2,323.63","104,174","2,170.29",0,"7,359",0,4,"183,407","3,820.98",,
04330,ARKANSAS,JACKSON,27,"723,010","2,231.51","623,540","1,924.51","2,047","96,718",703,26,"925,078","2,964.99",,
04340,ARKANSAS,JEFFERSON,166,"3,702,782","1,858.83","3,048,482","1,530.36","128,479","459,172","66,648",161,"5,645,941","2,922.33",,
04350,ARKANSAS,JOHNSON,28,"703,462","2,093.64","638,755","1,901.06",958,"63,354",393,26,"859,043","2,753.34",,
04360,ARKANSAS,LAFAYETTE,19,"592,254","2,597.61","482,252","2,115.14","18,912","84,643","6,446",16,"561,158","2,922.70",,
04370,ARKANSAS,LAWRENCE,23,"294,761","1,067.97","264,680",958.99,"5,182","23,127","1,771",23,"590,051","2,137.87",,
04380,ARKANSAS,LEE,18,"563,149","2,607.17","457,318","2,117.21","25,748","70,798","9,284",18,"678,961","3,143.34",,
04390,ARKANSAS,LINCOLN,16,"267,456","1,393.00","219,567","1,143.58","10,608","32,153","5,126",16,"596,242","3,105.43",,
04400,ARKANSAS,LITTLE RIVER,17,"353,897","1,734.79","318,415","1,560.86","3,635","29,700","2,146",15,"481,469","2,674.83",,
04410,ARKANSAS,LOGAN,22,"491,020","1,859.92","446,349","1,690.72","3,571","39,442","1,657",22,"742,939","2,814.16",,
04420,ARKANSAS,LONOKE,75,"1,747,920","1,942.13","1,595,130","1,772.37","28,000","110,078","18,379",69,"2,022,069","2,442.11",,
04430,ARKANSAS,MADISON,25,"574,465","1,914.88","531,099","1,770.33","5,033","36,249","2,083",25,"723,483","2,411.61",,
04440,ARKANSAS,MARION,13,"392,678","2,517.17","359,282","2,303.09","5,137","25,728","2,529",13,"491,972","3,153.67",,
04450,ARKANSAS,MILLER,76,"1,020,908","1,119.42","856,030",938.63,"23,898","131,718","9,261",73,"2,329,428","2,659.16",,
04460,ARKANSAS,MISSISSIPPI,104,"2,499,591","2,002.88","2,068,946","1,657.81","93,681","304,530","32,434",103,"3,683,856","2,980.47",,
04470,ARKANSAS,MONROE,17,"288,557","1,414.50","248,139","1,216.37","6,658","30,673","3,086",17,"741,715","3,635.86",,
04480,ARKANSAS,MONTGOMERY,7,"203,322","2,420.50","191,671","2,281.80",376,"11,131",142,7,"263,646","3,138.64",,
04490,ARKANSAS,NEVADA,18,"117,424",543.63,"105,397",487.95,796,"10,925",305,18,"543,022","2,513.99",,
04500,ARKANSAS,NEWTON,4,"31,117",648.27,"25,741",536.27,0,"5,376",0,3,"103,589","2,877.47",,
04510,ARKANSAS,OUACHITA,61,"1,206,405","1,648.09","1,068,869","1,460.20","4,234","129,907","3,393",60,"2,072,695","2,878.74",,
04520,ARKANSAS,PERRY,11,"234,523","1,776.69","215,073","1,629.34",934,"17,999",515,11,"438,857","3,324.68",,
04530,ARKANSAS,PHILLIPS,61,"1,450,845","1,982.03","1,205,933","1,647.45","34,503","199,091","11,317",61,"2,344,469","3,202.83",,
04540,ARKANSAS,PIKE,17,"226,894","1,112.23","213,439","1,046.27",70,"13,366",17,15,"627,869","3,488.16",,
04550,ARKANSAS,POINSETT,42,"965,325","1,915.33","824,903","1,636.71","23,564","109,217","7,638",41,"1,503,713","3,056.33",,
04560,ARKANSAS,POLK,21,"501,570","1,990.36","456,426","1,811.21","4,917","37,607","2,619",21,"563,979","2,238.01",,
04570,ARKANSAS,POPE,59,"1,084,411","1,531.65","952,723","1,345.65","12,005","110,914","8,767",56,"1,701,324","2,531.73",,
04580,ARKANSAS,PRAIRIE,15,"555,724","3,087.36","518,035","2,877.97","1,867","34,947",873,14,"527,678","3,140.94",,
04590,ARKANSAS,PULASKI,684,"15,742,628","1,917.96","13,343,301","1,625.65","538,557","1,570,444","290,325",645,"19,911,850","2,572.59",,
04600,ARKANSAS,RANDOLPH,24,"315,187","1,094.40","279,896",971.86,"2,713","31,692",885,24,"722,735","2,509.50",,
04610,ARKANSAS,ST  FRANCIS,80,"1,329,800","1,385.21","1,078,482","1,123.42","50,688","185,708","14,920",75,"2,757,420","3,063.80",,
04620,ARKANSAS,SALINE,51,"1,122,616","1,834.34","999,488","1,633.15","15,099","100,820","7,208",49,"1,439,959","2,448.91",,
04630,ARKANSAS,SCOTT,9,"275,553","2,551.42","244,528","2,264.15","2,461","27,846",717,9,"347,097","3,213.86",,
04640,ARKANSAS,SEARCY,13,"176,377","1,130.62","163,125","1,045.67",254,"12,889",107,12,"388,563","2,698.35",,
04650,ARKANSAS,SEBASTIAN,144,"2,795,940","1,618.02","2,464,291","1,426.09","54,610","258,469","18,569",134,"4,149,117","2,580.30",,
04660,ARKANSAS,SEVIER,10,"196,986","1,641.55","172,011","1,433.43","4,344","19,120","1,511",10,"346,664","2,888.87",,
04670,ARKANSAS,SHARP,16,"127,736",665.29,"114,488",596.29,389,"12,681",177,16,"501,927","2,614.20",,
04680,ARKANSAS,STONE,11,"219,158","1,660.29","184,561","1,398.19","4,587","29,764",244,11,"270,405","2,048.52",,
04690,ARKANSAS,UNION,108,"2,146,603","1,656.33","1,876,150","1,447.65","44,560","206,689","19,203",106,"3,965,818","3,117.78",,
04700,ARKANSAS,VAN BUREN,18,"428,591","1,984.22","384,520","1,780.19","8,334","32,405","3,331",18,"580,337","2,686.75",,
04710,ARKANSAS,WASHINGTON,202,"4,766,190","1,966.25","4,307,051","1,776.84","110,905","312,068","36,164",196,"5,997,280","2,549.86",,
