DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX (Adjustment to Part A Reimbursement),,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"2,201,425","2,272,275","1,873,739","993,934","470,531",,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"547,196","418,068","297,810","310,146","126,977",,,,,
05510,CALIFORNIA               ,SAN MATEO,"643,151","763,366","672,330","451,142","308,945",,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"918,451","585,325","451,366","498,616","498,480",,,,,
05530,CALIFORNIA               ,SANTA CLARA,"3,581,271","3,216,319","2,432,921","2,340,496","1,516,799",,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"1,306,470","1,102,148","962,109","778,735","641,540",,,,,
05550,CALIFORNIA               ,SHASTA,"1,275,284","1,060,541","934,167","503,179","205,520",,,,,
05560,CALIFORNIA               ,SIERRA,"-5,284",-28,"2,410","1,006","4,736",,,,,
05570,CALIFORNIA               ,SISKIYOU,"69,066","75,399","14,518","23,345","46,949",,,,,
05580,CALIFORNIA               ,SOLANO,"589,528","700,205","580,606","379,260","501,589",,,,,
05590,CALIFORNIA               ,SONOMA,"925,816","1,211,380","808,393","670,231","627,693",,,,,
05600,CALIFORNIA               ,STANISLAUS,"1,755,796","1,780,916","1,414,857","1,195,571","1,151,887",,,,,
05610,CALIFORNIA               ,SUTTER,"277,604","31,697","27,239","-15,887","291,630",,,,,
05620,CALIFORNIA               ,TEHAMA,"251,360","200,483","193,241","116,667","78,678",,,,,
05630,CALIFORNIA               ,TRINITY,"192,040","150,805","132,358","78,063","20,536",,,,,
05640,CALIFORNIA               ,TULARE,"1,245,621","769,690","583,423","724,544","945,822",,,,,
05650,CALIFORNIA               ,TUOLUMNE,"328,001","258,995","257,581","210,204","241,797",,,,,
05660,CALIFORNIA               ,VENTURA,"1,725,966","1,436,426","759,625","1,345,825","1,001,631",,,,,
05670,CALIFORNIA               ,YOLO,"418,204","414,893","403,645","289,023","254,259",,,,,
05680,CALIFORNIA               ,YUBA,"286,421","-5,444","-34,422","-70,970","259,265",,,,,
06000,COLORADO                 ,ADAMS,"-232,209","-139,165","-205,888","-221,987","-239,055",,,,,
06010,COLORADO                 ,ALAMOSA,"5,252","3,196","3,058",-600,311,,,,,
06020,COLORADO                 ,ARAPAHOE,"-232,678","-168,517","-256,088","-318,405","-335,031",,,,,
06030,COLORADO                 ,ARCHULETA,223,"1,115",654,-888,714,,,,,
06040,COLORADO                 ,BACA,975,"2,022",-641,"-1,518","-3,474",,,,,
06050,COLORADO                 ,BENT,-904,"7,361","2,787","1,475",350,,,,,
06060,COLORADO                 ,BOULDER,"-76,311","-39,309","-23,476","-40,706","-34,881",,,,,
06070,COLORADO                 ,CHAFFEE,910,"5,062","-2,851","-1,499","-3,054",,,,,
