"AGED - HOSPICE - 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
02060,ALASKA                   ,BRISTOL BAY            ,568," 2,036.00 ", 0.30 ," 2,036.00 ", 0.30 ,0,0,0,512,0,0
02070,ALASKA                   ,DILLINGHAM             ,421, -   , -   , -   , -   ,0,0,0,344,0,0
02080,ALASKA                   ,CORDOVA-MC CARTHY      ,222, -   , -   , -   , -   ,0,0,0,199,0,0
02090,ALASKA                   ,FAIRBANKS NORTH STAR   ,5943," 149,396.00 ", 2.09 ," 149,396.00 ", 2.09 ,0,0,0,5371,0,0
02100,ALASKA                   ,HAINES                 ,373, 686.00 , 0.15 , 686.00 , 0.15 ,0,0,0,351,0,0
02110,ALASKA                   ,JUNEAU                 ,3156," 638,097.00 ", 16.85 ," 638,097.00 ", 16.85 ,0,0,0,2843,0,0
02120,ALASKA                   ,KENAI-COOK INLET       ,5880," 213,336.00 ", 3.02 ," 213,336.00 ", 3.02 ,0,0,0,5453,0,0
02130,ALASKA                   ,KETCHIKAN GATEWAY      ,1469," 5,663.00 ", 0.32 ," 5,663.00 ", 0.32 ,0,0,0,1346,0,0
02140,ALASKA                   ,KOBUK                  ,400, -   , -   , -   , -   ,0,0,0,300,0,0
02150,ALASKA                   ,KODIAK ISLAND          ,597, -   , -   , -   , -   ,0,0,0,513,0,0
02160,ALASKA                   ,KUSKOKWIN              ,198," 2,272.00 ", 0.96 ," 2,272.00 ", 0.96 ,0,0,0,148,0,0
02170,ALASKA                   ,MATANUSKA-SUSITNA      ,6497," 1,142,853.00 ", 14.66 ," 1,142,853.00 ", 14.66 ,0,0,0,5904,0,0
02180,ALASKA                   ,NOME                   ,586," 5,829.00 ", 0.83 ," 5,829.00 ", 0.83 ,0,0,0,472,0,0
02190,ALASKA                   ,OUTER KETCHIKAN        ,196, -   , -   , -   , -   ,0,0,0,164,0,0
02200,ALASKA                   ,PRINCE OF WALES        ,327, 264.00 , 0.07 , 264.00 , 0.07 ,0,0,0,290,0,0
02210,ALASKA                   ,SEWARD                 ,538," 12,097.00 ", 1.87 ," 12,097.00 ", 1.87 ,0,0,0,492,0,0
02220,ALASKA                   ,SITKA                  ,972," 3,660.00 ", 0.31 ," 3,660.00 ", 0.31 ,0,0,0,858,0,0
02230,ALASKA                   ,SKAGWAY-YAKUTAT        ,365, -   , -   , -   , -   ,0,0,0,336,0,0
02240,ALASKA                   ,SOUTHEAST FAIRBANKS    ,508," 2,339.00 ", 0.38 ," 2,339.00 ", 0.38 ,0,0,0,476,0,0
02250,ALASKA                   ,UPPER YUKON            ,163," 1,822.00 ", 0.93 ," 1,822.00 ", 0.93 ,0,0,0,142,0,0
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER  ,801," 31,549.00 ", 3.28 ," 31,549.00 ", 3.28 ,0,0,0,701,0,0
02270,ALASKA                   ,WADE HAMPTON           ,400, -   , -   , -   , -   ,0,0,0,341,0,0
02280,ALASKA                   ,WRANGELL-PETERSBURG    ,785," 9,245.00 ", 0.98 ," 9,245.00 ", 0.98 ,0,0,0,740,0,0
02290,ALASKA                   ,YUKON-KOYUKUK          ,492," 12,656.00 ", 2.14 ," 12,656.00 ", 2.14 ,0,0,0,439,0,0
03000,ARIZONA                  ,APACHE                 ,6458," 847,159.00 ", 10.93 ," 847,159.00 ", 10.93 ,0,0,0,6071,0,0
03010,ARIZONA                  ,COCHISE                ,15916," 3,886,586.00 ", 20.35 ," 3,886,586.00 ", 20.35 ,0,0,0,14703,0,0
03020,ARIZONA                  ,COCONINO               ,13146," 6,843,176.00 ", 43.38 ," 6,843,176.00 ", 43.38 ,0,0,0,12342,0,0
03030,ARIZONA                  ,GILA                   ,10106," 6,631,607.00 ", 54.68 ," 6,631,607.00 ", 54.68 ,0,0,0,9576,0,0
03040,ARIZONA                  ,GRAHAM                 ,2903," 652,411.00 ", 18.73 ," 652,411.00 ", 18.73 ,0,0,0,2731,0,0
03050,ARIZONA                  ,GREENLEE               ,733," 166,789.00 ", 18.96 ," 166,789.00 ", 18.96 ,0,0,0,697,0,0
03055,ARIZONA                  ,LA PAZ                 ,3576," 1,234,460.00 ", 28.77 ," 1,234,460.00 ", 28.77 ,0,0,0,3291,0,0
03060,ARIZONA                  ,MARICOPA               ,251440," 307,981,747.00 ", 102.07 ," 307,981,747.00 ", 102.07 ,0,0,0,226286,0,0
03070,ARIZONA                  ,MOHAVE                 ,33379," 17,029,832.00 ", 42.52 ," 17,029,832.00 ", 42.52 ,0,0,0,31533,0,0
03080,ARIZONA                  ,NAVAJO                 ,11359," 3,407,855.00 ", 25.00 ," 3,407,855.00 ", 25.00 ,0,0,0,10788,0,0
03090,ARIZONA                  ,PIMA                   ,83288," 56,342,213.00 ", 56.37 ," 56,342,213.00 ", 56.37 ,0,0,0,74717,0,0
03100,ARIZONA                  ,PINAL                  ,22928," 18,226,904.00 ", 66.25 ," 18,226,904.00 ", 66.25 ,0,0,0,20874,0,0
03110,ARIZONA                  ,SANTA CRUZ             ,3468," 1,310,999.00 ", 31.50 ," 1,310,999.00 ", 31.50 ,0,0,0,3104,0,0
03120,ARIZONA                  ,YAVAPAI                ,37271," 20,031,750.00 ", 44.79 ," 20,031,750.00 ", 44.79 ,0,0,0,34782,0,0
03130,ARIZONA                  ,YUMA                   ,19119," 6,919,793.00 ", 30.16 ," 6,919,793.00 ", 30.16 ,0,0,0,18027,0,0
04000,ARKANSAS                 ,ARKANSAS               ,2873," 638,190.00 ", 18.51 ," 638,190.00 ", 18.51 ,0,0,0,2688,0,0
04010,ARKANSAS                 ,ASHLEY                 ,3217," 584,743.00 ", 15.15 ," 584,743.00 ", 15.15 ,0,0,0,3091,0,0
04020,ARKANSAS                 ,BAXTER                 ,9171," 1,922,736.00 ", 17.47 ," 1,922,736.00 ", 17.47 ,0,0,0,8842,0,0
04030,ARKANSAS                 ,BENTON                 ,18532," 6,880,624.00 ", 30.94 ," 6,880,624.00 ", 30.94 ,0,0,0,17017,0,0
04040,ARKANSAS                 ,BOONE                  ,6096," 1,839,359.00 ", 25.14 ," 1,839,359.00 ", 25.14 ,0,0,0,5770,0,0
04050,ARKANSAS                 ,BRADLEY                ,1723," 281,609.00 ", 13.62 ," 281,609.00 ", 13.62 ,0,0,0,1663,0,0
04060,ARKANSAS                 ,CALHOUN                ,663," 149,158.00 ", 18.75 ," 149,158.00 ", 18.75 ,0,0,0,630,0,0
04070,ARKANSAS                 ,CARROLL                ,3706," 1,055,274.00 ", 23.73 ," 1,055,274.00 ", 23.73 ,0,0,0,3455,0,0
04080,ARKANSAS                 ,CHICOT                 ,1968," 137,948.00 ", 5.84 ," 137,948.00 ", 5.84 ,0,0,0,1869,0,0
04090,ARKANSAS                 ,CLARK                  ,2989," 686,500.00 ", 19.14 ," 686,500.00 ", 19.14 ,0,0,0,2805,0,0
04100,ARKANSAS                 ,CLAY                   ,2859," 581,448.00 ", 16.95 ," 581,448.00 ", 16.95 ,0,0,0,2725,0,0
04110,ARKANSAS                 ,CLEBURNE               ,5126," 979,689.00 ", 15.93 ," 979,689.00 ", 15.93 ,0,0,0,4959,0,0
04120,ARKANSAS                 ,CLEVELAND              ,1159," 361,250.00 ", 25.97 ," 361,250.00 ", 25.97 ,0,0,0,1113,0,0
04130,ARKANSAS                 ,COLUMBIA               ,3521," 997,360.00 ", 23.61 ," 997,360.00 ", 23.61 ,0,0,0,3380,0,0
04140,ARKANSAS                 ,CONWAY                 ,3132," 909,990.00 ", 24.21 ," 909,990.00 ", 24.21 ,0,0,0,2978,0,0
04150,ARKANSAS                 ,CRAIGHEAD              ,10710," 1,982,172.00 ", 15.42 ," 1,982,172.00 ", 15.42 ,0,0,0,10132,0,0
04160,ARKANSAS                 ,CRAWFORD               ,5456," 2,125,157.00 ", 32.46 ," 2,125,157.00 ", 32.46 ,0,0,0,5052,0,0
04170,ARKANSAS                 ,CRITTENDEN             ,4788," 1,312,081.00 ", 22.84 ," 1,312,081.00 ", 22.84 ,0,0,0,4457,0,0
04180,ARKANSAS                 ,CROSS                  ,2365," 514,401.00 ", 18.13 ," 514,401.00 ", 18.13 ,0,0,0,2252,0,0
04190,ARKANSAS                 ,DALLAS                 ,1129," 189,694.00 ", 14.00 ," 189,694.00 ", 14.00 ,0,0,0,1088,0,0
04200,ARKANSAS                 ,DESHA                  ,1831," 208,109.00 ", 9.47 ," 208,109.00 ", 9.47 ,0,0,0,1737,0,0
04210,ARKANSAS                 ,DREW                   ,2257," 535,758.00 ", 19.78 ," 535,758.00 ", 19.78 ,0,0,0,2154,0,0
04220,ARKANSAS                 ,FAULKNER               ,10882," 3,116,035.00 ", 23.86 ," 3,116,035.00 ", 23.86 ,0,0,0,10172,0,0
04230,ARKANSAS                 ,FRANKLIN               ,2220," 526,116.00 ", 19.75 ," 526,116.00 ", 19.75 ,0,0,0,2101,0,0
04240,ARKANSAS                 ,FULTON                 ,2063," 447,995.00 ", 18.10 ," 447,995.00 ", 18.10 ,0,0,0,1968,0,0
04250,ARKANSAS                 ,GARLAND                ,20700," 9,578,144.00 ", 38.56 ," 9,578,144.00 ", 38.56 ,0,0,0,19750,0,0
04260,ARKANSAS                 ,GRANT                  ,2157," 775,847.00 ", 29.97 ," 775,847.00 ", 29.97 ,0,0,0,2033,0,0
04270,ARKANSAS                 ,GREENE                 ,4879," 721,105.00 ", 12.32 ," 721,105.00 ", 12.32 ,0,0,0,4659,0,0
04280,ARKANSAS                 ,HEMPSTEAD              ,2437," 705,508.00 ", 24.12 ," 705,508.00 ", 24.12 ,0,0,0,2306,0,0
04290,ARKANSAS                 ,HOT SPRING             ,4264," 1,267,446.00 ", 24.77 ," 1,267,446.00 ", 24.77 ,0,0,0,4089,0,0
04300,ARKANSAS                 ,HOWARD                 ,2023," 470,824.00 ", 19.39 ," 470,824.00 ", 19.39 ,0,0,0,1902,0,0
04310,ARKANSAS                 ,INDEPENDENCE           ,5373," 1,310,492.00 ", 20.33 ," 1,310,492.00 ", 20.33 ,0,0,0,5120,0,0
04320,ARKANSAS                 ,IZARD                  ,2399," 648,560.00 ", 22.53 ," 648,560.00 ", 22.53 ,0,0,0,2288,0,0
04330,ARKANSAS                 ,JACKSON                ,2704," 737,216.00 ", 22.72 ," 737,216.00 ", 22.72 ,0,0,0,2596,0,0
