ADJUSTMENTS TO THE 2012-2014 REIMBURSEMENT COMBINED DATA FOR AGED AND DISABLED PARTS A AND B FOR SHARED SAVING PAYMENTS AND SHARED LOSSES MADE TO ACCOUNTABLE CARE ORGANISATIONS.                                                                                                                          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,2012,2013,2014,,
08020,DELAWARE,SUSSEX,0,"19,082","45,982",,
09000,DISTRICT OF COLUMBIA,THE DISTRICT,"4,757","39,201","466,188",,
10000,FLORIDA,ALACHUA,"1,165","9,083","39,677",,
10010,FLORIDA,BAKER,0,290,"2,290",,
10020,FLORIDA,BAY,"2,281","11,429","14,476",,
10030,FLORIDA,BRADFORD,0,44,"8,552",,
10040,FLORIDA,BREVARD,"5,258","79,033","105,852",,
10050,FLORIDA,BROWARD,"16,109","1,803,532","2,534,689",,
10060,FLORIDA,CALHOUN,0,"5,299","11,154",,
10070,FLORIDA,CHARLOTTE,"4,095","1,634,391","2,911,008",,
10080,FLORIDA,CITRUS,"2,690","708,387","572,672",,
10090,FLORIDA,CLAY,"1,703","16,500","185,719",,
10100,FLORIDA,COLLIER,"31,254","1,007,479","2,246,206",,
10110,FLORIDA,COLUMBIA,0,"4,726","3,294",,
10120,FLORIDA,MIAMI-DADE,"5,929","1,756,733","4,473,920",,
10130,FLORIDA,DE SOTO,149,"71,754","1,085,855",,
10140,FLORIDA,DIXIE,0,87,"2,143",,
10150,FLORIDA,DUVAL,"2,766","21,539","211,662",,
10160,FLORIDA,ESCAMBIA,"2,470","20,770","32,851",,
10170,FLORIDA,FLAGLER,"2,857","38,267","44,240",,
10180,FLORIDA,FRANKLIN,0,"7,775","11,147",,
10190,FLORIDA,GADSDEN,0,"34,811","70,877",,
10200,FLORIDA,GILCHRIST,0,870,"1,739",,
10210,FLORIDA,GLADES,0,"123,297","103,815",,
10220,FLORIDA,GULF,0,"1,240","1,441",,
10230,FLORIDA,HAMILTON,0,553,447,,
10240,FLORIDA,HARDEE,0,"6,139","135,724",,
10250,FLORIDA,HENDRY,488,"69,632","56,026",,
10260,FLORIDA,HERNANDO,"2,437","2,433,560","3,829,940",,
10270,FLORIDA,HIGHLANDS,"1,917","89,929","310,556",,
10280,FLORIDA,HILLSBOROUGH,"4,069","567,697","1,627,784",,
10290,FLORIDA,HOLMES,0,606,"3,066",,
10300,FLORIDA,INDIAN RIVER,"7,683","187,235","1,057,601",,
10310,FLORIDA,JACKSON,0,"102,135","219,562",,
10320,FLORIDA,JEFFERSON,58,"10,649","23,706",,
10330,FLORIDA,LAFAYETTE,0,0,440,,
10340,FLORIDA,LAKE,"7,564","1,109,268","2,358,179",,
