Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,State,County Name,Carrier 2016,Locality 2016,GPCI WK 2010,GPCI WK 2011,GPCI WK 2012,GPCI WK 2013,GPCI WK 2014,GPCI WK 2015,GPCI WK 2016,GPCI PE 2010,GPCI PE 2011,GPCI PE 2012,GPCI PE 2013,GPCI PE 2014,GPCI PE 2015,GPCI PE 2016,GPCI MP 2010,GPCI MP 2011,GPCI MP 2012,GPCI MP 2013,GPCI MP 2014,GPCI MP 2015,GPCI MP 2016
01540,ALABAMA,Pike,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01550,ALABAMA,Randolph,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01560,ALABAMA,Russell,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01570,ALABAMA,St. Clair,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01580,ALABAMA,Shelby,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01590,ALABAMA,Sumter,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01600,ALABAMA,Talladega,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01610,ALABAMA,Tallapoosa,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01620,ALABAMA,Tuscaloosa,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01630,ALABAMA,Walker,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01640,ALABAMA,Washington,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01650,ALABAMA,Wilcox,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01660,ALABAMA,Winston,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
02013,ALASKA,Aleutians East,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02016,ALASKA,Aleutians West,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02020,ALASKA,Anchorage,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02050,ALASKA,Bethel,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02060,ALASKA,Bristol Bay,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02068,ALASKA,Denali,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02070,ALASKA,Dillingham,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02090,ALASKA,Fairbanks North Star,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02100,ALASKA,Haines,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02110,ALASKA,Juneau,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02122,ALASKA,Kenai Peninsula,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02130,ALASKA,Ketchikan Gateway,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02150,ALASKA,Kodiak Island,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02164,ALASKA,Lake and Peninsula,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02170,ALASKA,Matanuska-Susitna,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02180,ALASKA,Nome,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02185,ALASKA,North Slope,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02188,ALASKA,Northwest Arctic,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02220,ALASKA,Sitka,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02240,ALASKA,Southeast Fairbanks,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02261,ALASKA,Valdez Cordova,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
