DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES (DISPROPORTIONATE SHARE REPRICED TO UNCOMPAENSATED CARE UNTIL SEPTEMBER 2013)                                                                                                                                                      DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY. ,,,,,,,,
CODE,STATE,COUNTY,PART A 2010,PART A 2011,PART A 2012,PART A 2013         (JAN-SEP),PART A 2013   (OCT-DEC),PART A 2014
04630,ARKANSAS,SCOTT,"-43,788","-39,897","-13,138","-5,660",-996,"-17,206"
04640,ARKANSAS,SEARCY,"-20,065","-33,456","-42,752","-17,648","-3,617","-15,617"
04650,ARKANSAS,SEBASTIAN,"-351,416","-318,096","-256,024","-183,473","-91,056","-319,542"
04660,ARKANSAS,SEVIER,"-21,755","-49,953","-35,620","-33,467","-4,975","-20,304"
04670,ARKANSAS,SHARP,"-182,062","-177,806","-179,047","-106,627","-16,574","-67,502"
04680,ARKANSAS,STONE,"-63,687","-72,633","-53,624","-43,045","-4,368","-32,813"
04690,ARKANSAS,UNION,"-56,814","-81,564","-94,308","-56,693","-17,046","-59,002"
04700,ARKANSAS,VAN BUREN,"-75,505","-36,876","-48,184","-27,010","-12,825","-28,871"
04710,ARKANSAS,WASHINGTON,"-156,422","-157,950","-141,798","-109,586","-46,534","-199,683"
04720,ARKANSAS,WHITE,"-366,343","-340,594","-443,503","-249,628","-49,755","-208,242"
04730,ARKANSAS,WOODRUFF,"-57,566","-59,463","-47,846","-26,406","-6,306","-50,521"
04740,ARKANSAS,YELL,"-83,581","-91,055","-81,724","-78,941","-12,497","-36,561"
05000,CALIFORNIA,ALAMEDA,"-4,644,996","-4,930,412","-4,762,551","-3,590,867","-642,460","-2,371,472"
05010,CALIFORNIA,ALPINE,281,"-2,135","-1,399",106,0,"-2,262"
05020,CALIFORNIA,AMADOR,"-158,453","-159,653","-221,973","-173,851","-7,424","-39,344"
05030,CALIFORNIA,BUTTE,"-1,293,537","-1,355,245","-1,514,283","-1,550,559","-181,644","-761,923"
05040,CALIFORNIA,CALAVERAS,"-100,879","-191,665","-171,156","-101,761","-21,888","-53,461"
05050,CALIFORNIA,COLUSA,"-83,451","-76,211","-72,978","-30,505","-2,677","-23,894"
05060,CALIFORNIA,CONTRA COSTA,"-1,936,114","-2,181,393","-2,013,743","-1,510,095","-308,816","-1,240,602"
05070,CALIFORNIA,DEL NORTE,"-77,054","-60,281","-76,688","-72,525","-9,699","-33,570"
05080,CALIFORNIA,EL DORADO,"-272,795","-403,124","-359,741","-339,679","-49,286","-186,531"
05090,CALIFORNIA,FRESNO,"-3,374,163","-3,148,264","-3,343,175","-2,246,067","-697,135","-2,344,589"
05100,CALIFORNIA,GLENN,"-79,804","-78,539","-100,787","-142,079","-13,559","-40,460"
05110,CALIFORNIA,HUMBOLDT,"-732,251","-597,067","-644,375","-683,247","-69,147","-301,297"
05120,CALIFORNIA,IMPERIAL,"-954,803","-953,859","-996,440","-731,433","-55,406","-180,486"
05130,CALIFORNIA,INYO,"-30,178","-31,349","-71,408","-17,916",-589,"-9,135"
05140,CALIFORNIA,KERN,"-2,223,016","-1,124,768","-1,486,540","-1,565,100","-952,970","-3,312,628"
05150,CALIFORNIA,KINGS,"-403,334","-124,587","-201,935","16,462","139,030","603,671"
05160,CALIFORNIA,LAKE,"-557,244","-721,341","-732,486","-539,880","-40,721","-171,320"
05170,CALIFORNIA,LASSEN,"-71,943","-46,053","-71,364","-23,637","-10,432","-35,247"
05200,CALIFORNIA,LOS ANGELES,"-26,210,217","-27,426,347","-25,464,203","-17,979,989","-6,681,107","-21,828,899"
05300,CALIFORNIA,MADERA,"-497,961","-550,619","-631,505","-439,802","-72,167","-291,404"
05310,CALIFORNIA,MARIN,"-222,212","-200,327","-250,486","-253,101","-38,718","-111,737"
05320,CALIFORNIA,MARIPOSA,"-76,206","-45,160","-44,149","-85,281","-7,929","-27,150"
05330,CALIFORNIA,MENDOCINO,"-520,654","-419,995","-353,741","-391,753","-54,206","-135,235"
05340,CALIFORNIA,MERCED,"-906,030","-1,022,048","-1,141,167","-1,046,255","-126,098","-480,951"
05350,CALIFORNIA,MODOC,"-42,672","-24,796","-64,173","-14,288","-5,599","-21,403"
05360,CALIFORNIA,MONO,"-14,185","-21,302","-11,464","-2,153","-3,479","-10,700"
05370,CALIFORNIA,MONTEREY,"-487,635","-565,627","-998,005","-943,068","-344,590","-1,077,092"
05380,CALIFORNIA,NAPA,"-343,701","-268,964","-252,537","-218,031","-17,564","-87,119"
05390,CALIFORNIA,NEVADA,"-173,717","-275,318","-210,070","-208,213","-30,649","-105,597"
05400,CALIFORNIA,ORANGE,"-2,488,339","-1,969,828","-2,003,289","-1,363,648","-461,582","-1,512,991"
05410,CALIFORNIA,PLACER,"-483,886","-416,427","-551,837","-397,485","-112,582","-357,664"
05420,CALIFORNIA,PLUMAS,"-59,113","-85,253","-89,876","-38,496","-13,434","-37,077"
05430,CALIFORNIA,RIVERSIDE,"-1,560,237","-1,604,204","-1,813,709","-1,199,356","-1,016,680","-2,897,646"
05440,CALIFORNIA,SACRAMENTO,"-3,815,982","-4,121,284","-4,934,565","-4,375,689","-895,323","-3,180,857"
05450,CALIFORNIA,SAN BENITO,"-109,408","-128,077","-140,240","-108,392","-16,643","-71,824"
05460,CALIFORNIA,SAN BERNARDINO,"-2,444,255","-1,774,666","-1,958,596","-1,084,219","-797,342","-2,708,659"
05470,CALIFORNIA,SAN DIEGO,"-6,243,514","-6,717,996","-7,423,345","-5,936,374","-1,098,569","-3,305,780"
05480,CALIFORNIA,SAN FRANCISCO,"-2,747,876","-2,512,635","-2,898,139","-2,578,564","-488,696","-1,759,613"
05490,CALIFORNIA,SAN JOAQUIN,"-2,084,971","-1,803,020","-1,866,523","-1,337,253","-478,183","-1,683,569"
05500,CALIFORNIA,SAN LUIS OBISPO,"-388,424","-359,078","-409,530","-471,827","-120,495","-341,838"
