"AGED - PUERTO RICO - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B . REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
40660,PUERTO RICO,SAN SEBASTIAN,"1,850","1,844,166",83.07,"1,710,637",77.06,"59,001","18,951","55,576",489,"1,024,428",174.58,0.967,
40670,PUERTO RICO,SANTA ISABEL,728,"829,741",94.98,"758,624",86.84,"19,450","7,286","44,379",162,"276,460",142.21,0.984,
40680,PUERTO RICO,TOA ALTA,"1,408","1,798,440",106.44,"1,713,947",101.44,"33,951","16,506","34,035",477,"1,128,003",197.07,0.912,
40690,PUERTO RICO,TOA BAJA,986,"1,229,566",103.92,"1,171,159",98.98,"22,150","12,164","24,092",326,"769,551",196.72,0.992,
40700,PUERTO RICO,TRUJILLO ALTO,"1,966","1,907,135",80.84,"1,792,959",76.00,"36,118","19,036","59,021",954,"2,263,489",197.72,0.966,
40710,PUERTO RICO,UTUADO,"1,176","1,084,062",76.82,"1,053,604",74.66,"9,369","12,766","8,321",176,"268,453",127.11,0.905,
40720,PUERTO RICO,VEGA ALTA,"1,108","1,097,463",82.54,"1,061,728",79.85,"13,152","8,531","14,050",348,"751,459",179.95,1.021,
40730,PUERTO RICO,VEGA BAJA,"1,875","2,927,557",130.11,"2,862,694",127.23,"25,898","28,644","10,320",631,"1,668,772",220.39,0.976,
40740,PUERTO RICO,VIEQUES,"1,191","1,649,080",115.38,"1,595,063",111.61,"26,538","9,828","17,649",468,"984,675",175.33,0.881,
40750,PUERTO RICO,VILLALBA,"1,053","1,323,264",104.72,"1,232,912",97.57,"24,797","13,288","52,266",195,"520,731",222.53,1.027,
40760,PUERTO RICO,YABUCOA,"1,316","1,268,152",80.30,"1,236,719",78.31,"8,408","16,433","6,591",307,"505,311",137.16,0.923,
40770,PUERTO RICO,YAUCO,"1,818","2,485,961",113.95,"2,348,853",107.67,"37,001","23,270","76,835",556,"1,286,098",192.76,0.965,
