DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
03110,ARIZONA,SANTA CRUZ,248,-46,112,-37,-202,95,-11,463,-235,-265
03120,ARIZONA,YAVAPAI,"18,198","-35,261","-39,355","-38,254","18,130","22,520","-41,895","-40,948","-35,477","20,133"
03130,ARIZONA,YUMA,"11,181","14,999","13,494","13,763","11,929","11,450","13,571","17,292","12,640","12,567"
04000,ARKANSAS,ARKANSAS,-729,-20,113,-606,-815,"-1,141",-32,330,"-1,269",-919
04010,ARKANSAS,ASHLEY,-525,-21,146,-684,"-1,290","-1,259",-24,323,"-1,939","-1,577"
04020,ARKANSAS,BAXTER,"-1,576",-40,336,"-2,597","-1,576","-2,385",-60,628,"-3,558","-4,706"
04030,ARKANSAS,BENTON,"-6,074","-2,690","-14,429","-21,622","-13,628","-11,581","-5,148","-28,483","-37,582","-28,368"
04040,ARKANSAS,BOONE,-965,-27,228,"-1,527","-1,337","-1,591",-19,261,"-2,066","-2,016"
04050,ARKANSAS,BRADLEY,-331,-11,131,-657,-641,"-1,975",-43,306,"-1,889","-1,932"
04060,ARKANSAS,CALHOUN,-177,-5,40,-395,-285,-227,-8,121,-556,-422
04070,ARKANSAS,CARROLL,-783,-12,93,"-1,065",-966,"-1,191",-31,319,"-1,118","-1,597"
04080,ARKANSAS,CHICOT,-341,-24,68,-476,-506,-414,-14,94,-626,-637
04090,ARKANSAS,CLARK,-650,-15,102,-643,"-1,207","-1,443",-28,170,"-1,275","-1,810"
04100,ARKANSAS,CLAY,-417,-29,210,"-1,045",-826,-865,-30,202,-802,"-1,440"
04110,ARKANSAS,CLEBURNE,"-1,317",-17,171,"-1,119",-525,-839,-25,222,"-1,282","-1,431"
04120,ARKANSAS,CLEVELAND,"1,172",-582,144,-472,"-1,138","2,834",-775,236,-483,"-1,700"
04130,ARKANSAS,COLUMBIA,-391,-15,171,"-1,275","-1,456","-1,122",-23,244,"-1,085","-1,065"
04140,ARKANSAS,CONWAY,-643,-12,134,"-1,422","-1,709",-932,-21,173,"-1,319","-1,682"
04150,ARKANSAS,CRAIGHEAD,"1,680","1,347","1,875","-5,369","-4,870","2,129","1,419","3,134","-7,342","-6,632"
04160,ARKANSAS,CRAWFORD,"-5,218","-2,854","-3,868","-8,325","-4,142","-16,199","-4,840","-6,048","-12,646","-4,583"
04170,ARKANSAS,CRITTENDEN,"-7,979","-6,235","-5,870","-2,911","-2,845","-19,982","-17,412","-14,493","-6,749","-5,328"
04180,ARKANSAS,CROSS,-159,-11,102,-731,-564,"-1,431",-31,200,-997,"-1,496"
04190,ARKANSAS,DALLAS,-471,-6,57,-451,-281,-809,-14,97,-396,-862
04200,ARKANSAS,DESHA,-971,-16,82,-818,"-1,076","-1,784",-23,206,-919,"-1,004"
04210,ARKANSAS,DREW,-342,-16,100,-664,"-1,184","-1,272",-31,283,"-1,402","-1,948"
04220,ARKANSAS,FAULKNER,"-3,591","-1,837","-3,624","-4,609","-4,847","-3,526","-3,303","-4,416","-6,576","-7,472"
04230,ARKANSAS,FRANKLIN,"-1,183","-1,507",-805,"-1,465","-1,734","-2,710",-840,"-1,706","-3,368","-1,985"
04240,ARKANSAS,FULTON,-627,-15,118,-798,-826,"-1,731",-54,426,"-1,813","-1,738"
04250,ARKANSAS,GARLAND,"-19,275","-24,376","-18,453","-17,795","-2,375","-29,940","-28,906","-26,326","-18,183","-2,136"
04260,ARKANSAS,GRANT,-915,-449,-581,-828,-915,"-1,410",-683,-908,-786,"-1,079"
04270,ARKANSAS,GREENE,"-1,550",-30,306,"-1,594","-2,219","-1,536",-47,368,"-2,290","-3,132"
