AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
04020,ARKANSAS,BAXTER,"-15,481",-393,"3,727","-21,112","-17,799","-19,987",-488,"5,204","-27,220","-31,133"
04030,ARKANSAS,BENTON,"-78,811","-29,349","-185,952","-206,669","-133,427","-91,395","-41,921","-234,363","-261,345","-195,322"
04040,ARKANSAS,BOONE,"-8,492",-204,"1,570","-9,897","-9,606","-7,109",-159,"1,722","-9,388","-12,231"
04050,ARKANSAS,BRADLEY,"-3,131",-106,762,"-4,113","-5,368","-17,641",-376,"3,217","-14,928","-18,609"
04060,ARKANSAS,CALHOUN,"-1,481",-29,275,"-1,657","-1,325","-3,583",-73,715,"-3,044","-4,205"
04070,ARKANSAS,CARROLL,"-4,704",-126,954,"-6,090","-6,963","-8,022",-164,"1,333","-6,081","-9,641"
04080,ARKANSAS,CHICOT,"-3,870",-85,630,"-3,992","-4,625","-3,806",-129,886,"-4,195","-4,674"
04090,ARKANSAS,CLARK,"-5,638",-120,"1,079","-4,308","-6,388","-7,368",-143,"1,013","-5,108","-6,095"
04100,ARKANSAS,CLAY,"-6,920",-154,"1,202","-7,138","-7,704","-16,261",-327,"2,152","-10,957","-12,349"
04110,ARKANSAS,CLEBURNE,"-8,011",-210,"1,203","-7,466","-8,652","-10,087",-264,"2,160","-10,058","-13,334"
04120,ARKANSAS,CLEVELAND,"9,929","-3,865",586,"-1,366","-5,328","18,148","-10,610","1,940","-3,204","-11,610"
04130,ARKANSAS,COLUMBIA,"-5,660",-150,"1,349","-5,789","-7,419","-7,669",-183,"1,497","-9,411","-8,022"
04140,ARKANSAS,CONWAY,"-3,966",-80,651,"-5,753","-6,898","-5,209",-114,943,"-6,703","-8,877"
04150,ARKANSAS,CRAIGHEAD,"14,319","8,506","14,441","-40,867","-32,345","17,030","11,453","17,186","-56,166","-38,988"
04160,ARKANSAS,CRAWFORD,"-50,431","-22,029","-22,558","-53,990","-23,711","-81,153","-27,629","-27,065","-59,092","-23,926"
04170,ARKANSAS,CRITTENDEN,"-42,607","-30,712","-30,589","-15,271","-12,854","-91,249","-88,367","-73,364","-31,611","-26,730"
04180,ARKANSAS,CROSS,"-4,292",-97,694,"-3,873","-5,979","-5,688",-147,"1,165","-5,838","-8,174"
04190,ARKANSAS,DALLAS,"-2,321",-46,425,"-2,498","-2,759","-5,186",-106,804,"-2,853","-4,761"
04200,ARKANSAS,DESHA,"-4,395",-99,612,"-3,591","-4,241","-11,603",-260,"1,652","-9,426","-8,118"
04210,ARKANSAS,DREW,"-5,916",-131,"1,126","-6,066","-5,966","-10,705",-309,"2,515","-13,298","-12,971"
04220,ARKANSAS,FAULKNER,"-26,335","-25,518","-26,455","-36,770","-43,157","-25,889","-23,562","-20,044","-32,099","-40,003"
