"AGED - HOSPICE - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA
02170,ALASKA,MATANUSKA-SUSITNA,"7,935","1,006,671",10.57,"1,006,671",10.57,0,0,0,"7,139",0,0
02180,ALASKA,NOME,635,0,0.00,0,0.00,0,0,0,493,0,0
02190,ALASKA,OUTER KETCHIKAN DIVISION,211,533,0.21,534,0.21,0,0,0,169,0,0
02200,ALASKA,PRINCE OF WALES,375,"8,618",1.92,"8,618",1.92,0,0,0,325,0,0
02210,ALASKA,SEWARD,620,"15,294",2.06,"15,294",2.06,0,0,0,557,0,0
02220,ALASKA,SITKA BOROUGH,"1,062","100,449",7.88,"100,449",7.88,0,0,0,940,0,0
02230,ALASKA,SKAGWAY-YAKUTAT,473,"4,323",0.76,"4,323",0.76,0,0,0,427,0,0
02240,ALASKA,SOUTHEAST FAIRBANKS,559,"27,392",4.08,"27,391",4.08,0,0,0,508,0,0
02250,ALASKA,UPPER YUKON,198,"36,045",15.17,"36,046",15.17,0,0,0,173,0,0
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,993,"25,507",2.14,"25,508",2.14,0,0,0,849,0,0
02270,ALASKA,WADE HAMPTON,418,0,0.00,0,0.00,0,0,0,349,0,0
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,930,"25,176",2.26,"25,176",2.26,0,0,0,861,0,0
02290,ALASKA,YUKON-KOYUKUK,544,"70,149",10.75,"70,150",10.75,0,0,0,473,0,0
03000,ARIZONA,APACHE,"7,461","1,345,566",15.03,"1,345,566",15.03,0,0,0,"6,870",0,0
03010,ARIZONA,COCHISE,"16,899","5,290,783",26.09,"5,290,784",26.09,0,0,0,"15,360",0,0
03020,ARIZONA,COCONINO,"15,503","8,872,150",47.69,"8,872,150",47.69,0,0,0,"14,247",0,0
03030,ARIZONA,GILA,"11,237","6,694,220",49.64,"6,694,220",49.64,0,0,0,"10,552",0,0
03040,ARIZONA,GRAHAM,"2,940","838,227",23.76,"838,228",23.76,0,0,0,"2,732",0,0
03050,ARIZONA,GREENLEE,872,"166,750",15.94,"166,749",15.94,0,0,0,813,0,0
03055,ARIZONA,LAPAZ,"3,746","1,590,621",35.38,"1,590,621",35.38,0,0,0,"3,424",0,0
03060,ARIZONA,MARICOPA,"294,393","248,238,067",70.27,"248,238,067",70.27,0,0,0,"262,047",0,0
03070,ARIZONA,MOHAVE,"35,572","15,957,854",37.38,"15,957,854",37.38,0,0,0,"33,166",0,0
03080,ARIZONA,NAVAJO,"12,922","5,386,805",34.74,"5,386,805",34.74,0,0,0,"12,094",0,0
03090,ARIZONA,PIMA,"92,933","54,364,447",48.75,"54,364,447",48.75,0,0,0,"81,966",0,0
03100,ARIZONA,PINAL,"28,494","21,330,136",62.38,"21,330,136",62.38,0,0,0,"25,744",0,0
03110,ARIZONA,SANTA CRUZ,"3,877","2,524,661",54.27,"2,524,661",54.27,0,0,0,"3,365",0,0
03120,ARIZONA,YAVAPAI,"41,126","26,723,649",54.15,"26,723,650",54.15,0,0,0,"37,652",0,0
03130,ARIZONA,YUMA,"20,845","10,982,895",43.91,"10,982,895",43.91,0,0,0,"19,396",0,0
04000,ARKANSAS,ARKANSAS,"2,896","551,031",15.86,"551,031",15.86,0,0,0,"2,695",0,0
04010,ARKANSAS,ASHLEY,"3,334","759,715",18.99,"759,716",18.99,0,0,0,"3,197",0,0
04020,ARKANSAS,BAXTER,"8,896","2,837,613",26.58,"2,837,613",26.58,0,0,0,"8,498",0,0
04030,ARKANSAS,BENTON,"19,850","5,863,184",24.61,"5,863,184",24.61,0,0,0,"17,846",0,0
04040,ARKANSAS,BOONE,"6,190","1,265,493",17.04,"1,265,493",17.04,0,0,0,"5,823",0,0
04050,ARKANSAS,BRADLEY,"1,698","459,601",22.56,"459,601",22.56,0,0,0,"1,635",0,0
04060,ARKANSAS,CALHOUN,656,"221,725",28.17,"221,724",28.17,0,0,0,615,0,0
04070,ARKANSAS,CARROLL,"3,776","952,959",21.03,"952,958",21.03,0,0,0,"3,434",0,0
04080,ARKANSAS,CHICOT,"1,876","347,515",15.44,"347,515",15.44,0,0,0,"1,764",0,0
04090,ARKANSAS,CLARK,"3,043","749,606",20.53,"749,606",20.53,0,0,0,"2,835",0,0
04100,ARKANSAS,CLAY,"2,776","320,657",9.63,"320,656",9.63,0,0,0,"2,619",0,0
04110,ARKANSAS,CLEBURNE,"5,247","1,475,282",23.43,"1,475,282",23.43,0,0,0,"5,037",0,0
04120,ARKANSAS,CLEVELAND,"1,249","300,633",20.06,"300,633",20.06,0,0,0,"1,187",0,0
04130,ARKANSAS,COLUMBIA,"3,387","841,089",20.69,"841,089",20.69,0,0,0,"3,221",0,0
04140,ARKANSAS,CONWAY,"3,179","1,045,859",27.42,"1,045,858",27.42,0,0,0,"2,982",0,0
04150,ARKANSAS,CRAIGHEAD,"11,503","2,757,399",19.98,"2,757,398",19.98,0,0,0,"10,792",0,0
04160,ARKANSAS,CRAWFORD,"5,692","2,069,741",30.30,"2,069,740",30.30,0,0,0,"5,166",0,0
04170,ARKANSAS,CRITTENDEN,"4,866","938,356",16.07,"938,356",16.07,0,0,0,"4,442",0,0
04180,ARKANSAS,CROSS,"2,381","709,306",24.83,"709,306",24.83,0,0,0,"2,255",0,0
04190,ARKANSAS,DALLAS,"1,114","182,918",13.68,"182,918",13.68,0,0,0,"1,054",0,0
04200,ARKANSAS,DESHA,"1,852","491,317",22.11,"491,317",22.11,0,0,0,"1,752",0,0
04210,ARKANSAS,DREW,"2,332","724,895",25.90,"724,895",25.90,0,0,0,"2,207",0,0
04220,ARKANSAS,FAULKNER,"12,045","5,280,321",36.53,"5,280,321",36.53,0,0,0,"11,052",0,0
04230,ARKANSAS,FRANKLIN,"2,217","589,029",22.14,"589,029",22.14,0,0,0,"2,069",0,0
04240,ARKANSAS,FULTON,"2,093","527,333",21.00,"527,333",21.00,0,0,0,"1,977",0,0
04250,ARKANSAS,GARLAND,"20,899","11,691,596",46.62,"11,691,596",46.62,0,0,0,"19,668",0,0
04260,ARKANSAS,GRANT,"2,241","829,890",30.86,"829,889",30.86,0,0,0,"2,099",0,0
04270,ARKANSAS,GREENE,"5,064","629,327",10.36,"629,327",10.36,0,0,0,"4,782",0,0
04280,ARKANSAS,HEMPSTEAD,"2,476","1,286,648",43.30,"1,286,648",43.30,0,0,0,"2,325",0,0
04290,ARKANSAS,HOT SPRING,"4,408","1,704,710",32.23,"1,704,710",32.23,0,0,0,"4,133",0,0
04300,ARKANSAS,HOWARD,"2,057","1,126,928",45.65,"1,126,928",45.65,0,0,0,"1,916",0,0
04310,ARKANSAS,INDEPENDENCE,"5,656","1,142,695",16.84,"1,142,695",16.84,0,0,0,"5,360",0,0
04320,ARKANSAS,IZARD,"2,377","1,088,460",38.16,"1,088,461",38.16,0,0,0,"2,245",0,0
04330,ARKANSAS,JACKSON,"2,583","759,253",24.50,"759,253",24.50,0,0,0,"2,472",0,0
04340,ARKANSAS,JEFFERSON,"8,812","3,599,507",34.04,"3,599,507",34.04,0,0,0,"8,003",0,0
04350,ARKANSAS,JOHNSON,"2,794","820,333",24.47,"820,333",24.47,0,0,0,"2,573",0,0
04360,ARKANSAS,LAFAYETTE,"1,048","1,025,281",81.53,"1,025,280",81.53,0,0,0,993,0,0
04370,ARKANSAS,LAWRENCE,"2,987","946,826",26.42,"946,826",26.42,0,0,0,"2,834",0,0
04380,ARKANSAS,LEE,"1,037","269,058",21.62,"269,058",21.62,0,0,0,973,0,0
04390,ARKANSAS,LINCOLN,"1,365","655,770",40.03,"655,770",40.03,0,0,0,"1,267",0,0
04400,ARKANSAS,LITTLE RIVER,"2,038","1,705,701",69.75,"1,705,700",69.75,0,0,0,"1,903",0,0
04410,ARKANSAS,LOGAN,"3,102","892,262",23.97,"892,262",23.97,0,0,0,"2,908",0,0
04420,ARKANSAS,LONOKE,"7,434","2,570,036",28.81,"2,570,036",28.81,0,0,0,"6,875",0,0
04430,ARKANSAS,MADISON,"2,264","726,610",26.75,"726,610",26.75,0,0,0,"1,978",0,0
04440,ARKANSAS,MARION,"2,645","595,858",18.77,"595,858",18.77,0,0,0,"2,482",0,0
04450,ARKANSAS,MILLER,"5,196","3,352,104",53.76,"3,352,104",53.76,0,0,0,"4,814",0,0
