DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
04180,ARKANSAS,CROSS,-648,-127,-548,"-1,254",-871
04190,ARKANSAS,DALLAS,349,-138,-510,"-1,765",-865
04200,ARKANSAS,DESHA,-341,-617,-90,"-1,276",-624
04210,ARKANSAS,DREW,-311,45,-38,"-1,392","-2,838"
04220,ARKANSAS,FAULKNER,"-5,907","-8,095","-7,464","-14,372","-11,050"
04230,ARKANSAS,FRANKLIN,"-1,337","-1,148","-4,788","-4,646","-3,981"
04240,ARKANSAS,FULTON,-255,-639,-136,"-1,125",-327
04250,ARKANSAS,GARLAND,"-25,193","-38,150","-34,345","-30,279","-6,547"
04260,ARKANSAS,GRANT,"-2,079",-525,"-1,288","-1,372",-692
04270,ARKANSAS,GREENE,-189,330,-284,"-1,557","-2,063"
04280,ARKANSAS,HEMPSTEAD,-773,-174,"-1,235","-1,280",-118
04290,ARKANSAS,HOT SPRING,"-1,607","-4,825","-6,085","-2,492","-2,152"
04300,ARKANSAS,HOWARD,"-1,579",-791,"-1,039",-425,-791
04310,ARKANSAS,INDEPENDENCE,"-1,699",99,-756,"-3,784","-2,619"
04320,ARKANSAS,IZARD,-287,-151,129,-776,-572
04330,ARKANSAS,JACKSON,"-2,217",134,-15,"-2,119","-2,210"
04340,ARKANSAS,JEFFERSON,"2,732","-4,083",65,"-4,390","-11,445"
04350,ARKANSAS,JOHNSON,117,161,-772,95,"-1,258"
04360,ARKANSAS,LAFAYETTE,-418,271,"-2,302",-852,-591
04370,ARKANSAS,LAWRENCE,-131,159,-515,"-1,750",-615
04380,ARKANSAS,LEE,-387,95,-407,-105,-184
04390,ARKANSAS,LINCOLN,"1,550",-820,8,-954,"-1,714"
04400,ARKANSAS,LITTLE RIVER,109,-687,779,-604,304
04410,ARKANSAS,LOGAN,-565,-588,"-1,059","-2,321","-2,507"
04420,ARKANSAS,LONOKE,"-5,942","-6,327","-3,829","-5,234","-5,027"
04430,ARKANSAS,MADISON,"-2,011","-1,176","-6,820","-3,252","-3,283"
