"DISABLED - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B EXCEPT FOR PUERTO RICO WHERE ENROLLED IN BOTH PARTS A AND B. REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
04040,ARKANSAS,BOONE,"1,748","4,236,731",201.98,"4,021,332",191.71,"97,448","86,447","31,504","1,568","5,858,193",311.34,0.968,
04050,ARKANSAS,BRADLEY,503,"1,555,369",257.68,"1,481,566",245.45,"30,444","29,002","14,355",463,"2,309,352",415.65,1.006,
04060,ARKANSAS,CALHOUN,206,"436,466",176.56,"407,772",164.96,"12,715","9,706","6,271",189,"883,833",389.70,0.950,
04070,ARKANSAS,CARROLL,783,"2,099,337",223.43,"2,038,815",216.99,"23,482","29,127","7,911",683,"2,602,494",317.53,0.863,
04080,ARKANSAS,CHICOT,515,"1,763,270",285.32,"1,675,203",271.07,"25,576","50,785","11,704",485,"1,842,631",316.60,0.948,
04090,ARKANSAS,CLARK,680,"2,520,028",308.83,"2,439,283",298.93,"29,184","37,934","13,625",610,"2,192,707",299.55,0.967,
04100,ARKANSAS,CLAY,744,"1,762,782",197.44,"1,654,319",185.30,"39,411","54,911","14,138",680,"2,783,092",341.07,0.913,
04110,ARKANSAS,CLEBURNE,"1,073","2,534,593",196.85,"2,410,195",187.19,"50,763","56,738","16,896",973,"3,637,348",311.52,0.894,
04120,ARKANSAS,CLEVELAND,327,"1,171,857",298.64,"1,080,973",275.48,"38,585","30,671","21,627",302,"1,451,794",400.61,0.983,
04130,ARKANSAS,COLUMBIA,983,"3,264,762",276.77,"3,103,513",263.10,"70,915","66,143","24,191",916,"3,330,417",302.99,0.940,
04140,ARKANSAS,CONWAY,933,"2,747,669",245.42,"2,648,856",236.59,"34,174","47,597","17,041",837,"3,858,861",384.20,0.947,
04150,ARKANSAS,CRAIGHEAD,"3,620","12,910,777",297.21,"12,296,504",283.07,"215,598","301,509","97,164","3,305","13,854,308",349.33,0.952,
04160,ARKANSAS,CRAWFORD,"1,917","5,218,535",226.85,"4,954,152",215.36,"111,471","127,009","25,901","1,635","6,365,327",324.43,0.960,
04170,ARKANSAS,CRITTENDEN,"1,871","8,203,410",365.38,"7,480,580",333.18,"335,131","266,960","120,737","1,688","6,464,830",319.16,1.038,
04180,ARKANSAS,CROSS,602,"1,717,187",237.71,"1,605,893",222.30,"50,064","42,703","18,525",551,"2,193,276",331.71,0.929,
04190,ARKANSAS,DALLAS,315,"817,108",216.17,"759,289",200.87,"27,570","17,912","12,336",287,"1,109,140",322.05,0.949,
04200,ARKANSAS,DESHA,498,"2,172,636",363.56,"2,034,742",340.49,"54,501","51,099","32,292",456,"2,230,541",407.63,0.978,
04210,ARKANSAS,DREW,658,"3,135,806",397.14,"2,959,386",374.80,"75,827","73,110","27,481",613,"3,012,765",409.57,0.981,
04220,ARKANSAS,FAULKNER,"3,204","9,322,235",242.46,"8,699,815",226.27,"293,254","198,651","130,513","2,828","10,310,474",303.82,0.922,
04230,ARKANSAS,FRANKLIN,602,"2,168,364",300.16,"2,087,957",289.03,"32,259","41,795","6,352",535,"2,073,087",322.91,0.923,
04240,ARKANSAS,FULTON,596,"2,073,784",289.96,"1,962,517",274.40,"56,864","41,764","12,637",539,"2,278,740",352.31,0.970,
04250,ARKANSAS,GARLAND,"3,658","12,427,929",283.12,"12,073,914",275.06,"119,085","177,792","57,137","3,286","13,661,780",346.46,0.940,
