AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-33,109","-34,614","-36,511","-36,192","-21,403",,,,,
04140,ARKANSAS                 ,CONWAY,"-33,498","-28,463","-27,831","-31,293","-24,906",,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-50,128","-45,541","-22,988","10,356","26,747",,,,,
04160,ARKANSAS                 ,CRAWFORD,"34,797","8,536","91,817","94,765","23,637",,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-48,744","-50,467","-54,488","-46,201","-10,370",,,,,
04180,ARKANSAS                 ,CROSS,"-14,583","-11,582","-10,131","-5,712",-175,,,,,
04190,ARKANSAS                 ,DALLAS,"-11,752","-11,769","-13,350","-12,321","-7,851",,,,,
04200,ARKANSAS                 ,DESHA,"-22,513","-19,106","-17,080","-17,801","-13,360",,,,,
04210,ARKANSAS                 ,DREW,"-32,295","-25,543","-23,519","-21,541","-20,639",,,,,
04220,ARKANSAS                 ,FAULKNER,"-175,711","-147,200","-137,655","-139,242","-125,861",,,,,
04230,ARKANSAS                 ,FRANKLIN,"26,006","22,564","39,392","34,272","14,871",,,,,
04240,ARKANSAS                 ,FULTON,"-19,618","-13,623","-13,519","-19,947","-14,982",,,,,
04250,ARKANSAS                 ,GARLAND,"-538,665","-561,649","-617,731","-541,586","-187,388",,,,,
04260,ARKANSAS                 ,GRANT,"-33,297","-28,051","-30,586","-30,552","-23,972",,,,,
04270,ARKANSAS                 ,GREENE,"-53,248","-34,409","-21,283","-10,931","9,908",,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-26,372","-20,415","-12,383","-18,910","-19,384",,,,,
04290,ARKANSAS                 ,HOT SPRING,"-78,489","-96,617","-110,982","-103,638","-43,177",,,,,
04300,ARKANSAS                 ,HOWARD,"-18,539","-19,659","-13,535","-15,765","-11,058",,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-139,280","-67,139","-71,664","-93,655","-71,804",,,,,
04320,ARKANSAS                 ,IZARD,"-33,248","-23,000","-19,662","-25,978","-15,409",,,,,
