AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
04490,ARKANSAS                 ,NEVADA,"-7,220",456,"3,747","3,615","-2,657",,,,,
04500,ARKANSAS                 ,NEWTON,"-4,679",-262,"2,032","1,570","-2,200",,,,,
04510,ARKANSAS                 ,OUACHITA,"-31,084",688,"25,137","18,231","-8,371",,,,,
04520,ARKANSAS                 ,PERRY,"-12,365","-6,369","-8,198","-7,304","-10,903",,,,,
04530,ARKANSAS                 ,PHILLIPS,"-9,437","-5,112","-4,536","-1,196","-4,138",,,,,
04540,ARKANSAS                 ,PIKE,"-13,175","-3,685","1,066",317,"-5,075",,,,,
04550,ARKANSAS                 ,POINSETT,"-13,907","7,801","6,896","-5,631","-36,102",,,,,
04560,ARKANSAS                 ,POLK,"-20,625",-439,"18,251","9,194","-5,443",,,,,
04570,ARKANSAS                 ,POPE,"-30,594","-2,544","21,422","16,804","-12,665",,,,,
04580,ARKANSAS                 ,PRAIRIE,"-15,591","-2,438","5,681","1,820","-4,584",,,,,
04590,ARKANSAS                 ,PULASKI,"-466,824","-329,660","-366,695","-370,979","-348,921",,,,,
04600,ARKANSAS                 ,RANDOLPH,"-14,964",645,"13,847","13,045","-5,427",,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-11,027","-6,973","-5,152","-4,798","-4,037",,,,,
04620,ARKANSAS                 ,SALINE,"-76,293","-51,091","-56,576","-59,242","-50,163",,,,,
04630,ARKANSAS                 ,SCOTT,"-8,748","-1,403","5,348","1,640","-4,515",,,,,
04640,ARKANSAS                 ,SEARCY,"-9,605",795,"3,108","2,075","-3,533",,,,,
04650,ARKANSAS                 ,SEBASTIAN,"-77,752","-126,628","-12,304","-59,337","-135,092",,,,,
04660,ARKANSAS                 ,SEVIER,"-15,473","-2,884","3,440","-1,335","-8,087",,,,,
04670,ARKANSAS                 ,SHARP,"-25,678",249,"16,879","11,314","-5,112",,,,,
04680,ARKANSAS                 ,STONE,"-7,880",-792,"7,917","8,930","-3,120",,,,,
04690,ARKANSAS                 ,UNION,"-41,286","-3,464","28,188","19,651","-14,273",,,,,
04700,ARKANSAS                 ,VAN BUREN,"-17,155","-2,059","1,430","1,905","-5,110",,,,,
04710,ARKANSAS                 ,WASHINGTON,"-246,951","-119,469","-155,317","-558,575","-424,466",,,,,
04720,ARKANSAS                 ,WHITE,"-66,884","-1,316","47,727","28,269","-24,999",,,,,
04730,ARKANSAS                 ,WOODRUFF,"-6,152",759,"4,348","2,817","-3,146",,,,,
04740,ARKANSAS                 ,YELL,"-10,671","-1,545","5,474","3,502","-4,866",,,,,
05000,CALIFORNIA               ,ALAMEDA,"4,071,359","3,438,815","4,226,147","4,154,431","1,778,348",,,,,
05010,CALIFORNIA               ,ALPINE,145,651,541,"1,690",485,,,,,
05020,CALIFORNIA               ,AMADOR,"255,797","191,082","180,941","189,002","92,611",,,,,
05030,CALIFORNIA               ,BUTTE,"1,106,725","671,922","470,367","1,031,481","639,842",,,,,
05040,CALIFORNIA               ,CALAVERAS,"284,013","366,066","355,271","244,907","130,790",,,,,
05050,CALIFORNIA               ,COLUSA,"144,068","117,156","115,184","82,808","50,425",,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"3,095,667","2,555,806","2,984,092","3,072,340","1,074,631",,,,,
05070,CALIFORNIA               ,DEL NORTE,"69,147","70,527","93,409","66,561","58,825",,,,,
05080,CALIFORNIA               ,EL DORADO,"1,164,326","952,907","1,080,047","1,144,571","523,902",,,,,
