DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
04500,ARKANSAS                 ,NEWTON,"3,569","-8,146","-7,334","1,520","1,152",,,,,,
04510,ARKANSAS                 ,OUACHITA,"15,658","-27,974","-29,452","6,773","6,069",,,,,,
04520,ARKANSAS                 ,PERRY,"7,083","-14,416","-12,942","2,709","2,173",,,,,,
04530,ARKANSAS                 ,PHILLIPS,"8,962","-17,817","-18,912","3,098","2,625",,,,,,
04540,ARKANSAS                 ,PIKE,"5,396","-8,232","-9,506","2,628","2,159",,,,,,
04550,ARKANSAS                 ,POINSETT,"19,394","-34,752","-35,620","8,009","7,022",,,,,,
04560,ARKANSAS                 ,POLK,"8,978","-15,107","-17,359","4,874","4,188",,,,,,
04570,ARKANSAS                 ,POPE,"30,232","-51,716","-58,899","14,489","14,340",,,,,,
04580,ARKANSAS                 ,PRAIRIE,"6,093","-10,175","-8,824","2,117","1,895",,,,,,
04590,ARKANSAS                 ,PULASKI,"213,023","-394,062","-420,011","86,054","84,045",,,,,,
04600,ARKANSAS                 ,RANDOLPH,"8,296","-15,205","-15,064","3,444","3,122",,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"9,567","-23,071","-24,737","4,390","4,071",,,,,,
04620,ARKANSAS                 ,SALINE,"36,013","-62,907","-57,428","12,492","12,391",,,,,,
04630,ARKANSAS                 ,SCOTT,"6,159","-10,230","-9,029","1,958","2,016",,,,,,
04640,ARKANSAS                 ,SEARCY,"4,752","-8,008","-8,315","2,395","1,694",,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"47,929","-86,742","-87,082","23,805","22,307",,,,,,
04660,ARKANSAS                 ,SEVIER,"7,285","-13,094","-13,319","3,056","3,762",,,,,,
04670,ARKANSAS                 ,SHARP,"16,277","-27,479","-30,877","5,996","5,629",,,,,,
04680,ARKANSAS                 ,STONE,"10,017","-15,594","-16,163","4,194","3,394",,,,,,
04690,ARKANSAS                 ,UNION,"34,601","-56,864","-61,977","18,841","16,068",,,,,,
04700,ARKANSAS                 ,VAN BUREN,"10,550","-21,723","-17,091","4,028","3,917",,,,,,
04710,ARKANSAS                 ,WASHINGTON,"63,247","-116,336","-128,448","29,887","29,233",,,,,,
04720,ARKANSAS                 ,WHITE,"46,125","-83,055","-85,213","19,488","18,472",,,,,,
04730,ARKANSAS                 ,WOODRUFF,"7,131","-10,134","-10,648","2,307","2,330",,,,,,
04740,ARKANSAS                 ,YELL,"14,347","-23,332","-26,117","5,762","5,797",,,,,,
05000,CALIFORNIA               ,ALAMEDA,"-50,466","-49,835","-150,001","42,295","66,409",,,,,,
05010,CALIFORNIA               ,ALPINE,180,190,-86,17,-38,,,,,,
05020,CALIFORNIA               ,AMADOR,"22,294","20,787","11,616","2,802","6,362",,,,,,
05030,CALIFORNIA               ,BUTTE,"203,827","211,630","111,846","17,651","60,066",,,,,,
05040,CALIFORNIA               ,CALAVERAS,"26,194","25,938","13,561","1,801","6,636",,,,,,
05050,CALIFORNIA               ,COLUSA,"11,177","12,057","4,461",296,"2,737",,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"-20,929","-31,605","-89,832","22,558","46,367",,,,,,
05070,CALIFORNIA               ,DEL NORTE,"24,563","20,624","11,410","2,063","6,339",,,,,,
05080,CALIFORNIA               ,EL DORADO,"75,491","82,090","42,231","5,961","19,906",,,,,,
05090,CALIFORNIA               ,FRESNO,"444,185","459,398","232,087","23,549","111,980",,,,,,
05100,CALIFORNIA               ,GLENN,"18,846","18,136","10,343","1,043","7,016",,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"90,789","95,752","49,376","8,231","27,559",,,,,,
05120,CALIFORNIA               ,IMPERIAL,"101,611","100,720","48,471","4,907","32,578",,,,,,
05130,CALIFORNIA               ,INYO,"3,510","3,523",-119,"1,568","1,690",,,,,,
05140,CALIFORNIA               ,KERN,"429,094","448,712","199,831","61,010","183,229",,,,,,
05150,CALIFORNIA               ,KINGS,"65,797","64,759","31,426","3,892","19,832",,,,,,
05160,CALIFORNIA               ,LAKE,"72,301","77,224","43,472","8,413","32,333",,,,,,
05170,CALIFORNIA               ,LASSEN,"13,519","12,202","3,821",-193,"-1,104",,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"-3,504,344","-3,656,708","-2,937,984","2,453,750","3,753,365",,,,,,
05300,CALIFORNIA               ,MADERA,"76,395","80,807","38,240","3,509","18,143",,,,,,
05310,CALIFORNIA               ,MARIN,"55,205","59,162","37,384","68,817","59,763",,,,,,
05320,CALIFORNIA               ,MARIPOSA,"12,553","11,611","5,705","1,054","2,772",,,,,,
05330,CALIFORNIA               ,MENDOCINO,"61,466","61,821","30,294","9,187","19,138",,,,,,
05340,CALIFORNIA               ,MERCED,"121,486","140,627","64,929","6,909","31,558",,,,,,
05350,CALIFORNIA               ,MODOC,"6,105","4,718","2,173",215,805,,,,,,
05360,CALIFORNIA               ,MONO,"1,972","1,469",706,116,284,,,,,,
05370,CALIFORNIA               ,MONTEREY,"174,776","186,701","95,434","19,357","44,712",,,,,,
05380,CALIFORNIA               ,NAPA,"44,571","42,422","28,136","12,272","34,482",,,,,,
05390,CALIFORNIA               ,NEVADA,"55,866","63,598","31,003","3,914","14,827",,,,,,
05400,CALIFORNIA               ,ORANGE,"-671,574","-684,420","-767,554","170,103","282,292",,,,,,
05410,CALIFORNIA               ,PLACER,"115,248","130,733","68,987","13,006","33,650",,,,,,
05420,CALIFORNIA               ,PLUMAS,"11,771","9,734","3,257","-1,994","-1,427",,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"683,855","689,548","317,722","123,918","233,735",,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"550,097","595,708","321,336","74,366","167,123",,,,,,
05450,CALIFORNIA               ,SAN BENITO,"19,962","20,012","12,971","1,792","5,488",,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"578,359","586,401","267,083","119,161","279,730",,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"1,236,826","1,309,421","655,285","292,912","336,887",,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"-31,520","-31,842","-54,262","162,998","141,089",,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"312,903","341,481","166,348","16,340","78,584",,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"150,099","156,180","74,808","17,677","44,591",,,,,,
05510,CALIFORNIA               ,SAN MATEO,"-27,024","-25,407","-33,594","22,433","42,018",,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"164,176","180,651","89,580","29,452","68,394",,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"313,378","397,015","298,560","62,282","107,771",,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"143,146","151,665","88,322","23,985","35,923",,,,,,
05550,CALIFORNIA               ,SHASTA,"242,571","241,625","115,457","13,594","55,414",,,,,,
05560,CALIFORNIA               ,SIERRA,"1,286","1,468",469,2,-321,,,,,,
05570,CALIFORNIA               ,SISKIYOU,"36,775","32,178","18,519","2,875","9,984",,,,,,
05580,CALIFORNIA               ,SOLANO,"95,808","100,247","59,888","45,681","90,258",,,,,,
05590,CALIFORNIA               ,SONOMA,"171,531","188,078","95,377","31,555","60,252",,,,,,
05600,CALIFORNIA               ,STANISLAUS,"274,087","285,085","138,534","11,608","66,527",,,,,,
05610,CALIFORNIA               ,SUTTER,"72,838","75,030","38,830","3,521","19,376",,,,,,
05620,CALIFORNIA               ,TEHAMA,"55,049","50,981","28,090","3,206","13,493",,,,,,
05630,CALIFORNIA               ,TRINITY,"33,696","34,488","18,019","3,936","8,677",,,,,,
05640,CALIFORNIA               ,TULARE,"204,271","215,694","111,830","7,388","61,975",,,,,,
05650,CALIFORNIA               ,TUOLUMNE,"42,401","45,592","24,491","2,488","13,988",,,,,,
05660,CALIFORNIA               ,VENTURA,"-479,151","-512,043","-433,000","77,503","133,448",,,,,,
05670,CALIFORNIA               ,YOLO,"54,452","53,337","26,327","5,153","12,885",,,,,,
05680,CALIFORNIA               ,YUBA,"60,247","60,943","30,435","3,721","16,125",,,,,,
06000,COLORADO                 ,ADAMS,"117,845","124,657","126,919","80,799","86,087",,,,,,
06010,COLORADO                 ,ALAMOSA,"5,310","5,313","5,452","3,984","4,596",,,,,,
06020,COLORADO                 ,ARAPAHOE,"166,110","176,382","181,830","114,791","123,538",,,,,,
06030,COLORADO                 ,ARCHULETA,"3,401","2,747","2,992","2,484","2,792",,,,,,
06040,COLORADO                 ,BACA,"1,600","1,237","2,409",705,732,,,,,,
06050,COLORADO                 ,BENT,"2,848","2,239","2,946","2,255","2,827",,,,,,
06060,COLORADO                 ,BOULDER,"94,822","92,593","97,219","59,071","62,490",,,,,,
06070,COLORADO                 ,CHAFFEE,"7,509","6,526","7,839","5,439","5,908",,,,,,
06080,COLORADO                 ,CHEYENNE,678,803,227,265,338,,,,,,
06090,COLORADO                 ,CLEAR CREEK,"2,340","2,233","2,779","1,640","1,845",,,,,,
06100,COLORADO                 ,CONEJOS,"3,438","2,416","2,735","1,759","1,456",,,,,,
06110,COLORADO                 ,COSTILLA,"2,670","2,018","2,176","1,130","1,383",,,,,,
06120,COLORADO                 ,CROWLEY,"3,064","2,482","2,762","1,693","1,853",,,,,,
06130,COLORADO                 ,CUSTER,"1,418","1,607","1,040","2,175","1,179",,,,,,
06140,COLORADO                 ,DELTA,"15,827","13,108","14,209","9,444","9,046",,,,,,
06150,COLORADO                 ,DENVER,"196,572","188,869","190,286","123,101","124,392",,,,,,
06160,COLORADO                 ,DOLORES,"1,358",652,853,760,516,,,,,,
06170,COLORADO                 ,DOUGLAS,"29,985","28,657","30,017","20,549","19,640",,,,,,
06180,COLORADO                 ,EAGLE,"4,222","4,680","3,328","3,098","3,217",,,,,,
06190,COLORADO                 ,ELBERT,"5,251","6,918","9,702","6,197","4,968",,,,,,
06200,COLORADO                 ,EL PASO,"247,615","226,957","225,961","156,026","154,686",,,,,,
06210,COLORADO                 ,FREMONT,"29,937","28,474","29,419","19,518","20,726",,,,,,
06220,COLORADO                 ,GARFIELD,"13,424","12,046","12,494","8,595","8,466",,,,,,
06230,COLORADO                 ,GILPIN,"2,152","1,103","1,178",883,971,,,,,,
06240,COLORADO                 ,GRAND,"4,170","3,310","3,223","2,894","1,963",,,,,,
06250,COLORADO                 ,GUNNISON,"3,499","3,456","2,717","1,950","1,588",,,,,,
06260,COLORADO                 ,HINSDALE,74,366,177,201,219,,,,,,
06270,COLORADO                 ,HUERFANO,"6,004","4,817","5,700","3,543","3,197",,,,,,
