"ESRD- HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
6190,COLORADO,ELBERT,9,0,0,0,0,0,0,0,9,0,0
6200,COLORADO,EL PASO,431,"79,353",15.34,"79,353",15.34,0,0,0,400,0,0
6210,COLORADO,FREMONT,36,"51,797",119.9,"51,797",119.9,0,0,0,33,0,0
6220,COLORADO,GARFIELD,9,0,0,0,0,0,0,0,8,0,0
6230,COLORADO,GILPIN,1,0,0,0,0,0,0,0,1,0,0
6240,COLORADO,GRAND,6,0,0,0,0,0,0,0,5,0,0
6250,COLORADO,GUNNISON,2,0,0,0,0,0,0,0,2,0,0
6260,COLORADO,HINSDALE,1,0,0,0,0,0,0,0,1,0,0
6270,COLORADO,HUERFANO,8,0,0,0,0,0,0,0,8,0,0
6280,COLORADO,JACKSON,1,0,0,0,0,0,0,0,1,0,0
6290,COLORADO,JEFFERSON,306,"57,002",15.52,"57,002",15.52,0,0,0,282,0,0
6300,COLORADO,KIOWA,1,0,0,0,0,0,0,0,1,0,0
6310,COLORADO,KIT CARSON,2,0,0,0,0,0,0,0,2,0,0
6320,COLORADO,LAKE,1,0,0,0,0,0,0,0,1,0,0
6330,COLORADO,LA PLATA,42,"11,744",23.3,"11,744",23.3,0,0,0,40,0,0
