DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
04160,ARKANSAS                 ,CRAWFORD,"-1,666","-4,186",-170,"-2,598","-8,029",,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-4,143","-7,895","-6,879","-6,990","-1,342",,,,,
04180,ARKANSAS                 ,CROSS,-467,-224,-27,-102,-169,,,,,
04190,ARKANSAS                 ,DALLAS,-562,933,166,-184,-25,,,,,
04200,ARKANSAS                 ,DESHA,-6,531,789,465,162,,,,,
04210,ARKANSAS                 ,DREW,-395,303,"1,427",656,-272,,,,,
04220,ARKANSAS                 ,FAULKNER,"-6,571","-5,182","-6,008","-6,939","-8,925",,,,,
04230,ARKANSAS                 ,FRANKLIN,-768,-466,180,"-2,152","-2,100",,,,,
04240,ARKANSAS                 ,FULTON,-736,27,138,47,-262,,,,,
04250,ARKANSAS                 ,GARLAND,"-14,828","-13,936","-24,007","-18,765","-14,616",,,,,
04260,ARKANSAS                 ,GRANT,-925,"-1,831",-498,-835,-812,,,,,
04270,ARKANSAS                 ,GREENE,"-3,692",149,"1,476","1,059",-444,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-3,216",-429,501,-802,-853,,,,,
04290,ARKANSAS                 ,HOT SPRING,"-3,321",-605,"-1,424","-2,269",-990,,,,,
04300,ARKANSAS                 ,HOWARD,-351,-570,-419,-785,-157,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-3,067",125,"3,465","1,060",-825,,,,,
04320,ARKANSAS                 ,IZARD,-606,10,249,520,-526,,,,,
04330,ARKANSAS                 ,JACKSON,"-2,993",-360,"1,657","1,194",-447,,,,,
04340,ARKANSAS                 ,JEFFERSON,"7,194","6,941","3,316","6,636",737,,,,,
04350,ARKANSAS                 ,JOHNSON,-674,-62,19,168,-176,,,,,
04360,ARKANSAS                 ,LAFAYETTE,-859,-55,934,"-2,715",-726,,,,,
04370,ARKANSAS                 ,LAWRENCE,"-1,239",219,"1,053",502,-746,,,,,
04380,ARKANSAS                 ,LEE,392,-409,108,-320,-31,,,,,
04390,ARKANSAS                 ,LINCOLN,236,"2,891",-506,69,"1,573",,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-1,022",-796,"-1,564",-254,"-1,371",,,,,
04410,ARKANSAS                 ,LOGAN,-747,325,415,-240,-692,,,,,
04420,ARKANSAS                 ,LONOKE,"-3,437","-4,911","-4,828","-2,109","-2,586",,,,,
04430,ARKANSAS                 ,MADISON,-960,-998,-642,"-5,888","-2,343",,,,,
04440,ARKANSAS                 ,MARION,-746,-64,355,354,-181,,,,,
04450,ARKANSAS                 ,MILLER,"-17,802","-12,004","-5,774","-9,119","-8,459",,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-3,784",-129,"1,308","1,557",-913,,,,,
04470,ARKANSAS                 ,MONROE,-117,-9,5,-37,-141,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-1,188",-196,0,-876,-389,,,,,
04490,ARKANSAS                 ,NEVADA,-664,-34,104,-174,-481,,,,,
04500,ARKANSAS                 ,NEWTON,-273,-9,214,-369,-14,,,,,
04510,ARKANSAS                 ,OUACHITA,-746,-127,"1,228","1,504","-1,552",,,,,
04520,ARKANSAS                 ,PERRY,"-1,005","-1,433",-842,"-1,244",0,,,,,
04530,ARKANSAS                 ,PHILLIPS,"-1,462",-255,266,-120,-795,,,,,
04540,ARKANSAS                 ,PIKE,-743,-19,486,870,-370,,,,,
04550,ARKANSAS                 ,POINSETT,-744,918,477,190,"-2,580",,,,,
04560,ARKANSAS                 ,POLK,"-2,147",-464,580,390,-126,,,,,
04570,ARKANSAS                 ,POPE,"-2,200","-1,373","1,947",717,"-2,898",,,,,
04580,ARKANSAS                 ,PRAIRIE,"-1,973",-35,"1,377","1,204",-115,,,,,
04590,ARKANSAS                 ,PULASKI,"-29,287","-22,115","-28,917","-32,522","-27,649",,,,,
04600,ARKANSAS                 ,RANDOLPH,-26,-35,"1,380",497,-104,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,-932,"-1,217","-1,453","-1,305",-929,,,,,
04620,ARKANSAS                 ,SALINE,"-4,032","-2,629","-4,206","-2,530","-5,752",,,,,
04630,ARKANSAS                 ,SCOTT,-996,-327,82,94,"-1,044",,,,,
04640,ARKANSAS                 ,SEARCY,-760,-33,425,223,-95,,,,,
