AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 REIMBURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,
04290,ARKANSAS                 ,HOT SPRING,-479,"-1,156",-35,0,-607,,,
04300,ARKANSAS                 ,HOWARD,0,-43,0,0,0,,,
04310,ARKANSAS                 ,INDEPENDENCE,0,0,0,0,0,,,
04320,ARKANSAS                 ,IZARD,0,0,0,0,0,,,
04330,ARKANSAS                 ,JACKSON,"-28,462","-29,999","-26,849","-25,069","-13,092",,,
04340,ARKANSAS                 ,JEFFERSON,"-1,297","-2,439","-3,412","-1,773",-500,,,
04350,ARKANSAS                 ,JOHNSON,0,0,0,0,-68,,,
04360,ARKANSAS                 ,LAFAYETTE,0,0,0,0,0,,,
04370,ARKANSAS                 ,LAWRENCE,0,-299,0,0,0,,,
04380,ARKANSAS                 ,LEE,0,0,0,0,0,,,
04390,ARKANSAS                 ,LINCOLN,0,0,0,0,0,,,
04400,ARKANSAS                 ,LITTLE RIVER,0,0,0,0,0,,,
04410,ARKANSAS                 ,LOGAN,0,0,0,0,0,,,
04420,ARKANSAS                 ,LONOKE,"-318,610","-318,227","-322,511","-397,225","-191,772",,,
04430,ARKANSAS                 ,MADISON,0,0,0,0,0,,,
04440,ARKANSAS                 ,MARION,0,0,-23,-268,0,,,
04450,ARKANSAS                 ,MILLER,0,0,0,0,0,,,
04460,ARKANSAS                 ,MISSISSIPPI,-25,0,-182,-659,-134,,,
04470,ARKANSAS                 ,MONROE,0,-284,-429,-697,-437,,,
04480,ARKANSAS                 ,MONTGOMERY,0,0,0,0,0,,,
04490,ARKANSAS                 ,NEVADA,0,0,0,0,0,,,
04500,ARKANSAS                 ,NEWTON,0,-317,-423,0,-30,,,
04510,ARKANSAS                 ,OUACHITA,-475,-739,-54,0,0,,,
04520,ARKANSAS                 ,PERRY,"-64,528","-68,236","-72,730","-80,897","-40,515",,,
04530,ARKANSAS                 ,PHILLIPS,-206,0,-50,0,0,,,
04540,ARKANSAS                 ,PIKE,0,0,0,0,0,,,
04550,ARKANSAS                 ,POINSETT,0,0,0,0,0,,,
04560,ARKANSAS                 ,POLK,-808,-829,0,0,0,,,
04570,ARKANSAS                 ,POPE,-389,-813,-694,-727,-659,,,
04580,ARKANSAS                 ,PRAIRIE,0,-482,-351,-655,"-1,248",,,
04590,ARKANSAS                 ,PULASKI,"-2,059,540","-2,076,951","-2,170,390","-2,265,454","-1,113,234",,,
04600,ARKANSAS                 ,RANDOLPH,0,0,0,0,0,,,
04610,ARKANSAS                 ,ST. FRANCIS,-39,0,0,-81,0,,,
04620,ARKANSAS                 ,SALINE,"-376,535","-392,074","-413,876","-442,391","-223,834",,,
04630,ARKANSAS                 ,SCOTT,0,0,0,0,0,,,
04640,ARKANSAS                 ,SEARCY,-366,-35,0,0,0,,,
04650,ARKANSAS                 ,SEBASTIAN,0,0,0,0,0,,,
04660,ARKANSAS                 ,SEVIER,0,0,0,0,0,,,
04670,ARKANSAS                 ,SHARP,-64,0,0,0,0,,,
04680,ARKANSAS                 ,STONE,0,0,0,0,0,,,
04690,ARKANSAS                 ,UNION,-161,-84,-63,-122,-4,,,
04700,ARKANSAS                 ,VAN BUREN,0,0,0,-52,0,,,
04710,ARKANSAS                 ,WASHINGTON,-812,-349,-379,-126,0,,,
04720,ARKANSAS                 ,WHITE,-612,-294,-796,-327,-79,,,
04730,ARKANSAS                 ,WOODRUFF,0,0,0,0,0,,,
04740,ARKANSAS                 ,YELL,0,0,0,-40,-28,,,
