DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,,,,
04600,ARKANSAS                 ,RANDOLPH,"-22,294","-17,397","-11,715","-6,994","-3,155",,,,,,,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-55,108","-48,131","-36,128","-20,741","-12,218",,,,,,,,,,,
04620,ARKANSAS                 ,SALINE,"-143,086","-116,667","-99,217","-92,047","-74,997",,,,,,,,,,,
04630,ARKANSAS                 ,SCOTT,"15,861","5,828","22,343","29,835","21,704",,,,,,,,,,,
04640,ARKANSAS                 ,SEARCY,"-11,597","-6,016","-7,093","-13,771","-6,340",,,,,,,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"70,190","46,045","188,082","224,157","88,575",,,,,,,,,,,
04660,ARKANSAS                 ,SEVIER,"-24,224","-18,991","-11,268","-14,103","-12,791",,,,,,,,,,,
04670,ARKANSAS                 ,SHARP,"-23,921","-24,322","-12,144","-9,054","-2,292",,,,,,,,,,,
04680,ARKANSAS                 ,STONE,"-7,254","-7,724","-7,754","-8,720","-4,455",,,,,,,,,,,
04690,ARKANSAS                 ,UNION,"-46,125","-36,088","-39,114","-44,665","-26,737",,,,,,,,,,,
04700,ARKANSAS                 ,VAN BUREN,"-31,108","-30,506","-18,979","-25,691","-15,718",,,,,,,,,,,
04710,ARKANSAS                 ,WASHINGTON,"-144,710","12,234","8,617","-281,280","-234,212",,,,,,,,,,,
04720,ARKANSAS                 ,WHITE,"-75,744","-58,565","-62,013","-63,112","-44,225",,,,,,,,,,,
04730,ARKANSAS                 ,WOODRUFF,"-8,358","-7,887","-7,089","-5,683","-6,606",,,,,,,,,,,
04740,ARKANSAS                 ,YELL,"-42,301","-23,957","-34,477","-29,553","-27,551",,,,,,,,,,,
05000,CALIFORNIA               ,ALAMEDA,"4,412,527","3,270,409","3,128,451","2,690,964","1,342,170",,,,,,,,,,,
05010,CALIFORNIA               ,ALPINE,0,807,"1,648","1,199",457,,,,,,,,,,,
05020,CALIFORNIA               ,AMADOR,"284,595","288,329","305,838","355,740","193,978",,,,,,,,,,,
05030,CALIFORNIA               ,BUTTE,"1,535,198","1,634,307","1,920,204","2,287,277","1,074,440",,,,,,,,,,,
