"IPPS and OPPS Wage Indices by Fiscal Year 
Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,
SSACD,State,County,CBSA 2015,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2012,IPPS Wage 2013,IPPS Wage 2015
27440,MT,SANDERS,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
27450,MT,SHERIDAN,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
27460,MT,SILVER BOW,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
27470,MT,STILLWATER,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
27480,MT,SWEET GRASS,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
27490,MT,TETON,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
27500,MT,TOOLE,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
27510,MT,TREASURE,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
27520,MT,VALLEY,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
27530,MT,WHEATLAND,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
27540,MT,WIBAUX,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
27550,MT,YELLOWSTONE,13740,0.9011,0.9021,0.9021,1.0000,1.0000,1.0000,1.0000
27999,MT,STATEWIDE,NA,0.8607,0.8296,0.8296,1.0000,1.0000,1.0000,1.0000
28000,NE,ADAMS,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28010,NE,ANTELOPE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28020,NE,ARTHUR,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28030,NE,BANNER,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28040,NE,BLAINE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28050,NE,BOONE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28060,NE,BOX BUTTE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28070,NE,BOYD,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28080,NE,BROWN,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28090,NE,BUFFALO,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28100,NE,BURT,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28110,NE,BUTLER,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28120,NE,CASS,36540,0.9352,0.9547,0.9547,0.9507,0.9786,0.9848,0.9555
28130,NE,CEDAR,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28140,NE,CHASE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28150,NE,CHERRY,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28160,NE,CHEYENNE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28170,NE,CLAY,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28180,NE,COLFAX,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28190,NE,CUMING,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28200,NE,CUSTER,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28210,NE,DAKOTA,43580,0.8750,0.8943,0.8943,0.8924,0.9363,0.8847,1.0000
28220,NE,DAWES,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28230,NE,DAWSON,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28240,NE,DEUEL,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28250,NE,DIXON,43580,0.8750,0.8943,0.8943,1.0000,1.0000,1.0000,1.0000
28260,NE,DODGE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28270,NE,DOUGLAS,36540,0.9352,0.9547,0.9547,0.9507,0.9786,0.9848,0.9555
28280,NE,DUNDY,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28290,NE,FILLMORE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28300,NE,FRANKLIN,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28310,NE,FRONTIER,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28320,NE,FURNAS,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28330,NE,GAGE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28340,NE,GARDEN,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28350,NE,GARFIELD,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28360,NE,GOSPER,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28370,NE,GRANT,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28380,NE,GREELEY,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28390,NE,HALL,24260,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.9290
28400,NE,HAMILTON,24260,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.9290
28410,NE,HARLAN,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28420,NE,HAYES,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28430,NE,HITCHCOCK,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28440,NE,HOLT,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28450,NE,HOOKER,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28460,NE,HOWARD,24260,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.9290
28470,NE,JEFFERSON,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28480,NE,JOHNSON,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28490,NE,KEARNEY,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28500,NE,KEITH,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28510,NE,KEYA PAHA,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28520,NE,KIMBALL,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28530,NE,KNOX,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28540,NE,LANCASTER,30700,0.9584,0.9405,0.9405,0.9442,0.9435,0.9500,0.9475
28550,NE,LINCOLN,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28560,NE,LOGAN,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28570,NE,LOUP,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28580,NE,MC PHERSON,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28590,NE,MADISON,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28600,NE,MERRICK,24260,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.9290
28610,NE,MORRILL,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28620,NE,NANCE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28630,NE,NEMAHA,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28640,NE,NUCKOLLS,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28650,NE,OTOE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28660,NE,PAWNEE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28670,NE,PERKINS,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28680,NE,PHELPS,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28690,NE,PIERCE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28700,NE,PLATTE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28710,NE,POLK,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28720,NE,RED WILLOW,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28730,NE,RICHARDSON,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28740,NE,ROCK,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28750,NE,SALINE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28760,NE,SARPY,36540,0.9352,0.9547,0.9547,0.9507,0.9786,0.9848,0.9555
28770,NE,SAUNDERS,36540,0.9352,0.9547,0.9547,0.9507,0.9786,0.9848,0.9555
28780,NE,SCOTT BLUFF,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28790,NE,SEWARD,30700,0.9584,0.9405,0.9405,0.9442,0.9435,0.9500,0.9475
28800,NE,SHERIDAN,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28810,NE,SHERMAN,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28820,NE,SIOUX,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28830,NE,STANTON,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28840,NE,THAYER,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28850,NE,THOMAS,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28860,NE,THURSTON,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28870,NE,VALLEY,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28880,NE,WASHINGTON,36540,0.9352,0.9547,0.9547,0.9507,0.9786,0.9848,0.9555
28890,NE,WAYNE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28900,NE,WEBSTER,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28910,NE,WHEELER,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28920,NE,YORK,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
28999,NE,STATEWIDE,NA,0.8728,0.8662,0.8662,0.8846,0.8834,0.8665,0.8793
29000,NV,CHURCHILL,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29010,NV,CLARK,29820,1.1618,1.1812,1.1812,1.1751,1.1699,1.1664,1.1464
29020,NV,DOUGLAS,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29030,NV,ELKO,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29040,NV,ESMERALDA,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29050,NV,EUREKA,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29060,NV,HUMBOLDT,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29070,NV,LANDER,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29080,NV,LINCOLN,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29090,NV,LYON,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29100,NV,MINERAL,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29110,NV,NYE,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29120,NV,CARSON CITY,16180,0.9990,1.0315,1.0315,1.0231,1.0359,1.0373,1.1298
29130,NV,PERSHING,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29140,NV,STOREY,39900,1.0447,1.0270,1.0270,1.0387,1.0565,1.0256,1.1298
29150,NV,WASHOE,39900,1.0447,1.0270,1.0270,1.0387,1.0565,1.0256,1.1298
29160,NV,WHITE PINE,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
29999,NV,STATEWIDE,NA,0.9810,1.0026,1.0026,1.0000,1.0000,1.0256,1.1298
30000,NH,BELKNAP,NA,1.0965,1.0525,1.0525,1.1003,1.0939,1.1131,1.1036
30010,NH,CARROLL,NA,1.0965,1.0525,1.0525,1.1003,1.0939,1.1131,1.1036
30020,NH,CHESHIRE,NA,1.0965,1.0525,1.0525,1.1003,1.0939,1.1131,1.1036
30030,NH,COOS,NA,1.0965,1.0525,1.0525,1.1003,1.0939,1.1131,1.1036
30040,NH,GRAFTON,NA,1.0965,1.0525,1.0525,1.1003,1.0939,1.1131,1.1036
30050,NH,HILLSBOROUGH,31700,1.0965,1.0525,1.0525,1.1003,1.0939,1.1131,1.1036
30060,NH,MERRIMACK,NA,1.0965,1.0525,1.0525,1.1003,1.0939,1.1131,1.1036
30070,NH,ROCKINGHAM,40484,1.0965,1.0525,1.0525,1.1003,1.0939,1.1131,1.1036
30080,NH,STRAFFORD,40484,1.0965,1.0525,1.0525,1.1003,1.0939,1.1131,1.1036
30090,NH,SULLIVAN,NA,1.0965,1.0525,1.0525,1.1003,1.0939,1.1131,1.1036
30999,NH,STATEWIDE,NA,1.0965,1.0525,1.0525,1.1003,1.0939,1.1131,1.1036
31000,NJ,ATLANTIC,12100,1.1815,1.1341,1.1358,1.1246,1.0884,1.2148,1.1842
31100,NJ,BERGEN,35614,1.2967,1.3005,1.3025,1.3122,1.3190,1.2971,1.2831
31150,NJ,BURLINGTON,15804,1.1294,1.1341,1.1358,1.1246,1.0125,1.0994,1.1119
31160,NJ,CAMDEN,15804,1.1294,1.1341,1.1358,1.1246,1.0125,1.0994,1.1119
31180,NJ,CAPE MAY,36140,1.1562,1.1341,1.1358,1.1246,1.0616,1.0994,1.1119
31190,NJ,CUMBERLAND,47220,1.1294,1.1341,1.1358,1.1246,1.0659,1.0994,1.1119
31200,NJ,ESSEX,35084,1.1518,1.1341,1.1358,1.1292,1.1147,1.1112,1.1132
31220,NJ,GLOUCESTER,15804,1.1294,1.1341,1.1358,1.1246,1.0125,1.0994,1.1119
31230,NJ,HUDSON,35614,1.2996,1.3190,1.3190,1.3122,1.3190,1.2971,1.2831
31250,NJ,HUNTERDON,35084,1.1544,1.1235,1.1237,1.1292,1.1147,1.1112,1.1132
31260,NJ,MERCER,45940,1.1294,1.1341,1.1358,1.1246,0.9941,1.0994,1.1119
31270,NJ,MIDDLESEX,35614,1.1294,1.1341,1.1358,1.1246,1.0737,1.0994,1.2831
31290,NJ,MONMOUTH,35614,1.1294,1.1341,1.1358,1.1246,1.0737,1.0994,1.2831
31300,NJ,MORRIS,35084,1.1544,1.1235,1.1237,1.1292,1.1147,1.1112,1.1132
31310,NJ,OCEAN,35614,1.1294,1.1341,1.1358,1.1246,1.0737,1.0994,1.2831
31320,NJ,PASSAIC,35614,1.2996,1.3190,1.3190,1.3122,1.3190,1.2971,1.2831
31340,NJ,SALEM,48864,1.1294,1.1341,1.1358,1.1246,1.0810,1.0994,1.1119
31350,NJ,SOMERSET,35084,1.1294,1.1341,1.1358,1.1246,1.0737,1.0994,1.1132
31360,NJ,SUSSEX,35084,1.1544,1.1235,1.1237,1.1292,1.1147,1.1112,1.1132
31370,NJ,UNION,35084,1.1544,1.1235,1.1237,1.1292,1.1147,1.1112,1.1132
31390,NJ,WARREN,10900,1.1294,1.1341,1.1358,1.1246,0.9436,1.0994,1.1119
31999,NJ,STATEWIDE,NA,1.1294,1.1341,1.1358,1.1246,,1.0994,1.1119
32000,NM,BERNALILLO,10740,0.9395,0.9554,0.9554,0.9607,0.9726,0.9826,0.9722
32010,NM,CATRON,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32020,NM,CHAVES,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32025,NM,CIBOLA,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32030,NM,COLFAX,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32040,NM,CURRY,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32050,NM,DE BACA,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32060,NM,DONA ANA,29740,0.8834,0.8964,0.8964,0.9137,0.8954,0.8918,0.8718
32070,NM,EDDY,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32080,NM,GRANT,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32090,NM,GUADALUPE,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32100,NM,HARDING,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32110,NM,HIDALGO,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32120,NM,LEA,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32130,NM,LINCOLN,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32131,NM,LOS ALAMOS,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32140,NM,LUNA,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32150,NM,MCKINLEY,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32160,NM,MORA,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32170,NM,OTERO,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32180,NM,QUAY,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32190,NM,RIO ARRIBA,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32200,NM,ROOSEVELT,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32210,NM,SANDOVAL,10740,0.9395,0.9554,0.9554,0.9607,0.9726,0.9826,0.9722
32220,NM,SAN JUAN,22140,0.8834,0.8964,0.8964,0.9314,0.9772,0.9039,0.9459
32230,NM,SAN MIGUEL,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32240,NM,SANTA FE,42140,1.0558,1.0574,1.0574,1.0734,1.0552,1.0284,0.9761
32250,NM,SIERRA,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32260,NM,SOCORRO,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32270,NM,TAOS,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32280,NM,TORRANCE,10740,0.9395,0.9554,0.9554,0.9607,0.9726,0.9826,0.9722
32290,NM,UNION,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
32300,NM,VALENCIA,10740,0.9395,0.9554,0.9554,0.9607,0.9726,0.9826,0.9722
32999,NM,STATEWIDE,NA,0.8834,0.8964,0.8964,0.8963,0.8932,0.8805,0.8718
33000,NY,ALBANY,10580,0.8800,0.8805,0.8804,0.8664,0.8689,0.8665,0.8450
33010,NY,ALLEGANY,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33020,NY,BRONX,35614,1.2996,1.3190,1.3190,1.3122,1.3190,1.2971,1.2831
33030,NY,BROOME,13780,0.8688,0.8965,0.8965,0.8888,0.8902,0.8932,0.8727
33040,NY,CATTARAUGUS,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33050,NY,CAYUGA,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33060,NY,CHAUTAUQUA,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33070,NY,CHEMUNG,21300,0.8316,0.8474,0.8474,0.8497,0.8574,0.8249,0.8686
33080,NY,CHENANGO,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33090,NY,CLINTON,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33200,NY,COLUMBIA,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33210,NY,CORTLAND,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33220,NY,DELAWARE,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33230,NY,DUTCHESS,20524,1.0922,1.1266,1.1266,1.1384,1.1359,1.1251,1.1399
33240,NY,ERIE,15380,0.9556,0.9809,0.9809,0.9580,0.9643,0.9937,1.0155
33260,NY,ESSEX,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33270,NY,FRANKLIN,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33280,NY,FULTON,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33290,NY,GENESEE,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33300,NY,GREENE,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33310,NY,HAMILTON,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33320,NY,HERKIMER,46540,0.8688,0.8695,0.8695,0.8694,0.8630,0.8712,0.8992
33330,NY,JEFFERSON,48060,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8522
33331,NY,KINGS,35614,1.2996,1.3190,1.3190,1.3122,1.3190,1.2971,1.2831
33340,NY,LEWIS,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33350,NY,LIVINGSTON,40380,0.8874,0.8814,0.8813,0.8665,0.8673,0.8736,0.8760
33360,NY,MADISON,45060,0.9829,0.9854,0.9854,0.9952,0.9827,0.9781,0.9922
33370,NY,MONROE,40380,0.8874,0.8814,0.8813,0.8665,0.8673,0.8736,0.8760
33380,NY,MONTGOMERY,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33400,NY,NASSAU,35004,1.2686,1.2718,1.2718,1.2529,1.2630,1.2845,1.2773
33420,NY,NEW YORK,35614,1.2996,1.3190,1.3190,1.3122,1.3190,1.2971,1.2831
33500,NY,NIAGARA,15380,0.9556,0.9809,0.9809,0.9580,0.9643,0.9937,1.0155
33510,NY,ONEIDA,46540,0.8688,0.8695,0.8695,0.8694,0.8630,0.8712,0.8992
33520,NY,ONONDAGA,45060,0.9829,0.9854,0.9854,0.9952,0.9827,0.9781,0.9922
33530,NY,ONTARIO,40380,0.8874,0.8814,0.8813,0.8665,0.8673,0.8736,0.8760
33540,NY,ORANGE,35614,1.0922,1.1266,1.1266,1.1384,1.1359,1.1251,1.2831
33550,NY,ORLEANS,40380,0.8874,0.8814,0.8813,0.8665,0.8673,0.8736,0.8760
33560,NY,OSWEGO,45060,0.9829,0.9854,0.9854,0.9952,0.9827,0.9781,0.9922
33570,NY,OTSEGO,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33580,NY,PUTNAM,20524,1.2996,1.3190,1.3190,1.3122,1.3190,1.2971,1.1399
33590,NY,QUEENS,35614,1.2996,1.3190,1.3190,1.3122,1.3190,1.2971,1.2831
33600,NY,RENSSELAER,10580,0.8800,0.8805,0.8804,0.8664,0.8689,0.8665,0.8450
33610,NY,RICHMOND,35614,1.2996,1.3190,1.3190,1.3122,1.3190,1.2971,1.2831
33620,NY,ROCKLAND,35614,1.2996,1.3190,1.3190,1.3122,1.3190,1.2971,1.2831
33630,NY,ST. LAWRENCE,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33640,NY,SARATOGA,10580,0.8800,0.8805,0.8804,0.8664,0.8689,0.8665,0.8450
33650,NY,SCHENECTADY,10580,0.8800,0.8805,0.8804,0.8664,0.8689,0.8665,0.8450
33660,NY,SCHOHARIE,10580,0.8800,0.8805,0.8804,0.8664,0.8689,0.8665,0.8450
33670,NY,SCHUYLER,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33680,NY,SENECA,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33690,NY,STEUBEN,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33700,NY,SUFFOLK,35004,1.2686,1.2718,1.2718,1.2529,1.2630,1.2845,1.2773
33710,NY,SULLIVAN,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33720,NY,TIOGA,13780,0.8688,0.8965,0.8965,0.8888,0.8902,0.8932,0.8727
33730,NY,TOMPKINS,27060,0.9525,1.0014,1.0013,0.9728,0.8726,0.9177,0.9347
33740,NY,ULSTER,28740,0.9397,0.9414,0.9413,0.9106,0.9201,0.9004,0.9086
33750,NY,WARREN,24020,0.8747,0.8748,0.8748,0.8784,0.8783,0.8434,0.8535
33760,NY,WASHINGTON,24020,0.8747,0.8748,0.8748,0.8784,0.8783,0.8434,0.8535
33770,NY,WAYNE,40380,0.8874,0.8814,0.8813,0.8665,0.8673,0.8736,0.8760
33800,NY,WESTCHESTER,35614,1.2996,1.3190,1.3190,1.3122,1.3190,1.2971,1.2831
33900,NY,WYOMING,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
33910,NY,YATES,40380,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8760
33999,NY,STATEWIDE,NA,0.8263,0.8474,0.8474,0.8282,0.8249,0.8249,0.8213
34000,NC,ALAMANCE,15500,0.8600,0.8647,0.8647,0.8744,0.8550,0.8389,0.8472
34010,NC,ALEXANDER,25860,0.8914,0.8937,0.8937,0.8608,0.8765,0.8554,0.8369
34020,NC,ALLEGHANY,NA,0.8600,0.8605,0.8605,0.8434,0.8332,0.8261,0.7931
34030,NC,ANSON,NA,0.9538,0.9320,0.9321,0.9254,0.9116,0.9011,0.7931
34040,NC,ASHE,NA,0.8600,0.8605,0.8605,0.8434,0.8332,0.8261,0.7931
34050,NC,AVERY,NA,0.8600,0.8605,0.8605,0.8434,0.8332,0.8261,0.7931
34060,NC,BEAUFORT,NA,0.8600,0.8605,0.8605,0.8434,0.8332,0.8261,0.7931
34070,NC,BERTIE,NA,0.8600,0.8605,0.8605,0.8434,0.8332,0.8261,0.7931
34080,NC,BLADEN,NA,0.8600,0.8605,0.8605,0.8434,0.8332,0.8261,0.7931
34090,NC,BRUNSWICK,34820,0.9055,0.9125,0.9125,0.9278,0.9165,0.9093,0.8401
34100,NC,BUNCOMBE,11700,0.9159,0.9082,0.9082,0.9011,0.8896,0.8322,0.8396
34110,NC,BURKE,25860,0.8914,0.8937,0.8937,0.8608,0.8765,0.8554,0.8369
34120,NC,CABARRUS,16740,0.9534,0.9315,0.9315,0.9254,0.9116,0.9011,0.8937
34130,NC,CALDWELL,25860,0.8914,0.8937,0.8937,0.8608,0.8765,0.8554,0.8369
34140,NC,CAMDEN,NA,0.8600,0.8605,0.8605,0.8434,0.8332,0.8261,0.7931
34150,NC,CARTERET,NA,0.8600,0.8605,0.8605,0.8434,0.8332,0.8261,0.7931
34160,NC,CASWELL,NA,0.8600,0.8605,0.8605,0.8434,0.8332,0.8261,0.7931
