"DISABLED- HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
04190,ARKANSAS,DALLAS,322,"61,637",16,"61,637",16,0,0,0,293,0,0
04200,ARKANSAS,DESHA,500,"27,364",5,"27,365",5,0,0,0,452,0,0
04210,ARKANSAS,DREW,675,"36,451",5,"36,451",5,0,0,0,633,0,0
04220,ARKANSAS,FAULKNER,"3,132","330,140",9,"330,141",9,0,0,0,"2,754",0,0
04230,ARKANSAS,FRANKLIN,603,"93,847",13,"93,847",13,0,0,0,536,0,0
04240,ARKANSAS,FULTON,629,"131,450",17,"131,451",17,0,0,0,568,0,0
04250,ARKANSAS,GARLAND,"3,693","574,384",13,"574,384",13,0,0,0,"3,310",0,0
04260,ARKANSAS,GRANT,528,414,0,414,0,0,0,0,456,0,0
04270,ARKANSAS,GREENE,"1,770","72,926",3,"72,925",3,0,0,0,"1,627",0,0
04280,ARKANSAS,HEMPSTEAD,633,"80,710",11,"80,711",11,0,0,0,584,0,0
04290,ARKANSAS,HOT SPRING,"1,181","130,319",9,"130,319",9,0,0,0,"1,075",0,0
04300,ARKANSAS,HOWARD,584,"38,525",5,"38,526",5,0,0,0,543,0,0
04310,ARKANSAS,INDEPENDENCE,"1,764","79,991",4,"79,991",4,0,0,0,"1,622",0,0
04320,ARKANSAS,IZARD,706,"58,906",7,"58,906",7,0,0,0,656,0,0
04330,ARKANSAS,JACKSON,801,"129,848",14,"129,848",14,0,0,0,751,0,0
04340,ARKANSAS,JEFFERSON,"3,114","388,119",10,"388,120",10,0,0,0,"2,754",0,0
04350,ARKANSAS,JOHNSON,973,"35,153",3,"35,154",3,0,0,0,878,0,0
04360,ARKANSAS,LAFAYETTE,310,"31,342",8,"31,342",8,0,0,0,288,0,0
04370,ARKANSAS,LAWRENCE,939,"103,663",9,"103,662",9,0,0,0,869,0,0
04380,ARKANSAS,LEE,309,"6,399",2,"6,399",2,0,0,0,286,0,0
04390,ARKANSAS,LINCOLN,411,"18,385",4,"18,386",4,0,0,0,367,0,0
04400,ARKANSAS,LITTLE RIVER,510,"96,144",16,"96,144",16,0,0,0,468,0,0
04410,ARKANSAS,LOGAN,968,"28,984",2,"28,984",2,0,0,0,868,0,0
04420,ARKANSAS,LONOKE,"2,026","104,345",4,"104,344",4,0,0,0,"1,776",0,0
04430,ARKANSAS,MADISON,724,"76,328",9,"76,327",9,0,0,0,646,0,0
04440,ARKANSAS,MARION,742,"114,605",13,"114,605",13,0,0,0,658,0,0
04450,ARKANSAS,MILLER,"1,419","634,167",37,"634,167",37,0,0,0,"1,271",0,0
04460,ARKANSAS,MISSISSIPPI,"1,963","173,242",7,"173,241",7,0,0,0,"1,779",0,0
04470,ARKANSAS,MONROE,325,"49,397",13,"49,398",13,0,0,0,299,0,0
04480,ARKANSAS,MONTGOMERY,335,"12,861",3,"12,861",3,0,0,0,305,0,0
04490,ARKANSAS,NEVADA,370,"90,767",20,"90,766",20,0,0,0,337,0,0
04500,ARKANSAS,NEWTON,386,"9,754",2,"9,753",2,0,0,0,348,0,0
04510,ARKANSAS,OUACHITA,"1,155","126,276",9,"126,276",9,0,0,0,"1,036",0,0
04520,ARKANSAS,PERRY,433,"12,088",2,"12,088",2,0,0,0,373,0,0
04530,ARKANSAS,PHILLIPS,776,"112,112",12,"112,112",12,0,0,0,734,0,0
04540,ARKANSAS,PIKE,429,"42,142",8,"42,142",8,0,0,0,395,0,0
04550,ARKANSAS,POINSETT,"1,231","108,618",7,"108,617",7,0,0,0,"1,141",0,0
04560,ARKANSAS,POLK,846,"168,498",17,"168,498",17,0,0,0,767,0,0
04570,ARKANSAS,POPE,"2,301","293,918",11,"293,918",11,0,0,0,"2,104",0,0
04580,ARKANSAS,PRAIRIE,330,"10,193",3,"10,192",3,0,0,0,295,0,0
04590,ARKANSAS,PULASKI,"13,643","1,441,835",9,"1,441,835",9,0,0,0,"11,807",0,0
04600,ARKANSAS,RANDOLPH,748,"10,070",1,"10,070",1,0,0,0,688,0,0
04610,ARKANSAS,ST. FRANCIS,"1,169","108,209",8,"108,208",8,0,0,0,"1,081",0,0
04620,ARKANSAS,SALINE,"1,793","196,744",9,"196,744",9,0,0,0,"1,579",0,0
04630,ARKANSAS,SCOTT,442,"2,394",0,"2,394",0,0,0,0,400,0,0
04640,ARKANSAS,SEARCY,443,"36,569",7,"36,569",7,0,0,0,409,0,0
04650,ARKANSAS,SEBASTIAN,"4,154","405,772",8,"405,771",8,0,0,0,"3,599",0,0
04660,ARKANSAS,SEVIER,504,"146,615",24,"146,616",24,0,0,0,470,0,0
04670,ARKANSAS,SHARP,996,"35,515",3,"35,515",3,0,0,0,908,0,0
04680,ARKANSAS,STONE,654,"52,763",7,"52,762",7,0,0,0,602,0,0
04690,ARKANSAS,UNION,"2,142","85,936",3,"85,937",3,0,0,0,"1,979",0,0
04700,ARKANSAS,VAN BUREN,706,"75,207",9,"75,206",9,0,0,0,627,0,0
04710,ARKANSAS,WASHINGTON,"4,945","380,473",6,"380,474",6,0,0,0,"4,279",0,0
04720,ARKANSAS,WHITE,"2,982","118,317",3,"118,316",3,0,0,0,"2,696",0,0
04730,ARKANSAS,WOODRUFF,366,"16,099",4,"16,099",4,0,0,0,339,0,0
04740,ARKANSAS,YELL,939,"37,944",3,"37,944",3,0,0,0,854,0,0
05000,CALIFORNIA,ALAMEDA,"19,659","1,748,065",7,"1,748,065",7,0,0,0,"16,621",0,0
05010,CALIFORNIA,ALPINE,29,0,0,0,0,0,0,0,24,0,0
05020,CALIFORNIA,AMADOR,931,"95,586",9,"95,586",9,0,0,0,805,0,0
05030,CALIFORNIA,BUTTE,"8,526","266,834",3,"266,833",3,0,0,0,"7,827",0,0
05040,CALIFORNIA,CALAVERAS,"1,281","21,685",1,"21,685",1,0,0,0,"1,133",0,0
05050,CALIFORNIA,COLUSA,482,0,0,0,0,0,0,0,440,0,0
05060,CALIFORNIA,CONTRA COSTA,"15,220","1,321,853",7,"1,321,854",7,0,0,0,"12,471",0,0
05070,CALIFORNIA,DEL NORTE,"1,148",0,0,0,0,0,0,0,"1,068",0,0
05080,CALIFORNIA,EL DORADO,"3,939","125,733",3,"125,733",3,0,0,0,"3,338",0,0
05090,CALIFORNIA,FRESNO,"15,794","1,050,101",6,"1,050,101",6,0,0,0,"13,938",0,0
05100,CALIFORNIA,GLENN,795,"8,435",1,"8,435",1,0,0,0,720,0,0
05110,CALIFORNIA,HUMBOLDT,"5,350","416,842",6,"416,842",6,0,0,0,"4,958",0,0
05120,CALIFORNIA,IMPERIAL,"3,694","31,168",1,"31,168",1,0,0,0,"3,330",0,0
05130,CALIFORNIA,INYO,295,0,0,0,0,0,0,0,273,0,0
05140,CALIFORNIA,KERN,"15,766","1,883,948",10,"1,883,948",10,0,0,0,"13,847",0,0
05150,CALIFORNIA,KINGS,"2,438","64,763",2,"64,764",2,0,0,0,"2,156",0,0
05160,CALIFORNIA,LAKE,"3,596","238,285",6,"238,285",6,0,0,0,"3,297",0,0
05170,CALIFORNIA,LASSEN,831,0,0,0,0,0,0,0,735,0,0
05200,CALIFORNIA,LOS ANGELES,"104,695","11,961,829",10,"11,961,828",10,0,0,0,"90,302",0,0
05300,CALIFORNIA,MADERA,"2,640","81,133",3,"81,134",3,0,0,0,"2,307",0,0
05310,CALIFORNIA,MARIN,"2,892","475,364",14,"475,363",14,0,0,0,"2,512",0,0
05320,CALIFORNIA,MARIPOSA,507,"63,123",10,"63,123",10,0,0,0,443,0,0
05330,CALIFORNIA,MENDOCINO,"3,468","119,311",3,"119,310",3,0,0,0,"3,228",0,0
05340,CALIFORNIA,MERCED,"5,020","222,823",4,"222,823",4,0,0,0,"4,535",0,0
05350,CALIFORNIA,MODOC,325,0,0,0,0,0,0,0,301,0,0
05360,CALIFORNIA,MONO,243,"4,118",1,"4,119",1,0,0,0,216,0,0
05370,CALIFORNIA,MONTEREY,"6,715","306,119",4,"306,120",4,0,0,0,"6,096",0,0
05380,CALIFORNIA,NAPA,"2,380","212,143",7,"212,144",7,0,0,0,"2,011",0,0
05390,CALIFORNIA,NEVADA,"2,377","154,701",5,"154,701",5,0,0,0,"2,125",0,0
05400,CALIFORNIA,ORANGE,"21,381","3,431,847",13,"3,431,847",13,0,0,0,"17,415",0,0
05410,CALIFORNIA,PLACER,"6,081","618,390",8,"618,390",8,0,0,0,"4,996",0,0
05420,CALIFORNIA,PLUMAS,834,"13,093",1,"13,094",1,0,0,0,773,0,0
05430,CALIFORNIA,RIVERSIDE,"24,843","3,705,784",12,"3,705,784",12,0,0,0,"20,321",0,0
05440,CALIFORNIA,SACRAMENTO,"28,335","2,602,173",8,"2,602,173",8,0,0,0,"23,576",0,0
05450,CALIFORNIA,SAN BENITO,891,"6,238",1,"6,239",1,0,0,0,768,0,0
05460,CALIFORNIA,SAN BERNARDINO,"26,479","4,011,184",13,"4,011,184",13,0,0,0,"21,878",0,0
05470,CALIFORNIA,SAN DIEGO,"36,802","3,854,581",9,"3,854,582",9,0,0,0,"30,942",0,0
05480,CALIFORNIA,SAN FRANCISCO,"13,374","1,037,456",6,"1,037,456",6,0,0,0,"11,913",0,0
05490,CALIFORNIA,SAN JOAQUIN,"13,447","826,801",5,"826,801",5,0,0,0,"11,560",0,0
05500,CALIFORNIA,SAN LUIS OBISPO,"5,784","377,694",5,"377,694",5,0,0,0,"5,105",0,0
05510,CALIFORNIA,SAN MATEO,"5,429","938,015",14,"938,015",14,0,0,0,"4,238",0,0
05520,CALIFORNIA,SANTA BARBARA,"8,035","630,777",7,"630,778",7,0,0,0,"7,252",0,0
05530,CALIFORNIA,SANTA CLARA,"18,114","1,796,078",8,"1,796,078",8,0,0,0,"15,395",0,0
