"AGED -- 2013 REIMBURSEMENT FOR COST CONTRACTS 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
05510,CALIFORNIA,SAN MATEO,"547,134","522,944","267,352",,,,,,
05520,CALIFORNIA,SANTA BARBARA,"21,077","19,510","12,323",,,,,,
05530,CALIFORNIA,SANTA CLARA,"1,819,279","1,528,454","511,188",,,,,,
05540,CALIFORNIA,SANTA CRUZ,"88,867","84,625","32,690",,,,,,
05550,CALIFORNIA,SHASTA,"140,097","129,368","65,806",,,,,,
05560,CALIFORNIA,SIERRA,0,0,860,,,,,,
05570,CALIFORNIA,SISKIYOU,0,0,369,,,,,,
05580,CALIFORNIA,SOLANO,"524,310","517,078","224,013",,,,,,
05590,CALIFORNIA,SONOMA,"500,598","467,904","338,482",,,,,,
05600,CALIFORNIA,STANISLAUS,"281,761","256,657","79,327",,,,,,
05610,CALIFORNIA,SUTTER,"16,881","16,881","9,872",,,,,,
05620,CALIFORNIA,TEHAMA,0,0,"16,397",,,,,,
05630,CALIFORNIA,TRINITY,0,0,0,,,,,,
05640,CALIFORNIA,TULARE,"4,873","3,758","14,125",,,,,,
05650,CALIFORNIA,TUOLUMNE,"103,228","101,182","25,751",,,,,,
05660,CALIFORNIA,VENTURA,"75,503","67,828","39,353",,,,,,
05670,CALIFORNIA,YOLO,"80,752","78,231","21,586",,,,,,
05680,CALIFORNIA,YUBA,"61,009","55,566","24,298",,,,,,
06000,COLORADO,ADAMS,"2,257,781","2,053,282","1,375,434",,,,,,
06010,COLORADO,ALAMOSA,"461,420","426,221","385,778",,,,,,
06020,COLORADO,ARAPAHOE,"3,710,213","3,554,848","1,838,627",,,,,,
06030,COLORADO,ARCHULETA,"452,030","433,987","550,670",,,,,,
06040,COLORADO,BACA,"17,187","17,187","10,803",,,,,,
06050,COLORADO,BENT,"114,450","112,240","76,487",,,,,,
06060,COLORADO,BOULDER,"3,708,209","3,567,510","2,205,529",,,,,,
06070,COLORADO,CHAFFEE,"1,154,395","1,109,584","797,445",,,,,,
06080,COLORADO,CHEYENNE,"54,846","47,362","26,060",,,,,,
06090,COLORADO,CLEAR CREEK,"282,526","252,048","88,768",,,,,,
06100,COLORADO,CONEJOS,"579,149","552,968","435,524",,,,,,
06110,COLORADO,COSTILLA,"198,957","190,563","110,487",,,,,,
06120,COLORADO,CROWLEY,"46,152","41,297","33,989",,,,,,
06130,COLORADO,CUSTER,"169,580","163,231","69,701",,,,,,
06140,COLORADO,DELTA,"2,784,987","2,655,916","1,884,056",,,,,,
06150,COLORADO,DENVER,"3,495,237","3,165,670","1,486,281",,,,,,
06160,COLORADO,DOLORES,"250,541","246,017","109,884",,,,,,
06170,COLORADO,DOUGLAS,"814,439","795,617","541,137",,,,,,
06180,COLORADO,EAGLE,"674,015","634,964","357,690",,,,,,
06190,COLORADO,ELBERT,"436,822","419,717","163,168",,,,,,
06200,COLORADO,EL PASO,"1,344,642","1,265,530","923,047",,,,,,
06210,COLORADO,FREMONT,"564,165","530,947","408,189",,,,,,
06220,COLORADO,GARFIELD,"1,752,603","1,648,356","1,225,929",,,,,,
06230,COLORADO,GILPIN,0,0,"31,080",,,,,,
06240,COLORADO,GRAND,"49,153","48,374","104,868",,,,,,
06250,COLORADO,GUNNISON,"201,188","187,376","198,048",,,,,,
06260,COLORADO,HINSDALE,"12,282","10,873","11,263",,,,,,
06270,COLORADO,HUERFANO,"593,784","553,879","316,199",,,,,,
06280,COLORADO,JACKSON,0,0,"4,542",,,,,,
06290,COLORADO,JEFFERSON,"4,023,234","3,752,775","2,996,842",,,,,,
06300,COLORADO,KIOWA,"3,709","3,130","4,700",,,,,,
06310,COLORADO,KIT CARSON,"154,622","152,533","203,222",,,,,,
06320,COLORADO,LAKE,"106,334","98,364","137,289",,,,,,
06330,COLORADO,LA PLATA,"1,363,414","1,287,106","1,137,614",,,,,,
06340,COLORADO,LARIMER,"2,493,932","2,399,394","1,262,172",,,,,,
06350,COLORADO,LAS ANIMAS,"878,086","836,041","449,358",,,,,,
06360,COLORADO,LINCOLN,"198,935","190,511","169,078",,,,,,
06370,COLORADO,LOGAN,"426,310","408,927","286,468",,,,,,
06380,COLORADO,MESA,"19,732,544","18,546,312","10,455,867",,,,,,
06390,COLORADO,MINERAL,"20,067","18,143","27,253",,,,,,
06400,COLORADO,MOFFAT,"197,180","194,904","244,094",,,,,,
06410,COLORADO,MONTEZUMA,"1,144,062","1,092,176","967,558",,,,,,
06420,COLORADO,MONTROSE,"3,226,521","3,033,112","2,412,473",,,,,,
06430,COLORADO,MORGAN,"301,512","270,806","155,063",,,,,,
06440,COLORADO,OTERO,"516,594","477,208","400,248",,,,,,
06450,COLORADO,OURAY,"323,596","311,120","159,555",,,,,,
06460,COLORADO,PARK,"80,774","72,778","129,896",,,,,,
06470,COLORADO,PHILLIPS,"54,517","54,517","86,411",,,,,,
06480,COLORADO,PITKIN,"89,540","89,366","105,590",,,,,,
06490,COLORADO,PROWERS,"59,021","54,918","108,067",,,,,,
