SSA Code,State,County,Provider Number,CBSA 2015,IPPS Provider  2009,IPPS Provider  2010 A,IPPS Provider  2010 B,IPPS Provider  2011,IPPS Provider  2012,IPPS Provider  2013,IPPS Provider  2015
04690,AR,UNION,040088,NA,0.7759,0.7925,0.7925,0.8163,0.8087,0.7841,0.7764
04710,AR,WASHINGTON,040022,22220,0.9097,0.8787,0.8787,0.8604,0.9207,0.9284,0.8808
04710,AR,WASHINGTON,040152,22220,,,,0.8604,0.9207,0.9284,0.8808
04710,AR,WASHINGTON,040004,22220,0.9097,0.8787,0.8787,0.8604,0.9207,0.9284,0.8808
04720,AR,WHITE,040014,NA,0.8766,0.8455,0.8455,0.8461,0.8494,0.8413,0.8245
04740,AR,YELL,040011,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
05000,CA,ALAMEDA,050488,36084,1.564,1.6059,1.6043,1.6174,1.6118,1.6648,1.6962
05000,CA,ALAMEDA,050211,36084,1.564,1.6059,1.6043,1.6174,1.6118,1.6648,1.6962
05000,CA,ALAMEDA,050075,36084,1.564,1.6059,1.6043,1.6174,1.6118,1.6648,1.6962
05000,CA,ALAMEDA,050195,36084,1.564,1.6059,1.6043,1.6174,1.6118,1.6648,1.6962
05000,CA,ALAMEDA,050283,36084,1.564,1.6059,1.6043,1.6174,1.6118,1.6648,1.6962
05000,CA,ALAMEDA,050002,36084,1.564,1.6059,1.6043,1.6174,1.6118,1.6648,1.6962
05000,CA,ALAMEDA,050320,36084,1.564,1.6059,1.6043,1.6174,1.6118,1.6648,1.6962
05000,CA,ALAMEDA,050043,36084,1.564,1.6059,1.6043,1.6174,1.6118,1.6648,1.6962
05000,CA,ALAMEDA,050512,36084,1.564,1.6059,1.6043,1.6174,1.6118,1.6648,1.6962
05000,CA,ALAMEDA,050305,36084,1.564,1.6059,1.6043,1.6174,1.6118,1.6648,1.6962
05020,CA,AMADOR,050014,NA,1.2973,1.3354,1.3341,1.3602,1.3311,1.4203,1.5256
05030,CA,BUTTE,050225,17020,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05030,CA,BUTTE,050030,17020,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05030,CA,BUTTE,050039,17020,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05050,CA,COLUSA,050434,NA,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05060,CA,CONTRA COSTA,050496,36084,1.563,1.5857,1.5841,1.5852,1.5553,1.609,1.6478
05060,CA,CONTRA COSTA,050180,36084,1.563,1.5857,1.5841,1.5852,1.5553,1.609,1.6478
05060,CA,CONTRA COSTA,050523,36084,1.563,1.5857,1.5841,1.5852,1.5553,1.609,1.6478
05060,CA,CONTRA COSTA,050760,36084,,1.5857,1.5841,1.5852,1.5553,1.609,1.6478
05060,CA,CONTRA COSTA,050276,36084,1.563,1.5857,1.5841,1.5852,1.5553,1.609,1.6478
05060,CA,CONTRA COSTA,050079,36084,1.563,1.5857,1.5841,1.5852,1.5553,1.609,1.6478
05060,CA,CONTRA COSTA,050072,36084,1.563,1.5857,1.5841,1.5852,1.5553,1.609,1.6478
05060,CA,CONTRA COSTA,050689,36084,1.563,1.5857,1.5841,1.5852,1.5553,1.609,1.6478
05070,CA,DEL NORTE,050417,NA,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05080,CA,EL DORADO,050254,40900,1.3088,1.3594,1.3581,1.3602,1.3311,1.4203,1.5256
05080,CA,EL DORADO,050352,40900,1.3088,1.3594,1.3581,1.3602,1.3311,1.4203,1.5256
05090,CA,FRESNO,050710,23420,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05090,CA,FRESNO,050397,23420,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05090,CA,FRESNO,050060,23420,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05090,CA,FRESNO,050192,23420,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05090,CA,FRESNO,050732,23420,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05090,CA,FRESNO,050708,23420,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05090,CA,FRESNO,050093,23420,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05090,CA,FRESNO,050492,23420,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05110,CA,HUMBOLDT,050006,NA,1.2935,1.3428,1.3415,1.3551,1.406,1.3426,1.3869
05110,CA,HUMBOLDT,050028,NA,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05120,CA,IMPERIAL,050342,20940,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05120,CA,IMPERIAL,050045,20940,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05140,CA,KERN,050724,12540,1.1972,1.1831,1.182,1.187,1.1871,1.2282,1.2882
05140,CA,KERN,050608,12540,1.1972,1.1831,1.182,1.187,1.1871,1.2282,1.2882
05140,CA,KERN,050315,12540,1.1972,1.1831,1.182,1.187,1.1871,1.2282,1.2882
05140,CA,KERN,050455,12540,1.1972,1.1831,1.182,1.187,1.1871,1.2282,1.2882
05140,CA,KERN,050295,12540,1.1972,1.1831,1.182,1.187,1.1871,1.2282,1.2882
05140,CA,KERN,050257,12540,1.1972,1.1831,1.182,1.187,1.1871,1.2282,1.2882
05140,CA,KERN,050036,12540,1.1972,1.1831,1.182,1.187,1.1871,1.2282,1.2882
05150,CA,KINGS,050121,25260,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05150,CA,KINGS,050196,25260,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05150,CA,KINGS,050349,25260,1.1972,1.1831,1.182,1.187,1.1238,1.2282,1.2882
05200,CA,LOS ANGELES,050552,31084,1.2032,1.189,1.1878,1.2014,1.2151,1.2282,1.2882
05200,CA,LOS ANGELES,050575,31084,1.2032,1.189,1.1878,1.2014,1.2151,1.2282,1.2882
