DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-29,133","-28,848","-20,368","-8,776","3,884"
04160,ARKANSAS                 ,CRAWFORD,"1,157","-2,995","31,628","31,408","11,712"
04170,ARKANSAS                 ,CRITTENDEN,"-22,628","-22,893","-23,691","-18,926","-5,072"
04180,ARKANSAS                 ,CROSS,"-5,377","-4,231","-3,018","-1,775","-1,805"
04190,ARKANSAS                 ,DALLAS,"-3,612","-3,788","-4,104","-3,605","-2,080"
04200,ARKANSAS                 ,DESHA,"-6,315","-6,078","-5,307","-5,889","-3,679"
04210,ARKANSAS                 ,DREW,"-13,194","-8,461","-7,864","-6,681","-6,732"
04220,ARKANSAS                 ,FAULKNER,"-49,627","-39,455","-41,027","-41,203","-34,083"
04230,ARKANSAS                 ,FRANKLIN,"1,504","1,684","5,475","9,210","1,572"
04240,ARKANSAS                 ,FULTON,"-6,068","-5,497","-5,659","-9,440","-6,712"
04250,ARKANSAS                 ,GARLAND,"-112,859","-106,723","-121,665","-100,949","-32,335"
04260,ARKANSAS                 ,GRANT,"-10,100","-10,812","-9,383","-10,146","-6,243"
04270,ARKANSAS                 ,GREENE,"-22,749","-15,036","-11,300","-7,602","3,594"
04280,ARKANSAS                 ,HEMPSTEAD,"-7,214","-5,019","-4,661","-5,216","-4,527"
04290,ARKANSAS                 ,HOT SPRING,"-26,252","-28,168","-33,174","-32,946","-11,770"
04300,ARKANSAS                 ,HOWARD,"-4,433","-5,235","-3,616","-4,286","-2,421"
04310,ARKANSAS                 ,INDEPENDENCE,"-53,050","-31,237","-35,481","-35,070","-24,915"
04320,ARKANSAS                 ,IZARD,"-13,805","-7,455","-7,387","-10,157","-6,250"
04330,ARKANSAS                 ,JACKSON,"-26,493","-11,152","-16,388","-17,400","-16,042"
04340,ARKANSAS                 ,JEFFERSON,"-40,510","-30,848","-35,875","-34,528","-26,765"
04350,ARKANSAS                 ,JOHNSON,"-7,932","-3,420","-4,697","-1,724","-5,470"
04360,ARKANSAS                 ,LAFAYETTE,"-2,825","-2,459","-2,049","-2,596","-1,846"
04370,ARKANSAS                 ,LAWRENCE,"-11,718","-7,967","-5,234","-3,471","-1,034"
04380,ARKANSAS                 ,LEE,"-5,594","-5,069","-2,438","-1,855","-1,186"
04390,ARKANSAS                 ,LINCOLN,"-6,209","-3,222","-5,168","-5,808","-4,763"
04400,ARKANSAS                 ,LITTLE RIVER,"-5,977","-2,870","-2,945","-5,452","-4,903"
04410,ARKANSAS                 ,LOGAN,"-1,515",313,"5,317","13,802","2,614"
04420,ARKANSAS                 ,LONOKE,"-37,277","-32,710","-31,966","-28,891","-22,910"
04430,ARKANSAS                 ,MADISON,"-4,501",-623,"1,101","-12,977","-14,016"
04440,ARKANSAS                 ,MARION,"-7,545","-5,610","-5,236","-8,061","-7,614"
04450,ARKANSAS                 ,MILLER,"-17,438","-12,703","-7,222","-11,503","-11,890"
04460,ARKANSAS                 ,MISSISSIPPI,"-48,168","-39,720","-21,793","-20,377","-8,730"
04470,ARKANSAS                 ,MONROE,"-6,761","-4,755","-3,657","-3,931","-2,476"
04480,ARKANSAS                 ,MONTGOMERY,"-9,109","-9,364","-10,156","-6,853","-2,058"
04490,ARKANSAS                 ,NEVADA,"-5,024","-3,255","-2,239","-2,613","-2,241"
