HHA Wage Indices by Fiscal Year,,,,,,,,,,,
SSACD,State,County,CBSA Code,Wage 2009,Wage 2010,Wage 2011,Wage 2012,Wage 2013,Wage 2014,Wage 2015,
06470,CO,PHILLIPS,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06480,CO,PITKIN,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06490,CO,PROWERS,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06510,CO,RIO BLANCO,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06520,CO,RIO GRANDE,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06530,CO,ROUTT,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06540,CO,SAGUACHE,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06550,CO,SAN JUAN,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06560,CO,SAN MIGUEL,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06570,CO,SEDGWICK,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06580,CO,SUMMIT,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06600,CO,WASHINGTON,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06620,CO,YUMA,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
07020,CT,LITCHFIELD,07,1.1016,1.1093,1.1128,1.1287,1.1153,1.1356,1.1273,
10030,FL,BRADFORD,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10060,FL,CALHOUN,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10110,FL,COLUMBIA,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10130,FL,DE SOTO,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10140,FL,DIXIE,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10180,FL,FRANKLIN,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10210,FL,GLADES,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10230,FL,HAMILTON,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10240,FL,HARDEE,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10250,FL,HENDRY,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10290,FL,HOLMES,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
