"AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. 
",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
44620,TENNESSEE                ,MONTGOMERY,"-1,667,354","-1,388,848","-1,128,840","-1,002,699","-520,053","-2,284",,,,,,
44630,TENNESSEE                ,MOORE,"-61,078","-85,627","-53,835","-36,912","-11,994","-12,834",,,,,,
44640,TENNESSEE                ,MORGAN,"-81,275","-84,503","-67,141","-67,078","-46,394","-3,223",,,,,,
44650,TENNESSEE                ,OBION,"-341,853","-424,082","-434,411","-408,044","-264,576","-4,027",,,,,,
44660,TENNESSEE                ,OVERTON,"-478,321","-435,372","-494,197","-385,430","-213,575","-2,657",,,,,,
44670,TENNESSEE                ,PERRY,"-160,853","-87,381","-62,002","-64,297","-42,685","-3,847",,,,,,
44680,TENNESSEE                ,PICKETT,"-106,149","-135,496","-134,090","-86,999","-51,803","-1,459",,,,,,
44690,TENNESSEE                ,POLK,"-128,746","-181,338","-133,343","-129,667","-80,423",-792,,,,,,
44700,TENNESSEE                ,PUTNAM,"-752,482","-822,697","-1,168,817","-967,650","-442,350",-742,,,,,,
44710,TENNESSEE                ,RHEA,"-173,328","-201,857","-281,551","-301,099","-227,181","-4,918",,,,,,
44720,TENNESSEE                ,ROANE,"-535,121","-434,182","-348,349","-303,493","-113,671","-5,699",,,,,,
44730,TENNESSEE                ,ROBERTSON,"-660,721","-638,899","-540,442","-389,090","-137,246",0,,,,,,
44740,TENNESSEE                ,RUTHERFORD,"-478,105","-467,392","-551,102","-657,098","-258,585","-6,642",,,,,,
44750,TENNESSEE                ,SCOTT,"-169,614","-126,040","-101,537","-101,914","-77,277",-937,,,,,,
44760,TENNESSEE                ,SEQUATCHIE,"-12,205","-57,659","-118,952","-62,093","-63,710","-9,662",,,,,,
44770,TENNESSEE                ,SEVIER,"-400,270","-356,509","-348,678","-323,380","-209,824",-144,,,,,,
44780,TENNESSEE                ,SHELBY,"-2,167,759","-3,317,968","-3,151,424","-4,098,610","-2,187,221","-6,270",,,,,,
44790,TENNESSEE                ,SMITH,"-147,498","-148,323","-144,000","-91,310","-64,934","-8,665",,,,,,
44800,TENNESSEE                ,STEWART,"-223,090","-252,289","-142,967","-146,544","-83,411",-702,,,,,,
44810,TENNESSEE                ,SULLIVAN,"-1,143,968","-727,396","-373,346","-235,509","-69,715",-26,,,,,,
44820,TENNESSEE                ,SUMNER,"-899,858","-1,049,896","-837,419","-557,634","-460,583",-975,,,,,,
44830,TENNESSEE                ,TIPTON,"-400,131","-432,268","-463,013","-546,134","-306,895",-705,,,,,,
44840,TENNESSEE                ,TROUSDALE,"-71,605","-71,642","-60,214","-36,616","-57,187","-7,112",,,,,,
44850,TENNESSEE                ,UNICOI,"-199,420","-222,922","-153,599","-83,778","5,894","-15,845",,,,,,
44860,TENNESSEE                ,UNION,"-66,039","-45,209","-17,674","-40,705","-17,982","-3,313",,,,,,
44870,TENNESSEE                ,VAN BUREN,"-57,633","-55,131","-65,016","-63,575","-40,309","-19,707",,,,,,
44880,TENNESSEE                ,WARREN,"-729,549","-683,561","-583,945","-680,491","-456,653","-3,261",,,,,,
44890,TENNESSEE                ,WASHINGTON,"-1,227,746","-1,303,533","-843,007","-298,298","42,578","-10,155",,,,,,
44900,TENNESSEE                ,WAYNE,"-230,805","-237,195","-220,583","-249,550","-160,127",-987,,,,,,
44910,TENNESSEE                ,WEAKLEY,"-502,584","-505,779","-471,565","-408,578","-210,496",-534,,,,,,
44920,TENNESSEE                ,WHITE,"-376,671","-363,559","-512,751","-417,534","-203,434",126,,,,,,
44930,TENNESSEE                ,WILLIAMSON,"-217,780","-329,031","-322,722","-225,796","-215,397","-2,458",,,,,,
44940,TENNESSEE                ,WILSON,"-751,626","-721,410","-457,634","-373,102","-157,824","-2,724",,,,,,
45000,TEXAS                    ,ANDERSON,"-380,028","-417,395","-535,563","-635,427","-518,527","-260,778",,,,,,
45010,TEXAS                    ,ANDREWS,"-117,155","-146,233","-158,520","-144,813","-74,075","-5,506",,,,,,
45020,TEXAS                    ,ANGELINA,"-268,341","-332,677","-376,920","-487,187","-369,603","-25,271",,,,,,
45030,TEXAS                    ,ARANSAS,"-336,675","-302,732","-295,081","-192,930","-50,957","-1,526",,,,,,
45040,TEXAS                    ,ARCHER,"-126,454","-109,872","-128,107","-134,040","-98,003","-1,195",,,,,,
45050,TEXAS                    ,ARMSTRONG,"-8,665","-13,905","-3,429","-2,526","-1,297","-10,023",,,,,,
45060,TEXAS                    ,ATASCOSA,"-541,594","-533,615","-510,770","-406,424","-230,104","-1,347",,,,,,
45070,TEXAS                    ,AUSTIN,"-89,577","-151,585","-230,281","-15,980","-87,294","-34,374",,,,,,
45080,TEXAS                    ,BAILEY,"-56,403","-35,221","-52,679","-44,648","-23,915","-2,407",,,,,,
45090,TEXAS                    ,BANDERA,"-205,466","-241,511","-254,562","-222,165","-189,953","-3,170",,,,,,
45100,TEXAS                    ,BASTROP,"-397,476","-507,712","-719,578","-583,493","-451,156",-523,,,,,,
45110,TEXAS                    ,BAYLOR,"-55,574","-59,999","-53,849","-82,813","-34,101","-10,474",,,,,,
45113,TEXAS                    ,BEE,"-204,096","-249,042","-159,869","-171,033","-81,428","-8,583",,,,,,
45120,TEXAS                    ,BELL,"-1,630,167","-2,044,973","-1,726,730","-1,874,066","-1,428,759","-12,683",,,,,,
45130,TEXAS                    ,BEXAR,"-14,800,509","-13,456,948","-13,251,534","-11,772,010","-6,856,240","-21,080",,,,,,
45140,TEXAS                    ,BLANCO,"-50,529","-68,435","-123,075","-70,633","-72,454","-4,478",,,,,,
45150,TEXAS                    ,BORDEN,502,1,"-2,728","-2,056","-1,092","-5,969",,,,,,
45160,TEXAS                    ,BOSQUE,"-218,923","-205,861","-229,714","-188,334","-133,035",-366,,,,,,
45170,TEXAS                    ,BOWIE,"-419,892","-571,981","-1,016,546","-1,015,837","-790,552",-319,,,,,,
45180,TEXAS                    ,BRAZORIA,"-247,560","-167,459","-835,061","-522,880","-566,937","-48,667",,,,,,
45190,TEXAS                    ,BRAZOS,"-1,083,389","-1,314,071","-1,338,106","-1,456,911","-871,386","-22,480",,,,,,
45200,TEXAS                    ,BREWSTER,"-86,829","-105,222","-85,061","-79,386","-48,084","-17,678",,,,,,
45201,TEXAS                    ,BRISCOE,"-28,306","-22,761","-10,818","-16,016","-5,526","-16,960",,,,,,
45210,TEXAS                    ,BROOKS,"-97,244","-125,277","-81,759","-59,374","-77,923","-146,144",,,,,,
45220,TEXAS                    ,BROWN,"-337,806","-390,353","-351,353","-278,200","-192,967","-45,526",,,,,,
45221,TEXAS                    ,BURLESON,"-232,701","-264,598","-314,783","-288,326","-170,756","-18,342",,,,,,
45222,TEXAS                    ,BURNET,"3,486","-158,523","-407,255","-494,187","-404,045","-9,410",,,,,,
45223,TEXAS                    ,CALDWELL,"-164,425","-157,235","-206,122","-146,577","-164,267","-7,304",,,,,,
45224,TEXAS                    ,CALHOUN,"-203,340","-173,594","-222,662","-146,995","-114,152","-24,822",,,,,,
45230,TEXAS                    ,CALLAHAN,"-110,459","-104,979","-137,276","-137,289","-85,644","-30,518",,,,,,
45240,TEXAS                    ,CAMERON,"-11,080,054","-11,086,798","-9,384,290","-9,413,589","-6,029,431","-12,243",,,,,,
45250,TEXAS                    ,CAMP,"-64,267","-87,161","-126,026","-118,387","-92,067","-15,503",,,,,,
45251,TEXAS                    ,CARSON,"-23,849","-25,324","-50,744","-34,156","-38,408","-3,849",,,,,,
45260,TEXAS                    ,CASS,"-186,170","-225,172","-369,582","-447,988","-313,496","-21,215",,,,,,
45270,TEXAS                    ,CASTRO,"-25,607","-32,570","-63,090","-34,085","-7,109","-49,464",,,,,,
45280,TEXAS                    ,CHAMBERS,"-45,803","-137,371","-129,920","-56,610","-58,756","-23,225",,,,,,
45281,TEXAS                    ,CHEROKEE,"-124,040","-104,255","-191,780","-210,507","-128,202","-60,341",,,,,,
45290,TEXAS                    ,CHILDRESS,"-31,117","-49,987","-79,148","-58,412","-16,418","-483,059",,,,,,
45291,TEXAS                    ,CLAY,"-180,726","-157,153","-120,176","-144,130","-78,544","-16,510",,,,,,
45292,TEXAS                    ,COCHRAN,"-24,843","-32,095","-20,648","-18,630","-16,615","-10,776",,,,,,
45300,TEXAS                    ,COKE,"-91,527","-102,936","-87,451","-48,767","-31,190","-42,729",,,,,,
45301,TEXAS                    ,COLEMAN,"-134,881","-132,129","-122,693","-113,302","-67,902","-39,832",,,,,,
45310,TEXAS                    ,COLLIN,"1,191,483","724,205","62,535","199,734","249,500","-55,296",,,,,,
45311,TEXAS                    ,COLLINGSWORTH,"-45,794","-47,466","-26,619","-23,956","-15,082","-20,051",,,,,,
45312,TEXAS                    ,COLORADO,"-124,917","-232,005","-376,363","-315,470","-205,443","-47,439",,,,,,
45320,TEXAS                    ,COMAL,"-3,689,464","-3,418,303","-3,411,358","-3,057,348","-1,707,784","-51,022",,,,,,
45321,TEXAS                    ,COMANCHE,"-123,665","-127,249","-120,430","-108,574","-71,292","-44,489",,,,,,
45330,TEXAS                    ,CONCHO,"-63,171","-53,454","-47,435","-37,063","-24,200","-16,044",,,,,,
45340,TEXAS                    ,COOKE,"-141,047","-115,075","-137,326","-52,597","-8,558","-52,678",,,,,,
45341,TEXAS                    ,CORYELL,"-318,152","-395,999","-427,367","-377,795","-295,416","-19,920",,,,,,
45350,TEXAS                    ,COTTLE,"-15,286","-12,308","-23,092","-18,829","-16,199","-26,467",,,,,,
45360,TEXAS                    ,CRANE,"-84,554","-39,205","-36,164","-57,715","-26,189","-372,312",,,,,,
45361,TEXAS                    ,CROCKETT,"-56,714","-73,601","-69,481","-48,548","-27,697","-2,527",,,,,,
45362,TEXAS                    ,CROSBY,"-52,349","-58,055","-63,036","-38,061","-22,821","-16,360",,,,,,
45370,TEXAS                    ,CULBERSON,"-43,024","-52,874","-45,102","-30,459","-42,380","-45,523",,,,,,
45380,TEXAS                    ,DALLAM,"-61,090","-77,791","-85,449","-76,863","-46,322","-28,852",,,,,,
45390,TEXAS                    ,DALLAS,"-1,586,109","-1,647,040","-56,523","925,364","373,206","-9,904",,,,,,
45391,TEXAS                    ,DAWSON,"-110,327","-145,805","-140,856","-116,574","-54,131","-10,395",,,,,,
45392,TEXAS                    ,DEAF SMITH,"-93,445","-40,630","-16,193","-33,296","-8,405","-34,766",,,,,,
45400,TEXAS                    ,DELTA,"-73,458","-67,375","-52,148","-72,141","-38,260","-23,543",,,,,,
45410,TEXAS                    ,DENTON,"375,214","272,379","-51,320","2,341","122,167",150,,,,,,
45420,TEXAS                    ,DEWITT,"-562,201","-556,341","-460,817","-254,614","-159,237","-7,770",,,,,,
45421,TEXAS                    ,DICKENS,"-36,472","-36,026","-30,416","-29,679","-11,559","-32,763",,,,,,
45430,TEXAS                    ,DIMMIT,"-60,603","33,590","-45,972","-7,921","38,522","-12,935",,,,,,
45431,TEXAS                    ,DONLEY,"-51,602","-45,563","-25,938","-52,485","-20,790",-152,,,,,,
45440,TEXAS                    ,DUVAL,"-215,244","-128,859","-71,560","-29,765","-35,620","-42,598",,,,,,
45450,TEXAS                    ,EASTLAND,"-186,880","-203,901","-224,593","-140,163","-53,655","-7,671",,,,,,
45451,TEXAS                    ,ECTOR,"-1,959,409","-2,503,210","-1,874,732","-1,632,394","-739,733","-369,704",,,,,,
45460,TEXAS                    ,EDWARDS,"-56,807","-37,785","-50,353","-26,190","-19,105","-5,039",,,,,,
45470,TEXAS                    ,ELLIS,"-882,257","-869,229","-633,525","-538,453","-322,505","-28,266",,,,,,
45480,TEXAS                    ,EL PASO,"-7,767,678","-7,448,558","-5,964,632","-5,046,869","-2,262,740","-43,598",,,,,,
45490,TEXAS                    ,ERATH,"-189,177","-153,377","-152,576","-133,053","-81,065","-9,440",,,,,,
45500,TEXAS                    ,FALLS,"-156,614","-131,050","-107,999","-131,099","-130,214","-34,935",,,,,,
45510,TEXAS                    ,FANNIN,"-184,190","-255,714","-331,238","-310,508","-232,245","-42,352",,,,,,
45511,TEXAS                    ,FAYETTE,"-258,613","-430,103","-619,749","-668,230","-349,097","-43,008",,,,,,
45520,TEXAS                    ,FISHER,"-64,560","-48,938","-33,314","-39,569","-19,845","-37,619",,,,,,
45521,TEXAS                    ,FLOYD,"-45,143","-52,284","-57,008","-57,997","-15,331","-20,642",,,,,,
45522,TEXAS                    ,FOARD,"-20,672","-33,330","-19,107","-17,249","-16,526","-86,683",,,,,,
45530,TEXAS                    ,FORT BEND,"233,825","-112,812","-257,480","-795,172","-943,432","-48,019",,,,,,
45531,TEXAS                    ,FRANKLIN,"-45,396","-64,400","-80,660","-82,597","-56,903","-21,088",,,,,,
45540,TEXAS                    ,FREESTONE,"-105,407","-151,146","-190,437","-153,312","-121,561","-66,565",,,,,,
45541,TEXAS                    ,FRIO,"-209,124","-212,804","-167,079","-89,195","-58,603","-7,410",,,,,,
45542,TEXAS                    ,GAINES,"-74,307","-95,101","-118,238","-114,430","-35,874","-34,260",,,,,,
45550,TEXAS                    ,GALVESTON,"962,945","-1,453,160","-508,960","-843,018","-367,974","-93,983",,,,,,
45551,TEXAS                    ,GARZA,"-55,159","-47,581","-84,594","-49,499","-7,672","-3,353",,,,,,
45552,TEXAS                    ,GILLESPIE,"-165,782","-212,929","-329,572","-298,448","-211,193","-7,849",,,,,,
45560,TEXAS                    ,GLASSCOCK,"-5,993","-4,529","-2,152","-6,630","-3,538","-29,604",,,,,,
45561,TEXAS                    ,GOLIAD,"-174,270","-72,737","-78,508","-99,917","-46,415","-7,911",,,,,,
45562,TEXAS                    ,GONZALES,"-484,112","-510,740","-444,332","-238,571","-162,512","-12,551",,,,,,
45563,TEXAS                    ,GRAY,"-136,499","-111,854","-171,333","-159,335","-35,223","-6,560",,,,,,
45564,TEXAS                    ,GRAYSON,"-650,899","-810,079","-1,124,559","-1,055,210","-1,052,089","-15,644",,,,,,
45570,TEXAS                    ,GREGG,"-537,260","-378,568","-1,593,035","-1,734,916","-1,346,451","-72,198",,,,,,
45580,TEXAS                    ,GRIMES,"-245,060","-255,107","-324,036","-380,472","-175,491","-41,278",,,,,,
45581,TEXAS                    ,GUADALUPE,"-1,525,675","-1,396,466","-1,673,196","-1,463,999","-787,387","-44,548",,,,,,
45582,TEXAS                    ,HALE,"-114,419","-114,582","-115,353","-115,304","-33,960","-37,471",,,,,,
45583,TEXAS                    ,HALL,"-26,764","-24,670","-35,130","-21,644","-13,309","-119,723",,,,,,
45590,TEXAS                    ,HAMILTON,"-81,515","-78,902","-63,327","-85,332","-84,278","-15,395",,,,,,
45591,TEXAS                    ,HANSFORD,"-25,777","-13,518","-42,140","-47,977","-30,117","-30,952",,,,,,
45592,TEXAS                    ,HARDEMAN,"-79,265","-63,723","-81,744","-81,945","-42,773","-117,030",,,,,,
45600,TEXAS                    ,HARDIN,"-529,972","-373,333","-352,000","-263,826","-284,516","-1,368,133",,,,,,
45610,TEXAS                    ,HARRIS,"6,837,008","3,530,258","2,804,190","2,088,978","3,103,850","-12,326",,,,,,
45620,TEXAS                    ,HARRISON,"-533,131","-558,641","-825,400","-991,012","-652,400","-11,308",,,,,,
45621,TEXAS                    ,HARTLEY,"-10,605","-1,580","1,824","-7,486","-17,244","-94,797",,,,,,
45630,TEXAS                    ,HASKELL,"-69,848","-55,703","-70,380","-67,507","-26,289","-162,226",,,,,,
45631,TEXAS                    ,HAYS,"-590,400","-615,419","-803,158","-606,808","-668,453","-97,072",,,,,,
45632,TEXAS                    ,HEMPHILL,"-23,908","-32,683","-11,731","-20,116","-12,182","-8,646",,,,,,
45640,TEXAS                    ,HENDERSON,"-813,100","-609,523","-595,275","-610,063","-418,078",243,,,,,,
45650,TEXAS                    ,HIDALGO,"-25,552,785","-25,331,201","-21,641,522","-19,966,452","-14,824,548","-10,425",,,,,,
45651,TEXAS                    ,HILL,"-499,909","-478,465","-288,013","-436,854","-316,166","-4,318",,,,,,
45652,TEXAS                    ,HOCKLEY,"-153,286","-120,601","-117,724","-117,492","-13,942","-55,994",,,,,,
45653,TEXAS                    ,HOOD,"-555,868","-553,286","-538,231","-377,766","-179,178","-15,529",,,,,,
45654,TEXAS                    ,HOPKINS,"-189,483","-153,948","-169,909","-176,848","-170,018","-21,378",,,,,,
45660,TEXAS                    ,HOUSTON,"-355,589","-355,171","-307,574","-346,501","-219,783","-18,899",,,,,,
45661,TEXAS                    ,HOWARD,"-219,675","-238,381","-296,687","-271,597","-142,818","-27,177",,,,,,
45662,TEXAS                    ,HUDSPETH,"-87,344","-31,202","-25,561","-64,510","-8,856","-133,524",,,,,,
45670,TEXAS                    ,HUNT,"-678,277","-653,469","-594,452","-610,011","-467,129","-73,982",,,,,,
45671,TEXAS                    ,HUTCHINSON,"-166,279","-146,746","-167,171","-148,834","-88,575",-515,,,,,,
45672,TEXAS                    ,IRION,"-28,494","-33,304","-37,522","-18,525","-10,742","-73,181",,,,,,
45680,TEXAS                    ,JACK,"-101,959","-99,056","-90,199","-49,232","-26,743","-13,248",,,,,,
45681,TEXAS                    ,JACKSON,"-159,283","-162,718","-143,356","-107,332","-113,632","-101,511",,,,,,
45690,TEXAS                    ,JASPER,"-240,065","-293,344","-58,179","-221,766","-141,841","-31,947",,,,,,
45691,TEXAS                    ,JEFF DAVIS,"-27,075","-41,479","-30,338","-38,264","-29,853",-919,,,,,,
45700,TEXAS                    ,JEFFERSON,"-2,227,588","-1,612,636","-1,611,538","-1,864,998","-1,044,282",-162,,,,,,
45710,TEXAS                    ,JIM HOGG,"-223,655","-145,720","-186,186","-95,369","-147,127","-2,541",,,,,,
45711,TEXAS                    ,JIM WELLS,"-405,915","-355,542","-211,767","-187,019","18,838","-35,701",,,,,,
45720,TEXAS                    ,JOHNSON,"-857,296","-514,504","-292,039","-306,306","-237,262","-11,814",,,,,,
45721,TEXAS                    ,JONES,"-162,448","-124,320","-126,660","-124,728","-58,568","-3,221",,,,,,
45722,TEXAS                    ,KARNES,"-266,213","-223,411","-225,434","-207,218","-92,087","-42,950",,,,,,
45730,TEXAS                    ,KAUFMAN,"-785,414","-562,348","-620,085","-540,846","-384,758","-93,359",,,,,,
45731,TEXAS                    ,KENDALL,"-446,913","-511,369","-390,676","-428,191","-226,666","-1,276",,,,,,
45732,TEXAS                    ,KENEDY,-390,"-16,141","-6,429","-8,619","-6,938","-19,175",,,,,,
45733,TEXAS                    ,KENT,"-9,296","-5,997","-17,190","-13,394","-2,461","-314,858",,,,,,
45734,TEXAS                    ,KERR,"-365,187","-350,666","-616,095","-575,397","-377,065","-1,876,443",,,,,,
45740,TEXAS                    ,KIMBLE,"-49,592","-29,766","-60,970","-38,480","-43,949","-10,961",,,,,,
45741,TEXAS                    ,KING,63,"-1,129",-882,"-2,385",-840,-375,,,,,,
45742,TEXAS                    ,KINNEY,"-53,826","-48,111","-17,780","-66,846","-52,976","-24,407",,,,,,
45743,TEXAS                    ,KLEBERG,"-191,536","-155,078","-145,870","-94,352","104,075","-115,900",,,,,,
45744,TEXAS                    ,KNOX,"-43,158","-96,327","-33,682","-66,319","-20,294","-473,156",,,,,,
45750,TEXAS                    ,LAMAR,"-761,321","-790,412","-1,048,648","-887,935","-480,589","-18,594",,,,,,
45751,TEXAS                    ,LAMB,"-136,671","-127,462","-141,628","-82,211","-58,888","-7,324",,,,,,
45752,TEXAS                    ,LAMPASAS,"-134,982","-189,954","-228,802","-258,353","-192,830",-980,,,,,,
45753,TEXAS                    ,LA SALLE,"-57,940","-152,492","-98,750","-132,189","-98,082","-17,800",,,,,,
45754,TEXAS                    ,LAVACA,"-298,712","-285,383","-344,535","-270,208","-150,589","-7,170",,,,,,
45755,TEXAS                    ,LEE,"-121,031","-175,719","-246,503","-270,739","-133,031","-8,507",,,,,,
45756,TEXAS                    ,LEON,"-233,676","-278,603","-384,563","-388,827","-228,724","-73,623",,,,,,
45757,TEXAS                    ,LIBERTY,"-540,103","-512,588","-555,130","-570,563","-349,067","-31,720",,,,,,
45758,TEXAS                    ,LIMESTONE,"-118,233","-184,762","-169,404","-151,294","-152,429","-13,795",,,,,,
45759,TEXAS                    ,LIPSCOMB,"-34,303","-36,602","-22,600","-54,367","-43,057","-11,877",,,,,,
45760,TEXAS                    ,LIVE OAK,"-140,979","-93,614","-84,078","-81,245","-55,326","-685,168",,,,,,
45761,TEXAS                    ,LLANO,"-106,126","-170,400","-308,635","-241,756","-198,206","-10,999",,,,,,
45762,TEXAS                    ,LOVING,"-5,847","-2,432","1,757","-5,343",-167,"-4,951",,,,,,
45770,TEXAS                    ,LUBBOCK,"-2,337,744","-2,151,193","-2,563,108","-1,922,452","-942,455",-82,,,,,,
45771,TEXAS                    ,LYNN,"-57,749","-82,094","-95,237","-72,701","-27,833","-40,021",,,,,,
45772,TEXAS                    ,MCCULLOCH,"-147,129","-124,614","-116,383","-93,308","-59,411","-3,659",,,,,,
45780,TEXAS                    ,MCLENNAN,"-1,258,610","-1,461,060","-1,407,908","-1,835,486","-1,400,099","-23,084",,,,,,
45781,TEXAS                    ,MCMULLEN,"-19,194","-12,028","-10,499","-3,039","-1,430","-26,945",,,,,,
45782,TEXAS                    ,MADISON,"-138,872","-163,304","-158,000","-176,143","-64,941",-916,,,,,,
45783,TEXAS                    ,MARION,"-107,765","-122,413","-148,770","-156,031","-172,350",-894,,,,,,
45784,TEXAS                    ,MARTIN,"-4,608","-6,755","-23,719","-22,911","-20,017","-1,839",,,,,,
45785,TEXAS                    ,MASON,"-52,176","-28,590","-44,697","-68,435","-32,858",-790,,,,,,
45790,TEXAS                    ,MATAGORDA,"-119,719","-230,827","-128,048","-175,988","-80,698","-5,887",,,,,,
45791,TEXAS                    ,MAVERICK,"-168,024","-52,393","-54,177","168,796","208,033",-187,,,,,,
45792,TEXAS                    ,MEDINA,"-600,437","-622,592","-517,638","-519,581","-357,040","-410,042",,,,,,
45793,TEXAS                    ,MENARD,"-34,168","-60,837","-45,566","-30,914","-13,713",47,,,,,,
45794,TEXAS                    ,MIDLAND,"172,025","-282,184","-706,607","-632,368","-393,364","-25,118",,,,,,
45795,TEXAS                    ,MILAM,"-621,631","-504,359","-451,637","-399,891","-252,867","-366,980",,,,,,
45796,TEXAS                    ,MILLS,"-52,381","-65,579","-58,245","-77,284","-55,798","-4,642",,,,,,
45797,TEXAS                    ,MITCHELL,"-87,062","-104,900","-79,899","-66,271","-60,542","-5,030",,,,,,
45800,TEXAS                    ,MONTAGUE,"-189,556","-259,656","-261,919","-176,116","-88,064",-587,,,,,,
45801,TEXAS                    ,MONTGOMERY,"-955,065","-1,071,571","-1,334,314","-1,471,035","-1,006,859","-24,134",,,,,,
45802,TEXAS                    ,MOORE,"-105,297","-66,709","-62,328","-76,282","-38,453","-20,512",,,,,,
45803,TEXAS                    ,MORRIS,"-92,649","-110,554","-205,564","-174,423","-109,514","-2,231",,,,,,
45804,TEXAS                    ,MOTLEY,"-14,266","-18,815","-29,404","-10,656","-9,614","-3,524",,,,,,
45810,TEXAS                    ,NACOGDOCHES,"-760,222","-675,603","-689,140","-399,999","-200,065","-2,731",,,,,,
45820,TEXAS                    ,NAVARRO,"-457,855","-316,770","-562,585","-504,099","-363,312","-3,176",,,,,,
45821,TEXAS                    ,NEWTON,"-103,317","-81,354","-79,707","-83,915","-56,636","-3,441",,,,,,
45822,TEXAS                    ,NOLAN,"-160,001","-145,334","-137,024","-129,353","-80,768","-4,960",,,,,,
45830,TEXAS                    ,NUECES,"-2,393,985","-1,886,348","-1,387,069","-1,049,064","87,014","-3,024,132",,,,,,
45831,TEXAS                    ,OCHILTREE,"-49,401","-55,255","-41,002","-44,350","-26,621","-7,379",,,,,,
45832,TEXAS                    ,OLDHAM,"-36,772","-12,312","-17,280","-6,708",60,"-27,630",,,,,,
45840,TEXAS                    ,ORANGE,"-818,164","-756,767","-672,432","-759,189","-257,352","-7,740",,,,,,
45841,TEXAS                    ,PALO PINTO,"-377,501","-337,966","-318,589","-138,645","-142,344","-161,298",,,,,,
45842,TEXAS                    ,PANOLA,"-136,485","-166,503","-241,966","-285,444","-176,259","-21,482",,,,,,
45843,TEXAS                    ,PARKER,"-332,780","-395,310","-277,110","-234,156","-41,048","-1,658",,,,,,
45844,TEXAS                    ,PARMER,"-69,002","-108,199","-37,207","-49,894","-19,412","24,963",,,,,,
45845,TEXAS                    ,PECOS,"-107,880","-150,037","-177,149","-189,891","-120,111","-1,712",,,,,,
45850,TEXAS                    ,POLK,"-587,261","-552,586","-584,376","-684,800","-372,125","-14,853",,,,,,
45860,TEXAS                    ,POTTER,"-684,596","-562,436","-673,345","-848,865","-394,186","-15,050",,,,,,
45861,TEXAS                    ,PRESIDIO,"-101,372","-125,272","-136,255","-131,352","-88,624","-176,398",,,,,,
45870,TEXAS                    ,RAINS,"-77,100","-61,852","-79,359","-83,080","-65,422","-7,643",,,,,,
45871,TEXAS                    ,RANDALL,"-159,976","-132,074","-137,838","-112,183","-38,403","-74,204",,,,,,
45872,TEXAS                    ,REAGAN,"-46,902","-28,569","-42,707","-22,480","-16,803","-1,445,697",,,,,,
45873,TEXAS                    ,REAL,"-4,603","-52,158","-58,769","-90,324","-22,348","-15,435",,,,,,
45874,TEXAS                    ,RED RIVER,"-237,749","-237,915","-244,903","-240,109","-91,852","-24,643",,,,,,
45875,TEXAS                    ,REEVES,"-161,182","-170,485","-169,597","-131,793","-129,102","-46,653",,,,,,
45876,TEXAS                    ,REFUGIO,"-107,795","-82,772","-108,424","-66,378","-45,833","-48,279",,,,,,
45877,TEXAS                    ,ROBERTS,700,"-11,769","-4,546","-1,965","-4,640","-2,356",,,,,,
45878,TEXAS                    ,ROBERTSON,"-196,799","-247,893","-231,438","-271,496","-114,991","-12,477",,,,,,
45879,TEXAS                    ,ROCKWALL,"114,619","14,768","51,743","-92,548","-74,176",-267,,,,,,
45880,TEXAS                    ,RUNNELS,"-211,338","-224,848","-200,417","-156,374","-106,817","-362,236",,,,,,
45881,TEXAS                    ,RUSK,"-337,561","-92,341","-287,528","-484,689","-318,246","-1,343",,,,,,
45882,TEXAS                    ,SABINE,"-142,863","-140,251","-149,760","-97,168","-51,571","-25,055",,,,,,
45883,TEXAS                    ,SAN AUGUSTINE,"-80,032","-75,330","-113,489","-68,909","-26,196","-23,438",,,,,,
45884,TEXAS                    ,SAN JACINTO,"-200,549","-164,646","-193,895","-160,352","-81,822","-5,048",,,,,,
45885,TEXAS                    ,SAN PATRICIO,"-577,154","-564,508","-319,494","-334,707","-59,320","-1,174,512",,,,,,
45886,TEXAS                    ,SAN SABA,"-36,841","-97,882","-109,192","-86,647","-49,682","-2,744",,,,,,
45887,TEXAS                    ,SCHLEICHER,"-50,428","-59,584","-36,068","-35,567","-12,901","-28,740",,,,,,
45888,TEXAS                    ,SCURRY,"-124,795","-140,888","-144,619","-150,367","-84,832","-1,310",,,,,,
45889,TEXAS                    ,SHACKELFORD,"-31,033","-33,060","-31,305","-29,547","-18,838","-10,562",,,,,,
45890,TEXAS                    ,SHELBY,"-335,823","-375,074","-281,795","-199,691","-121,410","-21,785",,,,,,
45891,TEXAS                    ,SHERMAN,"-12,845","-14,626","-21,438","-25,879","-10,901","-9,937",,,,,,
