"AGED - HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
04440,ARKANSAS,MARION,"2,672","637,282",20,"637,282",20,0,0,0,"2,512",0,0
04450,ARKANSAS,MILLER,"5,143","3,612,576",59,"3,612,576",59,0,0,0,"4,776",0,0
04460,ARKANSAS,MISSISSIPPI,"4,652","1,315,293",24,"1,315,293",24,0,0,0,"4,372",0,0
04470,ARKANSAS,MONROE,"1,257","369,748",25,"369,747",25,0,0,0,"1,195",0,0
04480,ARKANSAS,MONTGOMERY,"1,550","161,615",9,"161,616",9,0,0,0,"1,449",0,0
04490,ARKANSAS,NEVADA,"1,216","361,041",25,"361,042",25,0,0,0,"1,156",0,0
04500,ARKANSAS,NEWTON,"1,195","269,102",19,"269,102",19,0,0,0,"1,112",0,0
04510,ARKANSAS,OUACHITA,"3,493","1,455,213",35,"1,455,212",35,0,0,0,"3,277",0,0
04520,ARKANSAS,PERRY,"1,593","473,301",25,"473,302",25,0,0,0,"1,466",0,0
04530,ARKANSAS,PHILLIPS,"2,470","1,231,146",42,"1,231,145",42,0,0,0,"2,312",0,0
04540,ARKANSAS,PIKE,"1,663","542,941",27,"542,941",27,0,0,0,"1,580",0,0
04550,ARKANSAS,POINSETT,"3,353","748,491",19,"748,491",19,0,0,0,"3,214",0,0
04560,ARKANSAS,POLK,"3,696","1,860,200",42,"1,860,200",42,0,0,0,"3,436",0,0
04570,ARKANSAS,POPE,"7,144","2,252,206",26,"2,252,206",26,0,0,0,"6,736",0,0
04580,ARKANSAS,PRAIRIE,"1,420","403,676",24,"403,676",24,0,0,0,"1,347",0,0
04590,ARKANSAS,PULASKI,"47,220","18,696,644",33,"18,696,645",33,0,0,0,"42,024",0,0
04600,ARKANSAS,RANDOLPH,"2,420","361,420",12,"361,420",12,0,0,0,"2,297",0,0
