AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,,,,
04070,ARKANSAS                 ,CARROLL,"-58,740","2,985","-20,188","-120,360","-109,094",,,,,,,,,,,
04080,ARKANSAS                 ,CHICOT,"-43,430","-33,011","-51,109","-30,323","-25,113",,,,,,,,,,,
04090,ARKANSAS                 ,CLARK,"-151,449","-141,742","-161,423","-129,951","-76,727",,,,,,,,,,,
04100,ARKANSAS                 ,CLAY,"-102,469","-88,895","-66,913","-22,848","2,452",,,,,,,,,,,
04110,ARKANSAS                 ,CLEBURNE,"-204,183","-155,555","-156,350","-128,485","-89,887",,,,,,,,,,,
04120,ARKANSAS                 ,CLEVELAND,"-32,988","-30,358","-21,982","-29,550","-20,571",,,,,,,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-95,864","-73,920","-65,442","-79,863","-39,257",,,,,,,,,,,
04140,ARKANSAS                 ,CONWAY,"-128,797","-127,140","-128,880","-110,238","-86,199",,,,,,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-271,814","-232,202","-162,195","9,483","86,362",,,,,,,,,,,
04160,ARKANSAS                 ,CRAWFORD,"164,396","84,022","347,561","356,132","146,176",,,,,,,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-345,021","-335,088","-322,114","-207,122","-40,098",,,,,,,,,,,
04180,ARKANSAS                 ,CROSS,"-65,705","-76,692","-58,168","-38,618","2,390",,,,,,,,,,,
04190,ARKANSAS                 ,DALLAS,"-46,382","-46,517","-51,982","-37,981","-26,540",,,,,,,,,,,
04200,ARKANSAS                 ,DESHA,"-61,283","-48,444","-48,382","-40,710","-32,280",,,,,,,,,,,
04210,ARKANSAS                 ,DREW,"-74,625","-64,527","-58,087","-72,121","-49,506",,,,,,,,,,,
04220,ARKANSAS                 ,FAULKNER,"-578,719","-489,742","-448,174","-466,544","-368,778",,,,,,,,,,,
04230,ARKANSAS                 ,FRANKLIN,"120,174","138,409","187,875","198,467","135,068",,,,,,,,,,,
04240,ARKANSAS                 ,FULTON,"-18,702","-12,724","-9,012","-12,948","-8,307",,,,,,,,,,,
04250,ARKANSAS                 ,GARLAND,"-1,745,840","-1,717,340","-1,903,603","-1,461,642","-474,741",,,,,,,,,,,
04260,ARKANSAS                 ,GRANT,"-163,861","-141,580","-130,736","-113,402","-71,231",,,,,,,,,,,
04270,ARKANSAS                 ,GREENE,"-287,809","-177,905","-142,312","-45,640","23,799",,,,,,,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-98,127","-90,509","-48,354","-103,803","-79,678",,,,,,,,,,,
04290,ARKANSAS                 ,HOT SPRING,"-393,520","-417,018","-416,866","-369,918","-157,929",,,,,,,,,,,
04300,ARKANSAS                 ,HOWARD,"-88,711","-65,270","-68,517","-68,600","-52,588",,,,,,,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-92,177","-72,279","-58,815","-58,121","-32,422",,,,,,,,,,,
04320,ARKANSAS                 ,IZARD,"-20,018","-18,900","-16,172","-18,424","-16,284",,,,,,,,,,,
04330,ARKANSAS                 ,JACKSON,"-118,985","-107,479","-88,663","-58,854","-34,381",,,,,,,,,,,
04340,ARKANSAS                 ,JEFFERSON,"-168,601","-140,706","-173,466","-154,873","-128,112",,,,,,,,,,,
04350,ARKANSAS                 ,JOHNSON,"-66,371","-55,771","-11,272","-8,615","-15,930",,,,,,,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-67,802","-34,852","-19,829","-29,693","-28,759",,,,,,,,,,,
04370,ARKANSAS                 ,LAWRENCE,"-96,419","-99,264","-58,615","-22,871","10,205",,,,,,,,,,,
04380,ARKANSAS                 ,LEE,"-48,694","-51,575","-42,555","-32,365","-14,658",,,,,,,,,,,
04390,ARKANSAS                 ,LINCOLN,"-25,172","-23,551","-19,958","-24,770","-18,958",,,,,,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-95,453","-79,581","-29,379","-71,636","-69,613",,,,,,,,,,,
04410,ARKANSAS                 ,LOGAN,"74,060","97,285","152,227","200,970","102,342",,,,,,,,,,,
04420,ARKANSAS                 ,LONOKE,"-476,592","-392,950","-336,553","-339,602","-229,521",,,,,,,,,,,
04430,ARKANSAS                 ,MADISON,"-54,540","18,079","21,790","-134,476","-118,564",,,,,,,,,,,
04440,ARKANSAS                 ,MARION,"-23,631","-12,016","-11,291","-22,630","-19,718",,,,,,,,,,,
04450,ARKANSAS                 ,MILLER,"-234,543","-207,362","-102,134","-187,160","-162,461",,,,,,,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-148,901","-163,836","-151,170","-50,832","11,924",,,,,,,,,,,
04470,ARKANSAS                 ,MONROE,"-92,796","-75,169","-68,901","-45,074","-33,873",,,,,,,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-148,477","-122,897","-157,542","-113,829","-32,979",,,,,,,,,,,
04490,ARKANSAS                 ,NEVADA,"-55,309","-46,186","-36,319","-40,404","-39,321",,,,,,,,,,,
04500,ARKANSAS                 ,NEWTON,"-14,903","-3,495","-2,531","-29,174","-21,397",,,,,,,,,,,
04510,ARKANSAS                 ,OUACHITA,"-112,035","-105,200","-95,597","-76,712","-60,188",,,,,,,,,,,
04520,ARKANSAS                 ,PERRY,"-87,955","-78,957","-63,893","-59,141","-45,096",,,,,,,,,,,
04530,ARKANSAS                 ,PHILLIPS,"-123,581","-112,094","-111,723","-79,464","-40,495",,,,,,,,,,,
04540,ARKANSAS                 ,PIKE,"-147,677","-116,893","-137,403","-116,573","-37,198",,,,,,,,,,,
04550,ARKANSAS                 ,POINSETT,"-89,231","-91,416","-57,037","40,111","42,949",,,,,,,,,,,
04560,ARKANSAS                 ,POLK,"-58,076","-61,682","-64,003","-61,761","-3,144",,,,,,,,,,,
04570,ARKANSAS                 ,POPE,"-456,139","-298,937","-291,921","-265,009","-218,523",,,,,,,,,,,
04580,ARKANSAS                 ,PRAIRIE,"-86,056","-63,746","-53,477","-57,946","-33,635",,,,,,,,,,,
04590,ARKANSAS                 ,PULASKI,"-3,030,676","-2,500,710","-2,352,247","-2,243,200","-1,634,688",,,,,,,,,,,
04600,ARKANSAS                 ,RANDOLPH,"-78,693","-68,665","-45,076","-13,177","7,023",,,,,,,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-132,407","-130,033","-127,098","-94,970","-18,316",,,,,,,,,,,
