"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
43570,SOUTH DAKOTA             ,SPINK,595,"1,391","-3,777","-5,477","-1,900","-3,345",,,,,,
43580,SOUTH DAKOTA             ,STANLEY,"-3,958","-1,305",-755,"-1,434",-293,"10,195",,,,,,
43590,SOUTH DAKOTA             ,SULLY,-651,20,567,-590,0,"-11,592",,,,,,
43600,SOUTH DAKOTA             ,TODD,"1,890","8,086",154,"13,158","3,548","-84,555",,,,,,
43610,SOUTH DAKOTA             ,TRIPP,-836,-614,"-1,782","-2,361","-2,816","-21,804",,,,,,
43620,SOUTH DAKOTA             ,TURNER,"12,267","3,514","-13,106",-356,"-8,350","-238,023",,,,,,
43630,SOUTH DAKOTA             ,UNION,-998,-516,"3,750","-8,549","-4,036","-14,761",,,,,,
43640,SOUTH DAKOTA             ,WALWORTH,-673,"-1,642","-1,502","-1,799",-811,0,,,,,,
43670,SOUTH DAKOTA             ,YANKTON,"3,339","-2,539","-9,095","-7,227","-5,016","-2,163",,,,,,
43680,SOUTH DAKOTA             ,ZIEBACH,-631,0,-188,19,588,"-54,001",,,,,,
44000,TENNESSEE                ,ANDERSON,"-157,236","-114,384","-91,420","-72,790","-16,972","-2,297",,,,,,
44010,TENNESSEE                ,BEDFORD,"-134,741","-147,847","-101,174","-87,319","-54,301","-57,894",,,,,,
44020,TENNESSEE                ,BENTON,"-55,355","-70,494","-62,119","-36,641","-36,526","-1,689",,,,,,
44030,TENNESSEE                ,BLEDSOE,"-2,277","-7,652","-29,350","-23,424","-19,732","-5,623",,,,,,
44040,TENNESSEE                ,BLOUNT,"-112,087","-66,580","-72,369","-30,879","-34,561","-14,517",,,,,,
44050,TENNESSEE                ,BRADLEY,"-49,881","-155,436","-118,243","-98,913","-67,615","-25,821",,,,,,
44060,TENNESSEE                ,CAMPBELL,"-145,965","-123,364","-115,706","-115,557","-78,654","-2,627",,,,,,
44070,TENNESSEE                ,CANNON,"-38,020","-33,340","-35,217","-26,132","-2,304","-88,095",,,,,,
44080,TENNESSEE                ,CARROLL,"-92,656","-145,471","-115,828","-107,143","-33,810","-14,370",,,,,,
44090,TENNESSEE                ,CARTER,"-199,359","-234,415","-144,482","-77,201","-36,299","-13,838",,,,,,
44100,TENNESSEE                ,CHEATHAM,"-50,590","-58,104","-45,727",-880,"3,997","-20,535",,,,,,
44110,TENNESSEE                ,CHESTER,"-39,242","-66,215","-49,065","-52,112","-22,222",0,,,,,,
44120,TENNESSEE                ,CLAIBORNE,"-104,448","-114,931","-87,650","-65,256","-42,932","-12,565",,,,,,
44130,TENNESSEE                ,CLAY,"-73,174","-61,798","-67,265","-51,446","-16,866","-9,523",,,,,,
44140,TENNESSEE                ,COCKE,"-117,263","-99,358","-71,739","-53,173","-66,380","-31,710",,,,,,
44150,TENNESSEE                ,COFFEE,"-191,524","-220,915","-236,194","-135,448","-73,308","-9,487",,,,,,
44160,TENNESSEE                ,CROCKETT,"-45,257","-43,721","-57,581","-71,911","-39,210","-35,503",,,,,,
44170,TENNESSEE                ,CUMBERLAND,"-99,446","-150,813","-87,996","-70,376","-39,798","-5,032",,,,,,
44180,TENNESSEE                ,DAVIDSON,"-494,410","-462,510","-91,561","105,899","172,922","-17,848",,,,,,
44190,TENNESSEE                ,DECATUR,"-73,216","-34,052","-17,207","-26,823","-26,371","-83,112",,,,,,
44200,TENNESSEE                ,DEKALB,"-99,944","-78,552","-78,820","-62,968","-66,453","-12,850",,,,,,
44210,TENNESSEE                ,DICKSON,"-111,210","-124,356","-121,809","-89,483","-24,793","-109,087",,,,,,
44220,TENNESSEE                ,DYER,"-304,249","-237,553","-274,797","-246,400","-82,261","-4,645",,,,,,
44230,TENNESSEE                ,FAYETTE,"-18,386","-24,089","-2,187","-28,425","-21,435","-3,421",,,,,,
44240,TENNESSEE                ,FENTRESS,"-125,841","-127,747","-99,891","-100,542","-50,005","-54,382",,,,,,
44250,TENNESSEE                ,FRANKLIN,"-113,686","-170,953","-121,062","-109,284","-49,411",942,,,,,,
44260,TENNESSEE                ,GIBSON,"-241,992","-279,560","-247,557","-155,081","-61,444","-22,962",,,,,,
44270,TENNESSEE                ,GILES,"-76,597","-110,839","-116,722","-113,359","-63,631","-31,816",,,,,,
44280,TENNESSEE                ,GRAINGER,"-62,830","-38,369","-48,818","-29,987","-26,623","-14,371",,,,,,
44290,TENNESSEE                ,GREENE,"-330,408","-305,873","-207,812","-195,338","-105,463","-9,200",,,,,,
44300,TENNESSEE                ,GRUNDY,"-88,037","-59,389","-51,500","-45,582","-44,993","-50,704",,,,,,
44310,TENNESSEE                ,HAMBLEN,"-256,451","-205,800","-198,132","-178,529","-109,785","-2,856",,,,,,
44320,TENNESSEE                ,HAMILTON,"79,860","-276,479","-424,604","-284,538","-203,404","-13,110",,,,,,
44330,TENNESSEE                ,HANCOCK,"-33,585","-27,821","-11,856","-6,150","-12,356","-6,084",,,,,,
44340,TENNESSEE                ,HARDEMAN,"-134,071","-104,263","-93,997","-87,529","-86,048","-8,174",,,,,,
44350,TENNESSEE                ,HARDIN,"-123,986","-174,620","-203,682","-177,146","-79,757","-15,444",,,,,,
44360,TENNESSEE                ,HAWKINS,"-171,292","-137,421","-113,139","-88,289","-47,317","-3,344",,,,,,
44370,TENNESSEE                ,HAYWOOD,"-135,043","-95,722","-116,777","-60,849","-44,379","-39,910",,,,,,
44380,TENNESSEE                ,HENDERSON,"-158,354","-177,659","-104,657","-107,618","-113,030","-184,486",,,,,,
44390,TENNESSEE                ,HENRY,"-76,513","-87,996","-72,639","-67,764","-65,813",-366,,,,,,
44400,TENNESSEE                ,HICKMAN,"-46,161","-66,556","-105,835","-50,974","-41,439","-82,191",,,,,,
44410,TENNESSEE                ,HOUSTON,"-12,910","-19,247","-25,309","-42,702","-17,175","-19,566",,,,,,
44420,TENNESSEE                ,HUMPHREYS,"-22,231","-30,567","-48,640","-58,361","-25,882","-4,862",,,,,,
44430,TENNESSEE                ,JACKSON,"-55,499","-57,897","-42,418","-48,147","-18,021","-2,052",,,,,,
44440,TENNESSEE                ,JEFFERSON,"-153,856","-89,963","-104,122","-98,417","-63,134","-73,273",,,,,,
44450,TENNESSEE                ,JOHNSON,"-83,741","-74,727","-44,811","-44,446","-11,472",0,,,,,,
44460,TENNESSEE                ,KNOX,"-535,721","-400,914","-142,153","-241,582","-81,054",-95,,,,,,
44470,TENNESSEE                ,LAKE,"-54,557","-74,395","-33,398","-27,635","-24,789",0,,,,,,
44480,TENNESSEE                ,LAUDERDALE,"-18,387","-24,934","-64,398","-78,737","-65,085","-8,381",,,,,,
44490,TENNESSEE                ,LAWRENCE,"-164,477","-204,915","-221,691","-194,847","-134,265",0,,,,,,
44500,TENNESSEE                ,LEWIS,"-48,337","-48,285","-27,827","-28,631","-28,646",-340,,,,,,
44510,TENNESSEE                ,LINCOLN,"-50,416","-76,898","-70,237","-67,340","-38,252","-5,676",,,,,,
44520,TENNESSEE                ,LOUDON,"-101,579","-79,556","-72,461","-47,191","-17,121","-2,989",,,,,,
44530,TENNESSEE                ,MCMINN,"-95,804","-83,985","-70,963","-75,889","-84,166",-149,,,,,,
44540,TENNESSEE                ,MCNAIRY,"-210,471","-205,302","-256,509","-195,819","-95,918",-299,,,,,,
44550,TENNESSEE                ,MACON,"-99,870","-85,224","-61,155","-75,829","-17,196",-796,,,,,,
44560,TENNESSEE                ,MADISON,"-362,291","-448,629","-341,697","-367,561","-147,897",0,,,,,,
44570,TENNESSEE                ,MARION,"-11,626","-83,856","-112,766","-86,833","-74,552","-3,241",,,,,,
44580,TENNESSEE                ,MARSHALL,"-68,270","-96,566","-73,199","-51,576","-38,926",-385,,,,,,
44590,TENNESSEE                ,MAURY,"-225,121","-248,665","-250,778","-246,306","-150,864",98,,,,,,
44600,TENNESSEE                ,MEIGS,"-31,037","-34,746","-25,891","-41,569","-19,910","-3,309",,,,,,
44610,TENNESSEE                ,MONROE,"-104,864","-114,068","-94,982","-61,409","-11,961",-755,,,,,,
44620,TENNESSEE                ,MONTGOMERY,"-379,402","-338,451","-232,690","-243,316","-140,609","-1,224",,,,,,
44630,TENNESSEE                ,MOORE,"-12,813","-6,517","-21,119","-1,069",-194,"-2,492",,,,,,
44640,TENNESSEE                ,MORGAN,"-39,678","-17,209","-18,023","-23,005","-4,377",-639,,,,,,
44650,TENNESSEE                ,OBION,"-122,074","-140,274","-115,806","-87,280","-56,351",-299,,,,,,
44660,TENNESSEE                ,OVERTON,"-109,227","-126,803","-125,240","-88,261","-45,173",-455,,,,,,
44670,TENNESSEE                ,PERRY,"-36,223","-39,144","-28,255","-11,542","-5,075",-490,,,,,,
44680,TENNESSEE                ,PICKETT,"-24,193","-45,919","-39,213","-23,455","-13,003",383,,,,,,
44690,TENNESSEE                ,POLK,"-41,346","-47,523","-32,965","-41,479","-55,475",0,,,,,,
44700,TENNESSEE                ,PUTNAM,"-257,412","-245,544","-318,280","-237,329","-97,174",9,,,,,,
44710,TENNESSEE                ,RHEA,"-21,167","-61,618","-92,314","-70,557","-67,992","-1,945",,,,,,
44720,TENNESSEE                ,ROANE,"-134,367","-106,310","-106,143","-71,704","-20,971",-340,,,,,,
44730,TENNESSEE                ,ROBERTSON,"-172,220","-164,744","-150,509","-100,827","-51,739",-636,,,,,,
44740,TENNESSEE                ,RUTHERFORD,"-196,436","-106,362","-181,510","-183,640","-201,335",-804,,,,,,
44750,TENNESSEE                ,SCOTT,"-47,353","-42,758","-47,709","-54,257","-16,921",-490,,,,,,
44760,TENNESSEE                ,SEQUATCHIE,"-5,504","5,102","-13,181","-39,675","-16,242",-364,,,,,,
44770,TENNESSEE                ,SEVIER,"-103,574","-98,948","-75,254","-101,069","-69,148",-121,,,,,,
44780,TENNESSEE                ,SHELBY,"708,067","607,663","252,010","108,790","267,466","-1,065",,,,,,
44790,TENNESSEE                ,SMITH,"-44,169","-50,796","-42,674","-35,643","-16,222","-1,194",,,,,,
44800,TENNESSEE                ,STEWART,"-44,075","-44,379","-31,359","-15,181","-10,006",-149,,,,,,
44810,TENNESSEE                ,SULLIVAN,"-349,014","-225,664","-148,106","-35,972","-6,850",0,,,,,,
44820,TENNESSEE                ,SUMNER,"-286,054","-260,539","-279,089","-123,779","-107,311",0,,,,,,
44830,TENNESSEE                ,TIPTON,"-101,197","-135,752","-49,271","-51,421","-100,717",-149,,,,,,
44840,TENNESSEE                ,TROUSDALE,"-37,566","-29,226","-9,452","-11,112","-17,467",-788,,,,,,
44850,TENNESSEE                ,UNICOI,"-48,090","-68,742","-72,377","-16,254","-14,098","-1,719",,,,,,
44860,TENNESSEE                ,UNION,"-24,654","-19,947","-23,054","-10,210","1,230",-518,,,,,,
44870,TENNESSEE                ,VAN BUREN,"-20,812","-18,284","-28,364","-10,584","-8,015","-2,612",,,,,,
44880,TENNESSEE                ,WARREN,"-187,231","-169,274","-162,759","-143,233","-96,625",-26,,,,,,
44890,TENNESSEE                ,WASHINGTON,"-320,821","-273,486","-220,203","-37,957","26,303",-830,,,,,,
44900,TENNESSEE                ,WAYNE,"-58,817","-78,777","-53,212","-81,571","-49,715",0,,,,,,
44910,TENNESSEE                ,WEAKLEY,"-160,824","-147,786","-124,342","-94,645","-70,415",0,,,,,,
44920,TENNESSEE                ,WHITE,"-90,411","-96,346","-100,545","-79,727","-49,184",0,,,,,,
44930,TENNESSEE                ,WILLIAMSON,"-44,867","-38,493","-73,215","-21,106","-27,392",-490,,,,,,
44940,TENNESSEE                ,WILSON,"-200,489","-201,153","-142,365","-130,165","-98,193","-1,218",,,,,,
45000,TEXAS                    ,ANDERSON,"-56,111","-92,896","-134,325","-185,153","-137,563","-83,464",,,,,,
45010,TEXAS                    ,ANDREWS,"-31,116","-32,915","-35,469","-33,345","-3,888","-1,510",,,,,,
45020,TEXAS                    ,ANGELINA,"-15,841","-145,195","-105,168","-92,477","-91,618","-6,593",,,,,,
45030,TEXAS                    ,ARANSAS,"-60,222","-45,266","-28,703","-57,220","-29,952",0,,,,,,
45040,TEXAS                    ,ARCHER,"-18,222","-20,034","-37,942","-21,848","-30,621",-52,,,,,,
45050,TEXAS                    ,ARMSTRONG,"1,411","-2,036","-5,864",692,"1,346","-1,117",,,,,,
45060,TEXAS                    ,ATASCOSA,"-140,740","-130,253","-121,284","-47,290","-50,453",-364,,,,,,
45070,TEXAS                    ,AUSTIN,"5,546","-7,067","-22,146",-314,"10,929","-6,051",,,,,,
45080,TEXAS                    ,BAILEY,"-4,938",39,"-3,613",-609,"-4,581","-1,646",,,,,,
45090,TEXAS                    ,BANDERA,"-43,213","-37,004","-48,559","-42,699","-29,316",-366,,,,,,
45100,TEXAS                    ,BASTROP,"-41,625","-89,368","-163,486","-94,300","-54,899",0,,,,,,
45110,TEXAS                    ,BAYLOR,"-13,484","-17,279","-23,731","-26,423","-13,699","-6,313",,,,,,
45113,TEXAS                    ,BEE,"-41,177","-48,173","-69,545","-37,031","-16,212",-639,,,,,,
45120,TEXAS                    ,BELL,"-287,892","-295,937","-318,729","-389,137","-321,747","-1,236",,,,,,
45130,TEXAS                    ,BEXAR,"-2,924,609","-2,924,656","-2,492,941","-2,157,583","-941,966","-3,979",,,,,,
45140,TEXAS                    ,BLANCO,"-5,543","-20,950","-18,939","-3,869","-4,405",-149,,,,,,
45150,TEXAS                    ,BORDEN,"1,105","-5,747",63,0,0,"-2,381",,,,,,
45160,TEXAS                    ,BOSQUE,"-17,832","-59,874","-32,706","-16,892","-30,413",0,,,,,,
45170,TEXAS                    ,BOWIE,"-90,036","-144,828","-178,814","-267,411","-207,394",0,,,,,,
45180,TEXAS                    ,BRAZORIA,"4,938","151,945","293,866","59,815","116,340","-14,407",,,,,,
45190,TEXAS                    ,BRAZOS,"-154,433","-216,978","-209,272","-258,668","-158,354","-8,766",,,,,,
45200,TEXAS                    ,BREWSTER,"-17,261","-12,918","-11,207","-5,394","-3,178","-4,516",,,,,,
45201,TEXAS                    ,BRISCOE,"1,259",-355,406,"-3,284",-621,"-4,466",,,,,,
45210,TEXAS                    ,BROOKS,"-24,712","-10,587","-5,096","-3,922","-18,553","-45,638",,,,,,
45220,TEXAS                    ,BROWN,"-55,098","-54,726","-49,381","-56,522","-38,217","-20,924",,,,,,
45221,TEXAS                    ,BURLESON,"-37,692","-39,532","-24,951","-38,995","-16,865","-9,634",,,,,,
45222,TEXAS                    ,BURNET,"47,425",-937,"-38,746","-56,545","-44,250",-166,,,,,,
45223,TEXAS                    ,CALDWELL,"-13,763","-36,517","-40,369","-40,340","-47,446","-7,190",,,,,,
45224,TEXAS                    ,CALHOUN,"-29,057","-25,534","-18,234","-37,022","-33,689","-3,214",,,,,,
45230,TEXAS                    ,CALLAHAN,"-14,044","-11,340","-9,991","-19,342","-16,167","-11,425",,,,,,
45240,TEXAS                    ,CAMERON,"-1,417,074","-1,662,348","-1,648,737","-1,338,800","-1,180,117",-671,,,,,,
45250,TEXAS                    ,CAMP,"-19,065","-15,167","-25,872","-21,712","-8,072","-10,095",,,,,,
45251,TEXAS                    ,CARSON,"-1,884","-10,218","-4,469","1,120",-294,"-1,540",,,,,,
45260,TEXAS                    ,CASS,"-37,152","-42,428","-94,516","-83,809","-51,784",-558,,,,,,
45270,TEXAS                    ,CASTRO,"-6,853","1,302","-12,060","-10,180","-4,176","-11,396",,,,,,
45280,TEXAS                    ,CHAMBERS,"-11,155","-11,230","-23,565","-13,922","-18,618","-4,273",,,,,,
45281,TEXAS                    ,CHEROKEE,"21,732","-24,255","-37,802","-38,183","-38,120","-15,251",,,,,,
45290,TEXAS                    ,CHILDRESS,"-15,622","-10,081","-15,454","-12,581","-8,300","-267,127",,,,,,
45291,TEXAS                    ,CLAY,"-28,428","-25,957","-30,740","-39,385","-19,851","-2,220",,,,,,
45292,TEXAS                    ,COCHRAN,-385,"-1,335","-5,548","-4,461","-1,833","-7,228",,,,,,
45300,TEXAS                    ,COKE,"-12,211","-13,013","-7,691","-5,743","-4,088","-10,768",,,,,,
45301,TEXAS                    ,COLEMAN,"-8,993","-14,906","-3,145","-6,121","-12,088","-5,651",,,,,,
45310,TEXAS                    ,COLLIN,"156,225","128,254","29,370","68,025","50,302","1,516",,,,,,
45311,TEXAS                    ,COLLINGSWORTH,"-15,618","-2,573","-8,825","-8,372","-1,732","-6,692",,,,,,
45312,TEXAS                    ,COLORADO,"-3,599","-16,219","-32,378","-44,678","2,923","-13,230",,,,,,
45320,TEXAS                    ,COMAL,"-376,785","-470,469","-453,004","-347,757","-199,085","-16,114",,,,,,
45321,TEXAS                    ,COMANCHE,"-9,964","-7,481","-11,495","-8,738","-5,574","-11,911",,,,,,
45330,TEXAS                    ,CONCHO,"-2,293","-8,502","6,168","-8,187","-3,049","-3,834",,,,,,
45340,TEXAS                    ,COOKE,"-35,156","2,877","-31,567","-42,729","-8,369","-21,033",,,,,,
45341,TEXAS                    ,CORYELL,"-43,058","-61,477","-46,565","-72,203","-54,119","-8,371",,,,,,
45350,TEXAS                    ,COTTLE,-280,"-2,310","-5,659","-10,772","-3,097","-16,872",,,,,,
45360,TEXAS                    ,CRANE,"-13,696","-5,860","-5,799","-3,580","-5,606","-113,833",,,,,,
45361,TEXAS                    ,CROCKETT,"-5,410","-4,008","-13,706","-18,508","-4,578","-1,332",,,,,,
45362,TEXAS                    ,CROSBY,"-10,052","-17,970","-9,091","-6,457","-5,109","-12,275",,,,,,
45370,TEXAS                    ,CULBERSON,160,"-3,828","-12,320","-13,738","-8,034","-14,059",,,,,,
45380,TEXAS                    ,DALLAM,"-6,450","-5,501","-11,834","-17,434","-10,616","-6,880",,,,,,
45390,TEXAS                    ,DALLAS,"2,218,859","2,362,259","3,530,452","3,206,453","2,083,482","-2,498",,,,,,
45391,TEXAS                    ,DAWSON,"-12,353","-13,393","-21,413","-6,162","-5,841","-11,391",,,,,,
45392,TEXAS                    ,DEAF SMITH,"8,141","-15,267","1,079","-19,123","-3,262","-15,272",,,,,,
45400,TEXAS                    ,DELTA,"-9,082","-4,406","-11,872","-8,171","-3,708","-3,650",,,,,,
45410,TEXAS                    ,DENTON,"147,431","132,470","17,398","55,184","61,318",0,,,,,,
45420,TEXAS                    ,DEWITT,"-88,780","-84,040","-71,724","-110,910","-20,733","-5,389",,,,,,
45421,TEXAS                    ,DICKENS,305,"-5,355","-4,503","-3,911",-268,"-6,701",,,,,,
45430,TEXAS                    ,DIMMIT,"-46,260","-7,921","-33,946","-5,185","-33,336","-3,320",,,,,,
45431,TEXAS                    ,DONLEY,"-6,493","-6,246","-4,433","-2,961","-1,870",0,,,,,,
45440,TEXAS                    ,DUVAL,"-17,192","-23,404","-23,259","-39,127","6,302","-15,683",,,,,,
45450,TEXAS                    ,EASTLAND,"-23,725","-31,632","-32,791","-23,591","-12,243",-464,,,,,,
45451,TEXAS                    ,ECTOR,"-337,503","-366,532","-357,405","-379,728","-180,389","-119,674",,,,,,
45460,TEXAS                    ,EDWARDS,"-1,816","-6,915","-1,002","-4,837","-2,527","-1,148",,,,,,
45470,TEXAS                    ,ELLIS,"-77,815","-109,616","-79,011","-61,939","-63,676","-9,076",,,,,,
45480,TEXAS                    ,EL PASO,"-964,120","-976,804","-824,057","-660,228","-326,651","-13,189",,,,,,
45490,TEXAS                    ,ERATH,"-18,171","-12,998","-30,833","-22,811","-51,083","-3,651",,,,,,
45500,TEXAS                    ,FALLS,"-43,103","-44,183","-38,248","-40,489","-16,743","-10,024",,,,,,
45510,TEXAS                    ,FANNIN,"-11,500","-56,303","-66,969","-49,897","-43,514","-13,242",,,,,,
45511,TEXAS                    ,FAYETTE,"-20,926","-73,063","-46,617","-58,995","-49,272","-12,390",,,,,,
45520,TEXAS                    ,FISHER,"-10,250","-4,293","-3,222","-4,115","-4,841","-14,745",,,,,,
45521,TEXAS                    ,FLOYD,-984,"-3,703","-5,506","-5,580",-251,"-5,330",,,,,,
45522,TEXAS                    ,FOARD,"-4,511",-631,"-5,368","-6,417","-2,004","-44,271",,,,,,
45530,TEXAS                    ,FORT BEND,"170,744","157,420","287,797","60,127","71,267","-15,243",,,,,,
45531,TEXAS                    ,FRANKLIN,"-8,470",782,-910,"3,705","-3,752","-10,377",,,,,,
45540,TEXAS                    ,FREESTONE,"-16,433","-2,833","-23,152","-24,041","-35,716","-29,296",,,,,,
45541,TEXAS                    ,FRIO,"-33,749","-35,069","-46,611","-27,064","-21,321","-4,456",,,,,,
45542,TEXAS                    ,GAINES,"-4,178","-15,140","-14,865","-37,833","-11,372","-10,000",,,,,,
45550,TEXAS                    ,GALVESTON,"283,598","-365,730","-60,309","-373,496","-214,279","-55,782",,,,,,
45551,TEXAS                    ,GARZA,"-2,652","-15,984",143,"-14,987","-4,170",12,,,,,,
45552,TEXAS                    ,GILLESPIE,"-16,051","-15,535","-35,314","-10,428","-19,090","-2,179",,,,,,
45560,TEXAS                    ,GLASSCOCK,0,0,0,0,0,"-8,968",,,,,,
45561,TEXAS                    ,GOLIAD,"-9,409","-15,205","-13,025","-28,600","-2,514","-4,864",,,,,,
45562,TEXAS                    ,GONZALES,"-102,002","-64,491","-66,866","-47,310","-18,026","-4,145",,,,,,
45563,TEXAS                    ,GRAY,"-42,252","-13,214","-52,807","-26,759","-28,133","-3,423",,,,,,
45564,TEXAS                    ,GRAYSON,"-70,899","-138,890","-257,823","-196,074","-256,446","-6,785",,,,,,
45570,TEXAS                    ,GREGG,"-54,868","-56,306","-326,440","-384,391","-315,315","-26,216",,,,,,
45580,TEXAS                    ,GRIMES,"-45,091","-75,777","-48,641","-56,665","-33,677","-14,388",,,,,,
45581,TEXAS                    ,GUADALUPE,"-265,557","-243,924","-252,531","-208,394","-93,882","-14,334",,,,,,
45582,TEXAS                    ,HALE,"-28,330","-19,739","-13,989","-12,197","-5,835","-25,303",,,,,,
45583,TEXAS                    ,HALL,"-4,201","-11,737","-1,985","-6,331",299,"-44,823",,,,,,
45590,TEXAS                    ,HAMILTON,"-5,878","-8,933","-21,162","-10,296","-3,139","-6,295",,,,,,
45591,TEXAS                    ,HANSFORD,"-2,721",100,83,"-7,312","-8,755","-2,834",,,,,,
45592,TEXAS                    ,HARDEMAN,"-12,888","-11,160","-13,660","-4,931","-12,828","-25,308",,,,,,
45600,TEXAS                    ,HARDIN,"-147,489","-92,546","-107,483","-93,669","-100,123","-472,873",,,,,,
45610,TEXAS                    ,HARRIS,"6,393,767","6,792,801","7,277,020","7,149,993","5,460,027","-4,471",,,,,,
45620,TEXAS                    ,HARRISON,"-79,333","-100,621","-202,683","-196,038","-139,121","-1,081",,,,,,
45621,TEXAS                    ,HARTLEY,273,0,81,383,-410,"-32,433",,,,,,
45630,TEXAS                    ,HASKELL,"-12,308","4,576","-7,198","-10,100","-6,888","-50,937",,,,,,
45631,TEXAS                    ,HAYS,"-132,016","-71,551","-94,566","-135,977","-78,135","-21,880",,,,,,
45632,TEXAS                    ,HEMPHILL,"-2,792","-5,411",-640,"-4,412","-4,679","-3,083",,,,,,
45640,TEXAS                    ,HENDERSON,"-137,689","-121,471","-90,223","-123,344","-99,442","-1,886",,,,,,
45650,TEXAS                    ,HIDALGO,"-3,751,408","-4,357,488","-3,448,434","-3,533,455","-2,375,913",-826,,,,,,
45651,TEXAS                    ,HILL,"-90,515","-114,207","-46,876","-71,623","-49,462",-6,,,,,,
45652,TEXAS                    ,HOCKLEY,"-41,009","-16,957","-19,649","-8,713","-4,408","-19,864",,,,,,
45653,TEXAS                    ,HOOD,"-24,439","-78,379","-54,380","-61,412","-7,509","-11,930",,,,,,
45654,TEXAS                    ,HOPKINS,"-14,516","-21,067","-38,090","-45,041","-39,162","-3,778",,,,,,
45660,TEXAS                    ,HOUSTON,"-53,001","-52,041","-41,883","13,173","-44,878","-9,585",,,,,,
45661,TEXAS                    ,HOWARD,"-21,527","-50,233","-26,411","-76,410","-59,545","-13,776",,,,,,
45662,TEXAS                    ,HUDSPETH,"-8,995","-10,265",412,"-10,256","1,698","-14,069",,,,,,
45670,TEXAS                    ,HUNT,"-83,338","-132,306","-134,501","-100,414","-88,482","-19,322",,,,,,
45671,TEXAS                    ,HUTCHINSON,"-17,055","-23,062","-48,064","-34,175","-12,788",0,,,,,,
45672,TEXAS                    ,IRION,"-4,641",-814,"-4,675","-3,503",-109,"-21,618",,,,,,
45680,TEXAS                    ,JACK,"-6,360","-6,369","-25,199","-8,597","1,130","-2,565",,,,,,
45681,TEXAS                    ,JACKSON,"-17,677","-12,456","-3,918","-14,162","-19,134","-26,706",,,,,,
45690,TEXAS                    ,JASPER,"-27,862","-77,225","-40,021","-27,945","-62,950","-7,763",,,,,,
45691,TEXAS                    ,JEFF DAVIS,-809,"-5,061",-531,"-3,690","-7,184",-545,,,,,,
45700,TEXAS                    ,JEFFERSON,"-454,879","-342,799","-352,302","-495,720","-271,562",0,,,,,,
45710,TEXAS                    ,JIM HOGG,"-25,434","-33,988","-29,412","-29,520","-48,779",-148,,,,,,
45711,TEXAS                    ,JIM WELLS,"-85,328","-85,523","-84,343","-58,678","-1,083","-10,675",,,,,,
45720,TEXAS                    ,JOHNSON,"-170,685","-112,253","-62,468","-29,313","-45,143","-25,810",,,,,,
45721,TEXAS                    ,JONES,"-26,151","-14,869","-19,921","-9,114","-11,253",-562,,,,,,
45722,TEXAS                    ,KARNES,"-35,004","-49,504","-24,547","-46,773","-22,254","-10,176",,,,,,
45730,TEXAS                    ,KAUFMAN,"-180,149","-92,052","-92,303","-70,149","-68,141","-17,783",,,,,,
45731,TEXAS                    ,KENDALL,"-6,349","-45,793","-38,507","-16,960","-14,711",-107,,,,,,
45732,TEXAS                    ,KENEDY,196,0,129,589,0,"-8,103",,,,,,
45733,TEXAS                    ,KENT,-53,-913,-111,"-1,677","-2,066","-80,367",,,,,,
45734,TEXAS                    ,KERR,"-39,671","-61,936","-41,336","-83,725","2,675","-770,313",,,,,,
45740,TEXAS                    ,KIMBLE,"-7,012","-7,575","-4,462","-1,701","-1,218","-1,678",,,,,,
45741,TEXAS                    ,KING,31,"-1,001",-3,241,0,0,,,,,,
45742,TEXAS                    ,KINNEY,"-13,945","-19,441","-2,616","-5,084",552,"-4,715",,,,,,
45743,TEXAS                    ,KLEBERG,"-48,536","-45,336","-20,277","-6,891","6,828","-29,340",,,,,,
45744,TEXAS                    ,KNOX,"-13,679","-4,989","-12,716","-1,966",-998,"-145,497",,,,,,
45750,TEXAS                    ,LAMAR,"-122,047","-169,259","-187,822","-165,148","-71,918","-7,258",,,,,,
45751,TEXAS                    ,LAMB,"-17,281","-9,598","-19,999","-18,364","-9,630",-968,,,,,,
45752,TEXAS                    ,LAMPASAS,"-21,034","-30,943","-35,273","-20,666","-28,253",0,,,,,,
45753,TEXAS                    ,LA SALLE,"-16,643","-6,011","-3,141","-15,697","-62,589","-5,640",,,,,,
45754,TEXAS                    ,LAVACA,"-50,847","-45,374","-26,312","-40,902","-35,496","-9,669",,,,,,
45755,TEXAS                    ,LEE,"-10,192","-31,999","-20,761","-24,437","-15,681",-497,,,,,,
45756,TEXAS                    ,LEON,"-26,494","-58,654","-55,080","-92,296","-51,247","-9,121",,,,,,
45757,TEXAS                    ,LIBERTY,"-157,756","-102,393","-140,923","-109,327","-64,309","-8,495",,,,,,
