"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
04430,ARKANSAS                 ,MADISON,"-12,337","-21,839","-9,743","-8,538",249,"-24,289",,,,,,
04440,ARKANSAS                 ,MARION,"-47,598","-35,834","-30,871","-41,583","-15,159","-9,631",,,,,,
04450,ARKANSAS                 ,MILLER,"-82,545","-72,981","-106,797","-113,494","-110,522","-2,957",,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-123,332","-108,399","-262,720","-211,642","-153,097","-15,316",,,,,,
04470,ARKANSAS                 ,MONROE,"-21,590","-27,374","-13,929","-20,278","-13,232","-1,658",,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-20,873","-16,933","-18,713","-11,112","-10,074",-533,,,,,,
04490,ARKANSAS                 ,NEVADA,"-27,811","-14,802","-15,776","-6,292","-22,356","-9,585",,,,,,
04500,ARKANSAS                 ,NEWTON,"-14,065","-20,090","-15,060","-21,174","-8,837","-8,967",,,,,,
04510,ARKANSAS                 ,OUACHITA,"-54,798","-58,128","-37,384","-52,849","-56,216","-24,518",,,,,,
04520,ARKANSAS                 ,PERRY,"-37,995","-31,041","-42,154","-18,401","-25,745","-1,679",,,,,,
04530,ARKANSAS                 ,PHILLIPS,"-48,677","-54,703","-56,211","-28,570","-13,908","-6,920",,,,,,
04540,ARKANSAS                 ,PIKE,"-20,625","-13,287","-22,499","-16,363","-9,756","-22,876",,,,,,
04550,ARKANSAS                 ,POINSETT,"-180,639","-129,072","-98,974","-149,585","-47,912","-41,819",,,,,,
04560,ARKANSAS                 ,POLK,"-4,402","-16,823","-22,120","-23,208","-14,800","-3,583",,,,,,
04570,ARKANSAS                 ,POPE,"-156,498","-219,750","-172,517","-167,729","-115,356","-1,854",,,,,,
04580,ARKANSAS                 ,PRAIRIE,"-50,760","-52,755","-29,901","-37,357","-15,911","-1,755",,,,,,
04590,ARKANSAS                 ,PULASKI,"-535,149","-631,191","-559,747","-565,881","-331,483","-2,769",,,,,,
04600,ARKANSAS                 ,RANDOLPH,"-59,720","-64,857","-82,815","-46,180","-56,147","-4,886",,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-22,339","-49,519","-17,928","-26,451","3,476","-4,706",,,,,,
04620,ARKANSAS                 ,SALINE,"-79,453","-96,385","-80,840","-67,505","-62,626","-6,743",,,,,,
04630,ARKANSAS                 ,SCOTT,"-35,932","-36,939","-32,285","-8,203",-845,"-3,249",,,,,,
