AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"35,717","-61,948","-53,172","14,318","15,399",,,,,
04410,ARKANSAS                 ,LOGAN,"45,507","-77,844","-81,686","19,100","18,527",,,,,
04420,ARKANSAS                 ,LONOKE,"139,208","-248,695","-272,458","59,945","56,260",,,,,
04430,ARKANSAS                 ,MADISON,"29,186","-58,876","-65,035","14,217","13,955",,,,,
04440,ARKANSAS                 ,MARION,"50,827","-73,833","-90,259","15,447","15,199",,,,,
04450,ARKANSAS                 ,MILLER,"79,468","-139,382","-132,315","41,955","40,065",,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"79,648","-170,829","-178,439","26,912","26,225",,,,,
04470,ARKANSAS                 ,MONROE,"26,203","-43,235","-43,808","8,688","7,449",,,,,
04480,ARKANSAS                 ,MONTGOMERY,"24,443","-36,494","-38,364","9,446","8,875",,,,,
04490,ARKANSAS                 ,NEVADA,"23,563","-38,151","-34,958","8,580","8,252",,,,,
04500,ARKANSAS                 ,NEWTON,"14,341","-25,888","-29,718","5,341","5,007",,,,,
04510,ARKANSAS                 ,OUACHITA,"62,787","-117,364","-118,163","26,093","25,250",,,,,
04520,ARKANSAS                 ,PERRY,"25,172","-47,888","-49,364","10,956","10,654",,,,,
04530,ARKANSAS                 ,PHILLIPS,"33,245","-91,719","-88,886","8,497","8,368",,,,,
04540,ARKANSAS                 ,PIKE,"26,748","-43,231","-45,317","11,995","11,939",,,,,
04550,ARKANSAS                 ,POINSETT,"58,168","-114,599","-122,739","25,822","24,149",,,,,
04560,ARKANSAS                 ,POLK,"48,419","-83,449","-84,090","22,577","21,194",,,,,
04570,ARKANSAS                 ,POPE,"112,950","-203,888","-232,934","48,603","48,601",,,,,
04580,ARKANSAS                 ,PRAIRIE,"27,187","-45,994","-47,552","11,399","10,316",,,,,
04590,ARKANSAS                 ,PULASKI,"946,511","-1,731,920","-1,885,106","364,923","361,136",,,,,
04600,ARKANSAS                 ,RANDOLPH,"39,631","-66,000","-69,784","14,265","14,200",,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"32,587","-91,919","-101,827","13,764","13,859",,,,,
04620,ARKANSAS                 ,SALINE,"180,443","-319,040","-326,757","63,685","62,897",,,,,
04630,ARKANSAS                 ,SCOTT,"21,871","-37,738","-40,840","11,097","8,954",,,,,
04640,ARKANSAS                 ,SEARCY,"21,920","-38,170","-40,699","7,775","7,929",,,,,
04650,ARKANSAS                 ,SEBASTIAN,"218,910","-382,428","-395,029","93,817","92,734",,,,,
04660,ARKANSAS                 ,SEVIER,"28,917","-54,370","-53,582","13,045","13,487",,,,,
04670,ARKANSAS                 ,SHARP,"72,646","-120,975","-130,333","25,975","23,555",,,,,
04680,ARKANSAS                 ,STONE,"43,921","-73,899","-74,793","15,635","15,766",,,,,
04690,ARKANSAS                 ,UNION,"109,215","-199,667","-223,175","65,222","61,806",,,,,
04700,ARKANSAS                 ,VAN BUREN,"49,911","-89,852","-92,879","18,555","19,152",,,,,
04710,ARKANSAS                 ,WASHINGTON,"306,271","-567,836","-617,755","133,994","126,932",,,,,
04720,ARKANSAS                 ,WHITE,"182,748","-351,100","-373,358","75,103","72,296",,,,,
04730,ARKANSAS                 ,WOODRUFF,"16,924","-33,885","-42,140","7,483","7,114",,,,,
04740,ARKANSAS                 ,YELL,"49,396","-87,878","-88,628","20,338","19,699",,,,,
05000,CALIFORNIA               ,ALAMEDA,"-426,133","-496,678","-1,052,560","392,659","427,650",,,,,
05010,CALIFORNIA               ,ALPINE,"1,756","2,452",472,663,-735,,,,,
05020,CALIFORNIA               ,AMADOR,"187,150","204,300","100,229","24,472","50,125",,,,,
05030,CALIFORNIA               ,BUTTE,"1,189,685","1,251,940","621,441","184,510","345,538",,,,,
05040,CALIFORNIA               ,CALAVERAS,"238,344","245,794","115,582","35,619","58,478",,,,,
05050,CALIFORNIA               ,COLUSA,"77,119","74,470","34,376","4,084","17,836",,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"-449,759","-529,214","-981,183","389,463","366,720",,,,,
05070,CALIFORNIA               ,DEL NORTE,"110,495","93,161","49,876","11,347","26,626",,,,,
05080,CALIFORNIA               ,EL DORADO,"564,854","599,347","281,371","84,764","122,470",,,,,
05090,CALIFORNIA               ,FRESNO,"2,366,063","2,447,353","1,211,005","184,138","547,012",,,,,
05100,CALIFORNIA               ,GLENN,"122,972","122,611","64,023","8,786","38,500",,,,,
05110,CALIFORNIA               ,HUMBOLDT,"436,598","441,328","234,723","60,237","116,863",,,,,
05120,CALIFORNIA               ,IMPERIAL,"603,032","598,258","244,735","31,046","167,938",,,,,
05130,CALIFORNIA               ,INYO,"44,861","39,266","7,905","3,722","5,667",,,,,
05140,CALIFORNIA               ,KERN,"1,551,588","1,591,587","648,531","379,995","633,142",,,,,
05150,CALIFORNIA               ,KINGS,"343,248","365,346","167,729","30,767","90,423",,,,,
05160,CALIFORNIA               ,LAKE,"326,623","324,621","170,442","57,786","112,531",,,,,
05170,CALIFORNIA               ,LASSEN,"69,413","69,900","19,851","-6,040","-18,603",,,,,
05200,CALIFORNIA               ,LOS ANGELES,"-27,087,433","-28,058,150","-23,548,563","24,392,113","23,907,084",,,,,
05300,CALIFORNIA               ,MADERA,"474,784","470,021","227,852","37,425","98,347",,,,,
05310,CALIFORNIA               ,MARIN,"695,267","723,298","502,823","1,377,554","927,952",,,,,
05320,CALIFORNIA               ,MARIPOSA,"85,522","92,620","40,243","14,889","23,976",,,,,
05330,CALIFORNIA               ,MENDOCINO,"307,297","301,540","140,787","50,129","83,168",,,,,
05340,CALIFORNIA               ,MERCED,"768,742","813,093","357,534","81,700","179,872",,,,,
05350,CALIFORNIA               ,MODOC,"35,624","27,871","13,270","2,473","3,682",,,,,
05360,CALIFORNIA               ,MONO,"18,907","15,841",473,"-2,564",-488,,,,,
05370,CALIFORNIA               ,MONTEREY,"1,544,051","1,547,942","772,826","295,222","339,480",,,,,
05380,CALIFORNIA               ,NAPA,"418,465","440,971","286,400","389,742","401,277",,,,,
05390,CALIFORNIA               ,NEVADA,"492,823","526,474","261,582","86,264","115,828",,,,,
05400,CALIFORNIA               ,ORANGE,"-8,198,067","-8,583,886","-9,598,349","2,838,557","2,514,148",,,,,
05410,CALIFORNIA               ,PLACER,"971,242","1,030,985","517,265","213,005","236,006",,,,,
05420,CALIFORNIA               ,PLUMAS,"66,218","70,217","24,633","-3,144","-12,917",,,,,
05430,CALIFORNIA               ,RIVERSIDE,"4,307,629","4,335,753","1,861,608","1,482,604","1,232,787",,,,,
05440,CALIFORNIA               ,SACRAMENTO,"2,442,462","2,560,910","1,290,061","443,477","580,257",,,,,
05450,CALIFORNIA               ,SAN BENITO,"163,963","162,767","103,389","16,172","42,464",,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"1,990,611","2,037,585","845,748","789,432","948,057",,,,,
05470,CALIFORNIA               ,SAN DIEGO,"7,246,968","7,447,318","3,556,264","2,433,490","1,751,566",,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"-528,801","-575,758","-627,614","944,591","1,018,620",,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"1,590,601","1,707,117","820,518","139,937","342,452",,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"1,445,939","1,455,630","667,044","287,388","344,454",,,,,
05510,CALIFORNIA               ,SAN MATEO,"-669,510","-665,676","-647,971","583,366","627,558",,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"1,589,925","1,641,929","746,575","495,320","420,500",,,,,
05530,CALIFORNIA               ,SANTA CLARA,"3,836,612","4,309,984","3,216,155","1,072,253","1,120,047",,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"900,009","944,367","548,831","194,042","219,774",,,,,
05550,CALIFORNIA               ,SHASTA,"1,216,215","1,184,074","537,517","116,550","255,876",,,,,
05560,CALIFORNIA               ,SIERRA,"9,305","9,311","3,521",639,"-2,037",,,,,
05570,CALIFORNIA               ,SISKIYOU,"224,127","185,662","90,079","24,851","52,996",,,,,
05580,CALIFORNIA               ,SOLANO,"497,347","527,785","321,275","587,490","559,392",,,,,
05590,CALIFORNIA               ,SONOMA,"1,358,738","1,421,462","677,696","373,126","377,899",,,,,
05600,CALIFORNIA               ,STANISLAUS,"1,069,553","1,107,459","524,462","92,010","241,858",,,,,
05610,CALIFORNIA               ,SUTTER,"421,744","436,536","209,153","39,854","100,406",,,,,
05620,CALIFORNIA               ,TEHAMA,"269,085","261,531","135,588","28,343","63,867",,,,,
05630,CALIFORNIA               ,TRINITY,"134,311","125,820","59,557","13,699","32,319",,,,,
05640,CALIFORNIA               ,TULARE,"1,241,407","1,317,057","633,406","78,958","310,690",,,,,
05650,CALIFORNIA               ,TUOLUMNE,"323,137","335,490","164,735","40,423","85,228",,,,,
05660,CALIFORNIA               ,VENTURA,"-4,765,969","-4,904,984","-4,434,604","1,041,524","741,464",,,,,
05670,CALIFORNIA               ,YOLO,"276,890","280,535","144,116","61,797","85,744",,,,,
05680,CALIFORNIA               ,YUBA,"232,451","235,656","119,941","30,759","55,521",,,,,
06000,COLORADO                 ,ADAMS,"498,948","469,276","452,199","288,159","290,542",,,,,
06010,COLORADO                 ,ALAMOSA,"27,373","26,633","30,478","17,711","17,781",,,,,
06020,COLORADO                 ,ARAPAHOE,"1,297,300","1,203,424","1,183,958","764,412","777,489",,,,,
06030,COLORADO                 ,ARCHULETA,"44,694","34,731","39,637","24,471","28,130",,,,,
06040,COLORADO                 ,BACA,"20,301","4,354","6,024","5,996","6,180",,,,,
06050,COLORADO                 ,BENT,"17,306","18,049","16,179","9,722","8,807",,,,,
06060,COLORADO                 ,BOULDER,"785,318","718,056","691,347","447,596","455,630",,,,,
06070,COLORADO                 ,CHAFFEE,"70,819","70,611","68,651","44,821","46,259",,,,,
06080,COLORADO                 ,CHEYENNE,"6,813","6,060","4,895","3,367","3,168",,,,,
06090,COLORADO                 ,CLEAR CREEK,"13,186","12,712","12,328","7,454","6,690",,,,,
06100,COLORADO                 ,CONEJOS,"15,565","14,057","13,969","8,420","8,142",,,,,
06110,COLORADO                 ,COSTILLA,"10,262","8,589","9,217","6,033","6,041",,,,,
06120,COLORADO                 ,CROWLEY,"11,046","12,015","12,211","6,508","7,878",,,,,
06130,COLORADO                 ,CUSTER,"18,785","17,534","16,324","13,257","12,363",,,,,
06140,COLORADO                 ,DELTA,"101,901","102,855","105,691","72,471","65,549",,,,,
06150,COLORADO                 ,DENVER,"1,032,054","956,705","898,132","574,077","570,491",,,,,
06160,COLORADO                 ,DOLORES,"6,079","6,287","5,468","4,390","4,507",,,,,
06170,COLORADO                 ,DOUGLAS,"285,139","263,252","277,218","187,832","201,948",,,,,
06180,COLORADO                 ,EAGLE,"63,764","58,454","65,414","47,626","51,926",,,,,
06190,COLORADO                 ,ELBERT,"45,775","45,923","46,799","32,622","36,103",,,,,
06200,COLORADO                 ,EL PASO,"1,791,603","1,533,003","1,489,102","945,219","937,836",,,,,
06210,COLORADO                 ,FREMONT,"179,339","165,482","163,138","102,631","102,752",,,,,
06220,COLORADO                 ,GARFIELD,"99,036","98,662","103,277","69,942","72,029",,,,,
06230,COLORADO                 ,GILPIN,"3,745","4,662","4,471","3,896","5,012",,,,,
06240,COLORADO                 ,GRAND,"37,222","32,537","27,910","17,750","19,362",,,,,
06250,COLORADO                 ,GUNNISON,"24,993","23,389","23,560","15,913","17,646",,,,,
06260,COLORADO                 ,HINSDALE,"2,163","1,746",941,"2,030","2,380",,,,,
06270,COLORADO                 ,HUERFANO,"33,606","33,848","29,124","19,401","19,401",,,,,
06280,COLORADO                 ,JACKSON,"7,351","5,807","4,808","3,417","3,523",,,,,
06290,COLORADO                 ,JEFFERSON,"1,106,186","1,000,555","971,229","617,952","614,538",,,,,
06300,COLORADO                 ,KIOWA,"7,217","7,857","6,162","3,220","3,427",,,,,
06310,COLORADO                 ,KIT CARSON,"31,922","28,300","24,594","16,369","15,828",,,,,
06320,COLORADO                 ,LAKE,"13,321","13,215","12,661","7,202","8,559",,,,,
06330,COLORADO                 ,LA PLATA,"163,437","131,051","124,253","92,453","95,188",,,,,
06340,COLORADO                 ,LARIMER,"929,294","806,364","807,728","527,044","520,928",,,,,
