"ESRD -- 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PARTS A AND/OR B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
4120,ARKANSAS,CLEVELAND,7,"213,702",2544.07,"181,148","2,156.52","8,018","19,376","5,160",7,"294,462",3505.5
4130,ARKANSAS,COLUMBIA,43,"929,476",1801.31,"861,677","1,669.92","4,739","60,810","2,250",43,"1,505,803",2918.22
4140,ARKANSAS,CONWAY,24,"334,216",1160.47,"314,882","1,093.34",275,"18,979",80,24,"729,512",2533.03
4150,ARKANSAS,CRAIGHEAD,111,"1,929,656",1448.69,"1,739,681","1,306.07","31,488","146,882","11,605",108,"3,755,241",2897.56
4160,ARKANSAS,CRAWFORD,39,"758,409",1620.53,"708,863","1,514.66","5,520","42,500","1,526",35,"1,149,478",2736.85
4170,ARKANSAS,CRITTENDEN,150,"3,130,753",1739.31,"2,574,581","1,430.32","119,227","394,655","42,290",147,"6,564,422",3721.33
4180,ARKANSAS,CROSS,23,"545,846",1977.7,"465,182","1,685.44","15,806","58,576","6,282",23,"965,077",3496.66
4190,ARKANSAS,DALLAS,13,"135,545",868.88,"117,747",754.79,"2,854","13,421","1,523",12,"390,121",2709.17
4200,ARKANSAS,DESHA,32,"615,102",1601.83,"539,452","1,404.82","16,384","50,485","8,781",32,"1,325,427",3451.63
4210,ARKANSAS,DREW,30,"494,005",1372.24,"411,052","1,141.81","22,196","50,425","10,332",30,"1,069,515",2970.88
4220,ARKANSAS,FAULKNER,125,"1,585,369",1056.91,"1,470,160",980.11,"16,640","91,367","7,202",122,"3,566,060",2435.83
4230,ARKANSAS,FRANKLIN,13,"113,244",725.92,"106,400",682.05,450,"6,244",150,13,"415,400",2662.82
