AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
02220,ALASKA                   ,SITKA,"5,679","3,206","8,163","3,508","4,612",,"3,706","9,295","6,917","6,736","5,624",
02230,ALASKA                   ,SKAGWAY,490,92,62,262,49,,280,429,430,485,68,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,177,59,173,74,81,,-4,-76,-17,-97,0,
02250,ALASKA                   ,UPPER YUKON DIVISION,86,132,41,-7,-45,,0,0,0,0,-45,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,656,407,400,298,90,,0,239,135,-142,-151,
02270,ALASKA                   ,WADE HAMPTON,12,179,259,246,0,,0,196,83,7,43,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"1,009","2,022","2,127","1,061",976,,653,322,"1,992",694,961,
02290,ALASKA                   ,YUKON-KOYUKUK,133,-94,497,191,-267,,140,-137,159,93,129,
03000,ARIZONA                  ,APACHE,"2,871","4,064","1,077",371,919,,"1,412","5,151","2,542",-357,"1,389",
03010,ARIZONA                  ,COCHISE,"22,856","19,695","15,095","1,789","18,757",,"61,397","54,158","23,860","1,994","27,735",
03020,ARIZONA                  ,COCONINO,"36,313","38,559","17,689","-27,299","-20,234",,"18,177","29,510","17,674","-20,159","-21,709",
03030,ARIZONA                  ,GILA,"33,716","36,421","26,582","2,309","31,027",,"25,878","28,945","15,122","3,524","21,274",
03040,ARIZONA                  ,GRAHAM,"17,381","17,816","6,803",82,"4,978",,"14,905","12,824","9,820","1,777","8,270",
03050,ARIZONA                  ,GREENLEE,"2,635","3,834",728,100,830,,"3,339","5,449","3,597",915,"2,374",
03055,ARIZONA                  ,LA PAZ,"1,846","1,463",278,-428,"6,220",,-593,595,"1,398","1,174","9,559",
03060,ARIZONA                  ,MARICOPA,"551,367","312,698","-343,226","-356,567","-180,734",,"317,540","207,832","-251,790","-282,758","-150,949",
03070,ARIZONA                  ,MOHAVE,"98,146","43,744","-84,126","-47,885","1,248",,"60,969","28,820","-62,801","-34,491","-2,078",
03080,ARIZONA                  ,NAVAJO,"20,030","25,205","8,849",759,"6,387",,"12,379","13,678","9,572","2,975","12,756",
03090,ARIZONA                  ,PIMA,"-181,407","-198,340","-412,062","-375,756","-265,401",,"-122,823","-151,450","-362,622","-320,812","-247,732",
03100,ARIZONA                  ,PINAL,"34,127","21,351","-26,754","-25,715","-16,653",,"18,981","10,913","-16,575","-15,068","-10,136",
03110,ARIZONA                  ,SANTA CRUZ,"3,022","1,796",-72,"-2,301","1,462",,"7,992","8,095","2,361",-632,"6,141",
03120,ARIZONA                  ,YAVAPAI,"43,634","-2,383","19,751","-537,880","-603,914",,"18,063",-319,"12,838","-381,620","-549,684",
03130,ARIZONA                  ,YUMA,"36,170","58,130","102,820","82,590","76,885",,"14,985","32,666","68,858","53,388","64,377",
04000,ARKANSAS                 ,ARKANSAS,124,"-3,281","2,029","3,875","4,455",,-567,"-5,897","1,994","5,125","6,439",
04010,ARKANSAS                 ,ASHLEY,-159,"-5,562","1,751","6,302","8,076",,908,"-5,872","2,251","8,008","12,125",
04020,ARKANSAS                 ,BAXTER,-85,"-6,439","2,525","13,815","25,037",,-642,"-8,759","3,969","16,678","35,136",
04030,ARKANSAS                 ,BENTON,"55,539","5,670","59,356","94,700","-64,703",,"58,884","2,170","60,521","116,974","-78,029",
04040,ARKANSAS                 ,BOONE,98,"-6,833","2,750","9,459","10,353",,-266,"-7,397","1,621","6,424","10,910",
04050,ARKANSAS                 ,BRADLEY,-89,"-3,414","1,132","5,552","4,642",,757,"-13,475","7,301","17,667","21,212",
04060,ARKANSAS                 ,CALHOUN,46,"-1,623",596,"1,602","1,919",,87,"-3,012","1,305","3,697","5,077",
04070,ARKANSAS                 ,CARROLL,"-6,306","-3,203","1,930","6,472","6,029",,"-2,151","-15,066","-1,119","7,950","7,437",
04080,ARKANSAS                 ,CHICOT,-217,"-2,678","1,389","4,353","4,226",,37,"-2,788","1,524","6,126","5,794",
04090,ARKANSAS                 ,CLARK,"-1,511","-4,441","1,684","3,755","7,751",,"-1,136","-5,244","1,074","5,135","5,222",
04100,ARKANSAS                 ,CLAY,54,"-5,164","2,459","7,779","8,550",,353,"-11,642","5,610","15,352","15,051",
04110,ARKANSAS                 ,CLEBURNE,-817,"-6,601","3,336","10,152","7,883",,-160,"-9,226","2,835","11,653","13,535",
04120,ARKANSAS                 ,CLEVELAND,"2,083","2,982","16,454","1,460","4,714",,"7,681","5,859","28,147","3,553","14,288",
04130,ARKANSAS                 ,COLUMBIA,-60,"-5,110","2,051","7,349","7,660",,672,"-6,106","2,453","7,974","8,934",
04140,ARKANSAS                 ,CONWAY,-292,"-3,296","1,699","3,438","4,080",,-446,"-3,500","1,931","5,242","6,146",
04150,ARKANSAS                 ,CRAIGHEAD,"27,821","10,681","41,590","34,918","40,310",,"32,654","15,306","44,568","41,831","43,790",
04160,ARKANSAS                 ,CRAWFORD,"-35,140","-12,094","-29,070","-1,347","-3,041",,"-56,290","-21,769","-40,740","-1,157","-3,434",
04170,ARKANSAS                 ,CRITTENDEN,"-14,867","-14,121","-17,109","-12,005","-11,569",,"-30,644","-24,608","-35,824","-34,251","-28,691",
04180,ARKANSAS                 ,CROSS,-104,"-2,708","1,255","4,600","4,627",,605,"-4,742","2,689","5,711","7,460",
04190,ARKANSAS                 ,DALLAS,-2,"-1,929",773,"2,128","2,998",,122,"-5,066","1,329","5,275","5,596",
04200,ARKANSAS                 ,DESHA,-230,"-3,568","2,266","4,809","4,062",,811,"-8,908","4,550","12,153","11,139",
04210,ARKANSAS                 ,DREW,312,"-5,223","2,888","6,558","8,215",,-245,"-7,284","3,252","13,302","15,811",
04220,ARKANSAS                 ,FAULKNER,"-17,220","-1,945","12,775","16,246","13,533",,"-10,686","-2,788","9,365","10,939","8,365",
04230,ARKANSAS                 ,FRANKLIN,"-8,062","-4,696","-6,847",-408,-667,,"-11,975","-6,340","-12,081",-129,"-1,357",
04240,ARKANSAS                 ,FULTON,147,"-4,646","2,029","6,575","8,453",,114,"-9,967","5,453","20,326","26,535",
04250,ARKANSAS                 ,GARLAND,"-167,000","-166,883","-123,914","-150,872","-147,738",,"-132,781","-176,689","-137,212","-155,496","-129,826",
04260,ARKANSAS                 ,GRANT,"-10,010","-1,632","3,836","3,013","2,132",,"-4,528","-1,784","3,309","3,016","2,995",
04270,ARKANSAS                 ,GREENE,250,"-7,102","3,619","11,402","12,310",,-81,"-7,514","2,742","10,650","12,055",
04280,ARKANSAS                 ,HEMPSTEAD,-243,"-7,552","1,121","8,134","8,132",,-182,"-6,599","2,245","11,081","11,410",
04290,ARKANSAS                 ,HOT SPRING,"-3,692","-10,370","1,808","8,165","9,032",,"-2,965","-11,559",684,"10,436","10,257",
04300,ARKANSAS                 ,HOWARD,-834,"-5,767","1,238","6,152","6,873",,-38,"-10,185","3,111","9,327","11,161",
04310,ARKANSAS                 ,INDEPENDENCE,152,"-9,574","4,824","19,558","21,912",,-334,"-11,024","6,475","21,987","35,288",
