IPPS and OPPS Wage Indices by Fiscal Year ,,,,,,,,,,,
"Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,
County code,State,County name,CBSA 2014,IPPS Wage 2008,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2012,IPPS Wage 2013,IPPS Wage 2014
04250,AR,GARLAND,26300,0.9106,0.9112,0.9115,0.9115,0.9249,0.9172,0.8850,0.8369
04260,AR,GRANT,30780,0.8961,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8571
04270,AR,GREENE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04280,AR,HEMPSTEAD,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04290,AR,HOT SPRING,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04300,AR,HOWARD,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04310,AR,INDEPENDENCE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04320,AR,IZARD,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04330,AR,JACKSON,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04340,AR,JEFFERSON,38220,0.8152,0.8243,0.7767,0.7767,0.8269,0.7937,0.8009,0.8117
04350,AR,JOHNSON,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04360,AR,LAFAYETTE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04370,AR,LAWRENCE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04380,AR,LEE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04390,AR,LINCOLN,38220,0.8152,0.8243,0.7767,0.7767,0.8269,0.7937,0.8009,0.8117
04400,AR,LITTLE RIVER,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04410,AR,LOGAN,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04420,AR,LONOKE,30780,0.8961,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8571
04430,AR,MADISON,22220,0.8872,0.9097,0.8787,0.8787,0.8604,0.9207,0.9284,0.8936
04440,AR,MARION,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04450,AR,MILLER,45500,0.7782,0.8167,0.8153,0.8153,0.7773,0.7972,0.8169,0.7602
04460,AR,MISSISSIPPI,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04470,AR,MONROE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04480,AR,MONTGOMERY,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04490,AR,NEVADA,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04500,AR,NEWTON,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04510,AR,OUACHITA,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04520,AR,PERRY,30780,0.8961,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8571
04530,AR,PHILLIPS,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04540,AR,PIKE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04550,AR,POINSETT,27860,0.8503,0.8423,0.7796,0.7796,0.7794,0.7695,0.8125,0.8022
04560,AR,POLK,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04570,AR,POPE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04580,AR,PRAIRIE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04590,AR,PULASKI,30780,0.8961,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8571
04600,AR,RANDOLPH,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04610,AR,ST. FRANCIS,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04620,AR,SALINE,30780,0.8961,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8571
04630,AR,SCOTT,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04640,AR,SEARCY,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04650,AR,SEBASTIAN,22900,0.8053,0.7814,0.7994,0.7994,0.7713,0.7451,0.7923,0.7620
04660,AR,SEVIER,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04670,AR,SHARP,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04680,AR,STONE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04690,AR,UNION,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04700,AR,VAN BUREN,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04710,AR,WASHINGTON,22220,0.8872,0.9097,0.8787,0.8787,0.8604,0.9207,0.9284,0.8936
04720,AR,WHITE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04730,AR,WOODRUFF,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04740,AR,YELL,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04999,AR,STATEWIDE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,n/a ,0.7441
05000,CA,ALAMEDA,36084,1.5344,1.5630,1.5857,1.5841,1.5852,1.5553,1.6090,1.6439
05010,CA,ALPINE,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05020,CA,AMADOR,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05030,CA,BUTTE,17020,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05040,CA,CALAVERAS,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05050,CA,COLUSA,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05060,CA,CONTRA COSTA,36084,1.5344,1.5630,1.5857,1.5841,1.5852,1.5553,1.6090,1.6439
05070,CA,DEL NORTE,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05080,CA,EL DORADO,40900,1.3068,1.3088,1.3594,1.3581,1.3602,1.3311,1.4203,1.4887
05090,CA,FRESNO,23420,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05100,CA,GLENN,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05110,CA,HUMBOLDT,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05120,CA,IMPERIAL,20940,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05130,CA,INYO,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05140,CA,KERN,12540,1.1736,1.1972,1.1831,1.1820,1.1870,1.1871,1.2282,1.2477
05150,CA,KINGS,25260,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05160,CA,LAKE,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05170,CA,LASSEN,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05200,CA,LOS ANGELES,31084,1.1736,1.2032,1.1890,1.1878,1.2014,1.2151,1.2282,1.2477
05210,CA,LOS ANGELES,31084,1.1736,1.2032,1.1890,1.1878,1.2014,1.2151,1.2282,1.2477
05300,CA,MADERA,31460,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05310,CA,MARIN,41884,1.4802,1.5065,1.5454,1.5439,1.5352,1.5372,1.5889,1.6269
